SBNY,Date
18.0501708984375,2004-03-23
18.031631469726562,2004-03-24
17.93799591064453,2004-03-25
17.976001739501953,2004-03-26
17.836944580078125,2004-03-29
18.05944061279297,2004-03-30
19.412975311279297,2004-03-31
19.978490829467773,2004-04-01
19.746721267700195,2004-04-02
19.412975311279297,2004-04-05
19.236827850341797,2004-04-06
19.199745178222656,2004-04-07
19.145048141479492,2004-04-08
19.051414489746094,2004-04-12
19.236827850341797,2004-04-13
19.144121170043945,2004-04-14
18.458080291748047,2004-04-15
19.218284606933594,2004-04-16
19.28318214416504,2004-04-19
19.227561950683594,2004-04-20
19.28318214416504,2004-04-21
20.200992584228516,2004-04-22
20.58108901977539,2004-04-23
21.456247329711914,2004-04-26
21.1373348236084,2004-04-27
21.090986251831055,2004-04-28
21.053895950317383,2004-04-29
21.814102172851562,2004-04-30
22.268367767333984,2004-05-03
22.045869827270508,2004-05-04
22.055143356323242,2004-05-05
22.46305274963379,2004-05-06
22.75971794128418,2004-05-07
22.713363647460938,2004-05-10
21.971704483032227,2004-05-11
22.222009658813477,2004-05-12
21.554519653320312,2004-05-13
22.064414978027344,2004-05-14
22.19420051574707,2004-05-17
22.379619598388672,2004-05-18
23.278881072998047,2004-05-19
22.85242462158203,2004-05-20
22.713363647460938,2004-05-21
23.037841796875,2004-05-24
23.186174392700195,2004-05-25
22.5186767578125,2004-05-26
22.44451141357422,2004-05-27
23.223255157470703,2004-05-28
24.10397720336914,2004-06-01
24.910537719726562,2004-06-02
24.799285888671875,2004-06-03
23.529191970825195,2004-06-04
23.51065444946289,2004-06-07
23.547731399536133,2004-06-08
23.380855560302734,2004-06-09
23.343772888183594,2004-06-10
22.43524169921875,2004-06-14
22.667009353637695,2004-06-15
23.408674240112305,2004-06-16
23.204710006713867,2004-06-17
23.213987350463867,2004-06-18
23.325233459472656,2004-06-21
23.408674240112305,2004-06-22
23.408674240112305,2004-06-23
23.037841796875,2004-06-24
21.64723014831543,2004-06-25
21.359832763671875,2004-06-28
21.851184844970703,2004-06-29
22.018051147460938,2004-06-30
23.08419418334961,2004-07-01
23.16762924194336,2004-07-02
23.315967559814453,2004-07-06
23.102739334106445,2004-07-07
22.268367767333984,2004-07-08
22.30544662475586,2004-07-09
22.61138343811035,2004-07-12
22.240558624267578,2004-07-13
22.296180725097656,2004-07-14
22.231287002563477,2004-07-15
22.25909423828125,2004-07-16
22.88023567199707,2004-07-19
22.648469924926758,2004-07-20
22.806072235107422,2004-07-21
22.620655059814453,2004-07-22
22.296180725097656,2004-07-23
22.277639389038086,2004-07-26
22.43524169921875,2004-07-27
23.176902770996094,2004-07-28
22.85242462158203,2004-07-29
23.158357620239258,2004-07-30
22.481592178344727,2004-08-02
22.527950286865234,2004-08-03
22.44451141357422,2004-08-04
22.500137329101562,2004-08-05
22.43524169921875,2004-08-06
22.40743064880371,2004-08-09
22.620655059814453,2004-08-10
22.46305274963379,2004-08-11
22.472326278686523,2004-08-12
22.15711784362793,2004-08-13
22.61138343811035,2004-08-16
22.99704933166504,2004-08-17
23.5570011138916,2004-08-18
23.760961532592773,2004-08-19
24.74365997314453,2004-08-20
24.55824851989746,2004-08-23
24.4191837310791,2004-08-24
24.400644302368164,2004-08-25
24.10397720336914,2004-08-26
24.10397720336914,2004-08-27
24.168874740600586,2004-08-30
24.67876625061035,2004-08-31
24.60460090637207,2004-09-01
24.99397087097168,2004-09-02
24.22450065612793,2004-09-03
25.299907684326172,2004-09-07
24.243040084838867,2004-09-08
25.0959529876709,2004-09-09
24.56751823425293,2004-09-10
25.1144962310791,2004-09-13
24.325550079345703,2004-09-14
24.10397720336914,2004-09-15
22.898780822753906,2004-09-16
22.57430076599121,2004-09-17
22.898780822753906,2004-09-20
22.472326278686523,2004-09-21
24.020540237426758,2004-09-22
24.159605026245117,2004-09-23
24.261581420898438,2004-09-24
24.10397720336914,2004-09-27
24.289400100708008,2004-09-28
25.142303466796875,2004-09-29
24.799285888671875,2004-09-30
24.97542953491211,2004-10-01
25.65219497680664,2004-10-04
25.568754196166992,2004-10-05
25.893234252929688,2004-10-06
27.033536911010742,2004-10-07
25.958131790161133,2004-10-08
26.06010627746582,2004-10-11
