FCX,Date
6.751279354095459,1995-07-10
6.889060020446777,1995-07-11
7.199068546295166,1995-07-12
7.199068546295166,1995-07-13
7.164618968963623,1995-07-14
7.130177021026611,1995-07-17
6.957949161529541,1995-07-18
6.544605731964111,1995-07-19
6.5101637840271,1995-07-20
6.647946357727051,1995-07-21
6.647946357727051,1995-07-24
6.6823883056640625,1995-07-25
6.9235076904296875,1995-07-26
7.09573221206665,1995-07-27
7.543522834777832,1995-07-28
7.440187454223633,1995-07-31
7.33684778213501,1995-08-01
6.99239444732666,1995-08-02
7.164618968963623,1995-08-03
6.99239444732666,1995-08-04
6.9235076904296875,1995-08-07
6.854615688323975,1995-08-08
6.751279354095459,1995-08-09
6.82017183303833,1995-08-10
6.889060020446777,1995-08-11
6.751279354095459,1995-08-14
6.785726547241211,1995-08-15
6.82017183303833,1995-08-16
6.9235076904296875,1995-08-17
6.751279354095459,1995-08-18
6.6823883056640625,1995-08-21
6.613497734069824,1995-08-22
6.5101637840271,1995-08-23
6.406826496124268,1995-08-24
6.5101637840271,1995-08-25
6.406826496124268,1995-08-28
6.3034892082214355,1995-08-29
6.372377395629883,1995-08-30
6.4412713050842285,1995-08-31
6.475716590881348,1995-09-01
6.5101637840271,1995-09-05
6.579052925109863,1995-09-06
6.406826496124268,1995-09-07
6.406826496124268,1995-09-08
6.544605731964111,1995-09-11
6.613497734069824,1995-09-12
6.716831684112549,1995-09-13
6.751279354095459,1995-09-14
6.82017183303833,1995-09-15
6.854615688323975,1995-09-18
6.854615688323975,1995-09-19
6.82017183303833,1995-09-20
6.82017183303833,1995-09-21
6.785726547241211,1995-09-22
6.82017183303833,1995-09-25
6.785726547241211,1995-09-26
6.785726547241211,1995-09-27
6.99239444732666,1995-09-28
7.061285018920898,1995-09-29
7.09573221206665,1995-10-02
7.061285018920898,1995-10-03
6.889060020446777,1995-10-04
6.854615688323975,1995-10-05
6.889060020446777,1995-10-06
6.889060020446777,1995-10-09
6.9235076904296875,1995-10-10
6.9235076904296875,1995-10-11
7.0208234786987305,1995-10-12
7.125093460083008,1995-10-13
7.0208234786987305,1995-10-16
6.9513115882873535,1995-10-17
7.055578708648682,1995-10-18
7.055578708648682,1995-10-19
6.881801128387451,1995-10-20
6.812283992767334,1995-10-23
6.847041606903076,1995-10-24
6.638503074645996,1995-10-25
6.534233093261719,1995-10-26
6.603743553161621,1995-10-27
6.568990707397461,1995-10-30
6.325693130493164,1995-10-31
6.534233093261719,1995-11-01
6.429960250854492,1995-11-02
6.464718818664551,1995-11-03
6.464718818664551,1995-11-06
6.568990707397461,1995-11-07
6.603743553161621,1995-11-08
