ZTS,Date
28.69125747680664,2013-02-01
28.700510025024414,2013-02-04
28.719018936157227,2013-02-05
28.709760665893555,2013-02-06
29.607227325439453,2013-02-07
30.578718185424805,2013-02-08
30.773021697998047,2013-02-11
31.217126846313477,2013-02-12
31.041330337524414,2013-02-13
30.782272338867188,2013-02-14
31.439170837402344,2013-02-15
31.309648513793945,2013-02-19
30.273393630981445,2013-02-20
30.1253604888916,2013-02-21
30.153120040893555,2013-02-22
29.671998977661133,2013-02-25
29.64423370361328,2013-02-26
29.903301239013672,2013-02-27
30.948806762695312,2013-02-28
32.012821197509766,2013-03-01
31.78150749206543,2013-03-04
31.72599220275879,2013-03-05
31.31890106201172,2013-03-06
31.975812911987305,2013-03-07
31.540956497192383,2013-03-08
31.624221801757812,2013-03-11
31.2911376953125,2013-03-12
31.45768165588379,2013-03-13
32.04982376098633,2013-03-14
30.939563751220703,2013-03-15
30.384422302246094,2013-03-18
30.347415924072266,2013-03-19
31.004331588745117,2013-03-20
30.967309951782227,2013-03-21
30.643484115600586,2013-03-22
30.032835006713867,2013-03-25
30.07909393310547,2013-03-26
30.291898727416992,2013-03-27
30.902555465698242,2013-03-28
30.153120040893555,2013-04-01
30.116092681884766,2013-04-02
30.097597122192383,2013-04-03
29.45919418334961,2013-04-04
29.570226669311523,2013-04-05
30.458436965942383,2013-04-08
30.939563751220703,2013-04-09
30.67123794555664,2013-04-10
30.680500030517578,2013-04-11
30.745250701904297,2013-04-12
29.829282760620117,2013-04-15
30.726757049560547,2013-04-16
30.430681228637695,2013-04-17
30.04209327697754,2013-04-18
30.26413917541504,2013-04-19
30.217885971069336,2013-04-22
29.329662322998047,2013-04-23
28.330427169799805,2013-04-24
29.19088363647461,2013-04-25
30.199378967285156,2013-04-26
30.278179168701172,2013-04-29
30.611928939819336,2013-04-30
30.954938888549805,2013-05-01
30.85296630859375,2013-05-02
30.788076400756836,2013-05-03
30.537757873535156,2013-05-06
30.48212432861328,2013-05-07
30.834430694580078,2013-05-08
31.103267669677734,2013-05-09
30.760250091552734,2013-05-10
30.630460739135742,2013-05-13
30.667545318603516,2013-05-14
30.398700714111328,2013-05-15
30.954938888549805,2013-05-16
31.427749633789062,2013-05-17
31.251609802246094,2013-05-20
30.630460739135742,2013-05-21
31.103267669677734,2013-05-22
30.44504737854004,2013-05-23
31.019832611083984,2013-05-24
31.761489868164062,2013-05-28
30.547016143798828,2013-05-29
29.888809204101562,2013-05-30
29.66630744934082,2013-05-31
30.361618041992188,2013-06-03
30.03714370727539,2013-06-04
29.82390594482422,2013-06-05
29.740482330322266,2013-06-06
29.20277214050293,2013-06-07
29.67557716369629,2013-06-10
29.38819122314453,2013-06-11
29.2305908203125,2013-06-12
28.89683723449707,2013-06-13
28.553821563720703,2013-06-14
28.702157974243164,2013-06-17
28.906116485595703,2013-06-18
28.739242553710938,2013-06-19
27.988304138183594,2013-06-20
28.368408203125,2013-06-21
28.16444969177246,2013-06-24
29.193504333496094,2013-06-25
28.71142578125,2013-06-26
28.618717193603516,2013-06-27
28.63725471496582,2013-06-28
28.377670288085938,2013-07-01
27.53403663635254,2013-07-02
27.144676208496094,2013-07-03
27.96976661682129,2013-07-05
28.68361473083496,2013-07-08
28.720691680908203,2013-07-09
28.77632713317871,2013-07-10
28.665071487426758,2013-07-11
29.0637149810791,2013-07-12
29.27693748474121,2013-07-15
28.88756561279297,2013-07-16
28.729963302612305,2013-07-17
28.572368621826172,2013-07-18
28.034664154052734,2013-07-19
28.062471389770508,2013-07-22
27.8677921295166,2013-07-23
27.719459533691406,2013-07-24
28.294246673583984,2013-07-25
28.210805892944336,2013-07-26
27.895605087280273,2013-07-29
27.909543991088867,2013-07-30
27.695844650268555,2013-07-31
28.021032333374023,2013-08-01
28.745708465576172,2013-08-02
29.033723831176758,2013-08-05
28.922231674194336,2013-08-06
29.024431228637695,2013-08-07
29.024431228637695,2013-08-08
28.717836380004883,2013-08-09
28.178972244262695,2013-08-12
28.29046058654785,2013-08-13
28.0024471282959,2013-08-14
27.89095687866211,2013-08-15
27.87237548828125,2013-08-16
27.751596450805664,2013-08-19
