DISH,Date
1.514187216758728,1995-06-21
1.4251173734664917,1995-06-22
1.4251173734664917,1995-06-23
1.4473848342895508,1995-06-26
1.336047649383545,1995-06-27
1.3137800693511963,1995-06-28
1.358314871788025,1995-06-29
1.358314871788025,1995-06-30
1.3137800693511963,1995-07-03
1.2915126085281372,1995-07-05
1.2915126085281372,1995-07-06
1.2915126085281372,1995-07-07
1.3137800693511963,1995-07-10
1.2915126085281372,1995-07-11
1.336047649383545,1995-07-12
1.358314871788025,1995-07-13
1.3805824518203735,1995-07-14
1.3805824518203735,1995-07-17
1.3805824518203735,1995-07-18
1.336047649383545,1995-07-19
1.2915126085281372,1995-07-20
1.3137800693511963,1995-07-21
1.358314871788025,1995-07-24
1.2915126085281372,1995-07-25
1.2915126085281372,1995-07-26
1.2915126085281372,1995-07-27
1.336047649383545,1995-07-28
1.358314871788025,1995-07-31
1.3137800693511963,1995-08-01
1.358314871788025,1995-08-02
1.3137800693511963,1995-08-03
1.358314871788025,1995-08-04
1.3137800693511963,1995-08-07
1.358314871788025,1995-08-08
1.358314871788025,1995-08-09
1.336047649383545,1995-08-10
1.358314871788025,1995-08-11
1.3471812009811401,1995-08-14
1.336047649383545,1995-08-15
1.336047649383545,1995-08-16
1.358314871788025,1995-08-17
1.336047649383545,1995-08-18
1.336047649383545,1995-08-21
1.336047649383545,1995-08-22
1.336047649383545,1995-08-23
1.402849793434143,1995-08-24
1.3805824518203735,1995-08-25
1.3805824518203735,1995-08-28
1.4251173734664917,1995-08-29
1.4473848342895508,1995-08-30
1.4251173734664917,1995-08-31
1.402849793434143,1995-09-01
1.3805824518203735,1995-09-05
1.4251173734664917,1995-09-06
1.3805824518203735,1995-09-07
1.4362510442733765,1995-09-08
1.4696522951126099,1995-09-11
1.4251173734664917,1995-09-12
1.4696522951126099,1995-09-13
1.4362510442733765,1995-09-14
1.402849793434143,1995-09-15
1.402849793434143,1995-09-18
1.4473848342895508,1995-09-19
1.514187216758728,1995-09-20
1.4696522951126099,1995-09-21
1.4696522951126099,1995-09-22
1.4473848342895508,1995-09-25
1.2135764360427856,1995-09-26
1.246977686882019,1995-09-27
1.2024427652359009,1995-09-28
1.2915126085281372,1995-09-29
1.2915126085281372,1995-10-02
1.2915126085281372,1995-10-03
1.246977686882019,1995-10-04
1.2024427652359009,1995-10-05
1.2135764360427856,1995-10-06
1.1579079627990723,1995-10-09
1.1579079627990723,1995-10-10
1.0911054611206055,1995-10-11
1.1579079627990723,1995-10-12
1.1356403827667236,1995-10-13
1.3805824518203735,1995-10-16
1.3137800693511963,1995-10-17
1.3805824518203735,1995-10-18
1.3805824518203735,1995-10-19
1.2915126085281372,1995-10-20
1.358314871788025,1995-10-23
1.358314871788025,1995-10-24
1.2692451477050781,1995-10-25
1.2692451477050781,1995-10-26
1.2692451477050781,1995-10-27
1.302646279335022,1995-10-30
1.2915126085281372,1995-10-31
1.2915126085281372,1995-11-01
1.2915126085281372,1995-11-02
1.3137800693511963,1995-11-03
1.358314871788025,1995-11-06
1.358314871788025,1995-11-07
1.402849793434143,1995-11-08
1.302646279335022,1995-11-09
1.358314871788025,1995-11-10
1.336047649383545,1995-11-13
1.336047649383545,1995-11-14
1.336047649383545,1995-11-15
1.302646279335022,1995-11-16
1.336047649383545,1995-11-17
1.3137800693511963,1995-11-20
1.2692451477050781,1995-11-21
