PG,Date
0.2609417140483856,1962-01-02
0.25808990001678467,1962-01-03
0.25381186604499817,1962-01-04
0.2520293593406677,1962-01-05
0.245256707072258,1962-01-08
0.2449001669883728,1962-01-09
0.24561290442943573,1962-01-10
0.245256707072258,1962-01-11
0.24668237566947937,1962-01-12
0.245256707072258,1962-01-15
0.24633075296878815,1962-01-16
0.23773759603500366,1962-01-17
0.2388117015361786,1962-01-18
0.2388117015361786,1962-01-19
0.2391699254512787,1962-01-22
0.2388117015361786,1962-01-23
0.23666377365589142,1962-01-24
0.23773759603500366,1962-01-25
0.23558935523033142,1962-01-26
0.2348734736442566,1962-01-29
0.2348734736442566,1962-01-30
0.2370215356349945,1962-01-31
0.23773759603500366,1962-02-01
0.23845374584197998,1962-02-02
0.2370215356349945,1962-02-05
0.23666377365589142,1962-02-06
0.23666377365589142,1962-02-07
0.2348734736442566,1962-02-08
0.23379921913146973,1962-02-09
0.23451535403728485,1962-02-12
0.23379921913146973,1962-02-13
0.23379921913146973,1962-02-14
0.23451535403728485,1962-02-15
0.23344145715236664,1962-02-16
0.23200909793376923,1962-02-19
0.23093508183956146,1962-02-20
0.22914467751979828,1962-02-21
0.22914467751979828,1962-02-23
0.22807081043720245,1962-02-26
0.22842872142791748,1962-02-27
0.22771257162094116,1962-02-28
0.2298607975244522,1962-03-01
0.22807081043720245,1962-03-02
0.22842872142791748,1962-03-05
0.22914467751979828,1962-03-06
0.22914467751979828,1962-03-07
0.23200909793376923,1962-03-08
0.2330830693244934,1962-03-09
0.23415738344192505,1962-03-12
0.23558935523033142,1962-03-13
0.24024395644664764,1962-03-14
0.23845374584197998,1962-03-15
0.23737961053848267,1962-03-16
0.23630547523498535,1962-03-19
0.23666377365589142,1962-03-20
0.2391699254512787,1962-03-21
0.2441825270652771,1962-03-22
0.2441825270652771,1962-03-23
0.23845374584197998,1962-03-26
0.23845374584197998,1962-03-27
0.243466317653656,1962-03-28
0.24489855766296387,1962-03-29
0.24561449885368347,1962-03-30
0.24382427334785461,1962-04-02
0.24060195684432983,1962-04-03
0.239886075258255,1962-04-04
0.2441825270652771,1962-04-05
0.243466317653656,1962-04-06
0.24167591333389282,1962-04-09
0.24167591333389282,1962-04-10
0.24275025725364685,1962-04-11
0.24060195684432983,1962-04-12
0.24024395644664764,1962-04-13
0.24024395644664764,1962-04-16
0.24024395644664764,1962-04-17
0.24096320569515228,1962-04-18
0.24168255925178528,1962-04-19
0.2438405603170395,1962-04-23
0.24024395644664764,1962-04-24
0.2413226217031479,1962-04-25
0.2380860149860382,1962-04-26
0.23592795431613922,1962-04-27
0.23233173787593842,1962-04-30
0.23089303076267242,1962-05-01
0.22945456206798553,1962-05-02
0.23305103182792664,1962-05-03
0.23305103182792664,1962-05-04
0.23664741218090057,1962-05-07
0.23161236941814423,1962-05-08
0.23053321242332458,1962-05-09
0.22837544977664948,1962-05-10
0.22118264436721802,1962-05-11
0.22082291543483734,1962-05-14
0.22693710029125214,1962-05-15
0.22657731175422668,1962-05-16
0.22298094630241394,1962-05-17
0.22298094630241394,1962-05-18
0.22549842298030853,1962-05-21
0.22082291543483734,1962-05-22
0.2157878577709198,1962-05-23
0.21398967504501343,1962-05-24
0.21219156682491302,1962-05-25
0.20140190422534943,1962-05-28
0.20140190422534943,1962-05-29
0.2085949182510376,1962-05-31
0.20499831438064575,1962-06-01
0.19852477312088013,1962-06-04
0.19636686146259308,1962-06-05
0.19924414157867432,1962-06-06
0.20104244351387024,1962-06-07
0.2003231942653656,1962-06-08
0.19852477312088013,1962-06-11
0.18845504522323608,1962-06-12
0.18413901329040527,1962-06-13
0.1783846765756607,1962-06-14
0.18665657937526703,1962-06-15
0.1870163232088089,1962-06-18
0.18270057439804077,1962-06-19
0.1812617927789688,1962-06-20
0.17658640444278717,1962-06-21
0.17155136168003082,1962-06-22
0.17119184136390686,1962-06-25
0.16831468045711517,1962-06-26
0.16795483231544495,1962-06-27
0.176946222782135,1962-06-28
0.17982323467731476,1962-06-29
0.18557767570018768,1962-07-02
0.1870163232088089,1962-07-03
0.18737582862377167,1962-07-05
0.1848582625389099,1962-07-06
0.18629702925682068,1962-07-09
0.18881452083587646,1962-07-10
0.19205118715763092,1962-07-11
0.1934896856546402,1962-07-12
0.1956477165222168,1962-07-13
0.1942092329263687,1962-07-16
0.19348573684692383,1962-07-17
0.1884225606918335,1962-07-18
0.18806083500385284,1962-07-19
0.19493219256401062,1962-07-20
0.19348573684692383,1962-07-23
0.1924009770154953,1962-07-24
0.191677525639534,1962-07-25
0.19529403746128082,1962-07-26
0.19818739593029022,1962-07-27
0.20144224166870117,1962-07-30
0.20108063519001007,1962-07-31
0.1999955028295517,1962-08-01
0.20252706110477448,1962-08-02
0.20144224166870117,1962-08-03
0.20035706460475922,1962-08-06
0.1974639594554901,1962-08-07
0.19818739593029022,1962-08-08
0.1963791698217392,1962-08-09
0.19818739593029022,1962-08-10
0.1974639594554901,1962-08-13
0.19927223026752472,1962-08-14
0.1999955028295517,1962-08-15
0.20108063519001007,1962-08-16
0.2007187157869339,1962-08-17
0.20252706110477448,1962-08-20
0.20108063519001007,1962-08-21
0.20252706110477448,1962-08-22
0.20361189544200897,1962-08-23
0.2018037885427475,1962-08-24
0.20108063519001007,1962-08-27
0.19818739593029022,1962-08-28
0.1989106386899948,1962-08-29
0.19927223026752472,1962-08-30
0.19927223026752472,1962-08-31
0.1974639594554901,1962-09-04
0.191677525639534,1962-09-05
0.19059252738952637,1962-09-06
0.1913156807422638,1962-09-07
0.1924009770154953,1962-09-10
