LEN,Date
0.31208956241607666,1980-03-17
0.32002416253089905,1980-03-18
0.3173793852329254,1980-03-19
0.3173793852329254,1980-03-20
0.3173793852329254,1980-03-21
0.3041551113128662,1980-03-24
0.3147346079349518,1980-03-25
0.3358931243419647,1980-03-26
0.3068000078201294,1980-03-27
0.33324816823005676,1980-03-28
0.3358931243419647,1980-03-31
0.3358931243419647,1980-04-01
0.34382763504981995,1980-04-02
0.34382763504981995,1980-04-03
0.34382763504981995,1980-04-07
0.34647250175476074,1980-04-08
0.3649863600730896,1980-04-09
0.3755654990673065,1980-04-10
0.3676314651966095,1980-04-11
0.3596965968608856,1980-04-14
0.3517618775367737,1980-04-15
0.3491174280643463,1980-04-16
0.3596965968608856,1980-04-17
0.3596965968608856,1980-04-18
0.3491174280643463,1980-04-21
0.38614487648010254,1980-04-22
0.3967243731021881,1980-04-23
0.4046585261821747,1980-04-24
0.3914344310760498,1980-04-25
0.3940792977809906,1980-04-28
0.40201401710510254,1980-04-29
0.3993689715862274,1980-04-30
0.40201401710510254,1980-05-01
0.3940792977809906,1980-05-02
0.3914344310760498,1980-05-05
0.3887900114059448,1980-05-06
0.4231725037097931,1980-05-07
0.4363964796066284,1980-05-08
0.4284623861312866,1980-05-09
0.4284623861312866,1980-05-12
0.44433102011680603,1980-05-13
0.4549103081226349,1980-05-14
0.46548986434936523,1980-05-15
0.468134343624115,1980-05-16
0.45755526423454285,1980-05-19
0.44168663024902344,1980-05-20
0.43375200033187866,1980-05-21
0.4549103081226349,1980-05-22
0.46284496784210205,1980-05-23
0.4840034246444702,1980-05-27
0.5025169849395752,1980-05-28
0.4840034246444702,1980-05-29
0.5078070163726807,1980-05-30
0.5078070163726807,1980-06-02
0.5051620006561279,1980-06-03
0.4866483211517334,1980-06-04
0.4866483211517334,1980-06-05
0.48135849833488464,1980-06-06
0.4760688841342926,1980-06-09
0.46284496784210205,1980-06-10
0.4787136912345886,1980-06-11
0.48135849833488464,1980-06-12
0.5183863639831543,1980-06-13
0.5316101908683777,1980-06-16
0.5104519128799438,1980-06-17
0.5130965709686279,1980-06-18
0.5130965709686279,1980-06-19
0.521030843257904,1980-06-20
0.5263203978538513,1980-06-23
0.5289655327796936,1980-06-24
0.544834315776825,1980-06-25
0.5607035160064697,1980-06-26
0.552768886089325,1980-06-27
0.5501241683959961,1980-06-30
0.6030206680297852,1980-07-01
0.5871519446372986,1980-07-02
0.5871519446372986,1980-07-03
0.6030206680297852,1980-07-07
0.5897964835166931,1980-07-08
0.5977311134338379,1980-07-09
0.5897964835166931,1980-07-10
0.5950860977172852,1980-07-11
0.6030206680297852,1980-07-14
0.6056656241416931,1980-07-15
0.6056656241416931,1980-07-16
0.6559172868728638,1980-07-17
0.6717862486839294,1980-07-18
0.7114585638046265,1980-07-21
0.6929450035095215,1980-07-22
0.6982347369194031,1980-07-23
0.6823652982711792,1980-07-24
0.6664966344833374,1980-07-25
0.6797211170196533,1980-07-28
0.6823652982711792,1980-07-29
0.6850103139877319,1980-07-30
0.6876550316810608,1980-07-31
0.6929450035095215,1980-08-01
0.6717862486839294,1980-08-04
0.6426935195922852,1980-08-05
0.6717862486839294,1980-08-06
0.6902998089790344,1980-08-07
0.6876550316810608,1980-08-08
0.7088140249252319,1980-08-11
0.6955897212028503,1980-08-12
0.7114585638046265,1980-08-13
0.7088140249252319,1980-08-14
0.6770761013031006,1980-08-15
0.6612070798873901,1980-08-18
0.6321139335632324,1980-08-19
0.6347587704658508,1980-08-20
0.6347587704658508,1980-08-21
0.6400483250617981,1980-08-22
0.6374035477638245,1980-08-25
0.6321139335632324,1980-08-26
0.6083105206489563,1980-08-27
0.6030206680297852,1980-08-28
0.6188897490501404,1980-08-29
0.6162453889846802,1980-09-02
0.6479828357696533,1980-09-03
0.6506280899047852,1980-09-04
0.6532726287841797,1980-09-05
0.6268238425254822,1980-09-08
0.6188897490501404,1980-09-09
0.6347587704658508,1980-09-10
0.6321139335632324,1980-09-11
0.6241791248321533,1980-09-12
0.6241791248321533,1980-09-15
0.6215347647666931,1980-09-16
0.6347587704658508,1980-09-17
0.6374035477638245,1980-09-18
0.6532726287841797,1980-09-19
0.6506280899047852,1980-09-22
0.6400483250617981,1980-09-23
0.6241791248321533,1980-09-24
0.6003758907318115,1980-09-25
0.571282684803009,1980-09-26
0.547479510307312,1980-09-29
0.5765726566314697,1980-09-30
0.5871519446372986,1980-10-01
0.6136000156402588,1980-10-02
0.6823652982711792,1980-10-03
0.7167481184005737,1980-10-06
0.7088140249252319,1980-10-07
0.7326169610023499,1980-10-08
0.7141042351722717,1980-10-09
0.7141042351722717,1980-10-10
0.7114585638046265,1980-10-13
0.7088140249252319,1980-10-14
0.7167481184005737,1980-10-15
0.7008793354034424,1980-10-16
0.6876550316810608,1980-10-17
0.7141042351722717,1980-10-20
0.7061687111854553,1980-10-21
0.7114585638046265,1980-10-22
0.7035242319107056,1980-10-23
0.7141042351722717,1980-10-24
0.6982347369194031,1980-10-27
0.6876550316810608,1980-10-28
0.6770761013031006,1980-10-29
0.6559172868728638,1980-10-30
0.6876550316810608,1980-10-31
0.7564202547073364,1980-11-03
0.8093170523643494,1980-11-05
0.7722899913787842,1980-11-06
0.751130998134613,1980-11-07
0.7405520677566528,1980-11-10
0.7934484481811523,1980-11-11
0.8410553336143494,1980-11-12
0.872792661190033,1980-11-13
0.8516349196434021,1980-11-14
0.8304758667945862,1980-11-17
0.8463450074195862,1980-11-18
0.8569247722625732,1980-11-19
0.8410553336143494,1980-11-20
0.8304758667945862,1980-11-21
