OMC,Date
0.6104806065559387,1980-03-17
0.6104806065559387,1980-03-18
0.6167104244232178,1980-03-19
0.6104806065559387,1980-03-20
0.6042510867118835,1980-03-21
0.5917927026748657,1980-03-24
0.585563063621521,1980-03-25
0.5917927026748657,1980-03-26
0.585563063621521,1980-03-27
0.585563063621521,1980-03-28
0.560645580291748,1980-03-31
0.5544161796569824,1980-04-01
0.560645580291748,1980-04-02
0.5544161796569824,1980-04-03
0.5481868386268616,1980-04-07
0.5481868386268616,1980-04-08
0.5544161796569824,1980-04-09
0.566875159740448,1980-04-10
0.5731043815612793,1980-04-11
0.566875159740448,1980-04-14
0.566875159740448,1980-04-15
0.566875159740448,1980-04-16
0.566875159740448,1980-04-17
0.585563063621521,1980-04-18
0.566875159740448,1980-04-21
0.585563063621521,1980-04-22
0.585563063621521,1980-04-23
0.585563063621521,1980-04-24
0.5793335437774658,1980-04-25
0.585563063621521,1980-04-28
0.6042510867118835,1980-04-29
0.6042510867118835,1980-04-30
0.6042510867118835,1980-05-01
0.6042510867118835,1980-05-02
0.6042510867118835,1980-05-05
0.6042510867118835,1980-05-06
0.5980216860771179,1980-05-07
0.5917927026748657,1980-05-08
0.585563063621521,1980-05-09
0.5793335437774658,1980-05-12
0.5793335437774658,1980-05-13
0.5793335437774658,1980-05-14
0.5980216860771179,1980-05-15
0.5980216860771179,1980-05-16
0.6042510867118835,1980-05-19
0.5980216860771179,1980-05-20
0.6104806065559387,1980-05-21
0.6104806065559387,1980-05-22
0.6167104244232178,1980-05-23
0.6167104244232178,1980-05-27
0.6416279077529907,1980-05-28
0.629168689250946,1980-05-29
0.629168689250946,1980-05-30
0.629168689250946,1980-06-02
0.6229395270347595,1980-06-03
0.6229395270347595,1980-06-04
0.6229395270347595,1980-06-05
0.6229395270347595,1980-06-06
0.6229395270347595,1980-06-09
0.6353980302810669,1980-06-10
0.6478569507598877,1980-06-11
0.6540864109992981,1980-06-12
0.6540864109992981,1980-06-13
0.6603153944015503,1980-06-16
0.6665448546409607,1980-06-17
0.6665448546409607,1980-06-18
0.6665448546409607,1980-06-19
0.6603153944015503,1980-06-20
0.6727743148803711,1980-06-23
0.6727743148803711,1980-06-24
0.6727743148803711,1980-06-25
0.6727743148803711,1980-06-26
0.6727743148803711,1980-06-27
0.6727743148803711,1980-06-30
0.6727743148803711,1980-07-01
0.6727743148803711,1980-07-02
0.6727743148803711,1980-07-03
0.6852335333824158,1980-07-07
0.7039220333099365,1980-07-08
0.7350688576698303,1980-07-09
0.7350688576698303,1980-07-10
0.7350688576698303,1980-07-11
0.7475271821022034,1980-07-14
0.7475271821022034,1980-07-15
0.759986162185669,1980-07-16
0.7724449038505554,1980-07-17
0.7724449038505554,1980-07-18
0.7724449038505554,1980-07-21
0.7786741256713867,1980-07-22
0.7786741256713867,1980-07-23
0.7786741256713867,1980-07-24
0.7849036455154419,1980-07-25
0.8098212480545044,1980-07-28
0.853426992893219,1980-07-29
0.8783445954322815,1980-07-30
0.8783445954322815,1980-07-31
0.8908036351203918,1980-08-01
0.8908036351203918,1980-08-04
0.8908036351203918,1980-08-05
0.8908036351203918,1980-08-06
0.8908036351203918,1980-08-07
0.897032618522644,1980-08-08
0.9157211184501648,1980-08-11
0.9094914197921753,1980-08-12
0.8721154928207397,1980-08-13
0.8596564531326294,1980-08-14
0.8658856749534607,1980-08-15
0.8222800493240356,1980-08-18
0.8160505294799805,1980-08-19
0.8160505294799805,1980-08-20
0.8222800493240356,1980-08-21
0.8347384333610535,1980-08-22
0.8347384333610535,1980-08-25
0.8222800493240356,1980-08-26
0.8098212480545044,1980-08-27
0.8035920858383179,1980-08-28
0.8035920858383179,1980-08-29
0.8160505294799805,1980-09-02
0.8160505294799805,1980-09-03
0.8285092115402222,1980-09-04
0.8285092115402222,1980-09-05
0.8347384333610535,1980-09-08
0.8471976518630981,1980-09-09
0.8471976518630981,1980-09-10
