PFG,Date
11.81163215637207,2001-10-23
12.458456039428711,2001-10-24
12.34595775604248,2001-10-25
12.092857360839844,2001-10-26
11.92411994934082,2001-10-29
12.396583557128906,2001-10-30
12.655314445495605,2001-10-31
12.34595775604248,2001-11-01
12.475330352783203,2001-11-02
12.374088287353516,2001-11-05
12.71155834197998,2001-11-06
12.289717674255371,2001-11-07
12.272841453552246,2001-11-08
12.149105072021484,2001-11-09
12.362836837768555,2001-11-12
12.289717674255371,2001-11-13
12.233471870422363,2001-11-14
12.334717750549316,2001-11-15
12.514699935913086,2001-11-16
12.559699058532715,2001-11-19
12.779059410095215,2001-11-20
12.86342716217041,2001-11-21
12.587821006774902,2001-11-23
12.559699058532715,2001-11-26
12.599068641662598,2001-11-27
12.824054718017578,2001-11-28
12.86905574798584,2001-11-29
12.90842342376709,2001-11-30
12.90842342376709,2001-12-03
12.90842342376709,2001-12-04
13.049036979675293,2001-12-05
13.189651489257812,2001-12-06
13.189651489257812,2001-12-07
13.133406639099121,2001-12-10
13.212145805358887,2001-12-11
13.302140235900879,2001-12-12
13.206526756286621,2001-12-13
13.544004440307617,2001-12-14
13.324642181396484,2001-12-17
13.324642181396484,2001-12-18
13.223404884338379,2001-12-19
13.262771606445312,2001-12-20
13.1446533203125,2001-12-21
13.161528587341309,2001-12-24
13.105286598205566,2001-12-26
13.245899200439453,2001-12-27
13.229025840759277,2001-12-28
13.499007225036621,2001-12-31
13.403388023376465,2002-01-02
13.358390808105469,2002-01-03
13.470881462097168,2002-01-04
13.414634704589844,2002-01-07
13.544004440307617,2002-01-08
13.442753791809082,2002-01-09
13.611490249633789,2002-01-10
13.499007225036621,2002-01-11
13.48775577545166,2002-01-14
13.386517524719238,2002-01-15
13.330266952514648,2002-01-16
13.60024642944336,2002-01-17
13.611490249633789,2002-01-18
13.768988609313965,2002-01-22
13.386517524719238,2002-01-23
13.58337116241455,2002-01-24
14.42143440246582,2002-01-25
14.623920440673828,2002-01-28
14.607044219970703,2002-01-29
14.342684745788574,2002-01-30
14.314568519592285,2002-01-31
13.723990440368652,2002-02-01
13.358390808105469,2002-02-04
13.07716178894043,2002-02-05
13.45400619506836,2002-02-06
13.499007225036621,2002-02-07
13.943347930908203,2002-02-08
13.701488494873047,2002-02-11
13.948966979980469,2002-02-12
13.920846939086914,2002-02-13
13.701488494873047,2002-02-14
13.527131080627441,2002-02-15
13.262771606445312,2002-02-19
13.245899200439453,2002-02-20
13.049036979675293,2002-02-21
12.655314445495605,2002-02-22
13.043410301208496,2002-02-25
13.330266952514648,2002-02-26
13.746485710144043,2002-02-27
13.701488494873047,2002-02-28
13.948966979980469,2002-03-01
14.213333129882812,2002-03-04
14.089585304260254,2002-03-05
14.0614652633667,2002-03-06
14.1739501953125,2002-03-07
14.089585304260254,2002-03-08
14.03333854675293,2002-03-11
14.0614652633667,2002-03-12
14.072710990905762,2002-03-13
14.297698974609375,2002-03-14
14.342684745788574,2002-03-15
14.342684745788574,2002-03-18
14.353941917419434,2002-03-19
14.51142692565918,2002-03-20
14.500182151794434,2002-03-21
14.51142692565918,2002-03-22
14.314568519592285,2002-03-25
14.342684745788574,2002-03-26
14.438312530517578,2002-03-27
14.230196952819824,2002-03-28
14.247074127197266,2002-04-01
14.353941917419434,2002-04-02
14.314568519592285,2002-04-03
14.680169105529785,2002-04-04
15.197630882263184,2002-04-05
15.43386173248291,2002-04-08
15.535100936889648,2002-04-09
15.625102996826172,2002-04-10
15.186381340026855,2002-04-11
15.355116844177246,2002-04-12
15.017640113830566,2002-04-15
15.748841285705566,2002-04-16
15.88945484161377,2002-04-17
15.962574005126953,2002-04-18
15.838829040527344,2002-04-19
16.024444580078125,2002-04-22
15.608222961425781,2002-04-23
15.636350631713867,2002-04-24
15.242627143859863,2002-04-25
15.355116844177246,2002-04-26
15.456366539001465,2002-04-29
15.636350631713867,2002-04-30
15.591354370117188,2002-05-01
15.692594528198242,2002-05-02
15.208877563476562,2002-05-03
15.326995849609375,2002-05-06
15.03451919555664,2002-05-07
15.580107688903809,2002-05-08
15.731968879699707,2002-05-09
15.670095443725586,2002-05-10
15.805084228515625,2002-05-13
15.91757583618164,2002-05-14
15.985069274902344,2002-05-15
16.198808670043945,2002-05-16
16.23817253112793,2002-05-17
16.271928787231445,2002-05-20
16.47441291809082,2002-05-21
16.485660552978516,2002-05-22
16.142562866210938,2002-05-23
16.283172607421875,2002-05-24
16.598159790039062,2002-05-28
16.508159637451172,2002-05-29
16.406919479370117,2002-05-30
17.098739624023438,2002-05-31
16.367551803588867,2002-06-03
16.06944465637207,2002-06-04
16.14818000793457,2002-06-05
16.226932525634766,2002-06-06
16.12568473815918,2002-06-07
16.446285247802734,2002-06-10
16.39566421508789,2002-06-11
16.845638275146484,2002-06-12
17.14373779296875,2002-06-13
17.048118591308594,2002-06-14
17.01436996459961,2002-06-17
16.468788146972656,2002-06-18
16.699392318725586,2002-06-19
16.553157806396484,2002-06-20
16.193178176879883,2002-06-21
16.51378059387207,2002-06-24
16.70501708984375,2002-06-25
16.271928787231445,2002-06-26
16.733144760131836,2002-06-27
17.43621253967285,2002-06-28
16.643150329589844,2002-07-01
16.0019474029541,2002-07-02
15.208877563476562,2002-07-03
15.580107688903809,2002-07-05
16.142562866210938,2002-07-08
15.186381340026855,2002-07-09
15.940078735351562,2002-07-10
16.48003387451172,2002-07-11
16.70501708984375,2002-07-12
16.39566421508789,2002-07-15
16.39566421508789,2002-07-16
16.15943145751953,2002-07-17
15.664471626281738,2002-07-18
15.720712661743164,2002-07-19
15.355116844177246,2002-07-22
14.848912239074707,2002-07-23
15.636350631713867,2002-07-24
14.815166473388672,2002-07-25
14.623920440673828,2002-07-26
15.805084228515625,2002-07-29
15.945699691772461,2002-07-30
16.14818000793457,2002-07-31
15.748841285705566,2002-08-01
15.242627143859863,2002-08-02
14.623920440673828,2002-08-05
14.263948440551758,2002-08-06
14.815166473388672,2002-08-07
15.580107688903809,2002-08-08
16.226932525634766,2002-08-09
15.934455871582031,2002-08-12
15.636350631713867,2002-08-13
16.48003387451172,2002-08-14
16.63190269470215,2002-08-15
16.25504493713379,2002-08-16
16.575653076171875,2002-08-19
16.226932525634766,2002-08-20
16.23255157470703,2002-08-21
17.025619506835938,2002-08-22
16.727514266967773,2002-08-23
16.750015258789062,2002-08-26
16.468788146972656,2002-08-27
16.266300201416016,2002-08-28
16.468788146972656,2002-08-29
16.496910095214844,2002-08-30
16.063814163208008,2002-09-03
16.412546157836914,2002-09-04
16.31130027770996,2002-09-05
16.350675582885742,2002-09-06
16.367551803588867,2002-09-09
16.39566421508789,2002-09-10
16.322546005249023,2002-09-11
16.03006362915039,2002-09-12
15.95694351196289,2002-09-13
16.11443519592285,2002-09-16
15.658842086791992,2002-09-17
15.43386173248291,2002-09-18
15.062642097473145,2002-09-19
15.118887901306152,2002-09-20
15.467611312866211,2002-09-23
15.523858070373535,2002-09-24
14.877028465270996,2002-09-25
15.00076961517334,2002-09-26
14.893900871276855,2002-09-27
14.725170135498047,2002-09-30
15.715093612670898,2002-10-01
15.21450138092041,2002-10-02
14.213333129882812,2002-10-03
13.881482124328613,2002-10-04
13.943347930908203,2002-10-07
13.493383407592773,2002-10-08
12.902799606323242,2002-10-09
13.217772483825684,2002-10-10
14.337065696716309,2002-10-11
14.488930702209473,2002-10-14
15.411361694335938,2002-10-15
14.9051513671875,2002-10-16
15.636350631713867,2002-10-17
15.8219575881958,2002-10-18
16.198808670043945,2002-10-21
16.018814086914062,2002-10-22
15.895078659057617,2002-10-23
15.748841285705566,2002-10-24
15.940078735351562,2002-10-25
15.990697860717773,2002-10-28
15.48448657989502,2002-10-29
15.70946979522705,2002-10-30
15.776962280273438,2002-10-31
15.608222961425781,2002-11-01
15.799463272094727,2002-11-04
15.681349754333496,2002-11-05
16.021869659423828,2002-11-06
16.316999435424805,2002-11-07
16.163759231567383,2002-11-08
15.715396881103516,2002-11-11
15.800524711608887,2002-11-12
15.987812995910645,2002-11-13
16.509965896606445,2002-11-14
