DVN,Date
3.5253636837005615,1985-07-22
3.5253636837005615,1985-07-23
3.4470229148864746,1985-07-24
3.4861934185028076,1985-07-25
3.4470229148864746,1985-07-26
3.407851219177246,1985-07-29
3.3686811923980713,1985-07-30
3.3686811923980713,1985-07-31
3.3686811923980713,1985-08-01
3.2903411388397217,1985-08-02
3.2903411388397217,1985-08-05
3.2511675357818604,1985-08-06
3.2511675357818604,1985-08-07
3.2120001316070557,1985-08-08
3.2511675357818604,1985-08-09
3.1728270053863525,1985-08-12
3.2120001316070557,1985-08-13
3.1728270053863525,1985-08-14
3.1336562633514404,1985-08-15
3.094487428665161,1985-08-16
3.0553133487701416,1985-08-19
3.094487428665161,1985-08-20
3.016143798828125,1985-08-21
3.016143798828125,1985-08-22
3.016143798828125,1985-08-23
3.016143798828125,1985-08-26
2.898632526397705,1985-08-27
2.9378042221069336,1985-08-28
3.0553133487701416,1985-08-29
3.1336562633514404,1985-08-30
3.1336562633514404,1985-09-03
3.094487428665161,1985-09-04
3.094487428665161,1985-09-05
3.1336562633514404,1985-09-06
3.094487428665161,1985-09-09
3.094487428665161,1985-09-10
3.0553133487701416,1985-09-11
3.0553133487701416,1985-09-12
3.0553133487701416,1985-09-13
3.016143798828125,1985-09-16
2.9769740104675293,1985-09-17
2.9378042221069336,1985-09-18
2.9378042221069336,1985-09-19
3.1336562633514404,1985-09-20
3.1728270053863525,1985-09-23
3.1336562633514404,1985-09-24
3.0553133487701416,1985-09-25
3.016143798828125,1985-09-26
2.9378042221069336,1985-09-30
2.9769740104675293,1985-10-01
2.9769740104675293,1985-10-02
2.9769740104675293,1985-10-03
2.9769740104675293,1985-10-04
2.9378042221069336,1985-10-07
3.016143798828125,1985-10-08
3.094487428665161,1985-10-09
2.9769740104675293,1985-10-10
2.9769740104675293,1985-10-11
3.094487428665161,1985-10-14
3.0553133487701416,1985-10-15
3.0553133487701416,1985-10-16
3.016143798828125,1985-10-17
2.9769740104675293,1985-10-18
2.9769740104675293,1985-10-21
2.9769740104675293,1985-10-22
3.016143798828125,1985-10-23
3.094487428665161,1985-10-24
3.016143798828125,1985-10-25
3.0553133487701416,1985-10-28
3.0553133487701416,1985-10-29
3.016143798828125,1985-10-30
3.016143798828125,1985-10-31
2.9769740104675293,1985-11-01
2.9769740104675293,1985-11-04
2.9769740104675293,1985-11-05
3.016143798828125,1985-11-06
2.9769740104675293,1985-11-07
2.9378042221069336,1985-11-08
2.9378042221069336,1985-11-11
2.9769740104675293,1985-11-12
2.9378042221069336,1985-11-13
2.898632526397705,1985-11-14
2.859462022781372,1985-11-15
2.820291042327881,1985-11-18
2.820291042327881,1985-11-19
2.820291042327881,1985-11-20
2.820291042327881,1985-11-21
2.898632526397705,1985-11-22
2.820291042327881,1985-11-25
2.820291042327881,1985-11-26
2.820291042327881,1985-11-27
2.820291042327881,1985-11-29
2.820291042327881,1985-12-02
2.781121253967285,1985-12-03
2.781121253967285,1985-12-04
2.781121253967285,1985-12-05
2.781121253967285,1985-12-06
2.6636080741882324,1985-12-09
2.6636080741882324,1985-12-10
2.585266351699829,1985-12-11
2.428584337234497,1985-12-12
2.546095848083496,1985-12-13
2.546095848083496,1985-12-16
2.428584337234497,1985-12-17
2.428584337234497,1985-12-18
2.506924629211426,1985-12-19
2.506924629211426,1985-12-20
2.546095848083496,1985-12-23
2.546095848083496,1985-12-24
2.506924629211426,1985-12-26
2.506924629211426,1985-12-27
2.506924629211426,1985-12-30
2.46775484085083,1985-12-31
2.546095848083496,1986-01-02
2.46775484085083,1986-01-03
2.428584337234497,1986-01-06
2.46775484085083,1986-01-07
2.389413356781006,1986-01-08
2.428584337234497,1986-01-09
2.46775484085083,1986-01-10
2.389413356781006,1986-01-13
2.3502416610717773,1986-01-14
2.3502416610717773,1986-01-15
2.3502416610717773,1986-01-16
2.428584337234497,1986-01-17
2.389413356781006,1986-01-20
2.389413356781006,1986-01-21
2.3502416610717773,1986-01-22
2.3110721111297607,1986-01-23
2.3502416610717773,1986-01-24
2.2719004154205322,1986-01-27
2.3502416610717773,1986-01-28
2.2327303886413574,1986-01-29
2.3110721111297607,1986-01-30
2.3502416610717773,1986-01-31
2.389413356781006,1986-02-03
2.193558931350708,1986-02-04
2.2719004154205322,1986-02-05
2.3502416610717773,1986-02-06
2.2719004154205322,1986-02-07
2.2327303886413574,1986-02-10
2.2327303886413574,1986-02-11
2.2327303886413574,1986-02-12
2.2719004154205322,1986-02-13
2.3502416610717773,1986-02-14
2.2327303886413574,1986-02-18
2.2719004154205322,1986-02-19
2.193558931350708,1986-02-20
2.193558931350708,1986-02-21
2.1543896198272705,1986-02-24
2.1152188777923584,1986-02-25
2.1152188777923584,1986-02-26
2.036877155303955,1986-02-27
2.036877155303955,1986-02-28
2.036877155303955,1986-03-03
2.1543896198272705,1986-03-04
2.1152188777923584,1986-03-05
2.1543896198272705,1986-03-06
2.193558931350708,1986-03-07
2.1152188777923584,1986-03-10
2.076047420501709,1986-03-11
2.1543896198272705,1986-03-12
2.2719004154205322,1986-03-13
2.2327303886413574,1986-03-14
2.2327303886413574,1986-03-17
2.389413356781006,1986-03-18
2.506924629211426,1986-03-19
2.506924629211426,1986-03-20
2.46775484085083,1986-03-21
2.389413356781006,1986-03-24
2.428584337234497,1986-03-25
2.3502416610717773,1986-03-26
2.428584337234497,1986-03-27
2.3502416610717773,1986-03-31
2.3502416610717773,1986-04-01
2.389413356781006,1986-04-02
2.428584337234497,1986-04-03
2.428584337234497,1986-04-04
2.428584337234497,1986-04-07
2.46775484085083,1986-04-08
2.428584337234497,1986-04-09
2.46775484085083,1986-04-10
2.428584337234497,1986-04-11
2.428584337234497,1986-04-14
2.389413356781006,1986-04-15
2.3502416610717773,1986-04-16
2.3502416610717773,1986-04-17
2.3110721111297607,1986-04-18
2.2719004154205322,1986-04-21
2.193558931350708,1986-04-22
2.2327303886413574,1986-04-23
2.2719004154205322,1986-04-24
2.2327303886413574,1986-04-25
2.2719004154205322,1986-04-28
2.2327303886413574,1986-04-29
2.2327303886413574,1986-04-30
2.2327303886413574,1986-05-01
2.3110721111297607,1986-05-02
2.46775484085083,1986-05-05
2.428584337234497,1986-05-06
2.389413356781006,1986-05-07
2.428584337234497,1986-05-08
2.46775484085083,1986-05-09
2.389413356781006,1986-05-12
2.389413356781006,1986-05-13
2.428584337234497,1986-05-14
2.389413356781006,1986-05-15
2.389413356781006,1986-05-16
2.389413356781006,1986-05-19
2.389413356781006,1986-05-20
2.389413356781006,1986-05-21
2.389413356781006,1986-05-22
2.3502416610717773,1986-05-23
2.389413356781006,1986-05-27
2.389413356781006,1986-05-28
2.3502416610717773,1986-05-29
2.389413356781006,1986-05-30
2.3502416610717773,1986-06-02
2.3502416610717773,1986-06-03
2.3502416610717773,1986-06-04
2.3502416610717773,1986-06-05
2.3502416610717773,1986-06-06
2.2719004154205322,1986-06-09
2.3110721111297607,1986-06-10
2.3110721111297607,1986-06-11
2.3110721111297607,1986-06-12
2.3502416610717773,1986-06-13
2.3110721111297607,1986-06-16
2.3110721111297607,1986-06-17
2.3110721111297607,1986-06-18
2.2719004154205322,1986-06-19
2.2719004154205322,1986-06-20
2.2327303886413574,1986-06-23
2.2327303886413574,1986-06-24
2.2719004154205322,1986-06-25
2.2327303886413574,1986-06-26
2.2327303886413574,1986-06-27
2.2327303886413574,1986-06-30
2.193558931350708,1986-07-01
2.036877155303955,1986-07-02
2.076047420501709,1986-07-03
2.076047420501709,1986-07-07
1.958535075187683,1986-07-08
1.8801945447921753,1986-07-09
1.9193638563156128,1986-07-10
1.8801945447921753,1986-07-11
1.8410229682922363,1986-07-14
1.8410229682922363,1986-07-15
1.8410229682922363,1986-07-16
1.8018522262573242,1986-07-17
1.7235114574432373,1986-07-18
1.6451705694198608,1986-07-21
1.6060000658035278,1986-07-22
1.7626818418502808,1986-07-23
1.7626818418502808,1986-07-24
1.5668281316757202,1986-07-25
1.4884870052337646,1986-07-28
1.4884870052337646,1986-07-29
1.5276566743850708,1986-07-30
1.4884870052337646,1986-07-31
1.4884870052337646,1986-08-01
1.6451705694198608,1986-08-04
1.8801945447921753,1986-08-05
1.9193638563156128,1986-08-06
1.958535075187683,1986-08-07
1.9977068901062012,1986-08-08
1.8801945447921753,1986-08-11
1.9193638563156128,1986-08-12
1.8801945447921753,1986-08-13
1.8801945447921753,1986-08-14
1.8410229682922363,1986-08-15
1.8410229682922363,1986-08-18
1.8410229682922363,1986-08-19
1.8410229682922363,1986-08-20
1.8410229682922363,1986-08-21
1.8018522262573242,1986-08-22
1.8018522262573242,1986-08-25
1.8018522262573242,1986-08-26
1.8018522262573242,1986-08-27
1.8018522262573242,1986-08-28
