TSN,Date
1.351212978363037,1980-03-17
1.351212978363037,1980-03-18
1.351212978363037,1980-03-19
1.351212978363037,1980-03-20
1.2761454582214355,1980-03-21
1.2386112213134766,1980-03-24
1.2386112213134766,1980-03-25
1.2386112213134766,1980-03-26
1.1635441780090332,1980-03-27
1.201078176498413,1980-03-28
1.201078176498413,1980-03-31
1.201078176498413,1980-04-01
1.201078176498413,1980-04-02
1.201078176498413,1980-04-03
1.1635441780090332,1980-04-07
1.126010775566101,1980-04-08
1.126010775566101,1980-04-09
1.201078176498413,1980-04-10
1.2761454582214355,1980-04-11
1.201078176498413,1980-04-14
1.126010775566101,1980-04-15
1.126010775566101,1980-04-16
1.126010775566101,1980-04-17
1.126010775566101,1980-04-18
1.0884766578674316,1980-04-21
1.1635441780090332,1980-04-22
1.2761454582214355,1980-04-23
1.2386112213134766,1980-04-24
1.201078176498413,1980-04-25
1.201078176498413,1980-04-28
1.201078176498413,1980-04-29
1.201078176498413,1980-04-30
1.201078176498413,1980-05-01
1.201078176498413,1980-05-02
1.1635441780090332,1980-05-05
1.201078176498413,1980-05-06
1.2386112213134766,1980-05-07
1.2386112213134766,1980-05-08
1.201078176498413,1980-05-09
1.201078176498413,1980-05-12
1.2386112213134766,1980-05-13
1.351212978363037,1980-05-14
1.3887466192245483,1980-05-15
1.5013476610183716,1980-05-16
1.463814377784729,1980-05-19
1.426279902458191,1980-05-20
1.426279902458191,1980-05-21
1.426279902458191,1980-05-22
1.426279902458191,1980-05-23
1.463814377784729,1980-05-27
1.463814377784729,1980-05-28
1.5013476610183716,1980-05-29
1.6139490604400635,1980-05-30
1.5388814210891724,1980-06-02
1.5388814210891724,1980-06-03
1.5013476610183716,1980-06-04
1.5013476610183716,1980-06-05
1.5013476610183716,1980-06-06
1.463814377784729,1980-06-09
1.426279902458191,1980-06-10
1.426279902458191,1980-06-11
1.426279902458191,1980-06-12
1.426279902458191,1980-06-13
1.426279902458191,1980-06-16
1.426279902458191,1980-06-17
1.426279902458191,1980-06-18
1.426279902458191,1980-06-19
1.5388814210891724,1980-06-20
1.5388814210891724,1980-06-23
1.5388814210891724,1980-06-24
1.5388814210891724,1980-06-25
1.5388814210891724,1980-06-26
1.5013476610183716,1980-06-27
1.5013476610183716,1980-06-30
1.5013476610183716,1980-07-01
1.5013476610183716,1980-07-02
1.5764148235321045,1980-07-03
1.7265504598617554,1980-07-07
1.764083981513977,1980-07-08
1.764083981513977,1980-07-09
1.764083981513977,1980-07-10
1.764083981513977,1980-07-11
1.8016178607940674,1980-07-14
1.8016178607940674,1980-07-15
1.8016178607940674,1980-07-16
1.9142177104949951,1980-07-17
1.9142177104949951,1980-07-18
1.951751947402954,1980-07-21
1.951751947402954,1980-07-22
1.9142177104949951,1980-07-23
1.951751947402954,1980-07-24
2.0268194675445557,1980-07-25
1.9892852306365967,1980-07-28
2.0268194675445557,1980-07-29
2.0268194675445557,1980-07-30
1.951751947402954,1980-07-31
1.951751947402954,1980-08-01
1.9142177104949951,1980-08-04
1.8766837120056152,1980-08-05
1.8766837120056152,1980-08-06
1.8766837120056152,1980-08-07
1.951751947402954,1980-08-08
1.951751947402954,1980-08-11
1.951751947402954,1980-08-12
1.951751947402954,1980-08-13
2.0268194675445557,1980-08-14
2.0268194675445557,1980-08-15
2.0268194675445557,1980-08-18
1.9892852306365967,1980-08-19
2.0643532276153564,1980-08-20
2.214487314224243,1980-08-21
2.3270883560180664,1980-08-22
2.3270883560180664,1980-08-25
2.3270883560180664,1980-08-26
2.3646230697631836,1980-08-27
2.3646230697631836,1980-08-28
2.3646230697631836,1980-08-29
2.402156352996826,1980-09-02
2.439689874649048,1980-09-03
2.3646230697631836,1980-09-04
2.402156352996826,1980-09-05
