AMC,Date
13.593409538269043,2013-12-18
14.017757415771484,2013-12-19
14.154406547546387,2013-12-20
14.197563171386719,2013-12-23
14.046526908874512,2013-12-24
14.226332664489746,2013-12-26
14.485252380371094,2013-12-27
14.3701753616333,2013-12-30
14.78013801574707,2013-12-31
14.51402473449707,2014-01-02
14.398946762084961,2014-01-03
14.391757011413574,2014-01-06
14.420523643493652,2014-01-07
14.355792999267578,2014-01-08
14.406136512756348,2014-01-09
14.413333892822266,2014-01-10
14.3701753616333,2014-01-13
14.470870971679688,2014-01-14
14.377370834350586,2014-01-15
14.600327491760254,2014-01-16
14.55717945098877,2014-01-17
14.9959077835083,2014-01-21
15.290788650512695,2014-01-22
15.297981262207031,2014-01-23
15.369902610778809,2014-01-24
15.355521202087402,2014-01-27
15.758285522460938,2014-01-28
15.564094543457031,2014-01-29
15.484980583190918,2014-01-30
15.369902610778809,2014-01-31
15.139750480651855,2014-02-03
15.118176460266113,2014-02-04
15.132558822631836,2014-02-05
15.218864440917969,2014-02-06
15.333946228027344,2014-02-07
15.369902610778809,2014-02-10
15.657596588134766,2014-02-11
15.851784706115723,2014-02-12
15.894941329956055,2014-02-13
15.823014259338379,2014-02-14
15.815823554992676,2014-02-18
15.772671699523926,2014-02-19
15.787056922912598,2014-02-20
16.045974731445312,2014-02-21
16.103519439697266,2014-02-24
16.161054611206055,2014-02-25
16.197019577026367,2014-02-26
16.355249404907227,2014-02-27
16.463130950927734,2014-02-28
16.506284713745117,2014-03-03
17.24709129333496,2014-03-04
17.736164093017578,2014-03-05
18.138933181762695,2014-03-06
18.31873893737793,2014-03-07
17.84404945373535,2014-03-10
17.24709129333496,2014-03-11
16.750822067260742,2014-03-12
17.16797637939453,2014-03-13
17.34058952331543,2014-03-14
18.023855209350586,2014-03-17
17.549165725708008,2014-03-18
16.95939826965332,2014-03-19
16.9090518951416,2014-03-20
16.585397720336914,2014-03-21
16.671707153320312,2014-03-24
17.268667221069336,2014-03-25
17.16077995300293,2014-03-26
16.844324111938477,2014-03-27
17.189556121826172,2014-03-28
17.441280364990234,2014-03-31
17.77931785583496,2014-04-01
17.83685302734375,2014-04-02
16.887475967407227,2014-04-03
16.556629180908203,2014-04-04
16.556629180908203,2014-04-07
17.239896774291992,2014-04-08
17.002544403076172,2014-04-09
16.45594024658203,2014-04-10
16.973777770996094,2014-04-11
16.966590881347656,2014-04-14
16.117902755737305,2014-04-15
16.1898250579834,2014-04-16
16.038785934448242,2014-04-17
16.822750091552734,2014-04-21
16.391210556030273,2014-04-22
16.448747634887695,2014-04-23
16.815555572509766,2014-04-24
15.887748718261719,2014-04-25
16.247360229492188,2014-04-28
16.168249130249023,2014-04-29
16.64293670654297,2014-04-30
17.261478424072266,2014-05-01
17.074472427368164,2014-05-02
16.463130950927734,2014-05-05
15.966864585876465,2014-05-06
15.83740234375,2014-05-07
15.326751708984375,2014-05-08
15.20448112487793,2014-05-09
15.54251766204834,2014-05-12
15.578482627868652,2014-05-13
15.413056373596191,2014-05-14
15.434637069702148,2014-05-15
15.297981262207031,2014-05-16
15.7942533493042,2014-05-19
15.7942533493042,2014-05-20
15.880552291870117,2014-05-21
16.103519439697266,2014-05-22
16.232980728149414,2014-05-23
16.68609046936035,2014-05-27
16.542245864868164,2014-05-28
16.2833194732666,2014-05-29
16.304899215698242,2014-05-30
16.261751174926758,2014-06-02
16.225788116455078,2014-06-03
