X,Date
13.12060546875,1991-04-12
14.994976997375488,1991-04-15
14.490342140197754,1991-04-16
14.850787162780762,1991-04-17
15.35543155670166,1991-04-18
15.28333854675293,1991-04-19
14.922883987426758,1991-04-22
14.850787162780762,1991-04-23
14.850787162780762,1991-04-24
14.562435150146484,1991-04-25
14.274067878723145,1991-04-26
13.192699432373047,1991-04-29
13.264784812927246,1991-04-30
14.562435150146484,1991-05-01
13.841520309448242,1991-05-02
13.985697746276855,1991-05-03
13.913614273071289,1991-05-06
12.904335021972656,1991-05-07
13.769426345825195,1991-05-08
14.346158027648926,1991-05-09
14.562435150146484,1991-05-10
14.850787162780762,1991-05-13
14.418254852294922,1991-05-14
14.418254852294922,1991-05-15
14.418254852294922,1991-05-16
14.418254852294922,1991-05-17
14.418254852294922,1991-05-20
14.418254852294922,1991-05-21
14.1298828125,1991-05-22
13.769426345825195,1991-05-23
13.841520309448242,1991-05-24
13.841520309448242,1991-05-28
13.841520309448242,1991-05-29
13.985697746276855,1991-05-30
14.562435150146484,1991-05-31
14.490342140197754,1991-06-03
14.201964378356934,1991-06-04
14.490342140197754,1991-06-05
14.274067878723145,1991-06-06
14.274067878723145,1991-06-07
14.274067878723145,1991-06-10
14.346158027648926,1991-06-11
13.985697746276855,1991-06-12
13.841520309448242,1991-06-13
13.985697746276855,1991-06-14
13.841520309448242,1991-06-17
13.769426345825195,1991-06-18
13.408966064453125,1991-06-19
13.33687686920166,1991-06-20
13.408966064453125,1991-06-21
13.264784812927246,1991-06-24
12.904335021972656,1991-06-25
12.76014518737793,1991-06-26
13.048508644104004,1991-06-27
13.192699432373047,1991-06-28
13.192699432373047,1991-07-01
13.408966064453125,1991-07-02
13.33687686920166,1991-07-03
13.264784812927246,1991-07-05
13.697328567504883,1991-07-08
13.553146362304688,1991-07-09
13.481064796447754,1991-07-10
13.33687686920166,1991-07-11
13.553146362304688,1991-07-12
13.625239372253418,1991-07-15
14.201964378356934,1991-07-16
14.418254852294922,1991-07-17
14.850787162780762,1991-07-18
14.706608772277832,1991-07-19
14.922883987426758,1991-07-22
14.922883987426758,1991-07-23
14.850787162780762,1991-07-24
14.850787162780762,1991-07-25
15.211247444152832,1991-07-26
15.067071914672852,1991-07-29
15.139159202575684,1991-07-30
15.860075950622559,1991-07-31
15.643796920776367,1991-08-01
16.00425910949707,1991-08-02
16.149749755859375,1991-08-05
16.29525375366211,1991-08-06
16.440732955932617,1991-08-07
16.149749755859375,1991-08-08
16.004261016845703,1991-08-09
15.713271141052246,1991-08-12
15.858749389648438,1991-08-13
15.858749389648438,1991-08-14
15.858749389648438,1991-08-15
15.640515327453613,1991-08-16
15.422276496887207,1991-08-19
15.349531173706055,1991-08-20
15.276788711547852,1991-08-21
15.349531173706055,1991-08-22
16.440732955932617,1991-08-23
16.077003479003906,1991-08-26
16.658967971801758,1991-08-27
16.731721878051758,1991-08-28
16.29525375366211,1991-08-29
16.077003479003906,1991-08-30
16.004261016845703,1991-09-03
15.858749389648438,1991-09-04
15.713271141052246,1991-09-05
15.713271141052246,1991-09-06
15.858749389648438,1991-09-09
15.56777286529541,1991-09-10
16.222496032714844,1991-09-11
16.149749755859375,1991-09-12
16.513477325439453,1991-09-13
16.440732955932617,1991-09-16
16.222496032714844,1991-09-17
16.36798858642578,1991-09-18
16.877214431762695,1991-09-19
16.80447006225586,1991-09-20
16.440732955932617,1991-09-23
16.586233139038086,1991-09-24
16.004261016845703,1991-09-25
16.004261016845703,1991-09-26
15.931499481201172,1991-09-27
16.077003479003906,1991-09-30
16.077003479003906,1991-10-01
16.149749755859375,1991-10-02
16.29525375366211,1991-10-03
15.931499481201172,1991-10-04
16.077003479003906,1991-10-07
16.222496032714844,1991-10-08
15.858749389648438,1991-10-09
15.713271141052246,1991-10-10
15.931499481201172,1991-10-11
16.149749755859375,1991-10-14
16.149749755859375,1991-10-15
16.36798858642578,1991-10-16
16.440732955932617,1991-10-17
16.440732955932617,1991-10-18
16.586233139038086,1991-10-21
16.80447006225586,1991-10-22
16.9499568939209,1991-10-23
16.80447006225586,1991-10-24
16.80447006225586,1991-10-25
16.80447006225586,1991-10-28
17.0227108001709,1991-10-29
17.09545135498047,1991-10-30
17.09545135498047,1991-10-31
17.459199905395508,1991-11-01
17.605907440185547,1991-11-04
17.31246566772461,1991-11-05
17.385822296142578,1991-11-06
17.31246566772461,1991-11-07
17.459192276000977,1991-11-08
17.092397689819336,1991-11-11
16.43218231201172,1991-11-12
17.019039154052734,1991-11-13
16.9456844329834,1991-11-14
16.358816146850586,1991-11-15
16.13874053955078,1991-11-18
