DGX,Date
2.6051063537597656,1996-12-17
2.6516273021698,1996-12-18
2.721407413482666,1996-12-19
2.7679266929626465,1996-12-20
2.8377060890197754,1996-12-23
2.9074854850769043,1996-12-24
2.8377060890197754,1996-12-26
2.8377060890197754,1996-12-27
2.8144466876983643,1996-12-30
2.8144466876983643,1996-12-31
2.721407413482666,1997-01-02
2.791186571121216,1997-01-03
2.8144466876983643,1997-01-06
2.977264642715454,1997-01-07
3.000525951385498,1997-01-08
3.023784875869751,1997-01-09
3.047045946121216,1997-01-10
3.023784875869751,1997-01-13
3.302903175354004,1997-01-14
3.047045946121216,1997-01-15
2.977264642715454,1997-01-16
3.000525951385498,1997-01-17
2.954005002975464,1997-01-20
2.977264642715454,1997-01-21
2.977264642715454,1997-01-22
3.047045946121216,1997-01-23
3.000525951385498,1997-01-24
3.000525951385498,1997-01-27
2.977264642715454,1997-01-28
2.977264642715454,1997-01-29
2.977264642715454,1997-01-30
2.930746078491211,1997-01-31
3.023784875869751,1997-02-03
3.0703048706054688,1997-02-04
3.093564748764038,1997-02-05
3.0703048706054688,1997-02-06
3.1168248653411865,1997-02-07
3.0703048706054688,1997-02-10
3.0703048706054688,1997-02-11
3.047045946121216,1997-02-12
3.1400840282440186,1997-02-13
3.0703048706054688,1997-02-14
3.0703048706054688,1997-02-18
3.093564748764038,1997-02-19
3.1400840282440186,1997-02-20
3.1633448600769043,1997-02-21
3.2796430587768555,1997-02-24
3.302903175354004,1997-02-25
3.233124256134033,1997-02-26
3.1866047382354736,1997-02-27
3.1400840282440186,1997-02-28
3.1400840282440186,1997-03-03
3.1400840282440186,1997-03-04
3.093564748764038,1997-03-05
3.0703048706054688,1997-03-06
3.023784875869751,1997-03-07
3.047045946121216,1997-03-10
3.047045946121216,1997-03-11
3.0703048706054688,1997-03-12
3.023784875869751,1997-03-13
3.047045946121216,1997-03-14
2.977264642715454,1997-03-17
3.000525951385498,1997-03-18
3.047045946121216,1997-03-19
3.023784875869751,1997-03-20
2.977264642715454,1997-03-21
2.9074854850769043,1997-03-24
2.8377060890197754,1997-03-25
2.8144466876983643,1997-03-26
2.8377060890197754,1997-03-27
2.7679266929626465,1997-03-31
2.7446656227111816,1997-04-01
2.721407413482666,1997-04-02
2.7446656227111816,1997-04-03
2.7446656227111816,1997-04-04
2.721407413482666,1997-04-07
2.7679266929626465,1997-04-08
2.8144466876983643,1997-04-09
2.860966205596924,1997-04-10
2.721407413482666,1997-04-11
2.6748874187469482,1997-04-14
2.721407413482666,1997-04-15
2.791186571121216,1997-04-16
2.954005002975464,1997-04-17
2.977264642715454,1997-04-18
2.977264642715454,1997-04-21
2.977264642715454,1997-04-22
2.977264642715454,1997-04-23
2.977264642715454,1997-04-24
2.977264642715454,1997-04-25
2.977264642715454,1997-04-28
3.1168248653411865,1997-04-29
3.2796430587768555,1997-04-30
3.256385087966919,1997-05-01
3.419203519821167,1997-05-02
3.372683525085449,1997-05-05
3.3959431648254395,1997-05-06
3.372683525085449,1997-05-07
3.3261656761169434,1997-05-08
3.3261656761169434,1997-05-09
3.5355031490325928,1997-05-12
3.5122430324554443,1997-05-13
3.372683525085449,1997-05-14
3.372683525085449,1997-05-15
3.3261656761169434,1997-05-16
3.3261656761169434,1997-05-19
3.2796430587768555,1997-05-20
