ADPT,Date
40.29999923706055,2019-06-27
48.29999923706055,2019-06-28
40.099998474121094,2019-07-01
38.88999938964844,2019-07-02
39.15999984741211,2019-07-03
40.5099983215332,2019-07-05
37.5099983215332,2019-07-08
37.0,2019-07-09
37.70000076293945,2019-07-10
37.63999938964844,2019-07-11
39.0,2019-07-12
38.13999938964844,2019-07-15
38.650001525878906,2019-07-16
38.09000015258789,2019-07-17
38.0099983215332,2019-07-18
38.529998779296875,2019-07-19
39.27000045776367,2019-07-22
40.380001068115234,2019-07-23
40.380001068115234,2019-07-24
40.209999084472656,2019-07-25
39.66999816894531,2019-07-26
37.7599983215332,2019-07-29
36.900001525878906,2019-07-30
38.54999923706055,2019-07-31
38.630001068115234,2019-08-01
37.33000183105469,2019-08-02
35.119998931884766,2019-08-05
36.380001068115234,2019-08-06
38.9900016784668,2019-08-07
39.70000076293945,2019-08-08
41.630001068115234,2019-08-09
42.0099983215332,2019-08-12
43.08000183105469,2019-08-13
43.4900016784668,2019-08-14
47.810001373291016,2019-08-15
46.099998474121094,2019-08-16
46.08000183105469,2019-08-19
45.040000915527344,2019-08-20
46.93000030517578,2019-08-21
45.869998931884766,2019-08-22
43.11000061035156,2019-08-23
44.189998626708984,2019-08-26
44.4900016784668,2019-08-27
47.41999816894531,2019-08-28
50.11000061035156,2019-08-29
50.849998474121094,2019-08-30
51.33000183105469,2019-09-03
53.5099983215332,2019-09-04
44.599998474121094,2019-09-05
43.83000183105469,2019-09-06
39.47999954223633,2019-09-09
41.27000045776367,2019-09-10
41.7599983215332,2019-09-11
39.7599983215332,2019-09-12
43.20000076293945,2019-09-13
41.529998779296875,2019-09-16
40.349998474121094,2019-09-17
39.59000015258789,2019-09-18
39.02000045776367,2019-09-19
40.20000076293945,2019-09-20
40.529998779296875,2019-09-23
37.380001068115234,2019-09-24
34.959999084472656,2019-09-25
32.189998626708984,2019-09-26
30.309999465942383,2019-09-27
30.899999618530273,2019-09-30
30.1200008392334,2019-10-01
29.950000762939453,2019-10-02
30.90999984741211,2019-10-03
31.639999389648438,2019-10-04
32.79999923706055,2019-10-07
29.600000381469727,2019-10-08
28.899999618530273,2019-10-09
28.700000762939453,2019-10-10
27.540000915527344,2019-10-11
27.1299991607666,2019-10-14
29.889999389648438,2019-10-15
30.1299991607666,2019-10-16
31.020000457763672,2019-10-17
29.270000457763672,2019-10-18
26.3799991607666,2019-10-21
25.510000228881836,2019-10-22
