TLAB,Date
0.5052499771118164,1980-07-15
0.5365300178527832,1980-07-16
0.5625200271606445,1980-07-17
0.5625200271606445,1980-07-18
0.5573199987411499,1980-07-21
0.5365300178527832,1980-07-22
0.5365300178527832,1980-07-23
0.5677199959754944,1980-07-24
0.5573199987411499,1980-07-25
0.5677199959754944,1980-07-28
0.5989999771118164,1980-07-29
0.6093999743461609,1980-07-30
0.5886099934577942,1980-07-31
0.5834100246429443,1980-08-01
0.5834100246429443,1980-08-04
0.5834100246429443,1980-08-05
0.5782099962234497,1980-08-06
0.5730100274085999,1980-08-07
0.5782099962234497,1980-08-08
0.5677199959754944,1980-08-11
0.5365300178527832,1980-08-12
0.5625200271606445,1980-08-13
0.5625200271606445,1980-08-14
0.5834100246429443,1980-08-15
0.5989999771118164,1980-08-18
0.5886099934577942,1980-08-19
0.5886099934577942,1980-08-20
0.5938000082969666,1980-08-21
0.6197900176048279,1980-08-22
0.6562700271606445,1980-08-25
0.697950005531311,1980-08-26
0.6719599962234497,1980-08-27
0.6719599962234497,1980-08-28
0.6823599934577942,1980-08-29
0.697950005531311,1980-09-02
0.7292400002479553,1980-09-03
0.7188400030136108,1980-09-04
0.7188400030136108,1980-09-05
0.697950005531311,1980-09-08
0.6927499771118164,1980-09-09
0.6875600218772888,1980-09-10
0.6875600218772888,1980-09-11
0.6927499771118164,1980-09-12
0.6875600218772888,1980-09-15
0.7031499743461609,1980-09-16
0.7083500027656555,1980-09-17
0.7135400176048279,1980-09-18
0.7135400176048279,1980-09-19
0.7083500027656555,1980-09-22
0.6927499771118164,1980-09-23
0.666670024394989,1980-09-24
0.6510800123214722,1980-09-25
0.6145899891853333,1980-09-26
0.5938000082969666,1980-09-29
0.5989999771118164,1980-09-30
0.6093999743461609,1980-10-01
0.6145899891853333,1980-10-02
0.6562700271606445,1980-10-03
0.6823599934577942,1980-10-06
0.6719599962234497,1980-10-07
0.6719599962234497,1980-10-08
0.6562700271606445,1980-10-09
0.6562700271606445,1980-10-10
0.6093999743461609,1980-10-13
0.6145899891853333,1980-10-14
0.6197900176048279,1980-10-15
0.6302899718284607,1980-10-16
0.6354799866676331,1980-10-17
0.6145899891853333,1980-10-20
0.5938000082969666,1980-10-21
0.5989999771118164,1980-10-22
0.5834100246429443,1980-10-23
0.5782099962234497,1980-10-24
0.5782099962234497,1980-10-27
0.5677199959754944,1980-10-28
0.5730100274085999,1980-10-29
0.5730100274085999,1980-10-30
0.5782099962234497,1980-10-31
0.5782099962234497,1980-11-03
0.5989999771118164,1980-11-05
0.5834100246429443,1980-11-06
0.5782099962234497,1980-11-07
0.5782099962234497,1980-11-10
0.5782099962234497,1980-11-11
0.5625200271606445,1980-11-12
0.5730100274085999,1980-11-13
0.5730100274085999,1980-11-14
0.5730100274085999,1980-11-17
0.5834100246429443,1980-11-18
0.5938000082969666,1980-11-19
0.6145899891853333,1980-11-20
0.6197900176048279,1980-11-21
0.6197900176048279,1980-11-24
0.6145899891853333,1980-11-25
0.6093999743461609,1980-11-26
0.5989999771118164,1980-11-28
0.5886099934577942,1980-12-01
0.5625200271606445,1980-12-02
0.5573199987411499,1980-12-03
0.5521199703216553,1980-12-04
0.5521199703216553,1980-12-05
0.5417299866676331,1980-12-08
0.5261399745941162,1980-12-09
0.5104399919509888,1980-12-10
0.5052499771118164,1980-12-11
0.5261399745941162,1980-12-12
0.5313299894332886,1980-12-15
0.5313299894332886,1980-12-16
0.5521199703216553,1980-12-17
0.5677199959754944,1980-12-18
0.5677199959754944,1980-12-19
0.5573199987411499,1980-12-22
0.5625200271606445,1980-12-23
0.5677199959754944,1980-12-24
0.5677199959754944,1980-12-26
0.5625200271606445,1980-12-29
0.5469300150871277,1980-12-30
0.5313299894332886,1980-12-31
0.5417299866676331,1981-01-02
0.5365300178527832,1981-01-05
0.5313299894332886,1981-01-06
0.5104399919509888,1981-01-07
0.5052499771118164,1981-01-08
0.5052499771118164,1981-01-09
0.5000500082969666,1981-01-12
0.5000500082969666,1981-01-13
0.4948500096797943,1981-01-14
0.4948500096797943,1981-01-15
0.4948500096797943,1981-01-16
0.4948500096797943,1981-01-19
0.48965001106262207,1981-01-20
0.4739600121974945,1981-01-21
0.4739600121974945,1981-01-22
0.4635699987411499,1981-01-23
0.45837000012397766,1981-01-26
0.45837000012397766,1981-01-27
0.45837000012397766,1981-01-28
0.45837000012397766,1981-01-29
0.4531700015068054,1981-01-30
0.44797998666763306,1981-02-02
0.4427799880504608,1981-02-03
0.4427799880504608,1981-02-04
0.4427799880504608,1981-02-05
0.43237999081611633,1981-02-06
0.421889990568161,1981-02-09
0.421889990568161,1981-02-10
0.421889990568161,1981-02-11
0.41148999333381653,1981-02-12
0.4011000096797943,1981-02-13
0.40630000829696655,1981-02-17
0.41148999333381653,1981-02-18
0.41668999195098877,1981-02-19
0.41668999195098877,1981-02-20
0.4375799894332886,1981-02-23
0.4427799880504608,1981-02-24
0.4427799880504608,1981-02-25
0.45837000012397766,1981-02-26
0.4739600121974945,1981-02-27
0.4844599962234497,1981-03-02
0.4948500096797943,1981-03-03
0.4948500096797943,1981-03-04
0.4948500096797943,1981-03-05
0.4948500096797943,1981-03-06
0.5000500082969666,1981-03-09
0.4948500096797943,1981-03-10
0.48965001106262207,1981-03-11
0.48965001106262207,1981-03-12
0.47925999760627747,1981-03-13
0.47925999760627747,1981-03-16
0.47925999760627747,1981-03-17
0.47925999760627747,1981-03-18
0.47925999760627747,1981-03-19
0.47925999760627747,1981-03-20
0.47925999760627747,1981-03-23
