EOG,Date
1.7081584930419922,1989-10-04
1.7615376710891724,1989-10-05
1.7401859760284424,1989-10-06
1.7401859760284424,1989-10-09
1.7295095920562744,1989-10-10
1.7188338041305542,1989-10-11
1.7295095920562744,1989-10-12
1.6974825859069824,1989-10-13
1.6868059635162354,1989-10-16
1.7081584930419922,1989-10-17
1.7401859760284424,1989-10-18
1.7401859760284424,1989-10-19
1.7295095920562744,1989-10-20
1.7401859760284424,1989-10-23
1.7508623600006104,1989-10-24
1.7401859760284424,1989-10-25
1.7401859760284424,1989-10-26
1.7188338041305542,1989-10-27
1.7081584930419922,1989-10-30
1.7081584930419922,1989-10-31
1.7508623600006104,1989-11-01
1.8042420148849487,1989-11-02
1.86829674243927,1989-11-03
1.7615376710891724,1989-11-06
1.8362703323364258,1989-11-07
1.8576217889785767,1989-11-08
1.8362703323364258,1989-11-09
1.7508623600006104,1989-11-10
1.7401859760284424,1989-11-13
1.7295095920562744,1989-11-14
1.7508623600006104,1989-11-15
1.7722147703170776,1989-11-16
1.8042420148849487,1989-11-17
1.7828903198242188,1989-11-20
1.8255935907363892,1989-11-21
1.8789739608764648,1989-11-22
1.9964089393615723,1989-11-24
1.9643824100494385,1989-11-27
1.9323538541793823,1989-11-28
1.9110029935836792,1989-11-29
1.9750570058822632,1989-11-30
1.985733985900879,1989-12-01
2.0391132831573486,1989-12-04
1.985733985900879,1989-12-05
2.0391132831573486,1989-12-06
2.017761707305908,1989-12-07
2.017761707305908,1989-12-08
2.0497891902923584,1989-12-11
2.0604660511016846,1989-12-12
2.1565499305725098,1989-12-13
2.1351966857910156,1989-12-14
2.1245222091674805,1989-12-15
2.071141481399536,1989-12-18
2.0924947261810303,1989-12-19
2.10317063331604,1989-12-20
2.1245222091674805,1989-12-21
2.1351966857910156,1989-12-22
2.10317063331604,1989-12-26
2.071141481399536,1989-12-27
2.071141481399536,1989-12-28
2.1565499305725098,1989-12-29
2.0818183422088623,1990-01-02
2.071141481399536,1990-01-03
2.017761707305908,1990-01-04
1.985733985900879,1990-01-05
1.9537062644958496,1990-01-08
1.9216785430908203,1990-01-09
1.851058840751648,1990-01-10
1.8831584453582764,1990-01-11
1.8617595434188843,1990-01-12
1.8617595434188843,1990-01-15
1.851058840751648,1990-01-16
1.8617595434188843,1990-01-17
1.851058840751648,1990-01-18
1.8831584453582764,1990-01-19
1.8724584579467773,1990-01-22
1.8831584453582764,1990-01-23
1.8403594493865967,1990-01-24
1.8617595434188843,1990-01-25
1.8296595811843872,1990-01-26
1.8082609176635742,1990-01-29
1.8189605474472046,1990-01-30
1.9580570459365845,1990-01-31
1.9580570459365845,1990-02-01
1.9687573909759521,1990-02-02
1.9687573909759521,1990-02-05
1.9794560670852661,1990-02-06
2.0115561485290527,1990-02-07
2.0864553451538086,1990-02-08
2.0543556213378906,1990-02-09
1.9901562929153442,1990-02-12
2.0222561359405518,1990-02-13
2.0115561485290527,1990-02-14
2.0222561359405518,1990-02-15
2.032956600189209,1990-02-16
2.0222561359405518,1990-02-20
1.9901562929153442,1990-02-21
1.9473572969436646,1990-02-22
1.8617595434188843,1990-02-23
1.8831584453582764,1990-02-26
1.9473572969436646,1990-02-27
1.915257453918457,1990-02-28
1.8831584453582764,1990-03-01
1.851058840751648,1990-03-02
1.8296595811843872,1990-03-05
1.8724584579467773,1990-03-06
1.8831584453582764,1990-03-07
1.9045581817626953,1990-03-08
1.8724584579467773,1990-03-09
1.8403594493865967,1990-03-12
1.8403594493865967,1990-03-13
1.8938584327697754,1990-03-14
1.8617595434188843,1990-03-15
1.9045581817626953,1990-03-16
1.8938584327697754,1990-03-19
1.915257453918457,1990-03-20
1.915257453918457,1990-03-21
1.8938584327697754,1990-03-22
1.915257453918457,1990-03-23
1.8831584453582764,1990-03-26
1.8831584453582764,1990-03-27
2.0008559226989746,1990-03-28
1.9901562929153442,1990-03-29
2.0008559226989746,1990-03-30
1.9687573909759521,1990-04-02
2.043654441833496,1990-04-03
1.9901562929153442,1990-04-04
1.9901562929153442,1990-04-05
1.9045581817626953,1990-04-06
1.876676321029663,1990-04-09
1.8981236219406128,1990-04-10
1.876676321029663,1990-04-11
1.8016092777252197,1990-04-12
1.855229139328003,1990-04-16
1.8659521341323853,1990-04-17
1.8659521341323853,1990-04-18
1.8445045948028564,1990-04-19
1.8337804079055786,1990-04-20
1.8016092777252197,1990-04-23
1.8016092777252197,1990-04-24
1.8230558633804321,1990-04-25
1.8445045948028564,1990-04-26
1.855229139328003,1990-04-27
1.8659521341323853,1990-04-30
1.930295467376709,1990-05-01
1.930295467376709,1990-05-02
1.9410187005996704,1990-05-03
1.908848524093628,1990-05-04
1.9517440795898438,1990-05-07
1.9410187005996704,1990-05-08
1.9195711612701416,1990-05-09
1.9195711612701416,1990-05-10
1.9731903076171875,1990-05-11
1.8874002695083618,1990-05-14
1.930295467376709,1990-05-15
1.9946397542953491,1990-05-16
2.026811361312866,1990-05-17
2.058981418609619,1990-05-18
2.026811361312866,1990-05-21
2.037534713745117,1990-05-22
1.9946397542953491,1990-05-23
1.930295467376709,1990-05-24
1.9731903076171875,1990-05-25
1.9946397542953491,1990-05-29
2.037534713745117,1990-05-30
2.037534713745117,1990-05-31
2.037534713745117,1990-06-01
2.0482583045959473,1990-06-04
1.9839149713516235,1990-06-05
1.9731903076171875,1990-06-06
1.9624662399291992,1990-06-07
1.9517440795898438,1990-06-08
1.9731903076171875,1990-06-11
2.0482583045959473,1990-06-12
2.037534713745117,1990-06-13
2.0482583045959473,1990-06-14
2.037534713745117,1990-06-15
2.037534713745117,1990-06-18
2.0053629875183105,1990-06-19
2.016087532043457,1990-06-20
2.016087532043457,1990-06-21
2.026811361312866,1990-06-22
2.0053629875183105,1990-06-25
2.0053629875183105,1990-06-26
2.0053629875183105,1990-06-27
2.037534713745117,1990-06-28
2.037534713745117,1990-06-29
1.9946397542953491,1990-07-02
1.9731903076171875,1990-07-03
1.9410187005996704,1990-07-05
1.9195711612701416,1990-07-06
1.908848524093628,1990-07-09
1.9131473302841187,1990-07-10
1.9238947629928589,1990-07-11
1.9776341915130615,1990-07-12
2.0421228408813477,1990-07-13
2.0421228408813477,1990-07-16
2.0098800659179688,1990-07-17
1.9561396837234497,1990-07-18
1.9776341915130615,1990-07-19
1.988383173942566,1990-07-20
2.020627498626709,1990-07-23
2.0528719425201416,1990-07-24
2.085115671157837,1990-07-25
2.106611728668213,1990-07-26
2.0528719425201416,1990-07-27
2.0636188983917236,1990-07-30
2.0636188983917236,1990-07-31
2.0743672847747803,1990-08-01
2.1818466186523438,1990-08-02
2.2033441066741943,1990-08-03
2.149603843688965,1990-08-06
2.160351514816284,1990-08-07
2.1281075477600098,1990-08-08
2.1281075477600098,1990-08-09
2.1281075477600098,1990-08-10
2.1173596382141113,1990-08-13
2.106611728668213,1990-08-14
2.149603843688965,1990-08-15
2.138855218887329,1990-08-16
2.160351514816284,1990-08-17
2.09586501121521,1990-08-20
2.1173596382141113,1990-08-21
2.0743672847747803,1990-08-22
2.0421228408813477,1990-08-23
2.0636188983917236,1990-08-24
2.0313758850097656,1990-08-27
2.0528719425201416,1990-08-28
2.020627498626709,1990-08-29
2.0528719425201416,1990-08-30
2.0098800659179688,1990-08-31
2.0313758850097656,1990-09-04
2.1818466186523438,1990-09-05
2.267831802368164,1990-09-06
2.3108246326446533,1990-09-07
2.3108246326446533,1990-09-10
2.2785794734954834,1990-09-11
2.2785794734954834,1990-09-12
2.235588788986206,1990-09-13
2.332319974899292,1990-09-14
2.386059284210205,1990-09-17
2.525785446166992,1990-09-18
2.515035390853882,1990-09-19
2.4290518760681152,1990-09-20
2.450547933578491,1990-09-21
2.418303966522217,1990-09-24
2.418303966522217,1990-09-25
2.386059284210205,1990-09-26
2.3215713500976562,1990-09-27
2.3000752925872803,1990-09-28
2.3000752925872803,1990-10-01
2.3108246326446533,1990-10-02
2.3000752925872803,1990-10-03
2.235588788986206,1990-10-04
2.192596197128296,1990-10-05
2.192596197128296,1990-10-08
2.304594039916992,1990-10-09
2.229210138320923,1990-10-10
2.2184410095214844,1990-10-11
2.207672357559204,1990-10-12
2.175365686416626,1990-10-15
2.1430583000183105,1990-10-16
2.1538264751434326,1990-10-17
2.1430583000183105,1990-10-18
2.1322882175445557,1990-10-19
2.110750675201416,1990-10-22
2.1430583000183105,1990-10-23
2.175365686416626,1990-10-24
2.29382586479187,1990-10-25
2.3153645992279053,1990-10-26
2.3153645992279053,1990-10-29
2.272287130355835,1990-10-30
2.3261325359344482,1990-10-31
2.3261325359344482,1990-11-01
2.4122872352600098,1990-11-02
2.3907477855682373,1990-11-05
2.3584413528442383,1990-11-06
2.3261325359344482,1990-11-07
2.3369011878967285,1990-11-08
2.3584413528442383,1990-11-09
2.29382586479187,1990-11-12
2.1430583000183105,1990-11-13
2.1969034671783447,1990-11-14
2.16459584236145,1990-11-15
2.175365686416626,1990-11-16
2.0569047927856445,1990-11-19
2.013828754425049,1990-11-20
2.046135902404785,1990-11-21
2.046135902404785,1990-11-23
2.046135902404785,1990-11-26
2.0353665351867676,1990-11-27
2.013828754425049,1990-11-28
2.0030593872070312,1990-11-29
1.938443660736084,1990-11-30
1.8953678607940674,1990-12-03
1.8738292455673218,1990-12-04
1.9169062376022339,1990-12-05
1.8953678607940674,1990-12-06
1.8738292455673218,1990-12-07
1.8738292455673218,1990-12-10
1.8845982551574707,1990-12-11
1.9169062376022339,1990-12-12
1.8738292455673218,1990-12-13
1.9169062376022339,1990-12-14
1.8845982551574707,1990-12-17
1.8630597591400146,1990-12-18
1.8199841976165771,1990-12-19
1.7661380767822266,1990-12-20
1.7230619192123413,1990-12-21
1.7553690671920776,1990-12-24
1.8953678607940674,1990-12-26
1.8845982551574707,1990-12-27
1.8307522535324097,1990-12-28
1.8307522535324097,1990-12-31
1.787676453590393,1991-01-02
1.712292194366455,1991-01-03
1.604601502418518,1991-01-04
1.561524510383606,1991-01-07
1.4861409664154053,1991-01-08
1.479659914970398,1991-01-09
1.479659914970398,1991-01-10
1.5336626768112183,1991-01-11
1.5552635192871094,1991-01-14
1.5444636344909668,1991-01-15
1.5228623151779175,1991-01-16
1.5228623151779175,1991-01-17
1.5120609998703003,1991-01-18
1.4688594341278076,1991-01-21
1.4688594341278076,1991-01-22
1.5552635192871094,1991-01-23
1.5768637657165527,1991-01-24
1.5552635192871094,1991-01-25
1.5444636344909668,1991-01-28
1.5552635192871094,1991-01-29
1.5444636344909668,1991-01-30
1.5012611150741577,1991-01-31
1.5336626768112183,1991-02-01
1.5552635192871094,1991-02-04
1.5768637657165527,1991-02-05
1.7172703742980957,1991-02-06
1.8576757907867432,1991-02-07
1.8468756675720215,1991-02-08
1.868476390838623,1991-02-11
1.7928731441497803,1991-02-12
1.868476390838623,1991-02-13
1.7388699054718018,1991-02-14
1.8036737442016602,1991-02-15
1.7604718208312988,1991-02-19
1.8144733905792236,1991-02-20
1.7928731441497803,1991-02-21
1.6956689357757568,1991-02-22
1.6092661619186401,1991-02-25
1.5984655618667603,1991-02-26
1.684868574142456,1991-02-27
1.7928731441497803,1991-02-28
1.7604718208312988,1991-03-01
1.7928731441497803,1991-03-04
1.7820732593536377,1991-03-05
1.7712721824645996,1991-03-06
1.8144733905792236,1991-03-07
1.8468756675720215,1991-03-08
1.8792757987976074,1991-03-11
1.8576757907867432,1991-03-12
1.7928731441497803,1991-03-13
1.7712721824645996,1991-03-14
1.8144733905792236,1991-03-15
1.8576757907867432,1991-03-18
1.8144733905792236,1991-03-19
1.836074709892273,1991-03-20
1.8900766372680664,1991-03-21
1.868476390838623,1991-03-22
1.868476390838623,1991-03-25
1.836074709892273,1991-03-26
1.7820732593536377,1991-03-27
1.7388699054718018,1991-03-28
1.6956689357757568,1991-04-01
1.6416668891906738,1991-04-02
1.5984655618667603,1991-04-03
1.6632680892944336,1991-04-04
1.7172703742980957,1991-04-05
1.684868574142456,1991-04-08
1.684868574142456,1991-04-09
1.6567150354385376,1991-04-10
1.667543888092041,1991-04-11
1.7108560800552368,1991-04-12
1.7649973630905151,1991-04-15
1.8191379308700562,1991-04-16
1.7866544723510742,1991-04-17
1.8191379308700562,1991-04-18
1.7866544723510742,1991-04-19
1.732513189315796,1991-04-22
1.732513189315796,1991-04-23
1.732513189315796,1991-04-24
1.7108560800552368,1991-04-25
1.6891998052597046,1991-04-26
1.6242306232452393,1991-04-29
1.6458871364593506,1991-04-30
1.6783714294433594,1991-05-01
1.6458871364593506,1991-05-02
1.6567150354385376,1991-05-03
1.6350587606430054,1991-05-06
1.6242306232452393,1991-05-07
1.6891998052597046,1991-05-08
1.7108560800552368,1991-05-09
1.6458871364593506,1991-05-10
1.580917477607727,1991-05-13
1.6025748252868652,1991-05-14
1.6567150354385376,1991-05-15
1.6783714294433594,1991-05-16
1.667543888092041,1991-05-17
1.667543888092041,1991-05-20
1.6458871364593506,1991-05-21
1.6567150354385376,1991-05-22
1.667543888092041,1991-05-23
1.6567150354385376,1991-05-24
1.6891998052597046,1991-05-28
1.6891998052597046,1991-05-29
1.732513189315796,1991-05-30
1.8191379308700562,1991-05-31
1.8191379308700562,1991-06-03
1.8191379308700562,1991-06-04
1.7866544723510742,1991-06-05
1.7974821329116821,1991-06-06
1.7541695833206177,1991-06-07
1.7541695833206177,1991-06-10
1.732513189315796,1991-06-11
1.732513189315796,1991-06-12
1.7216850519180298,1991-06-13
1.7108560800552368,1991-06-14
1.7000280618667603,1991-06-17
1.7108560800552368,1991-06-18
1.732513189315796,1991-06-19
1.6458871364593506,1991-06-20
1.6242306232452393,1991-06-21
1.6458871364593506,1991-06-24
1.6350587606430054,1991-06-25
1.6025748252868652,1991-06-26
1.6025748252868652,1991-06-27
1.5592615604400635,1991-06-28
1.5267770290374756,1991-07-01
1.5484336614608765,1991-07-02
1.5592615604400635,1991-07-03
1.5592615604400635,1991-07-05
1.5917457342147827,1991-07-08
1.5743741989135742,1991-07-09
1.5526585578918457,1991-07-10
1.606947422027588,1991-07-11
1.5960890054702759,1991-07-12
1.650377869606018,1991-07-15
1.6829509735107422,1991-07-16
1.8023864030838013,1991-07-17
1.8566757440567017,1991-07-18
1.824101448059082,1991-07-19
1.8023864030838013,1991-07-22
1.7915294170379639,1991-07-23
1.7915294170379639,1991-07-24
1.7806708812713623,1991-07-25
1.8023864030838013,1991-07-26
1.8132447004318237,1991-07-29
1.824101448059082,1991-07-30
1.7589558362960815,1991-07-31
1.7806708812713623,1991-08-01
1.7698134183883667,1991-08-02
1.7806708812713623,1991-08-05
1.8023864030838013,1991-08-06
1.824101448059082,1991-08-07
1.8349604606628418,1991-08-08
1.8458174467086792,1991-08-09
1.8458174467086792,1991-08-12
1.8675329685211182,1991-08-13
1.9109636545181274,1991-08-14
1.9109636545181274,1991-08-15
1.8783910274505615,1991-08-16
1.8132447004318237,1991-08-19
1.824101448059082,1991-08-20
1.824101448059082,1991-08-21
1.8023864030838013,1991-08-22
1.9109636545181274,1991-08-23
1.9109636545181274,1991-08-26
1.9543952941894531,1991-08-27
2.041256904602051,1991-08-28
2.0521161556243896,1991-08-29
2.030400276184082,1991-08-30
1.9326801300048828,1991-09-03
1.9218214750289917,1991-09-04
1.9543952941894531,1991-09-05
1.965253233909607,1991-09-06
1.9761102199554443,1991-09-09
1.9761102199554443,1991-09-10
1.9761102199554443,1991-09-11
1.9761102199554443,1991-09-12
1.9761102199554443,1991-09-13
1.9761102199554443,1991-09-16
2.008683204650879,1991-09-17
2.041256904602051,1991-09-18
2.1064023971557617,1991-09-19
2.1064023971557617,1991-09-20
2.0629723072052,1991-09-23
1.9978259801864624,1991-09-24
1.9978259801864624,1991-09-25
2.0521161556243896,1991-09-26
2.0629723072052,1991-09-27
2.0738306045532227,1991-09-30
1.9869681596755981,1991-10-01
2.0195415019989014,1991-10-02
2.008683204650879,1991-10-03
2.008683204650879,1991-10-04
2.041256904602051,1991-10-07
2.045609712600708,1991-10-08
2.023847818374634,1991-10-09
2.023847818374634,1991-10-10
2.0347278118133545,1991-10-11
2.067370891571045,1991-10-14
2.1000142097473145,1991-10-15
2.0891335010528564,1991-10-16
2.1108946800231934,1991-10-17
2.0891335010528564,1991-10-18
2.078252077102661,1991-10-21
2.0020864009857178,1991-10-22
2.0129661560058594,1991-10-23
1.980324387550354,1991-10-24
1.9259191751480103,1991-10-25
1.980324387550354,1991-10-28
1.9259191751480103,1991-10-29
1.9476819038391113,1991-10-30
1.980324387550354,1991-10-31
2.045609712600708,1991-11-01
2.1108946800231934,1991-11-04
2.165299415588379,1991-11-05
2.1108946800231934,1991-11-06
2.1108946800231934,1991-11-07
2.1326563358306885,1991-11-08
2.1108946800231934,1991-11-11
2.1108946800231934,1991-11-12
2.1761789321899414,1991-11-13
2.1108946800231934,1991-11-14
2.045609712600708,1991-11-15
2.0020864009857178,1991-11-18
1.9585620164871216,1991-11-19
1.9367998838424683,1991-11-20
1.9476819038391113,1991-11-21
1.9150389432907104,1991-11-22
1.9259191751480103,1991-11-25
1.8279906511306763,1991-11-26
1.8279906511306763,1991-11-27
1.8497529029846191,1991-11-29
1.8062301874160767,1991-12-02
1.8497529029846191,1991-12-03
1.8279906511306763,1991-12-04
1.8388727903366089,1991-12-05
1.8388727903366089,1991-12-06
1.8062301874160767,1991-12-09
1.7409451007843018,1991-12-10
1.7735869884490967,1991-12-11
1.7627047300338745,1991-12-12
1.7409451007843018,1991-12-13
1.7518247365951538,1991-12-16
1.7627047300338745,1991-12-17
1.7953490018844604,1991-12-18
1.7735869884490967,1991-12-19
1.7518247365951538,1991-12-20
1.6865395307540894,1991-12-23
1.7518247365951538,1991-12-24
1.7409451007843018,1991-12-26
1.7191828489303589,1991-12-27
1.6974197626113892,1991-12-30
1.6974197626113892,1991-12-31
1.664777398109436,1992-01-02
1.6538968086242676,1992-01-03
1.6212544441223145,1992-01-06
1.490683913230896,1992-01-07
1.4798030853271484,1992-01-08
1.5124446153640747,1992-01-09
1.5559685230255127,1992-01-10
1.5994927883148193,1992-01-13
1.5450878143310547,1992-01-14
1.588611125946045,1992-01-15
1.6212544441223145,1992-01-16
1.6865395307540894,1992-01-17
1.7518247365951538,1992-01-20
1.7518247365951538,1992-01-21
1.7300633192062378,1992-01-22
1.7083005905151367,1992-01-23
1.6103726625442505,1992-01-24
1.5777302980422974,1992-01-27
1.5233267545700073,1992-01-28
1.5342069864273071,1992-01-29
1.5233267545700073,1992-01-30
1.5668493509292603,1992-01-31
1.5559685230255127,1992-02-03
1.5342069864273071,1992-02-04
1.5124446153640747,1992-02-05
1.4580403566360474,1992-02-06
1.5450878143310547,1992-02-07
1.6212544441223145,1992-02-10
1.6103726625442505,1992-02-11
1.6103726625442505,1992-02-12
1.5994927883148193,1992-02-13
1.6212544441223145,1992-02-14
1.5994927883148193,1992-02-18
1.5777302980422974,1992-02-19
1.5994927883148193,1992-02-20
1.6103726625442505,1992-02-21
1.6103726625442505,1992-02-24
1.588611125946045,1992-02-25
1.5777302980422974,1992-02-26
1.5777302980422974,1992-02-27
1.5559685230255127,1992-02-28
1.5668493509292603,1992-03-02
1.5668493509292603,1992-03-03
1.5668493509292603,1992-03-04
1.588611125946045,1992-03-05
1.588611125946045,1992-03-06
1.6212544441223145,1992-03-09
1.664777398109436,1992-03-10
1.6756582260131836,1992-03-11
1.6756582260131836,1992-03-12
1.7191828489303589,1992-03-13
1.6756582260131836,1992-03-16
1.6974197626113892,1992-03-17
1.6756582260131836,1992-03-18
1.6756582260131836,1992-03-19
1.7191828489303589,1992-03-20
1.7409451007843018,1992-03-23
1.7844674587249756,1992-03-24
1.7953490018844604,1992-03-25
