FOX,Date
36.47086715698242,2019-03-13
37.177947998046875,2019-03-14
38.16415786743164,2019-03-15
38.015296936035156,2019-03-18
36.79649353027344,2019-03-19
34.98224639892578,2019-03-20
36.17314529418945,2019-03-21
34.85200500488281,2019-03-22
33.912322998046875,2019-03-25
34.15422058105469,2019-03-26
33.679725646972656,2019-03-27
33.18661880493164,2019-03-28
33.38200759887695,2019-03-29
33.633209228515625,2019-04-01
33.21453857421875,2019-04-02
33.02846145629883,2019-04-03
33.52156066894531,2019-04-04
34.40542221069336,2019-04-05
34.28447341918945,2019-04-08
34.321685791015625,2019-04-09
33.42852783203125,2019-04-10
33.87510681152344,2019-04-11
34.37751388549805,2019-04-12
34.40542221069336,2019-04-15
34.61940383911133,2019-04-16
35.54978942871094,2019-04-17
35.27997970581055,2019-04-18
34.6473274230957,2019-04-22
34.98224639892578,2019-04-23
34.84270477294922,2019-04-24
35.019474029541016,2019-04-25
35.27067565917969,2019-04-26
36.0335807800293,2019-04-29
35.81959915161133,2019-04-30
36.04288864135742,2019-05-01
34.275169372558594,2019-05-02
34.442630767822266,2019-05-03
34.71245193481445,2019-05-06
34.14491653442383,2019-05-07
34.25655746459961,2019-05-08
35.326499938964844,2019-05-09
35.40092849731445,2019-05-10
34.88921356201172,2019-05-13
34.8706169128418,2019-05-14
34.63801193237305,2019-05-15
33.791378021240234,2019-05-16
34.48424530029297,2019-05-17
34.34379577636719,2019-05-20
34.811946868896484,2019-05-21
34.33443069458008,2019-05-22
34.18461990356445,2019-05-23
34.12844467163086,2019-05-24
33.85691452026367,2019-05-28
33.05168533325195,2019-05-29
32.592899322509766,2019-05-30
32.499267578125,2019-05-31
31.62849998474121,2019-06-03
31.918750762939453,2019-06-04
31.85321617126465,2019-06-05
31.591049194335938,2019-06-06
31.534868240356445,2019-06-07
31.591049194335938,2019-06-10
31.675317764282227,2019-06-11
32.489906311035156,2019-06-12
32.71461486816406,2019-06-13
32.733341217041016,2019-06-14
33.519832611083984,2019-06-17
33.54793167114258,2019-06-18
33.463661193847656,2019-06-19
33.098506927490234,2019-06-20
33.594749450683594,2019-06-21
33.27640151977539,2019-06-24
32.948692321777344,2019-06-25
33.06105041503906,2019-06-26
33.473026275634766,2019-06-27
34.203346252441406,2019-06-28
33.669654846191406,2019-07-01
34.203346252441406,2019-07-02
34.03480911254883,2019-07-03
34.2314338684082,2019-07-05
33.82883071899414,2019-07-08
33.71646499633789,2019-07-09
33.83818435668945,2019-07-10
33.99736022949219,2019-07-11
34.605960845947266,2019-07-12
34.68086242675781,2019-07-15
34.353153228759766,2019-07-16
33.866275787353516,2019-07-17
34.27824401855469,2019-07-18
34.12844467163086,2019-07-19
34.00672149658203,2019-07-22
34.18461990356445,2019-07-23
34.54041290283203,2019-07-24
35.04602813720703,2019-07-25
35.10219955444336,2019-07-26
35.28946304321289,2019-07-29
35.43927001953125,2019-07-30
34.83067321777344,2019-07-31
34.49360275268555,2019-08-01
34.2314338684082,2019-08-02
33.70710372924805,2019-08-05
34.08163070678711,2019-08-06
34.4467887878418,2019-08-07
32.77080154418945,2019-08-08
33.117225646972656,2019-08-09
32.592899322509766,2019-08-12
32.77080154418945,2019-08-13
31.516141891479492,2019-08-14
30.720279693603516,2019-08-15
30.90753746032715,2019-08-16
31.459957122802734,2019-08-19
31.23525047302246,2019-08-20
31.03862190246582,2019-08-21
30.729642868041992,2019-08-22
29.437538146972656,2019-08-23
29.690340042114258,2019-08-26
