RF,Date
0.4582212269306183,1980-03-17
0.4582212269306183,1980-03-18
0.4582212269306183,1980-03-19
0.4582212269306183,1980-03-20
0.4582212269306183,1980-03-21
0.4582212269306183,1980-03-24
0.4582212269306183,1980-03-25
0.4582212269306183,1980-03-26
0.445128858089447,1980-03-27
0.4516749680042267,1980-03-28
0.4582212269306183,1980-03-31
0.48440515995025635,1980-04-01
0.5105891227722168,1980-04-02
0.5105891227722168,1980-04-03
0.4909510016441345,1980-04-07
0.4909510016441345,1980-04-08
0.4909510016441345,1980-04-09
0.4909510016441345,1980-04-10
0.4909510016441345,1980-04-11
0.4909510016441345,1980-04-14
0.4909510016441345,1980-04-15
0.5040429830551147,1980-04-16
0.4974970519542694,1980-04-17
0.5040429830551147,1980-04-18
0.5040429830551147,1980-04-21
0.5040429830551147,1980-04-22
0.5236812233924866,1980-04-23
0.5236812233924866,1980-04-24
0.5236812233924866,1980-04-25
0.5236812233924866,1980-04-28
0.5171349048614502,1980-04-29
0.5171349048614502,1980-04-30
0.5171349048614502,1980-05-01
0.5171349048614502,1980-05-02
0.5171349048614502,1980-05-05
0.5171349048614502,1980-05-06
0.5171349048614502,1980-05-07
0.5171349048614502,1980-05-08
0.5171349048614502,1980-05-09
0.5171349048614502,1980-05-12
0.5171349048614502,1980-05-13
0.5171349048614502,1980-05-14
0.5105891227722168,1980-05-15
0.5105891227722168,1980-05-16
0.5105891227722168,1980-05-19
0.5105891227722168,1980-05-20
0.5040429830551147,1980-05-21
0.5040429830551147,1980-05-22
0.5040429830551147,1980-05-23
0.5040429830551147,1980-05-27
0.5040429830551147,1980-05-28
0.5040429830551147,1980-05-29
0.5040429830551147,1980-05-30
0.4974970519542694,1980-06-02
0.4909510016441345,1980-06-03
0.4909510016441345,1980-06-04
0.4909510016441345,1980-06-05
0.4909510016441345,1980-06-06
0.4909510016441345,1980-06-09
0.4909510016441345,1980-06-10
0.4909510016441345,1980-06-11
0.4974970519542694,1980-06-12
0.5040429830551147,1980-06-13
0.5105891227722168,1980-06-16
0.5105891227722168,1980-06-17
0.5105891227722168,1980-06-18
0.5236812233924866,1980-06-19
