COO,Date
28.613143920898438,1983-01-21
30.486623764038086,1983-01-24
32.189788818359375,1983-01-25
32.189788818359375,1983-01-26
33.892940521240234,1983-01-27
33.38200759887695,1983-01-28
32.87104034423828,1983-01-31
31.849145889282227,1983-02-01
31.6788330078125,1983-02-02
32.01945877075195,1983-02-03
32.189788818359375,1983-02-04
32.360111236572266,1983-02-07
32.360111236572266,1983-02-08
32.189788818359375,1983-02-09
32.360111236572266,1983-02-10
32.360111236572266,1983-02-11
32.360111236572266,1983-02-14
31.6788330078125,1983-02-15
31.849145889282227,1983-02-16
31.16789436340332,1983-02-17
31.508502960205078,1983-02-18
31.508502960205078,1983-02-22
31.338193893432617,1983-02-23
31.508502960205078,1983-02-24
31.6788330078125,1983-02-25
31.338193893432617,1983-02-28
29.975671768188477,1983-03-01
29.63503646850586,1983-03-02
29.294404983520508,1983-03-03
29.124082565307617,1983-03-04
29.63503646850586,1983-03-07
30.9975643157959,1983-03-08
31.849145889282227,1983-03-09
31.338193893432617,1983-03-10
31.338193893432617,1983-03-11
30.827260971069336,1983-03-14
30.486623764038086,1983-03-15
30.31629753112793,1983-03-16
29.294404983520508,1983-03-17
28.953773498535156,1983-03-18
28.953773498535156,1983-03-21
28.613143920898438,1983-03-22
28.953773498535156,1983-03-23
29.63503646850586,1983-03-24
30.9975643157959,1983-03-25
30.9975643157959,1983-03-28
30.827260971069336,1983-03-29
30.827260971069336,1983-03-30
30.486623764038086,1983-03-31
29.975671768188477,1983-04-04
29.294404983520508,1983-04-05
29.294404983520508,1983-04-06
29.294404983520508,1983-04-07
29.4647216796875,1983-04-08
29.63503646850586,1983-04-11
29.805355072021484,1983-04-12
30.14598274230957,1983-04-13
29.975671768188477,1983-04-14
29.975671768188477,1983-04-15
29.975671768188477,1983-04-18
29.975671768188477,1983-04-19
29.975671768188477,1983-04-20
29.975671768188477,1983-04-21
30.14598274230957,1983-04-22
30.656940460205078,1983-04-25
30.486623764038086,1983-04-26
30.14598274230957,1983-04-27
29.975671768188477,1983-04-28
29.805355072021484,1983-04-29
29.63503646850586,1983-05-02
30.486623764038086,1983-05-03
32.53042221069336,1983-05-04
33.211673736572266,1983-05-05
32.70071792602539,1983-05-06
30.9975643157959,1983-05-09
30.827260971069336,1983-05-10
30.14598274230957,1983-05-11
29.4647216796875,1983-05-12
29.975671768188477,1983-05-13
29.805355072021484,1983-05-16
29.805355072021484,1983-05-17
29.975671768188477,1983-05-18
30.31629753112793,1983-05-19
29.975671768188477,1983-05-20
29.975671768188477,1983-05-23
30.486623764038086,1983-05-24
32.53042221069336,1983-05-25
34.74454116821289,1983-05-26
35.085147857666016,1983-05-27
34.40388107299805,1983-05-31
34.23358917236328,1983-06-01
35.085147857666016,1983-06-02
35.085147857666016,1983-06-03
35.76643753051758,1983-06-06
35.59609603881836,1983-06-07
34.91482925415039,1983-06-08
34.74454116821289,1983-06-09
34.91482925415039,1983-06-10
34.74454116821289,1983-06-13
35.085147857666016,1983-06-14
34.91482925415039,1983-06-15
38.49147415161133,1983-06-16
38.3211669921875,1983-06-17
38.49147415161133,1983-06-20
38.49147415161133,1983-06-21
38.661800384521484,1983-06-22
38.3211669921875,1983-06-23
39.51337814331055,1983-06-24
40.19465255737305,1983-06-27
40.535282135009766,1983-06-28
39.85401916503906,1983-06-29
38.83212661743164,1983-06-30
38.49147415161133,1983-07-01
38.150840759277344,1983-07-05
38.49147415161133,1983-07-06
