MSI,Date
0.6302071213722229,1962-01-02
0.6283748149871826,1962-01-03
0.6228793263435364,1962-01-04
0.6192154288291931,1962-01-05
0.6082223653793335,1962-01-08
0.5935670733451843,1962-01-09
0.6063911318778992,1962-01-10
0.6027274131774902,1962-01-11
0.6155515313148499,1962-01-12
0.6393671631813049,1962-01-15
0.637535035610199,1962-01-16
0.6173825860023499,1962-01-17
0.6192154288291931,1962-01-18
0.611886739730835,1962-01-19
0.6210471391677856,1962-01-22
0.611886739730835,1962-01-23
0.6137188673019409,1962-01-24
0.5972312092781067,1962-01-25
0.5917354822158813,1962-01-26
0.5789110660552979,1962-01-29
0.5789110660552979,1962-01-30
0.5825749039649963,1962-01-31
0.5844072699546814,1962-02-01
0.5899027585983276,1962-02-02
0.6155515313148499,1962-02-05
0.6155515313148499,1962-02-06
0.6137188673019409,1962-02-07
0.6137188673019409,1962-02-08
0.5972312092781067,1962-02-09
0.5972312092781067,1962-02-12
0.5972312092781067,1962-02-13
0.610055148601532,1962-02-14
0.6192154288291931,1962-02-15
0.6274594664573669,1962-02-16
0.6283748149871826,1962-02-19
0.611886739730835,1962-02-20
0.6192154288291931,1962-02-21
0.6018111705780029,1962-02-23
0.5972312092781067,1962-02-26
0.594483494758606,1962-02-27
0.6045591235160828,1962-02-28
0.6045591235160828,1962-03-01
0.610055148601532,1962-03-02
0.6082223653793335,1962-03-05
0.6155515313148499,1962-03-06
0.6173825860023499,1962-03-07
0.624711275100708,1962-03-08
0.6228793263435364,1962-03-09
0.6228793263435364,1962-03-12
0.6283748149871826,1962-03-13
0.6558557152748108,1962-03-14
0.6485266089439392,1962-03-15
0.637535035610199,1962-03-16
0.6302071213722229,1962-03-19
0.6283748149871826,1962-03-20
0.6210471391677856,1962-03-21
0.6228793263435364,1962-03-22
0.6283748149871826,1962-03-23
0.623795211315155,1962-03-26
0.6210392117500305,1962-03-27
0.6155268549919128,1962-03-28
0.6136895418167114,1962-03-29
0.5971533060073853,1962-03-30
0.6026648283004761,1962-04-02
0.5879658460617065,1962-04-03
0.5842912793159485,1962-04-04
0.5898036360740662,1962-04-05
0.5879658460617065,1962-04-06
0.5842912793159485,1962-04-09
0.5879658460617065,1962-04-10
0.5943969488143921,1962-04-11
0.5695919394493103,1962-04-12
0.5548926591873169,1962-04-13
0.5512183904647827,1962-04-16
0.5695919394493103,1962-04-17
0.580616295337677,1962-04-18
0.6026648283004761,1962-04-19
0.6081777215003967,1962-04-23
0.6054216027259827,1962-04-24
0.5953153371810913,1962-04-25
0.5769416689872742,1962-04-26
0.5842912793159485,1962-04-27
0.5677546262741089,1962-04-30
0.5695919394493103,1962-05-01
0.5787785053253174,1962-05-02
0.5879658460617065,1962-05-03
0.5741854310035706,1962-05-04
0.5695919394493103,1962-05-07
0.5622427463531494,1962-05-08
0.5401939749717712,1962-05-09
0.5530558228492737,1962-05-10
0.5457057952880859,1962-05-11
0.5411126613616943,1962-05-14
0.5769416689872742,1962-05-15
0.5732672214508057,1962-05-16
0.5659174919128418,1962-05-17
0.5512183904647827,1962-05-18
0.5328444838523865,1962-05-21
0.5107954740524292,1962-05-22
0.503446102142334,1962-05-23
0.5144699215888977,1962-05-24
0.49793389439582825,1962-05-25
0.4795598089694977,1962-05-28
0.4832345247268677,1962-05-29
0.49793389439582825,1962-05-31
0.4924217462539673,1962-06-01
0.47496646642684937,1962-06-04
0.4575110673904419,1962-06-05
0.4648604393005371,1962-06-06
0.4676167368888855,1962-06-07
0.47772216796875,1962-06-08
0.4703730642795563,1962-06-11
0.44097402691841125,1962-06-12
0.426275372505188,1962-06-13
0.39503973722457886,1962-06-14
0.46302345395088196,1962-06-15
0.43362516164779663,1962-06-18
0.43546250462532043,1962-06-19
0.4363810420036316,1962-06-20
0.411576509475708,1962-06-21
0.4005517363548279,1962-06-22
0.41800713539123535,1962-06-25
0.3949384093284607,1962-06-26
0.3986293375492096,1962-06-27
0.40785714983940125,1962-06-28
0.4115479290485382,1962-06-29
0.40416619181632996,1962-07-02
0.4097026586532593,1962-07-03
0.4133938252925873,1962-07-05
0.40232038497924805,1962-07-06
0.4032432436943054,1962-07-09
0.3986293375492096,1962-07-10
0.4050888419151306,1962-07-11
0.4115479290485382,1962-07-12
0.4097026586532593,1962-07-13
0.4115479290485382,1962-07-16
0.40232038497924805,1962-07-17
0.40785714983940125,1962-07-18
0.40693438053131104,1962-07-19
0.40877988934516907,1962-07-20
0.4097026586532593,1962-07-23
0.40785714983940125,1962-07-24
0.4060114622116089,1962-07-25
0.4180072546005249,1962-07-26
0.4226208031177521,1962-07-27
0.43923044204711914,1962-07-30
0.4419991672039032,1962-07-31
0.43184828758239746,1962-08-01
0.43092578649520874,1962-08-02
0.43184828758239746,1962-08-03
0.43000346422195435,1962-08-06
0.4216984212398529,1962-08-07
0.42815759778022766,1962-08-08
0.42631229758262634,1962-08-09
0.4161618649959564,1962-08-10
0.4189298152923584,1962-08-13
0.43000346422195435,1962-08-14
0.4346166253089905,1962-08-15
0.43646240234375,1962-08-16
0.43646240234375,1962-08-17
0.4447672665119171,1962-08-20
0.4355398416519165,1962-08-21
0.4503037929534912,1962-08-22
0.44107624888420105,1962-08-23
0.4493809938430786,1962-08-24
0.4503037929534912,1962-08-27
0.4355398416519165,1962-08-28
0.4355398416519165,1962-08-29
0.4355398416519165,1962-08-30
0.4447672665119171,1962-08-31
0.4336942732334137,1962-09-04
0.43184828758239746,1962-09-05
0.43923044204711914,1962-09-06
0.4327715039253235,1962-09-07
0.4355398416519165,1962-09-10
