DOW,Date
38.70742416381836,2019-03-20
38.070068359375,2019-03-21
37.77471923828125,2019-03-22
38.20220947265625,2019-03-25
37.96902084350586,2019-03-26
38.94059753417969,2019-03-27
39.523536682128906,2019-03-28
40.12979507446289,2019-03-29
41.583274841308594,2019-04-01
43.720733642578125,2019-04-02
44.21040725708008,2019-04-03
46.41004180908203,2019-04-04
44.4902229309082,2019-04-05
44.420265197753906,2019-04-08
43.73626708984375,2019-04-09
43.3010139465332,2019-04-10
42.66366195678711,2019-04-11
45.3140983581543,2019-04-12
44.90993881225586,2019-04-15
45.46955108642578,2019-04-16
45.32965087890625,2019-04-17
44.902164459228516,2019-04-18
44.99542999267578,2019-04-22
44.80111312866211,2019-04-23
43.5108642578125,2019-04-24
43.005653381347656,2019-04-25
42.943477630615234,2019-04-26
43.137786865234375,2019-04-29
44.09381866455078,2019-04-30
43.62745666503906,2019-05-01
40.96146774291992,2019-05-02
41.42781448364258,2019-05-03
41.55217742919922,2019-05-06
41.155784606933594,2019-05-07
40.79046630859375,2019-05-08
41.14023971557617,2019-05-09
41.24905776977539,2019-05-10
39.60126876831055,2019-05-13
40.79046630859375,2019-05-14
41.155784606933594,2019-05-15
41.17909622192383,2019-05-16
39.48468017578125,2019-05-17
38.92505645751953,2019-05-20
39.352542877197266,2019-05-21
39.026092529296875,2019-05-22
37.860206604003906,2019-05-23
38.24106216430664,2019-05-24
37.743621826171875,2019-05-28
37.860206604003906,2019-05-29
38.22295379638672,2019-05-30
36.87446975708008,2019-05-31
37.82077407836914,2019-06-03
39.37430191040039,2019-06-04
39.69762420654297,2019-06-05
40.265403747558594,2019-06-06
40.45467758178711,2019-06-07
40.70701599121094,2019-06-10
41.03822708129883,2019-06-11
41.393096923828125,2019-06-12
41.700645446777344,2019-06-13
40.33638381958008,2019-06-14
38.91691589355469,2019-06-17
39.121952056884766,2019-06-18
38.246612548828125,2019-06-19
38.58571243286133,2019-06-20
38.1362190246582,2019-06-21
39.098297119140625,2019-06-24
39.185035705566406,2019-06-25
39.784366607666016,2019-06-26
40.147125244140625,2019-06-27
38.8853759765625,2019-06-28
39.5556755065918,2019-07-01
38.95635223388672,2019-07-02
38.901145935058594,2019-07-03
38.8853759765625,2019-07-05
38.262386322021484,2019-07-08
37.74980163574219,2019-07-09
37.497459411621094,2019-07-10
37.67882537841797,2019-07-11
39.20081329345703,2019-07-12
40.16288757324219,2019-07-15
41.259029388427734,2019-07-16
40.691253662109375,2019-07-17
40.80953598022461,2019-07-18
40.6281623840332,2019-07-19
40.12346267700195,2019-07-22
41.49560546875,2019-07-23
41.629676818847656,2019-07-24
40.036720275878906,2019-07-25
38.7276496887207,2019-07-26
37.89174270629883,2019-07-29
38.16775894165039,2019-07-30
38.19929885864258,2019-07-31
36.94544219970703,2019-08-01
35.95969009399414,2019-08-02
35.30517578125,2019-08-05
35.03705978393555,2019-08-06
35.399803161621094,2019-08-07
36.898136138916016,2019-08-08
36.779842376708984,2019-08-09
36.030677795410156,2019-08-12
36.94544219970703,2019-08-13
34.761051177978516,2019-08-14
34.20903778076172,2019-08-15
35.10013961791992,2019-08-16
35.95969009399414,2019-08-19
34.035545349121094,2019-08-20
34.13017654418945,2019-08-21
33.160213470458984,2019-08-22
32.10349655151367,2019-08-23
32.19023895263672,2019-08-26
32.46625518798828,2019-08-27
33.530845642089844,2019-08-28
33.97183609008789,2019-08-29
34.180301666259766,2019-08-30
33.51481628417969,2019-09-03
34.10813903808594,2019-09-04
34.76560592651367,2019-09-05
34.66939163208008,2019-09-06
35.63956069946289,2019-09-09
37.13889694213867,2019-09-10
37.58790588378906,2019-09-11
37.66006851196289,2019-09-12
38.64626693725586,2019-09-13
39.29571533203125,2019-09-16
38.485904693603516,2019-09-17
38.09303665161133,2019-09-18
38.197265625,2019-09-19
38.65428161621094,2019-09-20
38.41374969482422,2019-09-23
37.3634033203125,2019-09-24
38.229339599609375,2019-09-25
37.8685302734375,2019-09-26
37.7402458190918,2019-09-27
38.20528793334961,2019-09-30
36.85828399658203,2019-10-01
36.024417877197266,2019-10-02
36.32909393310547,2019-10-03
36.353145599365234,2019-10-04
36.21683883666992,2019-10-07
35.15848159790039,2019-10-08
35.28676223754883,2019-10-09
36.016395568847656,2019-10-10
37.788352966308594,2019-10-11
37.539798736572266,2019-10-14
37.84447479248047,2019-10-15
37.78034210205078,2019-10-16
38.33357238769531,2019-10-17
38.453834533691406,2019-10-18
37.78034210205078,2019-10-21
37.539798736572266,2019-10-22
37.8685302734375,2019-10-23
39.664546966552734,2019-10-24
40.474342346191406,2019-10-25
41.05965042114258,2019-10-28
41.284156799316406,2019-10-29
40.91533279418945,2019-10-30
40.48236846923828,2019-10-31
41.94163131713867,2019-11-01
43.43295669555664,2019-11-04
43.457008361816406,2019-11-05
43.52115249633789,2019-11-06
44.739871978759766,2019-11-07
44.8922119140625,2019-11-08
44.74789047241211,2019-11-11
44.22672653198242,2019-11-12
43.02403259277344,2019-11-13
43.256568908691406,2019-11-14
43.9861946105957,2019-11-15
43.553226470947266,2019-11-18
42.80755615234375,2019-11-19
42.23027038574219,2019-11-20
43.200435638427734,2019-11-21
43.457008361816406,2019-11-22
44.2588005065918,2019-11-25
44.39509201049805,2019-11-26
44.07839584350586,2019-11-27
43.33942413330078,2019-11-29
43.16889953613281,2019-12-02
42.08074188232422,2019-12-03
42.45428466796875,2019-12-04
42.22690963745117,2019-12-05
43.21762466430664,2019-12-06
43.258216857910156,2019-12-09
43.144535064697266,2019-12-10
43.12016677856445,2019-12-11
44.2164421081543,2019-12-12
