UNH,Date
0.11619561910629272,1984-10-17
0.11933667957782745,1984-10-18
0.11619561910629272,1984-10-19
0.11619561910629272,1984-10-22
0.11305538564920425,1984-10-23
0.11619561910629272,1984-10-24
0.11305538564920425,1984-10-25
0.11305538564920425,1984-10-26
0.11305538564920425,1984-10-29
0.11305538564920425,1984-10-30
0.11619561910629272,1984-10-31
0.11305538564920425,1984-11-01
0.11305538564920425,1984-11-02
0.10991515219211578,1984-11-05
0.10991515219211578,1984-11-06
0.10991515219211578,1984-11-07
0.10991515219211578,1984-11-08
0.10991515219211578,1984-11-09
0.10991515219211578,1984-11-12
0.10991515219211578,1984-11-13
0.1067749634385109,1984-11-14
0.1067749634385109,1984-11-15
0.10049367696046829,1984-11-16
0.10049367696046829,1984-11-19
0.09735346585512161,1984-11-20
0.09735346585512161,1984-11-21
0.09735346585512161,1984-11-23
0.10049367696046829,1984-11-26
0.10363389551639557,1984-11-27
0.10363389551639557,1984-11-28
0.10363389551639557,1984-11-29
0.10363389551639557,1984-11-30
0.10049367696046829,1984-12-03
0.09735346585512161,1984-12-04
0.09735346585512161,1984-12-05
0.09421323239803314,1984-12-06
0.09421323239803314,1984-12-07
0.09421323239803314,1984-12-10
0.09421323239803314,1984-12-11
0.09421323239803314,1984-12-12
0.09421323239803314,1984-12-13
0.09421323239803314,1984-12-14
0.09421323239803314,1984-12-17
0.09421323239803314,1984-12-18
0.09421323239803314,1984-12-19
0.09421323239803314,1984-12-20
0.09421323239803314,1984-12-21
0.09421323239803314,1984-12-24
0.09421323239803314,1984-12-26
0.09421323239803314,1984-12-27
0.09421323239803314,1984-12-28
0.09421323239803314,1984-12-31
0.09735346585512161,1985-01-02
0.09735346585512161,1985-01-03
0.09735346585512161,1985-01-04
0.10363389551639557,1985-01-07
0.11619561910629272,1985-01-08
0.11619561910629272,1985-01-09
0.11933667957782745,1985-01-10
0.11933667957782745,1985-01-11
0.12247686833143234,1985-01-14
0.125617116689682,1985-01-15
0.125617116689682,1985-01-16
0.125617116689682,1985-01-17
0.125617116689682,1985-01-18
0.125617116689682,1985-01-21
0.125617116689682,1985-01-22
0.125617116689682,1985-01-23
0.14131905138492584,1985-01-24
0.15074056386947632,1985-01-25
0.15074056386947632,1985-01-28
0.15074056386947632,1985-01-29
0.15702179074287415,1985-01-30
0.15702179074287415,1985-01-31
0.15702179074287415,1985-02-01
0.16644248366355896,1985-02-04
0.1884257048368454,1985-02-05
0.19470693171024323,1985-02-06
0.19156590104103088,1985-02-07
0.21354907751083374,1985-02-08
0.21668927371501923,1985-02-11
0.21040886640548706,1985-02-12
0.21040886640548706,1985-02-13
0.20726865530014038,1985-02-14
0.2041275054216385,1985-02-15
0.1978471577167511,1985-02-19
0.19470693171024323,1985-02-20
0.19470693171024323,1985-02-21
0.20098735392093658,1985-02-22
0.20098735392093658,1985-02-25
0.20098735392093658,1985-02-26
0.20098735392093658,1985-02-27
0.21668927371501923,1985-02-28
0.21983030438423157,1985-03-01
0.21983030438423157,1985-03-04
0.21983030438423157,1985-03-05
0.21983030438423157,1985-03-06
0.21354907751083374,1985-03-07
0.21354907751083374,1985-03-08
0.21040886640548706,1985-03-11
0.21040886640548706,1985-03-12
0.2041275054216385,1985-03-13
0.20098735392093658,1985-03-14
0.20098735392093658,1985-03-15
0.19470693171024323,1985-03-18
0.19470693171024323,1985-03-19
0.19470693171024323,1985-03-20
0.19470693171024323,1985-03-21
0.19470693171024323,1985-03-22
0.19470693171024323,1985-03-25
0.19470693171024323,1985-03-26
0.19156590104103088,1985-03-27
0.19156590104103088,1985-03-28
0.1884257048368454,1985-03-29
0.18214520812034607,1985-04-01
0.1695834994316101,1985-04-02
0.1695834994316101,1985-04-03
0.1538807600736618,1985-04-04
0.1538807600736618,1985-04-08
0.15074056386947632,1985-04-09
0.14760030806064606,1985-04-10
0.1633022278547287,1985-04-11
0.17900411784648895,1985-04-12
0.17586398124694824,1985-04-15
0.18214520812034607,1985-04-16
0.18528543412685394,1985-04-17
0.18528543412685394,1985-04-18
0.18528543412685394,1985-04-19
0.19470693171024323,1985-04-22
0.1978471577167511,1985-04-23
0.21354907751083374,1985-04-24
0.2261107712984085,1985-04-25
0.22297057509422302,1985-04-26
0.21983030438423157,1985-04-29
0.21668927371501923,1985-04-30
0.21668927371501923,1985-05-01
0.21668927371501923,1985-05-02
0.21983030438423157,1985-05-03
0.21983030438423157,1985-05-06
0.21983030438423157,1985-05-07
0.21983030438423157,1985-05-08
0.21983030438423157,1985-05-09
0.21983030438423157,1985-05-10
0.22297057509422302,1985-05-13
0.22297057509422302,1985-05-14
0.21983030438423157,1985-05-15
0.21983030438423157,1985-05-16
0.21983030438423157,1985-05-17
0.22297057509422302,1985-05-20
0.2418127954006195,1985-05-21
0.24495373666286469,1985-05-22
0.2543744444847107,1985-05-23
0.26065564155578613,1985-05-24
0.2543744444847107,1985-05-28
0.2543744444847107,1985-05-29
0.25751543045043945,1985-05-30
0.25751543045043945,1985-05-31
0.2700771391391754,1985-06-03
0.2794979214668274,1985-06-04
0.2857789695262909,1985-06-05
0.27635762095451355,1985-06-06
0.27635762095451355,1985-06-07
0.2857789695262909,1985-06-10
0.2794979214668274,1985-06-11
0.2920595109462738,1985-06-12
0.2920595109462738,1985-06-13
0.2920595109462738,1985-06-14
0.2889192998409271,1985-06-17
0.27635762095451355,1985-06-18
0.2732173800468445,1985-06-19
0.26379597187042236,1985-06-20
0.2700771391391754,1985-06-21
0.26379597187042236,1985-06-24
0.26693612337112427,1985-06-25
0.2700771391391754,1985-06-26
0.2732173800468445,1985-06-27
0.2826390266418457,1985-06-28
0.27635762095451355,1985-07-01
0.2857789695262909,1985-07-02
0.2794979214668274,1985-07-03
0.27635762095451355,1985-07-05
0.2700771391391754,1985-07-08
0.26693612337112427,1985-07-09
0.26379597187042236,1985-07-10
0.2732173800468445,1985-07-11
0.2794979214668274,1985-07-12
0.2794979214668274,1985-07-15
0.2857789695262909,1985-07-16
0.2920595109462738,1985-07-17
0.2920595109462738,1985-07-18
0.298340767621994,1985-07-19
0.30148112773895264,1985-07-22
0.2952006161212921,1985-07-23
0.2920595109462738,1985-07-24
0.2952006161212921,1985-07-25
0.2952006161212921,1985-07-26
0.2920595109462738,1985-07-29
0.2920595109462738,1985-07-30
0.2920595109462738,1985-07-31
0.2920595109462738,1985-08-01
0.2920595109462738,1985-08-02
0.2889192998409271,1985-08-05
0.2826390266418457,1985-08-06
0.24495373666286469,1985-08-07
0.24809402227401733,1985-08-08
0.24809402227401733,1985-08-09
0.24809402227401733,1985-08-12
0.23867253959178925,1985-08-13
0.24495373666286469,1985-08-14
0.2418127954006195,1985-08-15
0.2418127954006195,1985-08-16
0.2323920577764511,1985-08-19
0.2323920577764511,1985-08-20
0.26693612337112427,1985-08-21
0.26693612337112427,1985-08-22
0.26379597187042236,1985-08-23
0.26379597187042236,1985-08-26
0.26379597187042236,1985-08-27
0.26065564155578613,1985-08-28
0.26065564155578613,1985-08-29
0.26379597187042236,1985-08-30
0.2543744444847107,1985-09-03
0.24809402227401733,1985-09-04
0.24809402227401733,1985-09-05
0.251234233379364,1985-09-06
