Date,CTXS
2003-12-05,17.6035
2003-12-08,17.6274
2003-12-09,17.2452
2003-12-10,17.1019
2003-12-11,18.0494
2003-12-12,17.6115
2003-12-15,16.9108
2003-12-16,17.2691
2003-12-17,17.4761
2003-12-18,17.5159
2003-12-19,17.078
2003-12-22,17.1576
2003-12-23,17.285
2003-12-24,17.2054
2003-12-26,17.2213
2003-12-29,17.4283
2003-12-30,17.1576
2003-12-31,16.8471
2004-01-02,16.6083
2004-01-05,17.4761
2004-01-06,17.5955
2004-01-07,17.914
2004-01-08,17.3806
2004-01-09,16.9268
2004-01-12,17.2691
2004-01-13,16.4013
2004-01-14,16.4013
2004-01-15,17.1338
2004-01-16,17.0303
2004-01-20,17.9697
2004-01-21,17.8583
2004-01-22,18.0892
2004-01-23,17.3965
2004-01-26,16.7357
2004-01-27,16.879
2004-01-28,16.3774
2004-01-29,16.3137
2004-01-30,16.1624
2004-02-02,15.9236
2004-02-03,15.7006
2004-02-04,15.3981
2004-02-05,15.6449
2004-02-06,15.5971
2004-02-09,15.5255
2004-02-10,15.5255
2004-02-11,16.0271
2004-02-12,15.5892
2004-02-13,15.5016
2004-02-17,15.629
2004-02-18,15.5653
2004-02-19,15.3344
2004-02-20,16.25
2004-02-23,16.9188
2004-02-24,16.664
2004-02-25,16.6959
2004-02-26,17.0064
2004-02-27,16.9188
2004-03-01,16.5127
2004-03-02,16.1783
2004-03-03,15.9315
2004-03-04,16.0828
2004-03-05,15.9475
2004-03-08,15.422
2004-03-09,15.7564
2004-03-10,15.4857
2004-03-11,14.7293
2004-03-12,15.6051
2004-03-15,15.4697
2004-03-16,15.828
2004-03-17,16.1385
2004-03-18,16.5207
2004-03-19,16.5446
2004-03-22,16.3615
2004-03-23,16.1465
2004-03-24,16.3217
2004-03-25,17.6672
2004-03-26,17.6831
2004-03-29,17.8742
2004-03-30,17.6354
2004-03-31,17.2134
2004-04-01,17.6592
2004-04-02,18.3121
2004-04-05,18.3917
2004-04-06,18.0414
2004-04-07,18.0414
2004-04-08,18.2166
2004-04-12,18.336
2004-04-13,17.8901
2004-04-14,17.4363
2004-04-15,16.9745
2004-04-16,17.2293
2004-04-19,17.3885
2004-04-20,17.285
2004-04-21,17.2611
2004-04-22,16.9029
2004-04-23,17.1178
2004-04-26,16.5446
2004-04-27,16.5844
2004-04-28,15.629
2004-04-29,15.4936
2004-04-30,15.1672
2004-05-03,15.5255
2004-05-04,16.1385
2004-05-05,16.1385
2004-05-06,16.051
2004-05-07,15.9713
2004-05-10,16.0111
2004-05-11,16.2341
2004-05-12,16.2659
2004-05-13,16.3296
2004-05-14,16.1465
2004-05-17,15.8201
2004-05-18,15.8439
2004-05-19,15.7962
2004-05-20,15.7882
2004-05-21,15.9554
2004-05-24,16.1704
2004-05-25,16.6879
2004-05-26,16.6242
2004-05-27,16.3057
2004-05-28,16.6959
2004-06-01,16.2818
2004-06-02,16.0032
2004-06-03,15.9793
2004-06-04,16.051
2004-06-07,16.7038
2004-06-08,16.5446
2004-06-09,16.4331
2004-06-10,16.3615
2004-06-14,15.7564
2004-06-15,15.7484
2004-06-16,15.5653
2004-06-17,15.5255
2004-06-18,15.3742
2004-06-21,15.0159
2004-06-22,15.215
2004-06-23,15.2389
2004-06-24,15.5812
2004-06-25,15.8201
2004-06-28,15.6608
2004-06-29,16.0987
2004-06-30,16.2102
2004-07-01,15.2548
2004-07-02,15.0318
2004-07-06,14.2994
2004-07-07,13.9968
2004-07-08,13.8137
2004-07-09,14.0048
2004-07-12,14.2516
2004-07-13,13.7659
2004-07-14,13.3599
2004-07-15,13.5908
2004-07-16,13.2325
2004-07-19,13.3121
2004-07-20,13.6943
2004-07-21,13.1369
2004-07-22,13.4236
2004-07-23,13.2962
2004-07-26,13.4793
2004-07-27,13.7659
2004-07-28,13.6385
2004-07-29,13.8057
2004-07-30,14.0287
2004-08-02,13.9729
2004-08-03,13.0653
2004-08-04,12.6592
2004-08-05,12.3408
2004-08-06,12.0143
2004-08-09,12.3408
2004-08-10,12.7229
2004-08-11,12.5318
2004-08-12,12.2691
2004-08-13,12.3885
2004-08-16,12.699
2004-08-17,12.5876
2004-08-18,13.1449
2004-08-19,13.0653
2004-08-20,13.328
2004-08-23,13.0334
2004-08-24,12.8344
2004-08-25,12.9618
2004-08-26,12.7548
2004-08-27,12.8981
2004-08-30,12.6831
2004-08-31,12.6672
2004-09-01,12.9538
2004-09-02,13.2325
2004-09-03,12.7627
2004-09-07,12.922
2004-09-08,12.7229
2004-09-09,12.9777
2004-09-10,13.758
2004-09-13,14.164
2004-09-14,14.1242
2004-09-15,13.75
2004-09-16,14.0446
2004-09-17,14.4904
2004-09-20,14.1322
2004-09-21,14.3073
2004-09-22,13.9013
2004-09-23,13.8217
2004-09-24,13.6147
2004-09-27,13.6226
2004-09-28,13.3599
2004-09-29,14.0287
2004-09-30,13.949
2004-10-01,15.1831
2004-10-04,15.8201
2004-10-05,15.6927
2004-10-06,16.0828
2004-10-07,16.043
2004-10-08,16.0987
2004-10-11,16.3057
2004-10-12,16.5446
2004-10-13,16.672
2004-10-14,16.6401
2004-10-15,16.6799
2004-10-18,17.078
2004-10-19,17.3806
2004-10-20,16.465
2004-10-21,18.2882
2004-10-22,18.3997
2004-10-25,18.2643
2004-10-26,18.4793
2004-10-27,18.9809
2004-10-28,19.2675
2004-10-29,19.1162
2004-11-01,19.1083
2004-11-02,18.8615
2004-11-03,18.5908
2004-11-04,18.7898
2004-11-05,18.758
2004-11-08,18.742
2004-11-09,18.6545
2004-11-10,18.6306
2004-11-11,19.1003
2004-11-12,19.0287
2004-11-15,19.2994
2004-11-16,19.2834
2004-11-17,19.6417
2004-11-18,19.8169
2004-11-19,19.5621
2004-11-22,18.8615
2004-11-23,18.6545
2004-11-24,18.7739
2004-11-26,18.5032
2004-11-29,18.6624
2004-11-30,18.7978
2004-12-01,19.1003
2004-12-02,19.3073
2004-12-03,19.586
2004-12-06,19.9761
2004-12-07,19.6338
2004-12-08,19.8885
2004-12-09,19.8965
2004-12-10,19.9363
2004-12-13,19.9682
2004-12-14,20.1752
2004-12-15,20.5573
2004-12-16,20.0159
2004-12-17,20.2707
2004-12-20,19.992
2004-12-21,20.3981
2004-12-22,20.1752
2004-12-23,19.8965
2004-12-27,19.6099
2004-12-28,19.6736
2004-12-29,19.8726
2004-12-30,19.7611
2004-12-31,19.4745
2005-01-03,19.1879
2005-01-04,18.9172
2005-01-05,18.2803
2005-01-06,18.1608
2005-01-07,18.336
2005-01-10,18.121
2005-01-11,18.1688
2005-01-12,18.2166
2005-01-13,17.8105
2005-01-14,17.9459
2005-01-18,18.121
2005-01-19,17.8742
2005-01-20,17.7389
2005-01-21,17.4522
2005-01-24,17.5318
2005-01-25,17.8105
2005-01-26,18.1131
2005-01-27,18.4315
2005-01-28,17.1975
