UHS,Date
1.1183120012283325,1981-07-09
1.0837970972061157,1981-07-10
1.0768929719924927,1981-07-13
1.069990634918213,1981-07-14
1.0354743003845215,1981-07-15
1.0354743003845215,1981-07-16
1.0354743003845215,1981-07-17
0.9940553307533264,1981-07-20
0.9802484512329102,1981-07-21
0.9802484512329102,1981-07-22
0.9802484512329102,1981-07-23
0.9940553307533264,1981-07-24
1.0216678380966187,1981-07-27
1.0354743003845215,1981-07-28
1.0423779487609863,1981-07-29
1.0423779487609863,1981-07-30
1.0423779487609863,1981-07-31
1.0423779487609863,1981-08-03
1.0354743003845215,1981-08-04
1.0423779487609863,1981-08-05
1.0423779487609863,1981-08-06
1.007861852645874,1981-08-07
1.007861852645874,1981-08-10
1.007861852645874,1981-08-11
1.007861852645874,1981-08-12
1.007861852645874,1981-08-13
1.000959038734436,1981-08-14
1.000959038734436,1981-08-17
0.9319269061088562,1981-08-18
0.9388300180435181,1981-08-19
0.9388300180435181,1981-08-20
0.9112173318862915,1981-08-21
0.8628954291343689,1981-08-24
0.8559918999671936,1981-08-25
0.8283793330192566,1981-08-26
0.8007665872573853,1981-08-27
0.8145726919174194,1981-08-28
0.8283793330192566,1981-08-31
0.8283793330192566,1981-09-01
0.8145726919174194,1981-09-02
0.8145726919174194,1981-09-03
0.7938641309738159,1981-09-04
0.7731541991233826,1981-09-08
0.7731541991233826,1981-09-09
0.7869604825973511,1981-09-10
0.8214764595031738,1981-09-11
0.8214764595031738,1981-09-14
0.8421856164932251,1981-09-15
0.8421856164932251,1981-09-16
0.8559918999671936,1981-09-17
0.8559918999671936,1981-09-18
0.8559918999671936,1981-09-21
0.8007665872573853,1981-09-22
0.7731541991233826,1981-09-23
0.7662515640258789,1981-09-24
0.7386388182640076,1981-09-25
0.7179287672042847,1981-09-28
0.7386388182640076,1981-09-29
0.7455412149429321,1981-09-30
0.7455412149429321,1981-10-01
0.7731541991233826,1981-10-02
0.8352831602096558,1981-10-05
0.876702070236206,1981-10-06
0.876702070236206,1981-10-07
0.9250234961509705,1981-10-08
0.9388300180435181,1981-10-09
0.9388300180435181,1981-10-12
0.9388300180435181,1981-10-13
0.9250234961509705,1981-10-14
0.9250234961509705,1981-10-15
0.9319269061088562,1981-10-16
0.9250234961509705,1981-10-19
0.9319269061088562,1981-10-20
1.000959038734436,1981-10-21
1.0147652626037598,1981-10-22
1.007861852645874,1981-10-23
1.007861852645874,1981-10-26
1.0630866289138794,1981-10-27
1.1183120012283325,1981-10-28
1.1183120012283325,1981-10-29
1.1735373735427856,1981-10-30
1.2011504173278809,1981-11-02
1.2011504173278809,1981-11-03
1.194247841835022,1981-11-04
1.1597307920455933,1981-11-05
1.1528279781341553,1981-11-06
1.1459243297576904,1981-11-09
1.1183120012283325,1981-11-10
1.1045056581497192,1981-11-11
1.1045056581497192,1981-11-12
1.0976033210754395,1981-11-13
1.090699553489685,1981-11-16
1.090699553489685,1981-11-17
1.0976033210754395,1981-11-18
1.0837970972061157,1981-11-19
1.0837970972061157,1981-11-20
1.1114091873168945,1981-11-23
1.1183120012283325,1981-11-24
1.1183120012283325,1981-11-25
1.1114091873168945,1981-11-27
1.1321187019348145,1981-11-30
1.2149567604064941,1981-12-01
1.339213252067566,1981-12-02
1.3530200719833374,1981-12-03
1.3461169004440308,1981-12-04
1.3046977519989014,1981-12-07
1.180440902709961,1981-12-08
1.1873430013656616,1981-12-09
1.194247841835022,1981-12-10
1.194247841835022,1981-12-11
1.1459243297576904,1981-12-14
1.090699553489685,1981-12-15
1.0976033210754395,1981-12-16
1.1597307920455933,1981-12-17
1.1597307920455933,1981-12-18
1.1597307920455933,1981-12-21
1.1597307920455933,1981-12-22
1.1321187019348145,1981-12-23
1.1321187019348145,1981-12-24
1.1252152919769287,1981-12-28
1.1045056581497192,1981-12-29
1.0976033210754395,1981-12-30
1.0976033210754395,1981-12-31
1.1045056581497192,1982-01-04
1.1045056581497192,1982-01-05
1.1045056581497192,1982-01-06
1.1045056581497192,1982-01-07
1.0976033210754395,1982-01-08
1.0354743003845215,1982-01-11
1.000959038734436,1982-01-12
1.000959038734436,1982-01-13
1.000959038734436,1982-01-14
1.007861852645874,1982-01-15
1.007861852645874,1982-01-18
1.007861852645874,1982-01-19
1.007861852645874,1982-01-20
1.0354743003845215,1982-01-21
1.0354743003845215,1982-01-22
1.0285710096359253,1982-01-25
1.0216678380966187,1982-01-26
1.0285710096359253,1982-01-27
1.0285710096359253,1982-01-28
1.0423779487609863,1982-01-29
1.0423779487609863,1982-02-01
1.0630866289138794,1982-02-02
1.0630866289138794,1982-02-03
1.0630866289138794,1982-02-04
1.069990634918213,1982-02-05
1.0630866289138794,1982-02-08
1.0285710096359253,1982-02-09
1.0285710096359253,1982-02-10
1.0285710096359253,1982-02-11
1.0285710096359253,1982-02-12
1.0216678380966187,1982-02-16
1.0216678380966187,1982-02-17
1.007861852645874,1982-02-18
0.9940553307533264,1982-02-19
1.007861852645874,1982-02-22
1.007861852645874,1982-02-23
1.0216678380966187,1982-02-24
1.0423779487609863,1982-02-25
1.0423779487609863,1982-02-26
1.0423779487609863,1982-03-01
1.0630866289138794,1982-03-02
1.0630866289138794,1982-03-03
1.0630866289138794,1982-03-04
1.0492807626724243,1982-03-05
1.0423779487609863,1982-03-08
1.0285710096359253,1982-03-09
1.0354743003845215,1982-03-10
1.0354743003845215,1982-03-11
1.0354743003845215,1982-03-12
1.0354743003845215,1982-03-15
1.0354743003845215,1982-03-16
1.0354743003845215,1982-03-17
1.0354743003845215,1982-03-18
1.0354743003845215,1982-03-19
1.0423779487609863,1982-03-22
1.0492807626724243,1982-03-23
