TTD,Date
3.009999990463257,2016-09-21
2.890000104904175,2016-09-22
2.7660000324249268,2016-09-23
2.7769999504089355,2016-09-26
2.997999906539917,2016-09-27
3.3389999866485596,2016-09-28
2.8989999294281006,2016-09-29
2.9210000038146973,2016-09-30
2.638000011444092,2016-10-03
2.382999897003174,2016-10-04
2.4779999256134033,2016-10-05
2.6080000400543213,2016-10-06
2.625999927520752,2016-10-07
2.5280001163482666,2016-10-10
2.552000045776367,2016-10-11
2.690000057220459,2016-10-12
2.5969998836517334,2016-10-13
2.635999917984009,2016-10-14
2.627000093460083,2016-10-17
2.5880000591278076,2016-10-18
2.5460000038146973,2016-10-19
2.6489999294281006,2016-10-20
2.747999906539917,2016-10-21
2.8519999980926514,2016-10-24
2.880000114440918,2016-10-25
2.818000078201294,2016-10-26
2.552000045776367,2016-10-27
2.561000108718872,2016-10-28
2.5179998874664307,2016-10-31
2.5239999294281006,2016-11-01
2.443000078201294,2016-11-02
2.2899999618530273,2016-11-03
2.38700008392334,2016-11-04
2.2899999618530273,2016-11-07
2.2799999713897705,2016-11-08
2.2950000762939453,2016-11-09
2.3429999351501465,2016-11-10
2.5450000762939453,2016-11-11
2.5769999027252197,2016-11-14
2.5250000953674316,2016-11-15
2.5360000133514404,2016-11-16
2.5929999351501465,2016-11-17
2.9100000858306885,2016-11-18
2.933000087738037,2016-11-21
2.872999906539917,2016-11-22
3.0190000534057617,2016-11-23
2.9079999923706055,2016-11-25
2.6700000762939453,2016-11-28
2.7119998931884766,2016-11-29
2.6579999923706055,2016-11-30
2.6080000400543213,2016-12-01
2.619999885559082,2016-12-02
2.6619999408721924,2016-12-05
2.809999942779541,2016-12-06
2.757999897003174,2016-12-07
2.740999937057495,2016-12-08
2.746999979019165,2016-12-09
2.936000108718872,2016-12-12
2.928999900817871,2016-12-13
2.799999952316284,2016-12-14
2.9519999027252197,2016-12-15
2.9230000972747803,2016-12-16
2.921999931335449,2016-12-19
3.109999895095825,2016-12-20
3.0360000133514404,2016-12-21
3.0320000648498535,2016-12-22
3.015000104904175,2016-12-23
2.99399995803833,2016-12-27
2.8489999771118164,2016-12-28
2.8380000591278076,2016-12-29
2.7669999599456787,2016-12-30
2.693000078201294,2017-01-03
2.7100000381469727,2017-01-04
2.744999885559082,2017-01-05
2.7699999809265137,2017-01-06
2.8440001010894775,2017-01-09
2.885999917984009,2017-01-10
2.9749999046325684,2017-01-11
2.937000036239624,2017-01-12
2.934999942779541,2017-01-13
2.8989999294281006,2017-01-17
2.9010000228881836,2017-01-18
2.9000000953674316,2017-01-19
2.9260001182556152,2017-01-20
2.9790000915527344,2017-01-23
2.9649999141693115,2017-01-24
3.0409998893737793,2017-01-25
3.078000068664551,2017-01-26
3.0829999446868896,2017-01-27
2.9749999046325684,2017-01-30
2.9660000801086426,2017-01-31
2.9590001106262207,2017-02-01
2.9019999504089355,2017-02-02
2.8919999599456787,2017-02-03
2.880000114440918,2017-02-06
2.8550000190734863,2017-02-07
2.8340001106262207,2017-02-08
2.9040000438690186,2017-02-09
2.9049999713897705,2017-02-10
3.00600004196167,2017-02-13
3.0350000858306885,2017-02-14
3.1670000553131104,2017-02-15
3.3359999656677246,2017-02-16
3.240999937057495,2017-02-17
3.5,2017-02-21
3.430000066757202,2017-02-22
3.6389999389648438,2017-02-23
3.7320001125335693,2017-02-24
3.683000087738037,2017-02-27
4.2210001945495605,2017-02-28
4.304999828338623,2017-03-01
4.24399995803833,2017-03-02
4.460000038146973,2017-03-03
4.234000205993652,2017-03-06
4.4079999923706055,2017-03-07
4.330999851226807,2017-03-08
4.438000202178955,2017-03-09
4.578999996185303,2017-03-10
4.335000038146973,2017-03-13
4.122000217437744,2017-03-14
4.15500020980835,2017-03-15
4.01800012588501,2017-03-16
3.9509999752044678,2017-03-17
3.809999942779541,2017-03-20
3.755000114440918,2017-03-21
3.864000082015991,2017-03-22
3.7019999027252197,2017-03-23
3.6019999980926514,2017-03-24
3.7219998836517334,2017-03-27
3.6489999294281006,2017-03-28
3.7980000972747803,2017-03-29
3.6730000972747803,2017-03-30
3.7249999046325684,2017-03-31
3.7019999027252197,2017-04-03
3.632999897003174,2017-04-04
3.7049999237060547,2017-04-05
3.7709999084472656,2017-04-06
3.6989998817443848,2017-04-07
3.690000057220459,2017-04-10
3.755000114440918,2017-04-11
3.7209999561309814,2017-04-12
3.684999942779541,2017-04-13
3.6440000534057617,2017-04-17
3.5190000534057617,2017-04-18
3.5859999656677246,2017-04-19
3.622999906539917,2017-04-20
3.5980000495910645,2017-04-21
3.6470000743865967,2017-04-24
3.619999885559082,2017-04-25
3.632999897003174,2017-04-26
3.7690000534057617,2017-04-27
3.734999895095825,2017-04-28
3.759000062942505,2017-05-01
3.828000068664551,2017-05-02
3.805999994277954,2017-05-03
3.984999895095825,2017-05-04
4.006999969482422,2017-05-05
4.039000034332275,2017-05-08
4.085999965667725,2017-05-09
4.005000114440918,2017-05-10
3.989000082015991,2017-05-11
5.190000057220459,2017-05-12
5.35699987411499,2017-05-15
5.21999979019165,2017-05-16
4.775000095367432,2017-05-17
5.138000011444092,2017-05-18
5.006999969482422,2017-05-19
5.250999927520752,2017-05-22
5.3480000495910645,2017-05-23
5.150000095367432,2017-05-24
5.198999881744385,2017-05-25
5.223999977111816,2017-05-26
5.348999977111816,2017-05-30
5.5,2017-05-31
5.495999813079834,2017-06-01
5.696000099182129,2017-06-02
5.568999767303467,2017-06-05
5.584000110626221,2017-06-06
5.438000202178955,2017-06-07
5.544000148773193,2017-06-08
5.136000156402588,2017-06-09
5.005000114440918,2017-06-12
5.014999866485596,2017-06-13
4.923999786376953,2017-06-14
4.864999771118164,2017-06-15
4.993000030517578,2017-06-16
5.206999778747559,2017-06-19
5.089000225067139,2017-06-20
5.235000133514404,2017-06-21
5.184999942779541,2017-06-22
5.421000003814697,2017-06-23
5.308000087738037,2017-06-26
5.051000118255615,2017-06-27
5.254000186920166,2017-06-28
5.084000110626221,2017-06-29
5.011000156402588,2017-06-30
4.9720001220703125,2017-07-03
4.98799991607666,2017-07-05
4.863999843597412,2017-07-06
4.989999771118164,2017-07-07
5.014999866485596,2017-07-10
5.117000102996826,2017-07-11
5.151000022888184,2017-07-12
5.079999923706055,2017-07-13
5.10099983215332,2017-07-14
5.039000034332275,2017-07-17
4.988999843597412,2017-07-18
5.468999862670898,2017-07-19
5.452000141143799,2017-07-20
5.232999801635742,2017-07-21
5.410999774932861,2017-07-24
5.567999839782715,2017-07-25
5.497000217437744,2017-07-26
5.309999942779541,2017-07-27
5.341000080108643,2017-07-28
5.330999851226807,2017-07-31
5.3420000076293945,2017-08-01
5.301000118255615,2017-08-02
5.447999954223633,2017-08-03
5.339000225067139,2017-08-04
5.551000118255615,2017-08-07
5.452000141143799,2017-08-08
5.39900016784668,2017-08-09
5.00600004196167,2017-08-10
5.445000171661377,2017-08-11
5.363999843597412,2017-08-14
5.1020002365112305,2017-08-15
5.057000160217285,2017-08-16
4.836999893188477,2017-08-17
4.951000213623047,2017-08-18
5.001999855041504,2017-08-21
5.0279998779296875,2017-08-22
4.999000072479248,2017-08-23
5.099999904632568,2017-08-24
5.104000091552734,2017-08-25
5.139999866485596,2017-08-28
5.175000190734863,2017-08-29
5.300000190734863,2017-08-30
5.296999931335449,2017-08-31
5.36899995803833,2017-09-01
5.35099983215332,2017-09-05
5.485000133514404,2017-09-06
5.708000183105469,2017-09-07
5.623000144958496,2017-09-08
6.057000160217285,2017-09-11
6.168000221252441,2017-09-12
6.01200008392334,2017-09-13
5.96999979019165,2017-09-14
5.98799991607666,2017-09-15
6.008999824523926,2017-09-18
6.171999931335449,2017-09-19
5.980999946594238,2017-09-20
5.953999996185303,2017-09-21
5.980000019073486,2017-09-22
5.636000156402588,2017-09-25
5.60099983215332,2017-09-26
5.7789998054504395,2017-09-27
5.831999778747559,2017-09-28
6.151000022888184,2017-09-29
5.955999851226807,2017-10-02
6.052999973297119,2017-10-03
6.013999938964844,2017-10-04
6.0960001945495605,2017-10-05
6.427999973297119,2017-10-06
6.418000221252441,2017-10-09
6.4120001792907715,2017-10-10
6.486000061035156,2017-10-11
6.531000137329102,2017-10-12
6.651000022888184,2017-10-13
6.453000068664551,2017-10-16
6.388999938964844,2017-10-17
6.4070000648498535,2017-10-18
6.323999881744385,2017-10-19
6.361999988555908,2017-10-20
6.3460001945495605,2017-10-23
6.330999851226807,2017-10-24
6.256999969482422,2017-10-25
6.26800012588501,2017-10-26
6.396999835968018,2017-10-27
6.420000076293945,2017-10-30
6.5920000076293945,2017-10-31
6.506999969482422,2017-11-01
6.406000137329102,2017-11-02
6.461999893188477,2017-11-03
6.538000106811523,2017-11-06
6.466000080108643,2017-11-07
6.164999961853027,2017-11-08
5.927999973297119,2017-11-09
5.0995001792907715,2017-11-10
4.8404998779296875,2017-11-13
4.704999923706055,2017-11-14
4.823999881744385,2017-11-15
4.889999866485596,2017-11-16
5.000999927520752,2017-11-17
5.039999961853027,2017-11-20
5.191999912261963,2017-11-21
5.111999988555908,2017-11-22
5.11899995803833,2017-11-24
4.988999843597412,2017-11-27
5.013999938964844,2017-11-28
4.841000080108643,2017-11-29
4.914000034332275,2017-11-30
4.800000190734863,2017-12-01
4.525000095367432,2017-12-04
4.506999969482422,2017-12-05
4.418000221252441,2017-12-06
4.533999919891357,2017-12-07
4.525000095367432,2017-12-08
4.829999923706055,2017-12-11
4.685999870300293,2017-12-12
4.900000095367432,2017-12-13
4.896999835968018,2017-12-14
4.925000190734863,2017-12-15
4.980000019073486,2017-12-18
4.894000053405762,2017-12-19
4.959000110626221,2017-12-20
4.616000175476074,2017-12-21
4.622000217437744,2017-12-22
4.6479997634887695,2017-12-26
4.701000213623047,2017-12-27
4.642000198364258,2017-12-28
4.572999954223633,2017-12-29
4.640999794006348,2018-01-02
4.790999889373779,2018-01-03
4.764999866485596,2018-01-04
4.835000038146973,2018-01-05
4.7870001792907715,2018-01-08
4.742000102996826,2018-01-09
4.789999961853027,2018-01-10
4.895999908447266,2018-01-11
4.913000106811523,2018-01-12
4.833000183105469,2018-01-16
4.947999954223633,2018-01-17
4.835999965667725,2018-01-18
4.736000061035156,2018-01-19
4.864999771118164,2018-01-22
4.940000057220459,2018-01-23
4.880000114440918,2018-01-24
4.947999954223633,2018-01-25
5.124000072479248,2018-01-26
5.054999828338623,2018-01-29
4.86899995803833,2018-01-30
4.8480000495910645,2018-01-31
4.583000183105469,2018-02-01
4.676000118255615,2018-02-02
4.510000228881836,2018-02-05
4.546999931335449,2018-02-06
4.420000076293945,2018-02-07
4.334000110626221,2018-02-08
4.28000020980835,2018-02-09
4.388000011444092,2018-02-12
4.521999835968018,2018-02-13
4.7210001945495605,2018-02-14
4.830999851226807,2018-02-15
4.841000080108643,2018-02-16
5.019999980926514,2018-02-20
4.980999946594238,2018-02-21
4.840000152587891,2018-02-22
5.99399995803833,2018-02-23
5.736999988555908,2018-02-26
5.556000232696533,2018-02-27
5.625999927520752,2018-02-28
5.432000160217285,2018-03-01
5.690999984741211,2018-03-02
5.823999881744385,2018-03-05
5.798999786376953,2018-03-06
5.86899995803833,2018-03-07
5.791999816894531,2018-03-08
5.886000156402588,2018-03-09
5.953000068664551,2018-03-12
5.795000076293945,2018-03-13
5.85699987411499,2018-03-14
5.839000225067139,2018-03-15
5.790999889373779,2018-03-16
5.559999942779541,2018-03-19
5.699999809265137,2018-03-20
5.651000022888184,2018-03-21
5.452000141143799,2018-03-22
5.334000110626221,2018-03-23
5.521999835968018,2018-03-26
5.223999977111816,2018-03-27
5.0960001945495605,2018-03-28
4.961999893188477,2018-03-29
4.801000118255615,2018-04-02
4.745999813079834,2018-04-03
4.789999961853027,2018-04-04
4.89900016784668,2018-04-05
4.76800012588501,2018-04-06
4.794000148773193,2018-04-09
4.973999977111816,2018-04-10
5.085999965667725,2018-04-11
