ATVI,Date
0.8223251104354858,1993-10-25
0.7583880424499512,1993-10-26
0.7583880424499512,1993-10-27
0.7218248844146729,1993-10-28
0.7309625148773193,1993-10-29
0.7675397992134094,1993-11-01
0.7675397992134094,1993-11-02
0.8406286239624023,1993-11-03
0.8406286239624023,1993-11-04
0.877155065536499,1993-11-05
0.877155065536499,1993-11-08
0.7675397992134094,1993-11-09
0.7858065962791443,1993-11-10
0.7858065962791443,1993-11-11
0.7858065962791443,1993-11-12
0.7858065962791443,1993-11-15
0.8954139351844788,1993-11-16
0.8040584325790405,1993-11-17
0.8040584325790405,1993-11-18
0.776654839515686,1993-11-19
0.8314768671989441,1993-11-22
0.8040584325790405,1993-11-23
0.7858065962791443,1993-11-24
0.7858065962791443,1993-11-26
0.8406286239624023,1993-11-29
0.8406286239624023,1993-11-30
0.8406286239624023,1993-12-01
0.8223251104354858,1993-12-02
0.8040584325790405,1993-12-03
0.8040584325790405,1993-12-06
0.7675397992134094,1993-12-07
0.7675397992134094,1993-12-08
0.7675397992134094,1993-12-09
0.7492362856864929,1993-12-10
0.7675397992134094,1993-12-13
0.7492362856864929,1993-12-14
0.7583880424499512,1993-12-15
0.7492362856864929,1993-12-16
0.7492362856864929,1993-12-17
0.7858065962791443,1993-12-20
0.7858065962791443,1993-12-21
0.7858065962791443,1993-12-22
0.7492362856864929,1993-12-23
0.8223251104354858,1993-12-27
0.877155065536499,1993-12-28
0.9868061542510986,1993-12-29
0.9685468077659607,1993-12-30
0.9685468077659607,1993-12-31
1.0233477354049683,1994-01-03
0.9685468077659607,1994-01-04
1.0233477354049683,1994-01-05
0.9776544570922852,1994-01-06
0.9593955874443054,1994-01-07
0.9502508044242859,1994-01-10
0.9319841265678406,1994-01-11
0.9685468077659607,1994-01-12
0.9411361217498779,1994-01-13
0.9685468077659607,1994-01-14
0.9685468077659607,1994-01-17
0.8954139351844788,1994-01-18
0.9502508044242859,1994-01-19
0.8040584325790405,1994-01-20
0.7675397992134094,1994-01-21
0.7126730680465698,1994-01-24
0.6213175654411316,1994-01-25
0.7126730680465698,1994-01-26
0.7858065962791443,1994-01-27
0.8040584325790405,1994-01-28
0.8040584325790405,1994-01-31
0.7126730680465698,1994-02-01
0.8040584325790405,1994-02-02
0.7583880424499512,1994-02-03
0.7492362856864929,1994-02-04
0.7675397992134094,1994-02-07
0.7675397992134094,1994-02-08
0.8223251104354858,1994-02-09
0.7309625148773193,1994-02-10
0.8223251104354858,1994-02-14
0.8223251104354858,1994-02-15
0.7309625148773193,1994-02-16
0.7309625148773193,1994-02-17
0.8588954210281372,1994-02-18
0.8588954210281372,1994-02-22
0.7309625148773193,1994-02-23
0.7309625148773193,1994-02-24
0.7309625148773193,1994-02-25
0.8406286239624023,1994-02-28
0.8406286239624023,1994-03-01
0.7675397992134094,1994-03-02
0.7675397992134094,1994-03-03
0.7309625148773193,1994-03-07
0.7126730680465698,1994-03-08
0.7126730680465698,1994-03-09
0.7126730680465698,1994-03-10
0.8040584325790405,1994-03-11
0.6944141983985901,1994-03-14
0.6944141983985901,1994-03-15
0.7309625148773193,1994-03-16
0.6578658223152161,1994-03-17
0.6213175654411316,1994-03-18
0.6031025648117065,1994-03-21
0.6396280527114868,1994-03-22
0.6761474609375,1994-03-23
0.6578658223152161,1994-03-24
0.6031025648117065,1994-03-25
0.6031025648117065,1994-03-28
0.6031025648117065,1994-03-29
0.6578658223152161,1994-03-30
0.6304763555526733,1994-03-31
0.6304763555526733,1994-04-04
0.6578658223152161,1994-04-05
0.6578879356384277,1994-04-07
0.6213175654411316,1994-04-08
0.6578658223152161,1994-04-11
0.6304763555526733,1994-04-13
0.5847700834274292,1994-04-14
0.5482286810874939,1994-04-15
0.5116733908653259,1994-04-18
0.5116733908653259,1994-04-19
0.5116733908653259,1994-04-20
0.42942577600479126,1994-04-21
0.42942577600479126,1994-04-22
0.42942577600479126,1994-04-25
0.42942577600479126,1994-04-26
0.4020511507987976,1994-04-28
0.4385775327682495,1994-04-29
0.45688027143478394,1994-05-02
0.45688027143478394,1994-05-03
0.49340665340423584,1994-05-04
0.49340665340423584,1994-05-05
0.4477284550666809,1994-05-06
0.4477284550666809,1994-05-09
0.4203178882598877,1994-05-10
0.4385775327682495,1994-05-11
0.4385775327682495,1994-05-12
0.5299690961837769,1994-05-13
0.5299690961837769,1994-05-16
0.47513994574546814,1994-05-17
0.47513994574546814,1994-05-18
0.38374757766723633,1994-05-19
0.38374757766723633,1994-05-20
0.38374757766723633,1994-05-23
0.365480899810791,1994-05-24
0.365480899810791,1994-05-25
0.4385775327682495,1994-05-26
0.4203178882598877,1994-05-27
0.4203178882598877,1994-05-31
0.38374757766723633,1994-06-01
0.38374757766723633,1994-06-02
0.38374757766723633,1994-06-03
0.38374757766723633,1994-06-06
0.4020511507987976,1994-06-07
0.4020511507987976,1994-06-08
0.4020511507987976,1994-06-09
0.49340665340423584,1994-06-10
0.365480899810791,1994-06-14
0.365480899810791,1994-06-15
0.38374757766723633,1994-06-16
0.4020511507987976,1994-06-17
0.4203178882598877,1994-06-20
0.365480899810791,1994-06-21
0.3746396601200104,1994-06-22
0.3746396601200104,1994-06-23
0.3746396601200104,1994-06-24
0.365480899810791,1994-06-27
0.365480899810791,1994-06-28
0.3700418174266815,1994-06-29
0.365480899810791,1994-07-01
0.365480899810791,1994-07-05
0.365480899810791,1994-07-06
0.2558726370334625,1994-07-07
0.38374757766723633,1994-07-08
0.38374757766723633,1994-07-11
0.365480899810791,1994-07-12
0.3289184868335724,1994-07-13
