MDB,Date
32.06999969482422,2017-10-19
30.68000030517578,2017-10-20
30.5,2017-10-23
30.56999969482422,2017-10-24
31.0,2017-10-25
31.100000381469727,2017-10-26
30.889999389648438,2017-10-27
29.850000381469727,2017-10-30
30.479999542236328,2017-10-31
29.799999237060547,2017-11-01
29.950000762939453,2017-11-02
29.6299991607666,2017-11-03
30.610000610351562,2017-11-06
29.809999465942383,2017-11-07
29.8799991607666,2017-11-08
29.219999313354492,2017-11-09
30.200000762939453,2017-11-10
30.68000030517578,2017-11-13
29.8799991607666,2017-11-14
29.6299991607666,2017-11-15
29.8700008392334,2017-11-16
29.829999923706055,2017-11-17
29.260000228881836,2017-11-20
29.209999084472656,2017-11-21
29.280000686645508,2017-11-22
29.920000076293945,2017-11-24
29.690000534057617,2017-11-27
29.549999237060547,2017-11-28
28.709999084472656,2017-11-29
28.530000686645508,2017-11-30
27.799999237060547,2017-12-01
27.360000610351562,2017-12-04
26.149999618530273,2017-12-05
26.8700008392334,2017-12-06
26.6200008392334,2017-12-07
25.760000228881836,2017-12-08
26.860000610351562,2017-12-11
29.0,2017-12-12
27.350000381469727,2017-12-13
28.1299991607666,2017-12-14
29.420000076293945,2017-12-15
28.299999237060547,2017-12-18
28.049999237060547,2017-12-19
29.5,2017-12-20
28.68000030517578,2017-12-21
28.450000762939453,2017-12-22
28.799999237060547,2017-12-26
29.100000381469727,2017-12-27
30.239999771118164,2017-12-28
29.68000030517578,2017-12-29
29.25,2018-01-02
29.149999618530273,2018-01-03
29.049999237060547,2018-01-04
29.049999237060547,2018-01-05
28.809999465942383,2018-01-08
28.790000915527344,2018-01-09
28.8700008392334,2018-01-10
29.610000610351562,2018-01-11
29.280000686645508,2018-01-12
29.059999465942383,2018-01-16
29.530000686645508,2018-01-17
29.079999923706055,2018-01-18
29.1200008392334,2018-01-19
28.809999465942383,2018-01-22
28.829999923706055,2018-01-23
28.170000076293945,2018-01-24
28.010000228881836,2018-01-25
28.190000534057617,2018-01-26
27.68000030517578,2018-01-29
27.829999923706055,2018-01-30
27.110000610351562,2018-01-31
27.450000762939453,2018-02-01
26.520000457763672,2018-02-02
25.8799991607666,2018-02-05
25.780000686645508,2018-02-06
26.389999389648438,2018-02-07
26.5,2018-02-08
26.399999618530273,2018-02-09
27.15999984741211,2018-02-12
28.149999618530273,2018-02-13
30.1299991607666,2018-02-14
29.889999389648438,2018-02-15
29.959999084472656,2018-02-16
30.270000457763672,2018-02-20
31.049999237060547,2018-02-21
30.079999923706055,2018-02-22
31.6200008392334,2018-02-23
30.8700008392334,2018-02-26
31.399999618530273,2018-02-27
32.209999084472656,2018-02-28
32.939998626708984,2018-03-01
35.25,2018-03-02
36.0099983215332,2018-03-05
34.52000045776367,2018-03-06
38.02000045776367,2018-03-07
38.560001373291016,2018-03-08
37.790000915527344,2018-03-09
