TROW,Date
0.35303956270217896,1986-04-02
0.39759767055511475,1986-04-03
0.39759767055511475,1986-04-04
0.39074254035949707,1986-04-07
0.39759767055511475,1986-04-08
0.404452919960022,1986-04-09
0.42501822113990784,1986-04-10
0.4387286603450775,1986-04-11
0.4558667242527008,1986-04-14
0.4592936038970947,1986-04-15
0.4901420772075653,1986-04-16
0.49699723720550537,1986-04-17
0.507279634475708,1986-04-18
0.5586932301521301,1986-04-21
0.5792590379714966,1986-04-22
0.5792590379714966,1986-04-23
0.5826861262321472,1986-04-24
0.5861138105392456,1986-04-25
0.5826861262321472,1986-04-28
0.5861138105392456,1986-04-29
0.5278453826904297,1986-04-30
0.5107077360153198,1986-05-01
0.5141348838806152,1986-05-02
0.5141348838806152,1986-05-05
0.5141348838806152,1986-05-06
0.4832870066165924,1986-05-07
0.47643187642097473,1986-05-08
0.4901420772075653,1986-05-09
0.47643187642097473,1986-05-12
0.44901150465011597,1986-05-13
0.4627217650413513,1986-05-14
0.4592936038970947,1986-05-15
0.45243892073631287,1986-05-16
0.4421563744544983,1986-05-19
0.4421563744544983,1986-05-20
0.44901150465011597,1986-05-21
0.4558667242527008,1986-05-22
0.4901420772075653,1986-05-23
0.5244179368019104,1986-05-27
0.534700334072113,1986-05-28
0.5244179368019104,1986-05-29
0.5107077360153198,1986-05-30
0.5004245638847351,1986-06-02
0.49699723720550537,1986-06-03
0.5021387338638306,1986-06-04
0.5141348838806152,1986-06-05
0.5141348838806152,1986-06-06
0.5004245638847351,1986-06-09
0.49356967210769653,1986-06-10
0.5038524866104126,1986-06-11
0.5038524866104126,1986-06-12
0.507279634475708,1986-06-13
0.5107077360153198,1986-06-16
0.5107077360153198,1986-06-17
0.5038524866104126,1986-06-18
0.507279634475708,1986-06-19
0.5004245638847351,1986-06-20
0.5038524866104126,1986-06-23
0.5004245638847351,1986-06-24
0.49356967210769653,1986-06-25
0.4832870066165924,1986-06-26
0.4798593521118164,1986-06-27
0.47643187642097473,1986-06-30
0.4627217650413513,1986-07-01
0.4592936038970947,1986-07-02
0.4592936038970947,1986-07-03
0.44901150465011597,1986-07-07
0.4421563744544983,1986-07-08
0.44901150465011597,1986-07-09
0.44558343291282654,1986-07-10
0.4387286603450775,1986-07-11
0.41816315054893494,1986-07-14
