EL,Date
6.4894609451293945,1995-11-17
6.254334926605225,1995-11-20
6.136773586273193,1995-11-21
6.3248748779296875,1995-11-22
6.559999465942383,1995-11-24
6.5835113525390625,1995-11-27
6.4894609451293945,1995-11-28
6.5835113525390625,1995-11-29
6.84214973449707,1995-11-30
6.771609306335449,1995-12-01
6.701074600219727,1995-12-04
6.607024192810059,1995-12-05
6.630539417266846,1995-12-06
6.5835113525390625,1995-12-07
6.748097896575928,1995-12-08
6.84214973449707,1995-12-11
6.5835113525390625,1995-12-12
6.536487102508545,1995-12-13
6.348387241363525,1995-12-14
6.301359176635742,1995-12-15
6.230821132659912,1995-12-18
6.348387241363525,1995-12-19
6.4894609451293945,1995-12-20
6.536487102508545,1995-12-21
6.5835113525390625,1995-12-22
6.418923854827881,1995-12-26
6.654047012329102,1995-12-27
6.630539417266846,1995-12-28
6.559999465942383,1995-12-29
6.5835113525390625,1996-01-02
6.559999465942383,1996-01-03
6.512974262237549,1996-01-04
6.348387241363525,1996-01-05
6.371896743774414,1996-01-08
6.301359176635742,1996-01-09
6.230821132659912,1996-01-10
6.371896743774414,1996-01-11
6.536487102508545,1996-01-12
6.512974262237549,1996-01-15
6.348387241363525,1996-01-16
6.301359176635742,1996-01-17
6.136773586273193,1996-01-18
6.089747428894043,1996-01-19
6.254334926605225,1996-01-22
6.136773586273193,1996-01-23
6.230821132659912,1996-01-24
6.442433834075928,1996-01-25
6.442433834075928,1996-01-26
6.348387241363525,1996-01-29
6.959714889526367,1996-01-30
6.9361982345581055,1996-01-31
6.795124530792236,1996-02-01
6.959714889526367,1996-02-02
7.07727575302124,1996-02-05
7.1242995262146,1996-02-06
7.3594279289245605,1996-02-07
7.1948347091674805,1996-02-08
7.218352794647217,1996-02-09
7.030251502990723,1996-02-12
6.912685394287109,1996-02-13
6.88917350769043,1996-02-14
7.030251502990723,1996-02-15
6.912685394287109,1996-02-16
6.818637847900391,1996-02-20
6.865663051605225,1996-02-21
6.84214973449707,1996-02-22
7.006736755371094,1996-02-23
6.959714889526367,1996-02-26
6.88917350769043,1996-02-27
6.9361982345581055,1996-02-28
6.88917350769043,1996-02-29
7.1242995262146,1996-03-01
7.053762435913086,1996-03-04
7.07727575302124,1996-03-05
7.006736755371094,1996-03-06
6.9361982345581055,1996-03-07
6.771609306335449,1996-03-08
6.677560806274414,1996-03-11
6.512974262237549,1996-03-12
6.717566013336182,1996-03-13
6.717566013336182,1996-03-14
6.576143741607666,1996-03-15
6.76470422744751,1996-03-18
6.717566013336182,1996-03-19
6.576143741607666,1996-03-20
6.529003143310547,1996-03-21
6.529003143310547,1996-03-22
6.623283386230469,1996-03-25
6.788271903991699,1996-03-26
6.8589887619018555,1996-03-27
6.8589887619018555,1996-03-28
6.7411370277404785,1996-03-29
6.8589887619018555,1996-04-01
6.717566013336182,1996-04-02
6.623283386230469,1996-04-03
6.623283386230469,1996-04-04
6.552572250366211,1996-04-08
6.552572250366211,1996-04-09
6.529003143310547,1996-04-10
6.529003143310547,1996-04-11
6.599712371826172,1996-04-12
6.6704230308532715,1996-04-15
6.693994045257568,1996-04-16
6.505431175231934,1996-04-17
6.36400842666626,1996-04-18
6.481861591339111,1996-04-19
6.529003143310547,1996-04-22
6.411148548126221,1996-04-23
6.269725322723389,1996-04-24
6.293296813964844,1996-04-25
7.094692230224609,1996-04-26
7.165402412414551,1996-04-29
6.906127452850342,1996-04-30
6.882558345794678,1996-05-01
6.906127452850342,1996-05-02
6.882558345794678,1996-05-03
6.906127452850342,1996-05-06
6.8589887619018555,1996-05-07
6.953268051147461,1996-05-08
7.023979663848877,1996-05-09
7.000411033630371,1996-05-10
6.953268051147461,1996-05-13
6.882558345794678,1996-05-14
6.788271903991699,1996-05-15
7.1418328285217285,1996-05-16
7.1418328285217285,1996-05-17
7.094692230224609,1996-05-20
6.906127452850342,1996-05-21
6.8589887619018555,1996-05-22
6.835417747497559,1996-05-23
6.882558345794678,1996-05-24
7.118257522583008,1996-05-28
7.094692230224609,1996-05-29
7.236116409301758,1996-05-30
7.165402412414551,1996-05-31
7.118257522583008,1996-06-03
7.118257522583008,1996-06-04
7.44824743270874,1996-06-05
7.5425262451171875,1996-06-06
7.5425262451171875,1996-06-07
7.495388031005859,1996-06-10
7.613236904144287,1996-06-11
7.700159072875977,1996-06-12
7.676544666290283,1996-06-13
7.558437347412109,1996-06-14
7.156898498535156,1996-06-17
7.156898498535156,1996-06-18
7.133276462554932,1996-06-19
7.156898498535156,1996-06-20
7.369482517242432,1996-06-21
7.369482517242432,1996-06-24
7.534821033477783,1996-06-25
7.74739933013916,1996-06-26
7.959983825683594,1996-06-27
7.983604907989502,1996-06-28
8.078083038330078,1996-07-01
8.030845642089844,1996-07-02
7.88912296295166,1996-07-03
7.912744998931885,1996-07-05
7.818264484405518,1996-07-08
7.88912296295166,1996-07-09
7.818264484405518,1996-07-10
7.487576484680176,1996-07-11
7.369482517242432,1996-07-12
6.944319725036621,1996-07-15
7.133276462554932,1996-07-16
7.062417507171631,1996-07-17
7.393104553222656,1996-07-18
7.322238922119141,1996-07-19
7.393104553222656,1996-07-22
7.369482517242432,1996-07-23
7.109658241271973,1996-07-24
7.204140663146973,1996-07-25
7.227758884429932,1996-07-26
7.1805195808410645,1996-07-29
7.298620223999023,1996-07-30
7.27500057220459,1996-07-31
7.416717529296875,1996-08-01
7.2513813972473145,1996-08-02
7.227758884429932,1996-08-05
7.2513813972473145,1996-08-06
7.2513813972473145,1996-08-07
7.227758884429932,1996-08-08
7.1805195808410645,1996-08-09
7.27500057220459,1996-08-12
7.605679512023926,1996-08-13
7.700159072875977,1996-08-14
8.030845642089844,1996-08-15
7.865505695343018,1996-08-16
8.030845642089844,1996-08-19
8.290665626525879,1996-08-20
8.148941040039062,1996-08-21
8.125324249267578,1996-08-22
8.078083038330078,1996-08-23
8.101704597473145,1996-08-26
8.125324249267578,1996-08-27
8.267045974731445,1996-08-28
8.196185111999512,1996-08-29
8.125324249267578,1996-08-30
7.983604907989502,1996-09-03
7.936361312866211,1996-09-04
8.054462432861328,1996-09-05
8.361523628234863,1996-09-06
8.833930969238281,1996-09-09
8.692209243774414,1996-09-10
8.306014060974121,1996-09-11
8.235023498535156,1996-09-12
8.187695503234863,1996-09-13
8.06937313079834,1996-09-16
8.116698265075684,1996-09-17
8.022051811218262,1996-09-18
7.951052665710449,1996-09-19
7.99838399887085,1996-09-20
7.97471809387207,1996-09-23
8.282352447509766,1996-09-24
8.187695503234863,1996-09-25
8.235023498535156,1996-09-26
8.495326042175293,1996-09-27
8.495326042175293,1996-09-30
8.32967758178711,1996-10-01
8.32967758178711,1996-10-02
8.353340148925781,1996-10-03
8.495326042175293,1996-10-04
8.32967758178711,1996-10-07
8.400671005249023,1996-10-08
8.116698265075684,1996-10-09
8.258691787719727,1996-10-10
8.353340148925781,1996-10-11
8.518989562988281,1996-10-14
8.518989562988281,1996-10-15
8.518989562988281,1996-10-16
8.495326042175293,1996-10-17
8.542651176452637,1996-10-18
8.495326042175293,1996-10-21
8.471657752990723,1996-10-22
8.32967758178711,1996-10-23
8.37700366973877,1996-10-24
8.37700366973877,1996-10-25
8.424333572387695,1996-10-28
8.306014060974121,1996-10-29
8.116698265075684,1996-10-30
8.140365600585938,1996-10-31
8.282352447509766,1996-11-01
8.235023498535156,1996-11-04
8.306014060974121,1996-11-05
8.542651176452637,1996-11-06
8.779289245605469,1996-11-07
8.826620101928711,1996-11-08
8.826620101928711,1996-11-11
8.779289245605469,1996-11-12
8.8502836227417,1996-11-13
8.873950958251953,1996-11-14
8.779289245605469,1996-11-15
9.086920738220215,1996-11-18
9.536534309387207,1996-11-19
9.086920738220215,1996-11-20
9.512869834899902,1996-11-21
9.46553897857666,1996-11-22
9.441877365112305,1996-11-25
9.323556900024414,1996-11-26
9.46553897857666,1996-11-27
9.46553897857666,1996-11-29
9.347225189208984,1996-12-02
9.347225189208984,1996-12-03
9.205239295959473,1996-12-04
9.086920738220215,1996-12-05
9.039593696594238,1996-12-06
9.181575775146484,1996-12-09
9.205239295959473,1996-12-10
9.086920738220215,1996-12-11
9.221570014953613,1996-12-12
9.10304069519043,1996-12-13
9.079333305358887,1996-12-16
8.865983963012695,1996-12-17
9.031923294067383,1996-12-18
9.00821590423584,1996-12-19
9.031923294067383,1996-12-20
8.771159172058105,1996-12-23
8.747452735900879,1996-12-24
8.889692306518555,1996-12-26
8.984508514404297,1996-12-27
9.197863578796387,1996-12-30
9.648272514343262,1996-12-31
9.482328414916992,1997-01-02
9.458625793457031,1997-01-03
9.292692184448242,1997-01-06
9.387507438659668,1997-01-07
9.197863578796387,1997-01-08
9.268980979919434,1997-01-09
9.245277404785156,1997-01-10
9.245277404785156,1997-01-13
9.31639289855957,1997-01-14
9.126749038696289,1997-01-15
9.079333305358887,1997-01-16
9.292692184448242,1997-01-17
9.31639289855957,1997-01-20
9.55345344543457,1997-01-21
9.909041404724121,1997-01-22
9.648272514343262,1997-01-23
9.71939468383789,1997-01-24
9.55345344543457,1997-01-27
9.31639289855957,1997-01-28
9.387507438659668,1997-01-29
9.174156188964844,1997-01-30
9.079333305358887,1997-01-31
8.937100410461426,1997-02-03
8.9133939743042,1997-02-04
9.00821590423584,1997-02-05
9.10304069519043,1997-02-06
9.031923294067383,1997-02-07
8.984508514404297,1997-02-10
8.937100410461426,1997-02-11
8.889692306518555,1997-02-12
8.889692306518555,1997-02-13
8.9133939743042,1997-02-14
8.960805892944336,1997-02-18
9.055631637573242,1997-02-19
9.00821590423584,1997-02-20
9.00821590423584,1997-02-21
9.150455474853516,1997-02-24
9.10304069519043,1997-02-25
9.00821590423584,1997-02-26
8.747452735900879,1997-02-27
8.818570137023926,1997-02-28
8.9133939743042,1997-03-03
8.771159172058105,1997-03-04
9.00821590423584,1997-03-05
9.126749038696289,1997-03-06
9.245277404785156,1997-03-07
9.411214828491211,1997-03-10
9.387507438659668,1997-03-11
9.332416534423828,1997-03-12
9.427401542663574,1997-03-13
9.522388458251953,1997-03-14
9.546137809753418,1997-03-17
9.498642921447754,1997-03-18
9.641125679016113,1997-03-19
9.498642921447754,1997-03-20
9.427401542663574,1997-03-21
9.261176109313965,1997-03-24
9.498642921447754,1997-03-25
9.284924507141113,1997-03-26
9.332416534423828,1997-03-27
9.189939498901367,1997-03-31
9.213685989379883,1997-04-01
9.261176109313965,1997-04-02
8.90497875213623,1997-04-03
8.999964714050293,1997-04-04
9.071205139160156,1997-04-07
9.023710250854492,1997-04-08
9.071205139160156,1997-04-09
8.643766403198242,1997-04-10
8.691262245178223,1997-04-11
8.192580223083496,1997-04-14
8.026355743408203,1997-04-15
8.263821601867676,1997-04-16
8.192580223083496,1997-04-17
7.90762186050415,1997-04-18
7.741396427154541,1997-04-21
8.050105094909668,1997-04-22
8.002610206604004,1997-04-23
7.931369781494141,1997-04-24
8.12134075164795,1997-04-25
8.335060119628906,1997-04-28
8.548781394958496,1997-04-29
8.691262245178223,1997-04-30
8.928729057312012,1997-05-01
9.118693351745605,1997-05-02
9.166193008422852,1997-05-05
9.118693351745605,1997-05-06
9.094951629638672,1997-05-07
9.166193008422852,1997-05-08
9.379914283752441,1997-05-09
9.403655052185059,1997-05-12
9.403655052185059,1997-05-13
9.213685989379883,1997-05-14
9.284924507141113,1997-05-15
9.284924507141113,1997-05-16
9.284924507141113,1997-05-19
9.332416534423828,1997-05-20
9.261176109313965,1997-05-21
9.237434387207031,1997-05-22
9.474897384643555,1997-05-23
9.593632698059082,1997-05-27
9.569884300231934,1997-05-28
9.664871215820312,1997-05-29
9.902337074279785,1997-05-30
9.664871215820312,1997-06-02
9.593632698059082,1997-06-03
9.664871215820312,1997-06-04
9.783607482910156,1997-06-05
9.807348251342773,1997-06-06
9.736113548278809,1997-06-09
9.657142639160156,1997-06-10
9.585783004760742,1997-06-11
9.5382080078125,1997-06-12
9.752287864685059,1997-06-13
9.657142639160156,1997-06-16
9.657142639160156,1997-06-17
9.657142639160156,1997-06-18
9.633355140686035,1997-06-19
9.633355140686035,1997-06-20
9.39549732208252,1997-06-23
8.91977310180664,1997-06-24
8.812739372253418,1997-06-25
8.848414421081543,1997-06-26
9.038701057434082,1997-06-27
9.561997413635254,1997-06-30
9.41927719116211,1997-07-01
9.2170991897583,1997-07-02
9.383601188659668,1997-07-03
9.37170696258545,1997-07-07
9.193313598632812,1997-07-08
8.8840970993042,1997-07-09
8.800841331481934,1997-07-10
8.812739372253418,1997-07-11
8.63433837890625,1997-07-14
9.110061645507812,1997-07-15
9.240884780883789,1997-07-16
9.145740509033203,1997-07-17
