SANM,Date
4.03125,1993-04-14
4.03125,1993-04-15
3.9375,1993-04-16
3.84375,1993-04-19
3.84375,1993-04-20
4.03125,1993-04-21
4.21875,1993-04-22
4.21875,1993-04-23
4.265625,1993-04-26
4.21875,1993-04-27
4.21875,1993-04-28
4.21875,1993-04-29
4.21875,1993-04-30
4.21875,1993-05-03
4.96875,1993-05-04
5.0625,1993-05-05
4.875,1993-05-06
5.765625,1993-05-07
5.625,1993-05-10
5.484375,1993-05-11
5.53125,1993-05-12
5.4375,1993-05-13
5.296875,1993-05-14
5.34375,1993-05-17
5.296875,1993-05-18
5.296875,1993-05-19
5.15625,1993-05-20
5.8125,1993-05-21
6.234375,1993-05-24
6.09375,1993-05-25
6.140625,1993-05-26
6.09375,1993-05-27
5.71875,1993-05-28
5.8125,1993-06-01
6.0,1993-06-02
5.90625,1993-06-03
6.0,1993-06-04
6.09375,1993-06-07
5.8125,1993-06-08
5.4375,1993-06-09
5.71875,1993-06-10
5.4375,1993-06-11
5.25,1993-06-14
5.4375,1993-06-15
5.4375,1993-06-16
5.25,1993-06-17
5.53125,1993-06-18
5.671875,1993-06-21
5.8125,1993-06-22
5.8125,1993-06-23
5.90625,1993-06-24
5.90625,1993-06-25
5.90625,1993-06-28
5.90625,1993-06-29
6.09375,1993-06-30
6.09375,1993-07-01
6.28125,1993-07-02
6.375,1993-07-06
6.09375,1993-07-07
6.0,1993-07-08
6.0,1993-07-09
6.1875,1993-07-12
6.375,1993-07-13
6.375,1993-07-14
6.046875,1993-07-15
5.953125,1993-07-16
5.953125,1993-07-19
5.71875,1993-07-20
6.1875,1993-07-21
5.90625,1993-07-22
5.8125,1993-07-23
5.71875,1993-07-26
5.71875,1993-07-27
5.625,1993-07-28
5.625,1993-07-29
5.53125,1993-07-30
5.4375,1993-08-02
5.390625,1993-08-03
5.34375,1993-08-04
5.25,1993-08-05
5.34375,1993-08-06
5.71875,1993-08-09
5.90625,1993-08-10
6.421875,1993-08-11
6.1875,1993-08-12
6.328125,1993-08-13
6.9375,1993-08-16
6.9375,1993-08-17
6.75,1993-08-18
6.609375,1993-08-19
6.46875,1993-08-20
6.65625,1993-08-23
7.03125,1993-08-24
7.40625,1993-08-25
7.3125,1993-08-26
7.5,1993-08-27
7.640625,1993-08-30
7.96875,1993-08-31
8.296875,1993-09-01
8.53125,1993-09-02
8.71875,1993-09-03
9.0,1993-09-07
8.625,1993-09-08
8.53125,1993-09-09
8.53125,1993-09-10
8.8125,1993-09-13
8.671875,1993-09-14
8.53125,1993-09-15
8.53125,1993-09-16
8.90625,1993-09-17
8.53125,1993-09-20
8.53125,1993-09-21
8.53125,1993-09-22
9.75,1993-09-23
10.03125,1993-09-24
9.84375,1993-09-27
9.796875,1993-09-28
10.03125,1993-09-29
9.5625,1993-09-30
9.0,1993-10-01
9.0,1993-10-04
8.625,1993-10-05
8.53125,1993-10-06
8.578125,1993-10-07
8.53125,1993-10-08
8.15625,1993-10-11
7.875,1993-10-12
8.34375,1993-10-13
8.34375,1993-10-14
8.0625,1993-10-15
8.0625,1993-10-18
8.15625,1993-10-19
8.0625,1993-10-20
8.15625,1993-10-21
7.59375,1993-10-22
7.59375,1993-10-25
7.59375,1993-10-26
8.15625,1993-10-27
8.25,1993-10-28
8.0625,1993-10-29
8.25,1993-11-01
8.25,1993-11-02
7.96875,1993-11-03
7.78125,1993-11-04
7.125,1993-11-05
7.453125,1993-11-08
8.25,1993-11-09
8.34375,1993-11-10
8.34375,1993-11-11
8.625,1993-11-12
8.296875,1993-11-15
9.0,1993-11-16
8.90625,1993-11-17
8.4375,1993-11-18
8.25,1993-11-19
8.15625,1993-11-22
8.34375,1993-11-23
9.0,1993-11-24
9.046875,1993-11-26
9.5625,1993-11-29
9.65625,1993-11-30
9.65625,1993-12-01
9.65625,1993-12-02
10.125,1993-12-03
10.3125,1993-12-06
10.5,1993-12-07
10.03125,1993-12-08
9.84375,1993-12-09
9.65625,1993-12-10
9.703125,1993-12-13
9.5625,1993-12-14
9.65625,1993-12-15
9.46875,1993-12-16
9.703125,1993-12-17
9.9375,1993-12-20
10.265625,1993-12-21
10.21875,1993-12-22
10.3125,1993-12-23
10.21875,1993-12-27
10.265625,1993-12-28
9.9375,1993-12-29
10.21875,1993-12-30
10.03125,1993-12-31
9.65625,1994-01-03
9.984375,1994-01-04
9.984375,1994-01-05
10.5,1994-01-06
10.3125,1994-01-07
10.96875,1994-01-10
10.96875,1994-01-11
11.53125,1994-01-12
10.96875,1994-01-13
10.828125,1994-01-14
10.40625,1994-01-17
10.6875,1994-01-18
10.6875,1994-01-19
10.59375,1994-01-20
10.40625,1994-01-21
10.40625,1994-01-24
10.171875,1994-01-25
10.40625,1994-01-26
10.5,1994-01-27
10.5,1994-01-28
10.59375,1994-01-31
10.5,1994-02-01
10.40625,1994-02-02
10.3125,1994-02-03
9.84375,1994-02-04
9.796875,1994-02-07
9.65625,1994-02-08
9.375,1994-02-09
9.9375,1994-02-10
9.890625,1994-02-11
9.890625,1994-02-14
9.9375,1994-02-15
9.9375,1994-02-16
9.84375,1994-02-17
10.078125,1994-02-18
9.84375,1994-02-22
10.125,1994-02-23
9.84375,1994-02-24
9.984375,1994-02-25
9.9375,1994-02-28
10.03125,1994-03-01
9.375,1994-03-02
9.09375,1994-03-03
9.1875,1994-03-04
8.90625,1994-03-07
8.625,1994-03-08
8.25,1994-03-09
6.75,1994-03-10
6.890625,1994-03-11
6.9375,1994-03-14
7.40625,1994-03-15
7.6875,1994-03-16
7.59375,1994-03-17
7.21875,1994-03-18
6.9375,1994-03-21
6.984375,1994-03-22
7.3125,1994-03-23
7.078125,1994-03-24
7.125,1994-03-25
7.3125,1994-03-28
6.84375,1994-03-29
7.125,1994-03-30
7.03125,1994-03-31
6.75,1994-04-04
7.078125,1994-04-05
7.03125,1994-04-06
6.703125,1994-04-07
6.515625,1994-04-08
6.46875,1994-04-11
6.375,1994-04-12
6.28125,1994-04-13
6.46875,1994-04-14
6.65625,1994-04-15
6.65625,1994-04-18
7.3125,1994-04-19
7.5,1994-04-20
7.875,1994-04-21
8.34375,1994-04-22
8.4375,1994-04-25
8.625,1994-04-26
8.34375,1994-04-28
8.34375,1994-04-29
8.0625,1994-05-02
8.53125,1994-05-03
8.15625,1994-05-04
8.34375,1994-05-05
8.296875,1994-05-06
8.390625,1994-05-09
8.625,1994-05-10
8.25,1994-05-11
7.96875,1994-05-12
7.734375,1994-05-13
7.125,1994-05-16
7.21875,1994-05-17
7.359375,1994-05-18
7.125,1994-05-19
6.984375,1994-05-20
6.84375,1994-05-23
7.125,1994-05-24
7.125,1994-05-25
6.984375,1994-05-26
6.9375,1994-05-27
6.9375,1994-05-31
7.21875,1994-06-01
7.59375,1994-06-02
7.125,1994-06-03
7.40625,1994-06-06
6.9375,1994-06-07
6.75,1994-06-08
6.796875,1994-06-09
7.125,1994-06-10
7.125,1994-06-13
7.570312976837158,1994-06-14
7.03125,1994-06-15
7.21875,1994-06-16
7.3125,1994-06-17
7.03125,1994-06-20
6.84375,1994-06-21
6.75,1994-06-22
6.09375,1994-06-23
6.1875,1994-06-24
5.953125,1994-06-27
5.71875,1994-06-28
6.046875,1994-06-29
6.46875,1994-06-30
6.65625,1994-07-01
6.375,1994-07-05
6.234375,1994-07-06
6.28125,1994-07-07
6.1875,1994-07-08
6.1875,1994-07-11
6.28125,1994-07-12
6.28125,1994-07-13
6.375,1994-07-14
6.140625,1994-07-15
6.375,1994-07-18
6.796875,1994-07-19
6.515625,1994-07-20
6.46875,1994-07-21
6.375,1994-07-22
6.46875,1994-07-25
6.375,1994-07-26
6.65625,1994-07-27
6.75,1994-07-28
6.9375,1994-07-29
6.46875,1994-08-01
6.46875,1994-08-02
6.328125,1994-08-03
6.46875,1994-08-04
6.46875,1994-08-05
6.375,1994-08-08
6.28125,1994-08-09
6.65625,1994-08-10
6.75,1994-08-11
6.890625,1994-08-12
6.75,1994-08-15
6.75,1994-08-16
7.125,1994-08-17
6.9375,1994-08-18
7.21875,1994-08-19
7.3125,1994-08-22
7.453125,1994-08-23
7.5,1994-08-24
7.5,1994-08-25
7.59375,1994-08-26
7.59375,1994-08-29
7.6875,1994-08-30
7.59375,1994-08-31
7.59375,1994-09-01
7.875,1994-09-02
7.734375,1994-09-06
7.59375,1994-09-07
7.5,1994-09-08
7.40625,1994-09-09
7.453125,1994-09-12
7.6875,1994-09-13
7.875,1994-09-14
7.828125,1994-09-15
8.25,1994-09-16
8.296875,1994-09-19
8.15625,1994-09-20
8.0625,1994-09-21
8.15625,1994-09-22
8.109375,1994-09-23
8.25,1994-09-26
8.390625,1994-09-27
8.671875,1994-09-28
8.859375,1994-09-29
9.09375,1994-09-30
8.8125,1994-10-03
8.859375,1994-10-04
8.4375,1994-10-05
8.625,1994-10-06
8.859375,1994-10-07
8.953125,1994-10-10
9.46875,1994-10-11
9.375,1994-10-12
9.46875,1994-10-13
9.28125,1994-10-14
9.28125,1994-10-17
9.375,1994-10-18
9.375,1994-10-19
9.375,1994-10-20
9.28125,1994-10-21
9.09375,1994-10-24
9.0,1994-10-25
8.625,1994-10-26
8.765625,1994-10-27
8.71875,1994-10-28
8.390625,1994-10-31
7.875,1994-11-01
7.6875,1994-11-02
9.375,1994-11-03
9.375,1994-11-04
9.421875,1994-11-07
9.46875,1994-11-08
9.421875,1994-11-09
9.28125,1994-11-10
9.1875,1994-11-11
9.28125,1994-11-14
9.28125,1994-11-15
9.421875,1994-11-16
9.375,1994-11-17
9.375,1994-11-18
9.421875,1994-11-21
9.28125,1994-11-22
9.28125,1994-11-23
9.375,1994-11-25
9.796875,1994-11-28
9.9375,1994-11-29
9.796875,1994-11-30
9.65625,1994-12-01
9.75,1994-12-02
9.796875,1994-12-05
9.65625,1994-12-06
9.703125,1994-12-07
9.5625,1994-12-08
9.84375,1994-12-09
9.5625,1994-12-12
9.65625,1994-12-13
9.5625,1994-12-14
10.21875,1994-12-15
10.3125,1994-12-16
9.5625,1994-12-19
9.46875,1994-12-20
9.75,1994-12-21
9.65625,1994-12-22
9.9375,1994-12-23
9.9375,1994-12-27
9.890625,1994-12-28
10.078125,1994-12-29
10.21875,1994-12-30
10.21875,1995-01-03
10.03125,1995-01-04
10.546875,1995-01-05
10.40625,1995-01-06
10.546875,1995-01-09
10.40625,1995-01-10
10.40625,1995-01-11
10.734375,1995-01-12
10.875,1995-01-13
11.0625,1995-01-16
10.875,1995-01-17
11.15625,1995-01-18
10.78125,1995-01-19
10.03125,1995-01-20
9.984375,1995-01-23
10.3125,1995-01-24
10.125,1995-01-25
9.9375,1995-01-26
10.21875,1995-01-27
9.960938453674316,1995-01-30
9.75,1995-01-31
9.75,1995-02-01
9.703125,1995-02-02
10.03125,1995-02-03
10.21875,1995-02-06
10.21875,1995-02-07
10.40625,1995-02-08
10.78125,1995-02-09
11.0625,1995-02-10
10.59375,1995-02-13
10.875,1995-02-14
10.828125,1995-02-15
10.96875,1995-02-16
10.734375,1995-02-17
10.875,1995-02-21
10.6875,1995-02-22
10.875,1995-02-23
10.734375,1995-02-24
10.875,1995-02-27
10.875,1995-02-28
10.875,1995-03-01
10.945313453674316,1995-03-02
10.78125,1995-03-03
10.875,1995-03-06
10.640625,1995-03-07
11.015625,1995-03-08
11.625,1995-03-09
12.5625,1995-03-10
12.28125,1995-03-13
11.90625,1995-03-14
12.234375,1995-03-15
12.0,1995-03-16
11.90625,1995-03-17
11.90625,1995-03-20
11.71875,1995-03-21
11.671875,1995-03-22
11.53125,1995-03-23
11.8125,1995-03-24
11.625,1995-03-27
11.8125,1995-03-28
11.53125,1995-03-29
11.71875,1995-03-30
12.1875,1995-03-31
12.1875,1995-04-03
12.703125,1995-04-04
11.90625,1995-04-05
11.625,1995-04-06
11.8125,1995-04-07
11.8125,1995-04-10
11.859375,1995-04-11
12.09375,1995-04-12
12.0,1995-04-13
11.71875,1995-04-17
12.375,1995-04-18
12.28125,1995-04-19
12.421875,1995-04-20
12.375,1995-04-21
12.375,1995-04-24
12.375,1995-04-25
12.46875,1995-04-26
12.9375,1995-04-27
12.796875,1995-04-28
13.078125,1995-05-01
13.6875,1995-05-02
14.15625,1995-05-03
14.0625,1995-05-04
13.875,1995-05-05
14.0625,1995-05-08
13.78125,1995-05-09
13.78125,1995-05-10
13.359375,1995-05-11
13.6875,1995-05-12
13.40625,1995-05-15
13.359375,1995-05-16
13.78125,1995-05-17
14.25,1995-05-18
14.34375,1995-05-19
14.34375,1995-05-22
13.6875,1995-05-23
13.6875,1995-05-24
13.453125,1995-05-25
13.40625,1995-05-26
13.6875,1995-05-30
13.5,1995-05-31
13.5,1995-06-01
13.40625,1995-06-02
13.5,1995-06-05
13.3125,1995-06-06
13.125,1995-06-07
13.21875,1995-06-08
13.03125,1995-06-09
13.96875,1995-06-12
14.4375,1995-06-13
14.34375,1995-06-14
14.34375,1995-06-15
14.4375,1995-06-16
14.625,1995-06-19
14.90625,1995-06-20
15.09375,1995-06-21
15.09375,1995-06-22
15.0,1995-06-23
14.625,1995-06-26
