ANET,Date
13.75,2014-06-06
13.800000190734863,2014-06-09
15.0,2014-06-10
15.875,2014-06-11
16.5,2014-06-12
17.395000457763672,2014-06-13
17.875,2014-06-16
17.427499771118164,2014-06-17
17.239999771118164,2014-06-18
16.417499542236328,2014-06-19
16.287500381469727,2014-06-20
16.427499771118164,2014-06-23
16.06999969482422,2014-06-24
16.122499465942383,2014-06-25
15.952500343322754,2014-06-26
15.637499809265137,2014-06-27
15.59749984741211,2014-06-30
19.0,2014-07-01
18.837499618530273,2014-07-02
19.102500915527344,2014-07-03
18.042499542236328,2014-07-07
17.357500076293945,2014-07-08
17.975000381469727,2014-07-09
16.934999465942383,2014-07-10
17.407499313354492,2014-07-11
17.237499237060547,2014-07-14
16.672500610351562,2014-07-15
16.13249969482422,2014-07-16
15.9399995803833,2014-07-17
16.0,2014-07-18
15.807499885559082,2014-07-21
16.377500534057617,2014-07-22
16.204999923706055,2014-07-23
16.0625,2014-07-24
15.90999984741211,2014-07-25
15.852499961853027,2014-07-28
15.962499618530273,2014-07-29
16.947500228881836,2014-07-30
16.530000686645508,2014-07-31
16.40250015258789,2014-08-01
17.3075008392334,2014-08-04
18.022499084472656,2014-08-05
17.704999923706055,2014-08-06
18.05500030517578,2014-08-07
18.00749969482422,2014-08-08
17.46500015258789,2014-08-11
17.77750015258789,2014-08-12
17.459999084472656,2014-08-13
17.702499389648438,2014-08-14
17.454999923706055,2014-08-15
17.627500534057617,2014-08-18
18.75,2014-08-19
19.100000381469727,2014-08-20
19.337499618530273,2014-08-21
18.905000686645508,2014-08-22
18.895000457763672,2014-08-25
19.042499542236328,2014-08-26
20.790000915527344,2014-08-27
20.862499237060547,2014-08-28
20.962499618530273,2014-08-29
21.524999618530273,2014-09-02
21.40250015258789,2014-09-03
21.872499465942383,2014-09-04
22.780000686645508,2014-09-05
21.915000915527344,2014-09-08
21.06999969482422,2014-09-09
22.1875,2014-09-10
22.1875,2014-09-11
21.5674991607666,2014-09-12
20.707500457763672,2014-09-15
21.0,2014-09-16
20.877500534057617,2014-09-17
21.532499313354492,2014-09-18
21.912500381469727,2014-09-19
20.959999084472656,2014-09-22
21.11750030517578,2014-09-23
21.77750015258789,2014-09-24
21.075000762939453,2014-09-25
21.282499313354492,2014-09-26
23.327499389648438,2014-09-29
22.082500457763672,2014-09-30
21.014999389648438,2014-10-01
21.0575008392334,2014-10-02
21.4325008392334,2014-10-03
21.170000076293945,2014-10-06
20.702499389648438,2014-10-07
22.110000610351562,2014-10-08
21.454999923706055,2014-10-09
19.532499313354492,2014-10-10
18.422500610351562,2014-10-13
18.3799991607666,2014-10-14
18.762500762939453,2014-10-15
18.642499923706055,2014-10-16
19.18000030517578,2014-10-17
19.09749984741211,2014-10-20
19.377500534057617,2014-10-21
18.045000076293945,2014-10-22
18.459999084472656,2014-10-23
18.732500076293945,2014-10-24
18.34000015258789,2014-10-27
18.459999084472656,2014-10-28
18.25749969482422,2014-10-29
18.47249984741211,2014-10-30
20.3125,2014-10-31
21.422500610351562,2014-11-03
21.59749984741211,2014-11-04
21.030000686645508,2014-11-05
21.8125,2014-11-06
19.457500457763672,2014-11-07
19.197500228881836,2014-11-10
19.684999465942383,2014-11-11
19.309999465942383,2014-11-12
19.24250030517578,2014-11-13
19.422500610351562,2014-11-14
