TPR,Date
1.6507717370986938,2000-10-06
1.534371018409729,2000-10-09
1.5555353164672852,2000-10-10
1.5026253461837769,2000-10-11
1.4285529851913452,2000-10-12
1.4602982997894287,2000-10-13
1.4655894041061401,2000-10-16
1.5555353164672852,2000-10-17
1.4761712551116943,2000-10-18
1.4444255828857422,2000-10-19
1.4391340017318726,2000-10-20
1.4179704189300537,2000-10-23
1.4814616441726685,2000-10-24
1.5449531078338623,2000-10-25
1.534371018409729,2000-10-26
1.6507717370986938,2000-10-27
1.8200819492340088,2000-10-30
1.9788100719451904,2000-10-31
1.962936520576477,2000-11-01
2.02113676071167,2000-11-02
2.137538433074951,2000-11-03
2.0370099544525146,2000-11-06
2.0105550289154053,2000-11-07
2.031719207763672,2000-11-08
2.026428699493408,2000-11-09
2.095209836959839,2000-11-10
1.8729907274246216,2000-11-13
1.9259001016616821,2000-11-14
1.947063684463501,2000-11-15
1.941773772239685,2000-11-16
1.9788100719451904,2000-11-17
1.9259001016616821,2000-11-20
1.9153187274932861,2000-11-21
1.947063684463501,2000-11-22
1.947063684463501,2000-11-24
2.0105550289154053,2000-11-27
1.9893913269042969,2000-11-28
1.8835728168487549,2000-11-29
1.8729907274246216,2000-11-30
1.8624087572097778,2000-12-01
1.9576458930969238,2000-12-04
1.8835728168487549,2000-12-05
1.952355146408081,2000-12-06
2.031719207763672,2000-12-07
2.1481189727783203,2000-12-08
2.185157299041748,2000-12-11
2.1110827922821045,2000-12-12
2.031719207763672,2000-12-13
1.7830454111099243,2000-12-14
1.7830454111099243,2000-12-15
1.7460086345672607,2000-12-18
1.7565903663635254,2000-12-19
1.7142629623413086,2000-12-20
1.7777539491653442,2000-12-21
1.8941541910171509,2000-12-22
1.9893913269042969,2000-12-26
2.1163735389709473,2000-12-27
2.391502857208252,2000-12-28
2.433830738067627,2000-12-29
2.2116103172302246,2001-01-02
2.2063205242156982,2001-01-03
2.1163735389709473,2001-01-04
2.063464879989624,2001-01-05
1.8994457721710205,2001-01-08
1.9682279825210571,2001-01-09
2.126955032348633,2001-01-10
2.3068466186523438,2001-01-11
2.253938913345337,2001-01-12
2.4073753356933594,2001-01-16
2.454993724822998,2001-01-17
2.53964900970459,2001-01-18
2.571394681930542,2001-01-19
2.6243038177490234,2001-01-22
2.6243038177490234,2001-01-23
2.603139638900757,2001-01-24
2.5608131885528564,2001-01-25
2.5819756984710693,2001-01-26
2.622610092163086,2001-01-29
2.6539320945739746,2001-01-30
2.8571059703826904,2001-01-31
3.0162558555603027,2001-02-01
3.0475780963897705,2001-02-02
2.9781622886657715,2001-02-05
2.888427257537842,2001-02-06
2.89943265914917,2001-02-07
2.861337423324585,2001-02-08
2.8571059703826904,2001-02-09
2.7766833305358887,2001-02-12
2.7766833305358887,2001-02-13
2.8740358352661133,2001-02-14
2.89943265914917,2001-02-15
2.8825013637542725,2001-02-16
2.8655710220336914,2001-02-20
2.928215265274048,2001-02-21
2.878268003463745,2001-02-22
2.7936134338378906,2001-02-23
2.789381265640259,2001-02-26
2.747053384780884,2001-02-27
2.5515005588531494,2001-02-28
2.4126665592193604,2001-03-01
2.3635661602020264,2001-03-02
2.3728785514831543,2001-03-05
2.234890937805176,2001-03-06
2.2594406604766846,2001-03-07
2.3788042068481445,2001-03-08
2.388115882873535,2001-03-09
2.3838837146759033,2001-03-12
2.353408098220825,2001-03-13
2.3110804557800293,2001-03-14
2.30261492729187,2001-03-15
2.3085412979125977,2001-03-16
2.3652596473693848,2001-03-19
2.371185064315796,2001-03-20
2.3280107975006104,2001-03-21
2.270446300506592,2001-03-22
2.3195459842681885,2001-03-23
2.285684108734131,2001-03-26
2.285684108734131,2001-03-27
2.339016914367676,2001-03-28
2.391502857208252,2001-03-29
2.4473752975463867,2001-03-30
2.3703391551971436,2001-04-02
2.3322439193725586,2001-04-03
2.4118192195892334,2001-04-04
2.433830738067627,2001-04-05
2.3745715618133545,2001-04-06
2.391502857208252,2001-04-09
2.3703391551971436,2001-04-10
2.1206068992614746,2001-04-11
2.1544694900512695,2001-04-12
2.1587016582489014,2001-04-16
2.0147883892059326,2001-04-17
