ZION,Date
0.7894371747970581,1980-03-17
0.7804663181304932,1980-03-18
0.7804663181304932,1980-03-19
0.7804663181304932,1980-03-20
0.7714958786964417,1980-03-21
0.7356122136116028,1980-03-24
0.7176709175109863,1980-03-25
0.7176709175109863,1980-03-26
0.6907579302787781,1980-03-27
0.708699107170105,1980-03-28
0.708699107170105,1980-03-31
0.7266414165496826,1980-04-01
0.7804663181304932,1980-04-02
0.7894371747970581,1980-04-03
0.762524425983429,1980-04-07
0.7535535097122192,1980-04-08
0.7535535097122192,1980-04-09
0.762524425983429,1980-04-10
0.762524425983429,1980-04-11
0.7535535097122192,1980-04-14
0.762524425983429,1980-04-15
0.8073791265487671,1980-04-16
0.8073791265487671,1980-04-17
0.8163495659828186,1980-04-18
0.8253208994865417,1980-04-21
0.8253208994865417,1980-04-22
0.8522335290908813,1980-04-23
0.8791460394859314,1980-04-24
0.8701748251914978,1980-04-25
0.8791460394859314,1980-04-28
0.8791460394859314,1980-04-29
0.8791460394859314,1980-04-30
0.8791460394859314,1980-05-01
0.8791460394859314,1980-05-02
0.8791460394859314,1980-05-05
0.8881170749664307,1980-05-06
0.8970875144004822,1980-05-07
0.8881170749664307,1980-05-08
0.8881170749664307,1980-05-09
0.8701748251914978,1980-05-12
0.8612046837806702,1980-05-13
0.8612046837806702,1980-05-14
0.8612046837806702,1980-05-15
0.8612046837806702,1980-05-16
0.8612046837806702,1980-05-19
0.8522335290908813,1980-05-20
0.8163495659828186,1980-05-21
0.8253208994865417,1980-05-22
0.8432624936103821,1980-05-23
0.8432624936103821,1980-05-27
0.8432624936103821,1980-05-28
0.8342921137809753,1980-05-29
0.8253208994865417,1980-05-30
0.8253208994865417,1980-06-02
0.8253208994865417,1980-06-03
0.8253208994865417,1980-06-04
0.8253208994865417,1980-06-05
0.8253208994865417,1980-06-06
0.8253208994865417,1980-06-09
0.8432624936103821,1980-06-10
0.8522335290908813,1980-06-11
0.8522335290908813,1980-06-12
0.8791460394859314,1980-06-13
0.8881170749664307,1980-06-16
0.8970875144004822,1980-06-17
0.8970875144004822,1980-06-18
0.8881170749664307,1980-06-19
0.8881170749664307,1980-06-20
0.8881170749664307,1980-06-23
0.8881170749664307,1980-06-24
0.8791460394859314,1980-06-25
0.8791460394859314,1980-06-26
0.8701748251914978,1980-06-27
