IBM,Date
1.5557670593261719,1962-01-02
1.5693655014038086,1962-01-03
1.5537269115447998,1962-01-04
1.5231274366378784,1962-01-05
1.494568943977356,1962-01-08
1.5122480392456055,1962-01-09
1.5149683952331543,1962-01-10
1.5312875509262085,1962-01-11
1.5340070724487305,1962-01-12
1.540807843208313,1962-01-15
1.524487853050232,1962-01-16
1.5000087022781372,1962-01-17
1.50408935546875,1962-01-18
1.505448341369629,1962-01-19
1.5027278661727905,1962-01-22
1.4877686500549316,1962-01-23
1.49592924118042,1962-01-24
1.4796096086502075,1962-01-25
1.4721306562423706,1962-01-26
1.4469717741012573,1962-01-29
1.4286121129989624,1962-01-30
1.4741705656051636,1962-01-31
1.5081677436828613,1962-02-01
1.517687201499939,1962-02-02
1.4986488819122314,1962-02-05
1.5002131462097168,1962-02-06
1.5015733242034912,1962-02-07
1.502933144569397,1962-02-08
1.5138142108917236,1962-02-09
1.5151734352111816,1962-02-12
1.490692377090454,1962-02-13
1.4879729747772217,1962-02-14
1.4825317859649658,1962-02-15
1.4811712503433228,1962-02-16
1.4662092924118042,1962-02-19
1.4668893814086914,1962-02-20
1.4560093879699707,1962-02-21
1.4607690572738647,1962-02-23
1.4553285837173462,1962-02-26
1.4580506086349487,1962-02-27
1.4607690572738647,1962-02-28
1.4784512519836426,1962-03-01
1.490692377090454,1962-03-02
1.485251545906067,1962-03-05
1.4866127967834473,1962-03-06
1.491371512413025,1962-03-07
1.4947731494903564,1962-03-08
1.5042937994003296,1962-03-09
1.502933144569397,1962-03-12
1.5015733242034912,1962-03-13
1.4988535642623901,1962-03-14
1.4961333274841309,1962-03-15
1.502933144569397,1962-03-16
1.5070137977600098,1962-03-19
1.497493028640747,1962-03-20
1.4988535642623901,1962-03-21
1.4825317859649658,1962-03-22
1.4879729747772217,1962-03-23
1.4872920513153076,1962-03-26
1.4594097137451172,1962-03-27
1.4675695896148682,1962-03-28
1.4634901285171509,1962-03-29
1.4492086172103882,1962-03-30
1.4294873476028442,1962-04-02
1.3941227197647095,1962-04-03
