CNXT,Date
22.642749786376953,2014-07-24
22.97090721130371,2014-07-25
23.444910049438477,2014-07-28
23.7730655670166,2014-07-29
23.782180786132812,2014-07-30
23.84598731994629,2014-07-31
23.590755462646484,2014-08-01
23.813173294067383,2014-08-04
24.061113357543945,2014-08-05
24.201488494873047,2014-08-06
24.063846588134766,2014-08-07
24.365568161010742,2014-08-08
24.80310821533203,2014-08-11
24.847774505615234,2014-08-12
24.739301681518555,2014-08-13
24.447607040405273,2014-08-14
24.68825340270996,2014-08-15
25.209657669067383,2014-08-18
25.267995834350586,2014-08-19
25.21330451965332,2014-08-20
25.231536865234375,2014-08-21
25.459421157836914,2014-08-22
25.318130493164062,2014-08-25
24.958070755004883,2014-08-26
25.176843643188477,2014-08-27
24.793994903564453,2014-08-28
25.140380859375,2014-08-29
25.86050033569336,2014-09-02
26.279809951782227,2014-09-03
26.380081176757812,2014-09-04
26.411073684692383,2014-09-05
26.416540145874023,2014-09-08
26.480350494384766,2014-09-09
26.567859649658203,2014-09-10
26.416540145874023,2014-09-11
26.65354347229004,2014-09-12
26.598852157592773,2014-09-15
25.99723243713379,2014-09-16
25.92430877685547,2014-09-17
26.088388442993164,2014-09-18
26.051923751831055,2014-09-19
25.687307357788086,2014-09-22
25.979000091552734,2014-09-23
26.53504180908203,2014-09-24
26.334501266479492,2014-09-25
26.334501266479492,2014-09-26
26.22511863708496,2014-09-29
26.844966888427734,2014-09-30
26.844966888427734,2014-10-01
26.512252807617188,2014-10-02
26.835851669311523,2014-10-03
26.94523811340332,2014-10-06
26.844966888427734,2014-10-07
26.844966888427734,2014-10-08
27.009044647216797,2014-10-09
26.65354347229004,2014-10-10
26.872312545776367,2014-10-13
26.49858283996582,2014-10-14
26.5076961517334,2014-10-15
26.25246238708496,2014-10-16
26.24881935119629,2014-10-17
26.487642288208008,2014-10-20
26.489463806152344,2014-10-21
26.07015609741211,2014-10-22
25.80580711364746,2014-10-23
25.8541202545166,2014-10-24
25.778461456298828,2014-10-27
26.434772491455078,2014-10-28
26.519548416137695,2014-10-29
26.525928497314453,2014-10-30
26.49858283996582,2014-10-31
26.528663635253906,2014-11-03
26.29804229736328,2014-11-04
26.316272735595703,2014-11-05
26.489463806152344,2014-11-06
26.270694732666016,2014-11-07
26.53504180908203,2014-11-10
25.85138702392578,2014-11-11
25.969884872436523,2014-11-12
25.523229598999023,2014-11-13
