EBAY,Date
0.7611817121505737,1998-09-24
0.7210131883621216,1998-09-25
0.7752402424812317,1998-09-28
0.7852818965911865,1998-09-29
0.724025547504425,1998-09-30
0.6426860690116882,1998-10-01
0.6426860690116882,1998-10-02
0.5764089226722717,1998-10-05
0.5864507555961609,1998-10-06
0.49607357382774353,1998-10-07
0.46594756841659546,1998-10-08
0.4940652549266815,1998-10-09
0.5061154365539551,1998-10-12
0.47197264432907104,1998-10-13
0.4840226471424103,1998-10-14
0.5241912007331848,1998-10-15
0.5784172415733337,1998-10-16
0.729047417640686,1998-10-19
0.7471225261688232,1998-10-20
0.812395453453064,1998-10-21
0.8284629583358765,1998-10-22
0.8053660988807678,1998-10-23
1.1789273023605347,1998-10-26
1.3255400657653809,1998-10-27
1.2853721380233765,1998-10-28
1.2833635807037354,1998-10-29
1.3355824947357178,1998-10-30
1.3496404886245728,1998-11-02
1.3496404886245728,1998-11-03
1.3285521268844604,1998-11-04
1.3044521808624268,1998-11-05
1.3496404886245728,1998-11-06
1.654916763305664,1998-11-09
2.1027886867523193,1998-11-10
1.8627854585647583,1998-11-11
2.0244617462158203,1998-11-12
1.9913231134414673,1998-11-13
2.0505709648132324,1998-11-16
2.0666375160217285,1998-11-17
2.3699045181274414,1998-11-18
2.309652805328369,1998-11-19
2.3618712425231934,1998-11-20
3.1009609699249268,1998-11-23
3.1622166633605957,1998-11-24
3.2857322692871094,1998-11-25
3.502639055252075,1998-11-27
3.1752705574035645,1998-11-30
3.3299176692962646,1998-12-01
3.2616329193115234,1998-12-02
3.0045576095581055,1998-12-03
2.932255268096924,1998-12-04
2.799701452255249,1998-12-07
2.8418779373168945,1998-12-08
2.8845555782318115,1998-12-09
2.990499258041382,1998-12-10
3.084892511367798,1998-12-11
3.028658866882324,1998-12-14
3.1170270442962646,1998-12-15
3.591007709503174,1998-12-16
3.82900333404541,1998-12-17
4.052939414978027,1998-12-18
4.761902332305908,1998-12-21
4.836213111877441,1998-12-22
4.78801155090332,1998-12-23
4.595204830169678,1998-12-24
4.589181423187256,1998-12-28
4.401393890380859,1998-12-29
4.0629801750183105,1998-12-30
3.8762011528015137,1998-12-31
3.8561160564422607,1999-01-04
3.5990424156188965,1999-01-05
4.547004699707031,1999-01-06
4.78801155090332,1999-01-07
4.697633743286133,1999-01-08
4.68357515335083,1999-01-11
3.8641490936279297,1999-01-12
3.4624714851379395,1999-01-13
3.6201300621032715,1999-01-14
3.5889997482299805,1999-01-15
3.6934361457824707,1999-01-19
3.434354066848755,1999-01-20
2.9202044010162354,1999-01-21
3.161212205886841,1999-01-22
3.494605779647827,1999-01-25
3.548832416534424,1999-01-26
4.876380920410156,1999-01-27
4.7016496658325195,1999-01-28
4.4606428146362305,1999-01-29
4.209594249725342,1999-02-01
4.0850725173950195,1999-02-02
4.470685958862305,1999-02-03
3.8400497436523438,1999-02-04
3.554857015609741,1999-02-05
3.711512327194214,1999-02-08
3.420294761657715,1999-02-09
3.4062368869781494,1999-02-10
3.8480825424194336,1999-02-11
3.7918477058410645,1999-02-12
3.7135207653045654,1999-02-16
3.743647336959839,1999-02-17
3.7777888774871826,1999-02-18
3.8480825424194336,1999-02-19
4.478719234466553,1999-02-22
4.54097843170166,1999-02-23
4.595204830169678,1999-02-24
4.812112808227539,1999-02-25
5.366428852081299,1999-02-26
5.189691066741943,1999-03-01
5.642583847045898,1999-03-02
5.952878952026367,1999-03-03
6.305353164672852,1999-03-04
7.194067478179932,1999-03-05
8.242450714111328,1999-03-08
8.013492584228516,1999-03-09
7.474238395690918,1999-03-10
7.23021936416626,1999-03-11
6.844606876373291,1999-03-12
7.558590888977051,1999-03-15
7.606791973114014,1999-03-16
7.5073771476745605,1999-03-17
7.748384475708008,1999-03-18
7.700182914733887,1999-03-19
7.477250576019287,1999-03-22
7.0554890632629395,1999-03-23
7.007287502288818,1999-03-24
7.682107925415039,1999-03-25
7.44712495803833,1999-03-26
7.123271465301514,1999-03-29
6.609624862670898,1999-03-30
6.618661880493164,1999-03-31
6.681927680969238,1999-04-01
7.169966220855713,1999-04-05
7.326621055603027,1999-04-06
7.23021936416626,1999-04-07
8.278599739074707,1999-04-08
8.838943481445312,1999-04-09
8.513578414916992,1999-04-12
8.332826614379883,1999-04-13
7.8508124351501465,1999-04-14
8.622035026550293,1999-04-15
8.483454704284668,1999-04-16
7.429049015045166,1999-04-19
7.832736968994141,1999-04-20
8.037591934204102,1999-04-21
8.290650367736816,1999-04-22
9.646317481994629,1999-04-23
10.074102401733398,1999-04-26
10.086156845092773,1999-04-27
9.281791687011719,1999-04-28
10.363313674926758,1999-04-29
10.031929016113281,1999-04-30
9.18840217590332,1999-05-03
8.736515998840332,1999-05-04
9.00463581085205,1999-05-05
8.459355354309082,1999-05-06
8.516595840454102,1999-05-07
9.320959091186523,1999-05-10
9.414348602294922,1999-05-11
9.580039978027344,1999-05-12
9.27878189086914,1999-05-13
8.959444999694824,1999-05-14
9.564974784851074,1999-05-17
9.137189865112305,1999-05-18
9.486648559570312,1999-05-19
8.995597839355469,1999-05-20
9.18087100982666,1999-05-21
8.832918167114258,1999-05-24
7.9020256996154785,1999-05-25
8.402117729187012,1999-05-26
8.146045684814453,1999-05-27
8.540696144104004,1999-05-28
8.025541305541992,1999-06-01
8.137007713317871,1999-06-02
7.775496006011963,1999-06-03
8.121946334838867,1999-06-04
8.832918167114258,1999-06-07
8.857016563415527,1999-06-08
8.820867538452148,1999-06-09
8.805803298950195,1999-06-10
7.995416641235352,1999-06-11
6.555397987365723,1999-06-14
6.531296730041504,1999-06-15
7.169966220855713,1999-06-16
7.0735650062561035,1999-06-17
7.046451568603516,1999-06-18
7.329634189605713,1999-06-21
7.142853260040283,1999-06-22
7.058501720428467,1999-06-23
6.850632667541504,1999-06-24
6.555397987365723,1999-06-25
6.751216411590576,1999-06-28
6.784355163574219,1999-06-29
7.296496391296387,1999-06-30
7.213649749755859,1999-07-01
6.922934055328369,1999-07-02
6.784355163574219,1999-07-06
6.663851737976074,1999-07-07
6.468031883239746,1999-07-08
6.54334831237793,1999-07-09
6.163762092590332,1999-07-12
6.025181770324707,1999-07-13
5.9287800788879395,1999-07-14
6.121584892272949,1999-07-15
5.927273273468018,1999-07-16
5.672708988189697,1999-07-19
5.443752288818359,1999-07-20
5.558231353759766,1999-07-21
5.23889684677124,1999-07-22
5.196720123291016,1999-07-23
5.031027793884277,1999-07-26
4.7990570068359375,1999-07-27
5.058140754699707,1999-07-28
4.928597927093506,1999-07-29
4.70867919921875,1999-07-30
4.398383617401123,1999-08-02
4.066997528076172,1999-08-03
3.6512603759765625,1999-08-04
4.476710796356201,1999-08-05
4.012770652770996,1999-08-06
3.838040590286255,1999-08-09
4.3019795417785645,1999-08-10
4.226665496826172,1999-08-11
4.4044084548950195,1999-08-12
4.723742485046387,1999-08-13
5.253958702087402,1999-08-16
5.675722122192383,1999-08-17
6.070371150970459,1999-08-18
5.48291540145874,1999-08-19
5.9287800788879395,1999-08-20
5.998068332672119,1999-08-23
5.7299485206604,1999-08-24
