PFE,Date
0.16890768706798553,1972-06-01
0.16686037182807922,1972-06-02
0.1663486510515213,1972-06-05
0.16993138194084167,1972-06-06
0.16993138194084167,1972-06-07
0.16890768706798553,1972-06-08
0.16993138194084167,1972-06-09
0.1704433411359787,1972-06-12
0.17197875678539276,1972-06-13
0.17197875678539276,1972-06-14
0.16993138194084167,1972-06-15
0.1730024665594101,1972-06-16
0.1750497668981552,1972-06-19
0.17607365548610687,1972-06-20
0.17402607202529907,1972-06-21
0.17453807592391968,1972-06-22
0.17402607202529907,1972-06-23
0.17197875678539276,1972-06-26
0.17197875678539276,1972-06-27
0.1704433411359787,1972-06-28
0.1730024665594101,1972-06-29
0.17351432144641876,1972-06-30
0.17402607202529907,1972-07-03
0.1770971119403839,1972-07-05
0.18067999184131622,1972-07-06
0.18323931097984314,1972-07-07
0.18375125527381897,1972-07-10
0.18375125527381897,1972-07-11
0.18426313996315002,1972-07-12
0.17914436757564545,1972-07-13
0.18323931097984314,1972-07-14
0.1817038208246231,1972-07-17
0.17965643107891083,1972-07-18
0.18067999184131622,1972-07-19
0.178120955824852,1972-07-20
0.17914436757564545,1972-07-21
0.1750497668981552,1972-07-24
0.178120955824852,1972-07-25
0.1770971119403839,1972-07-26
0.17607365548610687,1972-07-27
0.17760902643203735,1972-07-28
0.17607365548610687,1972-07-31
0.17965643107891083,1972-08-01
0.18221557140350342,1972-08-02
0.17965643107891083,1972-08-03
0.18067999184131622,1972-08-04
0.18119199573993683,1972-08-07
0.18119199573993683,1972-08-08
0.1817038208246231,1972-08-09
0.18375125527381897,1972-08-10
0.1873341202735901,1972-08-11
0.1873341202735901,1972-08-14
0.18631048500537872,1972-08-15
0.18528668582439423,1972-08-16
0.18579870462417603,1972-08-17
0.18221557140350342,1972-08-18
0.18221557140350342,1972-08-21
0.18119199573993683,1972-08-22
0.1801682859659195,1972-08-23
0.17914436757564545,1972-08-24
0.1770971119403839,1972-08-25
0.17658521234989166,1972-08-28
0.17827051877975464,1972-08-29
0.1772429347038269,1972-08-30
0.17570175230503082,1972-08-31
0.17621557414531708,1972-09-01
0.1767294555902481,1972-09-05
0.17210552096366882,1972-09-06
0.1669682264328003,1972-09-07
0.16953681409358978,1972-09-08
0.16850939393043518,1972-09-11
0.1659405529499054,1972-09-12
0.1679956465959549,1972-09-13
0.16645435988903046,1972-09-14
0.16902326047420502,1972-09-15
0.16953681409358978,1972-09-18
0.1715918481349945,1972-09-19
0.171078160405159,1972-09-20
0.1715918481349945,1972-09-21
0.17005065083503723,1972-09-22
0.16850939393043518,1972-09-25
0.1715918481349945,1972-09-26
0.17570175230503082,1972-09-27
0.1767294555902481,1972-09-28
0.17621557414531708,1972-09-29
0.17364679276943207,1972-10-02
0.17005065083503723,1972-10-03
0.17005065083503723,1972-10-04
0.16388556361198425,1972-10-05
0.1669682264328003,1972-10-06
0.1659405529499054,1972-10-09
0.16748182475566864,1972-10-10
0.1669682264328003,1972-10-11
0.1654268205165863,1972-10-12
0.1633717119693756,1972-10-13
0.16234444081783295,1972-10-16
0.16388556361198425,1972-10-17
0.1618305891752243,1972-10-18
0.1633717119693756,1972-10-19
0.16748182475566864,1972-10-20
0.171078160405159,1972-10-23
0.1715918481349945,1972-10-24
0.16902326047420502,1972-10-25
0.16850939393043518,1972-10-26
0.16902326047420502,1972-10-27
0.16645435988903046,1972-10-30
0.16850939393043518,1972-10-31
0.17056430876255035,1972-11-01
0.1767294555902481,1972-11-02
0.18494944274425507,1972-11-03
0.18135292828083038,1972-11-06
0.1818668693304062,1972-11-08
0.18135292828083038,1972-11-09
0.1767294555902481,1972-11-10
0.1772429347038269,1972-11-13
0.1767294555902481,1972-11-14
0.1767294555902481,1972-11-15
0.1767294555902481,1972-11-16
0.1767294555902481,1972-11-17
0.1767294555902481,1972-11-20
0.1731332540512085,1972-11-21
0.17570175230503082,1972-11-22
0.1772429347038269,1972-11-24
0.17878438532352448,1972-11-27
0.17913547158241272,1972-11-28
0.17913547158241272,1972-11-29
0.1806839406490326,1972-11-30
0.18171656131744385,1972-12-01
0.18378154933452606,1972-12-04
0.18378154933452606,1972-12-05
0.18378154933452606,1972-12-06
0.18378154933452606,1972-12-07
0.18584659695625305,1972-12-08
0.18636271357536316,1972-12-11
0.18378154933452606,1972-12-12
0.18223267793655396,1972-12-13
0.18171656131744385,1972-12-14
0.1765541285276413,1972-12-15
0.17603802680969238,1972-12-18
0.1781027615070343,1972-12-19
0.1775866001844406,1972-12-20
0.1775866001844406,1972-12-21
0.1786191165447235,1972-12-22
0.1775866001844406,1972-12-26
0.17707036435604095,1972-12-27
0.17707036435604095,1972-12-29
0.1801678091287613,1973-01-02
0.1806839406490326,1973-01-03
0.1827491968870163,1973-01-04
0.18378154933452606,1973-01-05
0.17965154349803925,1973-01-08
0.17965154349803925,1973-01-09
0.18171656131744385,1973-01-10
0.18429774045944214,1973-01-11
0.1812003254890442,1973-01-12
0.18171656131744385,1973-01-15
0.1812003254890442,1973-01-16
0.1812003254890442,1973-01-17
0.1812003254890442,1973-01-18
0.1806839406490326,1973-01-19
0.17913547158241272,1973-01-22
0.1775866001844406,1973-01-23
0.17603802680969238,1973-01-24
0.1698431670665741,1973-01-26
0.1698431670665741,1973-01-29
0.17035913467407227,1973-01-30
0.17294053733348846,1973-01-31
0.1724243015050888,1973-02-01
0.1713918149471283,1973-02-02
0.17035913467407227,1973-02-05
0.17035913467407227,1973-02-06
0.16674569249153137,1973-02-07
0.16932687163352966,1973-02-08
0.1719081550836563,1973-02-09
