CHKP,Date
4.0,1996-06-28
4.0833330154418945,1996-07-01
3.625,1996-07-02
3.375,1996-07-03
3.2291669845581055,1996-07-05
3.1458330154418945,1996-07-08
2.9791669845581055,1996-07-09
2.8541669845581055,1996-07-10
2.6666669845581055,1996-07-11
2.8958330154418945,1996-07-12
2.5416669845581055,1996-07-15
2.5208330154418945,1996-07-16
2.75,1996-07-17
3.125,1996-07-18
3.0416669845581055,1996-07-19
2.9166669845581055,1996-07-22
2.4166669845581055,1996-07-23
2.4791669845581055,1996-07-24
2.625,1996-07-25
2.75,1996-07-26
2.5833330154418945,1996-07-29
2.5833330154418945,1996-07-30
2.6666669845581055,1996-07-31
3.0416669845581055,1996-08-01
3.7291669845581055,1996-08-02
3.9583330154418945,1996-08-05
3.6666669845581055,1996-08-06
3.6666669845581055,1996-08-07
3.8541669845581055,1996-08-08
4.3125,1996-08-09
4.6875,1996-08-12
4.4375,1996-08-13
4.4166669845581055,1996-08-14
4.1041669845581055,1996-08-15
4.1666669845581055,1996-08-16
3.9375,1996-08-19
3.9166669845581055,1996-08-20
3.7916669845581055,1996-08-21
4.0208330154418945,1996-08-22
4.2083330154418945,1996-08-23
4.1458330154418945,1996-08-26
4.3958330154418945,1996-08-27
4.3333330154418945,1996-08-28
4.25,1996-08-29
4.0833330154418945,1996-08-30
4.0,1996-09-03
4.125,1996-09-04
4.1875,1996-09-05
4.25,1996-09-06
4.25,1996-09-09
4.4583330154418945,1996-09-10
4.5416669845581055,1996-09-11
4.6041669845581055,1996-09-12
4.7083330154418945,1996-09-13
4.8333330154418945,1996-09-16
4.9166669845581055,1996-09-17
4.875,1996-09-18
4.875,1996-09-19
4.9583330154418945,1996-09-20
5.1041669845581055,1996-09-23
5.4166669845581055,1996-09-24
5.0208330154418945,1996-09-25
5.1875,1996-09-26
5.4166669845581055,1996-09-27
5.625,1996-09-30
5.5833330154418945,1996-10-01
5.5416669845581055,1996-10-02
5.6041669845581055,1996-10-03
5.6041669845581055,1996-10-04
5.625,1996-10-07
5.4791669845581055,1996-10-08
5.625,1996-10-09
5.8541669845581055,1996-10-10
5.6666669845581055,1996-10-11
5.7708330154418945,1996-10-14
5.9166669845581055,1996-10-15
5.8958330154418945,1996-10-16
5.7291669845581055,1996-10-17
5.5416669845581055,1996-10-18
5.0416669845581055,1996-10-21
4.5625,1996-10-22
5.25,1996-10-23
5.1458330154418945,1996-10-24
5.1458330154418945,1996-10-25
4.8958330154418945,1996-10-28
4.9375,1996-10-29
4.7708330154418945,1996-10-30
4.5833330154418945,1996-10-31
4.9583330154418945,1996-11-01
5.0625,1996-11-04
4.2708330154418945,1996-11-05
4.25,1996-11-06
3.9375,1996-11-07
3.8541669845581055,1996-11-08
3.7291669845581055,1996-11-11
3.8333330154418945,1996-11-12
3.8958330154418945,1996-11-13
4.2916669845581055,1996-11-14
4.1666669845581055,1996-11-15
3.9583330154418945,1996-11-18
3.7083330154418945,1996-11-19
3.7708330154418945,1996-11-20
3.7291669845581055,1996-11-21
3.6458330154418945,1996-11-22
4.0416669845581055,1996-11-25
4.0,1996-11-26
3.75,1996-11-27
3.7916669845581055,1996-11-29
3.5625,1996-12-02
3.6354169845581055,1996-12-03
3.5416669845581055,1996-12-04
3.7708330154418945,1996-12-05
3.625,1996-12-06
3.5625,1996-12-09
3.3125,1996-12-10
3.4166669845581055,1996-12-11
3.2708330154418945,1996-12-12
3.0625,1996-12-13
3.1041669845581055,1996-12-16
3.0,1996-12-17
2.75,1996-12-18
2.8541669845581055,1996-12-19
2.7708330154418945,1996-12-20
2.8541669845581055,1996-12-23
2.84375,1996-12-24
3.1666669845581055,1996-12-26
3.6041669845581055,1996-12-27
3.6666669845581055,1996-12-30
3.625,1996-12-31
3.4375,1997-01-02
3.5625,1997-01-03
3.4375,1997-01-06
3.5,1997-01-07
3.6354169845581055,1997-01-08
3.5208330154418945,1997-01-09
3.5208330154418945,1997-01-10
3.4583330154418945,1997-01-13
3.5416669845581055,1997-01-14
3.4166669845581055,1997-01-15
3.2916669845581055,1997-01-16
3.2708330154418945,1997-01-17
3.1458330154418945,1997-01-20
3.1458330154418945,1997-01-21
3.1875,1997-01-22
3.3125,1997-01-23
3.1666669845581055,1997-01-24
3.1458330154418945,1997-01-27
3.2916669845581055,1997-01-28
3.4791669845581055,1997-01-29
4.6041669845581055,1997-01-30
4.4583330154418945,1997-01-31
4.2291669845581055,1997-02-03
4.4791669845581055,1997-02-04
4.4583330154418945,1997-02-05
4.3958330154418945,1997-02-06
4.3958330154418945,1997-02-07
3.8958330154418945,1997-02-10
3.875,1997-02-11
3.7916669845581055,1997-02-12
3.8541669845581055,1997-02-13
4.125,1997-02-14
4.4583330154418945,1997-02-18
4.25,1997-02-19
4.1041669845581055,1997-02-20
3.9270830154418945,1997-02-21
3.6666669845581055,1997-02-24
3.375,1997-02-25
3.2708330154418945,1997-02-26
3.1666669845581055,1997-02-27
2.9791669845581055,1997-02-28
2.9791669845581055,1997-03-03
2.9583330154418945,1997-03-04
3.1458330154418945,1997-03-05
3.25,1997-03-06
3.1458330154418945,1997-03-07
3.2708330154418945,1997-03-10
3.375,1997-03-11
3.3541669845581055,1997-03-12
3.3020830154418945,1997-03-13
3.3125,1997-03-14
3.0833330154418945,1997-03-17
3.0625,1997-03-18
2.7083330154418945,1997-03-19
3.1875,1997-03-20
3.4791669845581055,1997-03-21
3.5416669845581055,1997-03-24
3.4583330154418945,1997-03-25
3.5,1997-03-26
3.4791669845581055,1997-03-27
3.4166669845581055,1997-03-31
3.2395830154418945,1997-04-01
3.0833330154418945,1997-04-02
3.4375,1997-04-03
3.6458330154418945,1997-04-04
3.4791669845581055,1997-04-07
3.5833330154418945,1997-04-08
3.5625,1997-04-09
3.375,1997-04-10
