BB,Date
1.9244790077209473,1999-02-04
1.8333330154418945,1999-02-05
1.8125,1999-02-08
1.6666669845581055,1999-02-09
1.6770830154418945,1999-02-10
1.8125,1999-02-11
1.78125,1999-02-12
1.7083330154418945,1999-02-16
1.7083330154418945,1999-02-17
1.6666669845581055,1999-02-18
1.6458330154418945,1999-02-19
1.7083330154418945,1999-02-22
1.6979169845581055,1999-02-23
1.6770830154418945,1999-02-24
1.5625,1999-02-25
1.4791669845581055,1999-02-26
1.4166669845581055,1999-03-01
1.2708330154418945,1999-03-02
1.28125,1999-03-03
1.3020830154418945,1999-03-04
1.3125,1999-03-05
1.2994790077209473,1999-03-08
1.3333330154418945,1999-03-09
1.4479169845581055,1999-03-10
1.3958330154418945,1999-03-11
1.3645830154418945,1999-03-12
1.3854169845581055,1999-03-15
1.40625,1999-03-16
1.3958330154418945,1999-03-17
1.4479169845581055,1999-03-18
1.4166669845581055,1999-03-19
1.5416669845581055,1999-03-22
1.4895830154418945,1999-03-23
1.4895830154418945,1999-03-24
1.5520830154418945,1999-03-25
1.5234379768371582,1999-03-26
1.65625,1999-03-29
1.6458330154418945,1999-03-30
1.75,1999-03-31
1.7083330154418945,1999-04-01
1.8020830154418945,1999-04-05
1.75,1999-04-06
1.8854169845581055,1999-04-07
1.9479169845581055,1999-04-08
1.9583330154418945,1999-04-09
1.9583330154418945,1999-04-12
2.0,1999-04-13
1.9791669845581055,1999-04-14
1.875,1999-04-15
1.8125,1999-04-16
1.6770830154418945,1999-04-19
1.6666669845581055,1999-04-20
1.6041669845581055,1999-04-21
1.7083330154418945,1999-04-22
1.8020830154418945,1999-04-23
1.9375,1999-04-26
1.9375,1999-04-27
1.8541669845581055,1999-04-28
1.9583330154418945,1999-04-29
2.03125,1999-04-30
2.0,1999-05-03
2.03125,1999-05-04
2.0,1999-05-05
1.9270830154418945,1999-05-06
1.875,1999-05-07
1.8541669845581055,1999-05-10
1.8333330154418945,1999-05-11
1.7395830154418945,1999-05-12
1.78125,1999-05-13
1.78125,1999-05-14
1.8229169845581055,1999-05-17
2.1979169845581055,1999-05-18
2.03125,1999-05-19
2.1979169845581055,1999-05-20
2.3541669845581055,1999-05-21
2.5520830154418945,1999-05-24
2.40625,1999-05-25
2.4270830154418945,1999-05-26
2.2916669845581055,1999-05-27
2.34375,1999-05-28
2.3958330154418945,1999-06-01
2.7916669845581055,1999-06-02
3.1354169845581055,1999-06-03
3.0520830154418945,1999-06-04
3.1875,1999-06-07
3.2291669845581055,1999-06-08
3.4791669845581055,1999-06-09
3.46875,1999-06-10
3.1666669845581055,1999-06-11
2.9166669845581055,1999-06-14
2.8333330154418945,1999-06-15
3.03125,1999-06-16
3.2395830154418945,1999-06-17
