PEP,Date
0.4025367796421051,1972-06-01
0.40137332677841187,1972-06-02
0.39670655131340027,1972-06-05
0.39320608973503113,1972-06-06
0.3908723294734955,1972-06-07
0.3908723294734955,1972-06-08
0.39145606756210327,1972-06-09
0.3902890384197235,1972-06-12
0.3949565291404724,1972-06-13
0.39904001355171204,1972-06-14
0.3978731334209442,1972-06-15
0.39729008078575134,1972-06-16
0.39612311124801636,1972-06-19
0.39612311124801636,1972-06-20
0.39670655131340027,1972-06-21
0.39904001355171204,1972-06-22
0.40137359499931335,1972-06-23
0.3978731334209442,1972-06-26
0.39553961157798767,1972-06-27
0.3949565291404724,1972-06-28
0.3949565291404724,1972-06-29
0.39145606756210327,1972-06-30
0.3908723294734955,1972-07-03
0.39145606756210327,1972-07-05
0.39553961157798767,1972-07-06
0.3897054195404053,1972-07-07
0.3897054195404053,1972-07-10
0.3926224410533905,1972-07-11
0.39320608973503113,1972-07-12
0.39553961157798767,1972-07-13
0.40954121947288513,1972-07-14
0.4072076082229614,1972-07-17
0.4025403559207916,1972-07-18
0.3978731334209442,1972-07-19
0.3943726718425751,1972-07-20
0.39553961157798767,1972-07-21
0.39612311124801636,1972-07-24
0.39729008078575134,1972-07-25
0.4002067446708679,1972-07-26
0.41304129362106323,1972-07-27
0.40837395191192627,1972-07-28
0.407790869474411,1972-07-31
0.4118744730949402,1972-08-01
0.41537460684776306,1972-08-02
0.41070786118507385,1972-08-03
0.41070786118507385,1972-08-04
0.41012436151504517,1972-08-07
0.407790869474411,1972-08-08
0.40837395191192627,1972-08-09
0.40837395191192627,1972-08-10
0.4089575707912445,1972-08-11
0.4112910330295563,1972-08-14
0.41012436151504517,1972-08-15
0.4089575707912445,1972-08-16
0.40954121947288513,1972-08-17
0.41012436151504517,1972-08-18
0.4118744730949402,1972-08-21
0.4118744730949402,1972-08-22
0.41070786118507385,1972-08-23
0.4072076082229614,1972-08-24
0.4072076082229614,1972-08-25
0.4054572880268097,1972-08-28
0.4089575707912445,1972-08-29
0.40604034066200256,1972-08-30
0.4025403559207916,1972-08-31
0.4066360294818878,1972-09-01
0.4025407135486603,1972-09-05
0.4019554853439331,1972-09-06
0.39961519837379456,1972-09-07
0.39727461338043213,1972-09-08
0.39727461338043213,1972-09-11
0.3961048424243927,1972-09-12
0.39551931619644165,1972-09-13
0.3961048424243927,1972-09-14
0.3884984254837036,1972-09-15
0.38498786091804504,1972-09-18
0.37972208857536316,1972-09-19
0.37855181097984314,1972-09-20
0.37913691997528076,1972-09-21
0.3727009892463684,1972-09-22
0.3650945723056793,1972-09-25
0.3686054050922394,1972-09-26
0.38498786091804504,1972-09-27
0.38732805848121643,1972-09-28
0.3902536928653717,1972-09-29
0.3838176727294922,1972-10-02
0.38206252455711365,1972-10-03
0.38498786091804504,1972-10-04
0.38323259353637695,1972-10-05
0.3861581087112427,1972-10-06
0.3867431581020355,1972-10-09
0.3861581087112427,1972-10-10
0.38557276129722595,1972-10-11
0.38030725717544556,1972-10-12
0.3750411570072174,1972-10-13
0.3727009892463684,1972-10-16
0.3738711476325989,1972-10-17
0.37913691997528076,1972-10-18
0.38030725717544556,1972-10-19
0.37913691997528076,1972-10-20
0.3838176727294922,1972-10-23
0.3896685540676117,1972-10-24
0.3943488895893097,1972-10-25
0.39668944478034973,1972-10-26
0.39259395003318787,1972-10-27
0.3890831470489502,1972-10-30
0.3908385932445526,1972-10-31
0.3908385932445526,1972-11-01
0.393763929605484,1972-11-02
0.40020039677619934,1972-11-03
0.3990301787853241,1972-11-06
0.40078502893447876,1972-11-08
0.40137025713920593,1972-11-09
0.40020039677619934,1972-11-10
0.40137025713920593,1972-11-13
0.4066360294818878,1972-11-14
0.4054660201072693,1972-11-15
0.40780630707740784,1972-11-16
0.4206784665584564,1972-11-17
0.4206784665584564,1972-11-20
0.4124867916107178,1972-11-21
0.41365689039230347,1972-11-22
0.4130721986293793,1972-11-24
0.4142422080039978,1972-11-27
0.4119022786617279,1972-11-28
0.4107316732406616,1972-11-29
0.40780630707740784,1972-11-30
0.40780630707740784,1972-12-01
0.41015365719795227,1972-12-04
0.41250067949295044,1972-12-05
0.4166080057621002,1972-12-06
0.42188915610313416,1972-12-07
0.42012888193130493,1972-12-08
0.4177815020084381,1972-12-11
0.4154343605041504,1972-12-12
0.41484740376472473,1972-12-13
0.4130876660346985,1972-12-14
0.4136738181114197,1972-12-15
0.4130876660346985,1972-12-18
0.4072193205356598,1972-12-19
0.4036990702152252,1972-12-20
0.39841794967651367,1972-12-21
0.40017861127853394,1972-12-22
0.39841794967651367,1972-12-26
0.4025254249572754,1972-12-27
0.40897998213768005,1972-12-29
0.41250067949295044,1973-01-02
0.4095669984817505,1973-01-03
0.4031123220920563,1973-01-04
0.40076515078544617,1973-01-05
0.4025254249572754,1973-01-08
0.39841794967651367,1973-01-09
0.39548376202583313,1973-01-10
0.39900466799736023,1973-01-11
0.4031123220920563,1973-01-12
0.4025254249572754,1973-01-15
0.4025254249572754,1973-01-16
0.40839290618896484,1973-01-17
0.41250067949295044,1973-01-18
0.4078063666820526,1973-01-19
0.4078063666820526,1973-01-22
0.41015365719795227,1973-01-23
0.4036990702152252,1973-01-24
0.397830992937088,1973-01-26
0.38726934790611267,1973-01-29
0.390203058719635,1973-01-30
0.3913767337799072,1973-01-31
0.38844266533851624,1973-02-01
0.3907899260520935,1973-02-02
0.38726934790611267,1973-02-05
0.3943106532096863,1973-02-06
0.390203058719635,1973-02-07
0.393723726272583,1973-02-08
0.393723726272583,1973-02-09
0.3948970437049866,1973-02-12
