FIS,Date
9.342358589172363,2001-06-20
9.967788696289062,2001-06-21
10.006882667541504,2001-06-22
10.35867977142334,2001-06-25
10.339140892028809,2001-06-26
10.397772789001465,2001-06-27
10.749576568603516,2001-06-28
10.945022583007812,2001-06-29
10.945022583007812,2001-07-02
10.964568138122559,2001-07-03
10.925481796264648,2001-07-05
11.726812362670898,2001-07-06
11.691629409790039,2001-07-09
11.160014152526855,2001-07-10
11.140474319458008,2001-07-11
11.511818885803223,2001-07-12
11.335919380187988,2001-07-13
11.238194465637207,2001-07-16
11.566546440124512,2001-07-17
11.527456283569336,2001-07-18
11.29682731628418,2001-07-19
11.320283889770508,2001-07-20
11.339826583862305,2001-07-23
11.328104019165039,2001-07-24
11.550911903381348,2001-07-25
11.699448585510254,2001-07-26
11.93398666381836,2001-07-27
12.360060691833496,2001-07-30
12.90731143951416,2001-07-31
13.290383338928223,2001-08-01
13.17702579498291,2001-08-02
12.76268482208252,2001-08-03
12.563331604003906,2001-08-06
12.684496879577637,2001-08-07
12.700142860412598,2001-08-08
12.707950592041016,2001-08-09
12.56723690032959,2001-08-10
12.5086030960083,2001-08-13
12.817402839660645,2001-08-14
12.5086030960083,2001-08-15
12.5086030960083,2001-08-16
12.602416038513184,2001-08-17
12.516417503356934,2001-08-20
12.625871658325195,2001-08-21
12.70405101776123,2001-08-22
12.664957046508789,2001-08-23
12.645415306091309,2001-08-24
12.76268482208252,2001-08-27
12.65713882446289,2001-08-28
12.79395580291748,2001-08-29
12.903399467468262,2001-08-30
13.431107521057129,2001-08-31
13.642192840576172,2001-09-04
13.180941581726074,2001-09-05
12.899487495422363,2001-09-06
12.758769035339355,2001-09-07
12.801769256591797,2001-09-10
11.761993408203125,2001-09-17
12.019978523254395,2001-09-18
12.047345161437988,2001-09-19
11.675995826721191,2001-09-20
11.586091041564941,2001-09-21
11.504000663757324,2001-09-24
11.230379104614258,2001-09-25
10.006882667541504,2001-09-26
9.764528274536133,2001-09-27
10.147599220275879,2001-09-28
11.034929275512695,2001-10-01
10.945022583007812,2001-10-02
11.42191219329834,2001-10-03
12.11771011352539,2001-10-04
11.801081657409668,2001-10-05
11.14438247680664,2001-10-08
11.683815956115723,2001-10-09
11.625178337097168,2001-10-10
11.253833770751953,2001-10-11
10.870753288269043,2001-10-12
11.335919380187988,2001-10-15
11.218649864196777,2001-10-16
11.20301342010498,2001-10-17
11.515730857849121,2001-10-18
11.49227237701416,2001-10-19
11.535274505615234,2001-10-22
11.66817855834961,2001-10-23
11.734633445739746,2001-10-24
11.726812362670898,2001-10-25
11.707262992858887,2001-10-26
11.527456283569336,2001-10-29
10.859029769897461,2001-10-30
11.140474319458008,2001-10-31
10.898116111755371,2001-11-01
10.859029769897461,2001-11-02
10.956755638122559,2001-11-05
10.921568870544434,2001-11-06
10.941116333007812,2001-11-07
11.17174243927002,2001-11-08
11.00365924835205,2001-11-09
11.23428726196289,2001-11-12
11.34373664855957,2001-11-13
11.49227237701416,2001-11-14
11.687723159790039,2001-11-15
11.742444038391113,2001-11-16
12.04343318939209,2001-11-19
11.867533683776855,2001-11-20
11.922256469726562,2001-11-21
11.918352127075195,2001-11-23
11.918352127075195,2001-11-26
11.922256469726562,2001-11-27
11.808897972106934,2001-11-28
11.722902297973633,2001-11-29
11.50009536743164,2001-11-30
11.378917694091797,2001-12-03
11.418006896972656,2001-12-04
11.992623329162598,2001-12-05
11.922256469726562,2001-12-06
12.008254051208496,2001-12-07
12.09425163269043,2001-12-10
12.301424980163574,2001-12-11
12.489058494567871,2001-12-12
12.59068489074707,2001-12-13
12.899487495422363,2001-12-14
12.969854354858398,2001-12-17
13.341205596923828,2001-12-18
12.94249153137207,2001-12-19
13.149670600891113,2001-12-20
13.62264347076416,2001-12-21
13.857182502746582,2001-12-24
13.708639144897461,2001-12-26
13.458470344543457,2001-12-27
13.564014434814453,2001-12-28
13.376384735107422,2001-12-31
13.75946044921875,2002-01-02
13.814183235168457,2002-01-03
13.681282997131348,2002-01-04
13.263026237487793,2002-01-07
13.18875789642334,2002-01-08
13.478014945983887,2002-01-09
13.227840423583984,2002-01-10
13.313841819763184,2002-01-11
13.665643692016602,2002-01-14
13.603107452392578,2002-01-15
13.505375862121582,2002-01-16
13.732098579406738,2002-01-17
13.62264347076416,2002-01-18
13.329472541809082,2002-01-22
13.27866268157959,2002-01-23
13.462377548217773,2002-01-24
13.329472541809082,2002-01-25
13.41547679901123,2002-01-28
13.329472541809082,2002-01-29
13.466285705566406,2002-01-30
13.560105323791504,2002-01-31
13.900177955627441,2002-02-01
13.75946044921875,2002-02-04
13.798547744750977,2002-02-05
13.775096893310547,2002-02-06
13.771187782287598,2002-02-07
13.775096893310547,2002-02-08
13.720377922058105,2002-02-11
13.665643692016602,2002-02-12
13.861087799072266,2002-02-13
13.728184700012207,2002-02-14
13.77900505065918,2002-02-15
13.86500358581543,2002-02-19
13.88454818725586,2002-02-20
13.53273868560791,2002-02-21
13.630465507507324,2002-02-22
13.62264347076416,2002-02-25
13.583559036254883,2002-02-26
13.724276542663574,2002-02-27
14.521705627441406,2002-02-28
15.221407890319824,2002-03-01
15.58493423461914,2002-03-04
15.612292289733887,2002-03-05
15.721748352050781,2002-03-06
15.811643600463867,2002-03-07
15.87027645111084,2002-03-08
16.06574058532715,2002-03-11
16.12827491760254,2002-03-12
15.995368957519531,2002-03-13
16.042282104492188,2002-03-14
15.807740211486816,2002-03-15
15.369941711425781,2002-03-18
15.05331802368164,2002-03-19
15.131499290466309,2002-03-20
15.440295219421387,2002-03-21
15.608379364013672,2002-03-22
15.565391540527344,2002-03-25
15.518474578857422,2002-03-26
15.545845985412598,2002-03-27
15.518474578857422,2002-03-28
15.944559097290039,2002-04-01
16.19472885131836,2002-04-02
15.925004959106445,2002-04-03
15.97973918914795,2002-04-04
16.22209358215332,2002-04-05
16.40581512451172,2002-04-08
16.636430740356445,2002-04-09
16.67552375793457,2002-04-10
16.36281394958496,2002-04-11
16.311996459960938,2002-04-12
16.382352828979492,2002-04-15
