XEL,Date
1.0883136987686157,1973-02-21
1.0883136987686157,1973-02-22
1.0836225748062134,1973-02-23
1.069549798965454,1973-02-26
1.069549798965454,1973-02-27
1.046094298362732,1973-02-28
1.0507851839065552,1973-03-01
1.0601674318313599,1973-03-02
1.0507851839065552,1973-03-05
1.064858317375183,1973-03-06
1.0507851839065552,1973-03-07
1.0601674318313599,1973-03-08
1.0601674318313599,1973-03-09
1.0601674318313599,1973-03-12
1.069549798965454,1973-03-13
1.0742406845092773,1973-03-14
1.069549798965454,1973-03-15
1.0507851839065552,1973-03-16
1.0414035320281982,1973-03-19
1.0414035320281982,1973-03-20
1.046094298362732,1973-03-21
1.0414035320281982,1973-03-22
1.0601674318313599,1973-03-23
1.0538352727890015,1973-03-26
1.0586037635803223,1973-03-27
1.0586037635803223,1973-03-28
1.0586037635803223,1973-03-29
1.0490667819976807,1973-03-30
1.0538352727890015,1973-04-02
1.0490667819976807,1973-04-03
1.0442984104156494,1973-04-04
1.0442984104156494,1973-04-05
1.0347607135772705,1973-04-06
1.0395294427871704,1973-04-09
1.0586037635803223,1973-04-10
1.0586037635803223,1973-04-11
1.0729089975357056,1973-04-12
1.0681405067443848,1973-04-13
1.0776773691177368,1973-04-16
1.0729089975357056,1973-04-17
1.0729089975357056,1973-04-18
1.0824460983276367,1973-04-19
1.0872138738632202,1973-04-23
1.0872138738632202,1973-04-24
1.0729089975357056,1973-04-25
1.0824460983276367,1973-04-26
1.0824460983276367,1973-04-27
1.0776773691177368,1973-04-30
1.0872138738632202,1973-05-01
1.0919829607009888,1973-05-02
1.0919829607009888,1973-05-03
1.0872138738632202,1973-05-04
1.09675133228302,1973-05-07
1.0872138738632202,1973-05-08
1.0681405067443848,1973-05-09
1.0729089975357056,1973-05-10
1.0776773691177368,1973-05-11
1.0681405067443848,1973-05-14
1.0681405067443848,1973-05-15
1.0681405067443848,1973-05-16
1.0681405067443848,1973-05-17
1.0729089975357056,1973-05-18
1.0776773691177368,1973-05-21
1.0872138738632202,1973-05-22
1.09675133228302,1973-05-23
1.0919829607009888,1973-05-24
1.106288194656372,1973-05-25
1.106288194656372,1973-05-29
1.106288194656372,1973-05-30
1.09675133228302,1973-05-31
1.101520299911499,1973-06-01
1.106288194656372,1973-06-04
1.1253622770309448,1973-06-05
1.1301305294036865,1973-06-06
1.139667272567749,1973-06-07
1.1444361209869385,1973-06-08
1.1301305294036865,1973-06-11
1.1444361209869385,1973-06-12
1.1348985433578491,1973-06-13
1.1348985433578491,1973-06-14
1.1253622770309448,1973-06-15
1.1348985433578491,1973-06-18
1.1301305294036865,1973-06-19
1.1253622770309448,1973-06-20
1.1253622770309448,1973-06-21
1.1348985433578491,1973-06-22
1.0872138738632202,1973-06-25
1.0729089975357056,1973-06-26
1.0872138738632202,1973-06-27
1.0776773691177368,1973-06-28
1.0776773691177368,1973-06-29
1.0776773691177368,1973-07-02
1.0776773691177368,1973-07-03
1.0729089975357056,1973-07-05
1.0681405067443848,1973-07-06
1.0729089975357056,1973-07-09
1.0538352727890015,1973-07-10
1.0633717775344849,1973-07-11
1.0681405067443848,1973-07-12
1.0442984104156494,1973-07-13
1.0442984104156494,1973-07-16
1.0490667819976807,1973-07-17
1.0442984104156494,1973-07-18
1.0395294427871704,1973-07-19
1.0442984104156494,1973-07-20
1.0395294427871704,1973-07-23
1.0729089975357056,1973-07-24
1.0681405067443848,1973-07-25
1.0729089975357056,1973-07-26
1.0633717775344849,1973-07-27
1.0586037635803223,1973-07-30
1.0586037635803223,1973-07-31
1.0395294427871704,1973-08-01
1.0347607135772705,1973-08-02
1.0347607135772705,1973-08-03
1.0204553604125977,1973-08-06
1.0061500072479248,1973-08-07
0.9966133236885071,1973-08-08
0.9918447136878967,1973-08-09
0.982307493686676,1973-08-10
0.9632333517074585,1973-08-13
0.9632333517074585,1973-08-14
0.982307493686676,1973-08-15
0.9584643840789795,1973-08-16
0.9680014252662659,1973-08-17
0.953696608543396,1973-08-20
0.9489278793334961,1973-08-21
0.9489278793334961,1973-08-22
0.9489278793334961,1973-08-23
0.944159984588623,1973-08-24
0.9393913745880127,1973-08-27
0.9489278793334961,1973-08-28
0.9632333517074585,1973-08-29
0.9870763421058655,1973-08-30
1.0109187364578247,1973-08-31
1.0061500072479248,1973-09-04
1.0061500072479248,1973-09-05
1.0204553604125977,1973-09-06
1.0204553604125977,1973-09-07
1.0156867504119873,1973-09-10
0.9966133236885071,1973-09-11
1.001381754875183,1973-09-12
1.0061500072479248,1973-09-13
0.9966133236885071,1973-09-14
1.0109187364578247,1973-09-17
1.001381754875183,1973-09-18
1.0109187364578247,1973-09-19
1.0061500072479248,1973-09-20
1.0299924612045288,1973-09-21
1.0299924612045288,1973-09-24
1.0252238512039185,1973-09-25
1.0395294427871704,1973-09-26
1.0490667819976807,1973-09-27
1.0442984104156494,1973-09-28
1.0347607135772705,1973-10-01
1.0156867504119873,1973-10-02
1.0061500072479248,1973-10-03
1.001381754875183,1973-10-04
1.001381754875183,1973-10-05
0.9918447136878967,1973-10-08
0.9918447136878967,1973-10-09
0.9870763421058655,1973-10-10
0.982307493686676,1973-10-11
0.9727708101272583,1973-10-12
0.9727708101272583,1973-10-15
0.9584643840789795,1973-10-16
0.9584643840789795,1973-10-17
0.9632333517074585,1973-10-18
0.9584643840789795,1973-10-19
0.9584643840789795,1973-10-22
0.9584643840789795,1973-10-23
0.9584643840789795,1973-10-24
0.9584643840789795,1973-10-25
0.9584643840789795,1973-10-26
0.953696608543396,1973-10-29
0.944159984588623,1973-10-30
0.953696608543396,1973-10-31
0.944159984588623,1973-11-01
0.9489278793334961,1973-11-02
0.9393913745880127,1973-11-05
0.944159984588623,1973-11-06
0.9393913745880127,1973-11-07
0.9250858426094055,1973-11-08
0.9250858426094055,1973-11-09
0.9155483841896057,1973-11-12
0.9012432098388672,1973-11-13
