MTB,Date
0.24007244408130646,1980-03-17
0.23728083074092865,1980-03-18
0.24286402761936188,1980-03-19
0.24286402761936188,1980-03-20
0.24286402761936188,1980-03-21
0.24286402761936188,1980-03-24
0.23448945581912994,1980-03-25
0.23448945581912994,1980-03-26
0.21215708553791046,1980-03-27
0.2177402526140213,1980-03-28
0.2177402526140213,1980-03-31
0.22053170204162598,1980-04-01
0.2233232855796814,1980-04-02
0.22053170204162598,1980-04-03
0.21215708553791046,1980-04-07
0.21215708553791046,1980-04-08
0.21494866907596588,1980-04-09
0.2177402526140213,1980-04-10
0.2177402526140213,1980-04-11
0.2177402526140213,1980-04-14
0.20936545729637146,1980-04-15
0.21215708553791046,1980-04-16
0.2177402526140213,1980-04-17
0.2233232855796814,1980-04-18
0.2177402526140213,1980-04-21
0.2177402526140213,1980-04-22
0.22890633344650269,1980-04-23
0.23169788718223572,1980-04-24
0.23169788718223572,1980-04-25
0.24007244408130646,1980-04-28
0.24007244408130646,1980-04-29
0.24286402761936188,1980-04-30
0.24007244408130646,1980-05-01
0.24565550684928894,1980-05-02
0.2679879665374756,1980-05-05
0.2624048888683319,1980-05-06
0.2679879665374756,1980-05-07
0.2679879665374756,1980-05-08
0.2679879665374756,1980-05-09
0.2735709846019745,1980-05-12
0.2847370207309723,1980-05-13
0.2847370207309723,1980-05-14
0.2847370207309723,1980-05-15
0.2847370207309723,1980-05-16
0.2847370207309723,1980-05-19
0.2847370207309723,1980-05-20
0.28194576501846313,1980-05-21
0.27915409207344055,1980-05-22
0.2875286638736725,1980-05-23
0.2847370207309723,1980-05-27
0.28194576501846313,1980-05-28
0.2735709846019745,1980-05-29
0.27636265754699707,1980-05-30
0.27636265754699707,1980-06-02
0.2735709846019745,1980-06-03
0.2735709846019745,1980-06-04
0.27636265754699707,1980-06-05
0.27636265754699707,1980-06-06
0.2735709846019745,1980-06-09
0.2679879665374756,1980-06-10
0.2679879665374756,1980-06-11
0.2679879665374756,1980-06-12
0.2679879665374756,1980-06-13
0.2679879665374756,1980-06-16
0.2679879665374756,1980-06-17
0.27077946066856384,1980-06-18
0.2735709846019745,1980-06-19
0.2735709846019745,1980-06-20
0.2735709846019745,1980-06-23
0.2735709846019745,1980-06-24
0.2735709846019745,1980-06-25
0.27636265754699707,1980-06-26
0.27636265754699707,1980-06-27
0.2735709846019745,1980-06-30
0.2735709846019745,1980-07-01
0.27636265754699707,1980-07-02
0.27915409207344055,1980-07-03
0.28194576501846313,1980-07-07
0.2847370207309723,1980-07-08
0.2847370207309723,1980-07-09
0.2847370207309723,1980-07-10
0.2847370207309723,1980-07-11
0.2847370207309723,1980-07-14
0.2847370207309723,1980-07-15
0.2847370207309723,1980-07-16
0.2847370207309723,1980-07-17
0.2847370207309723,1980-07-18
0.28194576501846313,1980-07-21
0.28194576501846313,1980-07-22
0.2847370207309723,1980-07-23
0.2847370207309723,1980-07-24
0.2847370207309723,1980-07-25
0.28194576501846313,1980-07-28
0.28194576501846313,1980-07-29
0.28194576501846313,1980-07-30
0.27915409207344055,1980-07-31
0.28194576501846313,1980-08-01
0.28194576501846313,1980-08-04
0.28194576501846313,1980-08-05
0.28194576501846313,1980-08-06
0.2875286638736725,1980-08-07
0.2903202474117279,1980-08-08
0.2959032952785492,1980-08-11
0.30706945061683655,1980-08-12
0.30706945061683655,1980-08-13
0.30706945061683655,1980-08-14
0.30706945061683655,1980-08-15
0.30148643255233765,1980-08-18
0.298694908618927,1980-08-19
0.2959032952785492,1980-08-20
0.2959032952785492,1980-08-21
0.298694908618927,1980-08-22
0.30148643255233765,1980-08-25
0.30706945061683655,1980-08-26
0.30706945061683655,1980-08-27
0.30427786707878113,1980-08-28
0.30706945061683655,1980-08-29
0.3098609447479248,1980-09-02
0.3098609447479248,1980-09-03
0.31823551654815674,1980-09-04
0.3377764821052551,1980-09-05
0.3377764821052551,1980-09-08
0.3321934938430786,1980-09-09
0.34056800603866577,1980-09-10
0.35173407196998596,1980-09-11
0.36290040612220764,1980-09-12
0.35173407196998596,1980-09-15
0.34894251823425293,1980-09-16
0.346151202917099,1980-09-17
0.34056800603866577,1980-09-18
0.3433595895767212,1980-09-19
0.3433595895767212,1980-09-22
0.33498483896255493,1980-09-23
0.3294018805027008,1980-09-24
0.3238186538219452,1980-09-25
0.3238186538219452,1980-09-26
0.31823551654815674,1980-09-29
0.31823551654815674,1980-09-30
0.31823551654815674,1980-10-01
0.31823551654815674,1980-10-02
0.31823551654815674,1980-10-03
0.31823551654815674,1980-10-06
0.31823551654815674,1980-10-07
0.3238186538219452,1980-10-08
0.3238186538219452,1980-10-09
0.3238186538219452,1980-10-10
0.33498483896255493,1980-10-13
0.33498483896255493,1980-10-14
0.33498483896255493,1980-10-15
0.33498483896255493,1980-10-16
0.33498483896255493,1980-10-17
0.3321934938430786,1980-10-20
0.3294018805027008,1980-10-21
0.3294018805027008,1980-10-22
0.32661017775535583,1980-10-23
0.32661017775535583,1980-10-24
0.3294018805027008,1980-10-27
0.32661017775535583,1980-10-28
0.3238186538219452,1980-10-29
0.32661017775535583,1980-10-30
0.32661017775535583,1980-10-31
0.32661017775535583,1980-11-03
0.3294018805027008,1980-11-05
0.3238186538219452,1980-11-06
0.3238186538219452,1980-11-07
0.3238186538219452,1980-11-10
0.3238186538219452,1980-11-11
0.32661017775535583,1980-11-12
0.3294018805027008,1980-11-13
0.3321934938430786,1980-11-14
0.3321934938430786,1980-11-17
0.3294018805027008,1980-11-18
0.3294018805027008,1980-11-19
0.3294018805027008,1980-11-20
