ENPH,Date
7.340000152587891,2012-03-30
7.809999942779541,2012-04-02
7.639999866485596,2012-04-03
7.449999809265137,2012-04-04
7.429999828338623,2012-04-05
6.980000019073486,2012-04-09
7.070000171661377,2012-04-10
7.130000114440918,2012-04-11
7.300000190734863,2012-04-12
7.099999904632568,2012-04-13
7.159999847412109,2012-04-16
7.0,2012-04-17
7.289999961853027,2012-04-18
7.039999961853027,2012-04-19
7.019999980926514,2012-04-20
6.980000019073486,2012-04-23
6.909999847412109,2012-04-24
6.880000114440918,2012-04-25
6.860000133514404,2012-04-26
6.75,2012-04-27
7.28000020980835,2012-04-30
7.920000076293945,2012-05-01
8.0,2012-05-02
8.819999694824219,2012-05-03
8.359999656677246,2012-05-04
8.34000015258789,2012-05-07
8.479999542236328,2012-05-08
8.649999618530273,2012-05-09
8.600000381469727,2012-05-10
8.430000305175781,2012-05-11
8.220000267028809,2012-05-14
8.399999618530273,2012-05-15
8.319999694824219,2012-05-16
8.40999984741211,2012-05-17
7.989999771118164,2012-05-18
8.100000381469727,2012-05-21
7.989999771118164,2012-05-22
7.900000095367432,2012-05-23
7.849999904632568,2012-05-24
7.789999961853027,2012-05-25
7.800000190734863,2012-05-29
7.010000228881836,2012-05-30
6.900000095367432,2012-05-31
5.949999809265137,2012-06-01
4.960000038146973,2012-06-04
5.329999923706055,2012-06-05
6.690000057220459,2012-06-06
6.599999904632568,2012-06-07
6.980000019073486,2012-06-08
6.449999809265137,2012-06-11
7.079999923706055,2012-06-12
7.019999980926514,2012-06-13
7.239999771118164,2012-06-14
7.010000228881836,2012-06-15
6.949999809265137,2012-06-18
7.0,2012-06-19
6.800000190734863,2012-06-20
6.599999904632568,2012-06-21
6.610000133514404,2012-06-22
6.28000020980835,2012-06-25
5.989999771118164,2012-06-26
5.849999904632568,2012-06-27
6.289999961853027,2012-06-28
6.21999979019165,2012-06-29
6.190000057220459,2012-07-02
6.190000057220459,2012-07-03
6.190000057220459,2012-07-05
6.239999771118164,2012-07-06
6.199999809265137,2012-07-09
5.809999942779541,2012-07-10
5.739999771118164,2012-07-11
5.489999771118164,2012-07-12
6.039999961853027,2012-07-13
5.670000076293945,2012-07-16
5.650000095367432,2012-07-17
5.96999979019165,2012-07-18
5.880000114440918,2012-07-19
6.099999904632568,2012-07-20
6.210000038146973,2012-07-23
5.829999923706055,2012-07-24
5.760000228881836,2012-07-25
5.869999885559082,2012-07-26
5.840000152587891,2012-07-27
5.900000095367432,2012-07-30
5.809999942779541,2012-07-31
5.639999866485596,2012-08-01
5.78000020980835,2012-08-02
6.03000020980835,2012-08-03
6.329999923706055,2012-08-06
6.670000076293945,2012-08-07
5.070000171661377,2012-08-08
5.559999942779541,2012-08-09
5.630000114440918,2012-08-10
5.070000171661377,2012-08-13
5.170000076293945,2012-08-14
5.039999961853027,2012-08-15
5.059999942779541,2012-08-16
5.260000228881836,2012-08-17
5.230000019073486,2012-08-20
5.139999866485596,2012-08-21
5.0,2012-08-22
4.96999979019165,2012-08-23
4.940000057220459,2012-08-24
5.099999904632568,2012-08-27
5.010000228881836,2012-08-28
5.110000133514404,2012-08-29
4.900000095367432,2012-08-30
4.960000038146973,2012-08-31
4.960000038146973,2012-09-04
5.28000020980835,2012-09-05
4.980000019073486,2012-09-06
4.53000020980835,2012-09-07
4.610000133514404,2012-09-10
4.679999828338623,2012-09-11
4.840000152587891,2012-09-12
4.900000095367432,2012-09-13
5.21999979019165,2012-09-14
4.989999771118164,2012-09-17
4.96999979019165,2012-09-18
5.110000133514404,2012-09-19
5.119999885559082,2012-09-20
5.110000133514404,2012-09-21
4.880000114440918,2012-09-24
4.75,2012-09-25
4.75,2012-09-26
4.599999904632568,2012-09-27
4.139999866485596,2012-09-28
3.890000104904175,2012-10-01
3.8399999141693115,2012-10-02
3.940000057220459,2012-10-03
3.8499999046325684,2012-10-04
3.6500000953674316,2012-10-05
3.640000104904175,2012-10-08
3.3299999237060547,2012-10-09
3.1500000953674316,2012-10-10
3.319999933242798,2012-10-11
3.630000114440918,2012-10-12
3.799999952316284,2012-10-15
3.619999885559082,2012-10-16
3.759999990463257,2012-10-17
3.700000047683716,2012-10-18
3.700000047683716,2012-10-19
3.509999990463257,2012-10-22
3.4200000762939453,2012-10-23
3.490000009536743,2012-10-24
3.640000104904175,2012-10-25
3.509999990463257,2012-10-26
3.6700000762939453,2012-10-31
3.5,2012-11-01
3.3299999237060547,2012-11-02
3.430000066757202,2012-11-05
3.5199999809265137,2012-11-06
3.2799999713897705,2012-11-07
2.450000047683716,2012-11-08
2.6500000953674316,2012-11-09
2.4200000762939453,2012-11-12
2.2100000381469727,2012-11-13
2.109999895095825,2012-11-14
2.0,2012-11-15
1.9900000095367432,2012-11-16
2.2200000286102295,2012-11-19
2.5899999141693115,2012-11-20
2.7300000190734863,2012-11-21
2.5799999237060547,2012-11-23
2.809999942779541,2012-11-26
2.7100000381469727,2012-11-27
2.5799999237060547,2012-11-28
2.5999999046325684,2012-11-29
2.7899999618530273,2012-11-30
2.9800000190734863,2012-12-03
2.880000114440918,2012-12-04
2.799999952316284,2012-12-05
2.7200000286102295,2012-12-06
2.6700000762939453,2012-12-07
2.5399999618530273,2012-12-10
2.9100000858306885,2012-12-11
3.0299999713897705,2012-12-12
2.950000047683716,2012-12-13
3.2200000286102295,2012-12-14
3.3499999046325684,2012-12-17
3.380000114440918,2012-12-18
3.180000066757202,2012-12-19
3.1500000953674316,2012-12-20
3.0299999713897705,2012-12-21
3.0899999141693115,2012-12-24
3.0299999713897705,2012-12-26
3.509999990463257,2012-12-27
3.5999999046325684,2012-12-28
3.6500000953674316,2012-12-31
3.7899999618530273,2013-01-02
3.7300000190734863,2013-01-03
3.9000000953674316,2013-01-04
3.75,2013-01-07
3.7100000381469727,2013-01-08
3.75,2013-01-09
3.7200000286102295,2013-01-10
3.7799999713897705,2013-01-11
3.7799999713897705,2013-01-14
3.8399999141693115,2013-01-15
3.8499999046325684,2013-01-16
3.9100000858306885,2013-01-17
3.7799999713897705,2013-01-18
3.7799999713897705,2013-01-22
3.7200000286102295,2013-01-23
3.7100000381469727,2013-01-24
3.680000066757202,2013-01-25
3.6700000762939453,2013-01-28
3.7699999809265137,2013-01-29
3.7899999618530273,2013-01-30
3.7699999809265137,2013-01-31
4.079999923706055,2013-02-01
3.9100000858306885,2013-02-04
4.329999923706055,2013-02-05
4.110000133514404,2013-02-06
4.239999771118164,2013-02-07
4.230000019073486,2013-02-08
4.269999980926514,2013-02-11
4.480000019073486,2013-02-12
4.329999923706055,2013-02-13
5.099999904632568,2013-02-14
5.03000020980835,2013-02-15
5.210000038146973,2013-02-19
4.989999771118164,2013-02-20
5.239999771118164,2013-02-21
5.239999771118164,2013-02-22
4.840000152587891,2013-02-25
5.050000190734863,2013-02-26
4.630000114440918,2013-02-27
4.929999828338623,2013-02-28
4.75,2013-03-01
4.670000076293945,2013-03-04
4.880000114440918,2013-03-05
4.920000076293945,2013-03-06
4.760000228881836,2013-03-07
5.239999771118164,2013-03-08
5.199999809265137,2013-03-11
5.880000114440918,2013-03-12
5.5,2013-03-13
5.920000076293945,2013-03-14
5.869999885559082,2013-03-15
5.599999904632568,2013-03-18
5.800000190734863,2013-03-19
6.019999980926514,2013-03-20
6.039999961853027,2013-03-21
5.960000038146973,2013-03-22
6.460000038146973,2013-03-25
6.519999980926514,2013-03-26
6.420000076293945,2013-03-27
6.199999809265137,2013-03-28
5.860000133514404,2013-04-01
5.900000095367432,2013-04-02
5.679999828338623,2013-04-03
6.150000095367432,2013-04-04
6.099999904632568,2013-04-05
5.78000020980835,2013-04-08
6.150000095367432,2013-04-09
6.099999904632568,2013-04-10
5.96999979019165,2013-04-11
5.880000114440918,2013-04-12
5.239999771118164,2013-04-15
5.940000057220459,2013-04-16
5.570000171661377,2013-04-17
5.46999979019165,2013-04-18
5.550000190734863,2013-04-19
5.809999942779541,2013-04-22
5.96999979019165,2013-04-23
6.199999809265137,2013-04-24
6.699999809265137,2013-04-25
7.25,2013-04-26
7.110000133514404,2013-04-29
7.039999961853027,2013-04-30
6.949999809265137,2013-05-01
7.5,2013-05-02
7.739999771118164,2013-05-03
7.849999904632568,2013-05-06
7.630000114440918,2013-05-07
7.440000057220459,2013-05-08
7.889999866485596,2013-05-09
7.920000076293945,2013-05-10
8.90999984741211,2013-05-13
9.65999984741211,2013-05-14
9.399999618530273,2013-05-15
8.9399995803833,2013-05-16
9.050000190734863,2013-05-17
9.100000381469727,2013-05-20
8.989999771118164,2013-05-21
8.430000305175781,2013-05-22
8.220000267028809,2013-05-23
8.149999618530273,2013-05-24
8.380000114440918,2013-05-28
7.900000095367432,2013-05-29
7.789999961853027,2013-05-30
7.71999979019165,2013-05-31
7.420000076293945,2013-06-03
7.039999961853027,2013-06-04
6.940000057220459,2013-06-05
6.960000038146973,2013-06-06
6.980000019073486,2013-06-07
7.0,2013-06-10
6.800000190734863,2013-06-11
6.170000076293945,2013-06-12
6.659999847412109,2013-06-13
6.599999904632568,2013-06-14
6.699999809265137,2013-06-17
6.909999847412109,2013-06-18
6.639999866485596,2013-06-19
6.53000020980835,2013-06-20
7.190000057220459,2013-06-21
6.650000095367432,2013-06-24
6.820000171661377,2013-06-25
6.940000057220459,2013-06-26
7.570000171661377,2013-06-27
7.730000019073486,2013-06-28
7.679999828338623,2013-07-01
7.320000171661377,2013-07-02
7.429999828338623,2013-07-03
7.5,2013-07-05
8.010000228881836,2013-07-08
8.149999618530273,2013-07-09
7.980000019073486,2013-07-10
7.909999847412109,2013-07-11
7.619999885559082,2013-07-12
8.079999923706055,2013-07-15
8.199999809265137,2013-07-16
7.949999809265137,2013-07-17
7.829999923706055,2013-07-18
7.400000095367432,2013-07-19
7.070000171661377,2013-07-22
7.239999771118164,2013-07-23
6.400000095367432,2013-07-24
6.710000038146973,2013-07-25
6.599999904632568,2013-07-26
6.300000190734863,2013-07-29
6.309999942779541,2013-07-30
6.349999904632568,2013-07-31
6.25,2013-08-01
6.28000020980835,2013-08-02
6.599999904632568,2013-08-05
6.059999942779541,2013-08-06
6.0,2013-08-07
6.050000190734863,2013-08-08
6.070000171661377,2013-08-09
6.46999979019165,2013-08-12
6.5,2013-08-13
7.110000133514404,2013-08-14
6.849999904632568,2013-08-15
6.5,2013-08-16
6.489999771118164,2013-08-19
6.409999847412109,2013-08-20
6.360000133514404,2013-08-21
6.610000133514404,2013-08-22
6.980000019073486,2013-08-23
7.230000019073486,2013-08-26
6.579999923706055,2013-08-27
6.510000228881836,2013-08-28
6.440000057220459,2013-08-29
6.289999961853027,2013-08-30
6.610000133514404,2013-09-03
6.980000019073486,2013-09-04
7.110000133514404,2013-09-05
6.940000057220459,2013-09-06
7.440000057220459,2013-09-09
7.789999961853027,2013-09-10
8.0,2013-09-11
7.880000114440918,2013-09-12
8.0600004196167,2013-09-13
8.140000343322754,2013-09-16
8.079999923706055,2013-09-17
8.25,2013-09-18
8.300000190734863,2013-09-19
8.729999542236328,2013-09-20
8.520000457763672,2013-09-23
8.050000190734863,2013-09-24
7.989999771118164,2013-09-25
8.050000190734863,2013-09-26
7.940000057220459,2013-09-27
8.119999885559082,2013-09-30
8.319999694824219,2013-10-01
8.359999656677246,2013-10-02
8.34000015258789,2013-10-03
8.930000305175781,2013-10-04
8.65999984741211,2013-10-07
8.0600004196167,2013-10-08
7.619999885559082,2013-10-09
8.1899995803833,2013-10-10
8.6899995803833,2013-10-11
8.75,2013-10-14
8.579999923706055,2013-10-15
8.59000015258789,2013-10-16
8.65999984741211,2013-10-17
8.84000015258789,2013-10-18
9.079999923706055,2013-10-21
9.0,2013-10-22
8.739999771118164,2013-10-23
8.729999542236328,2013-10-24
7.900000095367432,2013-10-25
7.860000133514404,2013-10-28
7.880000114440918,2013-10-29
7.670000076293945,2013-10-30
7.550000190734863,2013-10-31
7.610000133514404,2013-11-01
7.929999828338623,2013-11-04
8.25,2013-11-05
8.0,2013-11-06
7.679999828338623,2013-11-07
7.840000152587891,2013-11-08
8.15999984741211,2013-11-11
8.220000267028809,2013-11-12
7.949999809265137,2013-11-13
7.840000152587891,2013-11-14
7.769999980926514,2013-11-15
7.679999828338623,2013-11-18
7.110000133514404,2013-11-19
6.800000190734863,2013-11-20
7.070000171661377,2013-11-21
7.110000133514404,2013-11-22
7.050000190734863,2013-11-25
7.139999866485596,2013-11-26
7.239999771118164,2013-11-27
7.25,2013-11-29
6.909999847412109,2013-12-02
6.599999904632568,2013-12-03
6.409999847412109,2013-12-04
6.269999980926514,2013-12-05
6.0,2013-12-06
5.71999979019165,2013-12-09
5.650000095367432,2013-12-10
5.170000076293945,2013-12-11
4.889999866485596,2013-12-12
5.699999809265137,2013-12-13
5.559999942779541,2013-12-16
5.769999980926514,2013-12-17
5.800000190734863,2013-12-18
5.980000019073486,2013-12-19
5.699999809265137,2013-12-20
5.610000133514404,2013-12-23
5.829999923706055,2013-12-24
5.78000020980835,2013-12-26
5.869999885559082,2013-12-27
6.389999866485596,2013-12-30
6.340000152587891,2013-12-31
6.78000020980835,2014-01-02
6.920000076293945,2014-01-03
7.039999961853027,2014-01-06
7.539999961853027,2014-01-07
7.25,2014-01-08
7.590000152587891,2014-01-09
7.789999961853027,2014-01-10
8.050000190734863,2014-01-13
7.869999885559082,2014-01-14
8.260000228881836,2014-01-15
8.279999732971191,2014-01-16
8.130000114440918,2014-01-17
8.220000267028809,2014-01-21
8.079999923706055,2014-01-22
7.829999923706055,2014-01-23
7.610000133514404,2014-01-24
7.329999923706055,2014-01-27
7.409999847412109,2014-01-28
7.320000171661377,2014-01-29
7.539999961853027,2014-01-30
7.400000095367432,2014-01-31
6.650000095367432,2014-02-03
6.739999771118164,2014-02-04
6.599999904632568,2014-02-05
6.599999904632568,2014-02-06
6.690000057220459,2014-02-07
7.03000020980835,2014-02-10
7.0,2014-02-11
6.860000133514404,2014-02-12
7.300000190734863,2014-02-13
7.300000190734863,2014-02-14
7.579999923706055,2014-02-18
8.069999694824219,2014-02-19
7.909999847412109,2014-02-20
7.369999885559082,2014-02-21
7.630000114440918,2014-02-24
7.889999866485596,2014-02-25
