TJX,Date
0.3826354742050171,1987-06-26
0.3826354742050171,1987-06-29
0.3987466096878052,1987-06-30
0.4027737081050873,1987-07-01
0.4047876000404358,1987-07-02
0.4229130148887634,1987-07-06
0.4128433167934418,1987-07-07
0.41082963347435,1987-07-08
0.43096840381622314,1987-07-09
0.4370095431804657,1987-07-10
0.4329821467399597,1987-07-13
0.42492687702178955,1987-07-14
0.41082963347435,1987-07-15
0.4128433167934418,1987-07-16
0.4068019390106201,1987-07-17
0.39471858739852905,1987-07-20
0.39471858739852905,1987-07-21
0.3967322111129761,1987-07-22
0.3906910717487335,1987-07-23
0.39471858739852905,1987-07-24
0.4068019390106201,1987-07-27
0.3987466096878052,1987-07-28
0.3906910717487335,1987-07-29
0.4027737081050873,1987-07-30
0.39471858739852905,1987-07-31
0.3967322111129761,1987-08-03
0.3967322111129761,1987-08-04
0.4088156819343567,1987-08-05
0.4148573875427246,1987-08-06
0.4205179810523987,1987-08-07
0.41849616169929504,1987-08-10
0.41768550872802734,1987-08-11
0.4116027355194092,1987-08-12
0.4075472056865692,1987-08-13
0.40349242091178894,1987-08-14
0.38727137446403503,1987-08-17
0.3852439224720001,1987-08-18
0.391326367855072,1987-08-19
0.3953819274902344,1987-08-20
0.4014648497104645,1987-08-21
0.39943674206733704,1987-08-24
0.4014648497104645,1987-08-25
0.4055195450782776,1987-08-26
0.4055195450782776,1987-08-27
0.39740949869155884,1987-08-28
0.40349242091178894,1987-08-31
0.4014648497104645,1987-09-01
0.4014648497104645,1987-09-02
0.4136302173137665,1987-09-03
0.4095751941204071,1987-09-04
0.40349242091178894,1987-09-08
0.4055195450782776,1987-09-09
0.39740949869155884,1987-09-10
0.4014648497104645,1987-09-11
0.39740949869155884,1987-09-14
0.391326367855072,1987-09-15
0.3892989754676819,1987-09-16
0.37713348865509033,1987-09-17
0.36902323365211487,1987-09-18
0.324415922164917,1987-09-21
0.34063664078712463,1987-09-22
0.3649677336215973,1987-09-23
0.36902323365211487,1987-09-24
0.35685744881629944,1987-09-25
0.35077452659606934,1987-09-28
0.35077452659606934,1987-09-29
0.3528023660182953,1987-09-30
0.35077452659606934,1987-10-01
0.34874701499938965,1987-10-02
0.3588847219944,1987-10-05
0.3528023660182953,1987-10-06
0.33860915899276733,1987-10-07
0.3183329105377197,1987-10-08
0.3142780661582947,1987-10-09
0.28791916370391846,1987-10-12
0.29197412729263306,1987-10-13
0.29197412729263306,1987-10-14
0.28791916370391846,1987-10-15
0.2777809202671051,1987-10-16
0.22506356239318848,1987-10-19
0.2068154364824295,1987-10-20
0.25547775626182556,1987-10-21
0.24331195652484894,1987-10-22
0.2392568588256836,1987-10-23
0.18653914332389832,1987-10-26
0.19870498776435852,1987-10-27
0.18653914332389832,1987-10-28
0.19464948773384094,1987-10-29
0.2352014034986496,1987-10-30
0.23114649951457977,1987-11-02
0.2169531285762787,1987-11-03
0.21492590010166168,1987-11-04
0.2120707780122757,1987-11-05
0.22022725641727448,1987-11-06
0.2120707780122757,1987-11-09
0.20595338940620422,1987-11-10
0.20391416549682617,1987-11-11
0.20391416549682617,1987-11-12
0.20391416549682617,1987-11-13
0.20391416549682617,1987-11-16
0.20595338940620422,1987-11-17
0.19983625411987305,1987-11-18
0.21614950895309448,1987-11-19
0.20799295604228973,1987-11-20
0.22022725641727448,1987-11-23
0.23857960104942322,1987-11-24
0.24265801906585693,1987-11-25
0.24877555668354034,1987-11-27
0.2222665548324585,1987-11-30
0.22838397324085236,1987-12-01
0.2365405261516571,1987-12-02
0.22838397324085236,1987-12-03
0.21614950895309448,1987-12-04
0.21614950895309448,1987-12-07
0.22634494304656982,1987-12-08
0.2243059277534485,1987-12-09
0.22634494304656982,1987-12-10
0.2243059277534485,1987-12-11
0.23246259987354279,1987-12-14
0.2528536021709442,1987-12-15
0.2508145570755005,1987-12-16
0.2528536021709442,1987-12-17
0.25693219900131226,1987-12-18
0.25489258766174316,1987-12-21
0.24877555668354034,1987-12-22
0.25489258766174316,1987-12-23
0.25489258766174316,1987-12-24
0.24061889946460724,1987-12-28
0.2345014065504074,1987-12-29
0.24877555668354034,1987-12-30
0.25693219900131226,1987-12-31
0.265088826417923,1988-01-04
0.2752843201160431,1988-01-05
0.2936364412307739,1988-01-06
0.28344079852104187,1988-01-07
0.2691667079925537,1988-01-08
0.26101019978523254,1988-01-11
0.25693219900131226,1988-01-12
0.25693219900131226,1988-01-13
0.2528536021709442,1988-01-14
0.24673622846603394,1988-01-15
0.24469701945781708,1988-01-18
0.24469701945781708,1988-01-19
0.24673622846603394,1988-01-20
0.24265801906585693,1988-01-21
0.24469701945781708,1988-01-22
0.2508145570755005,1988-01-25
0.25897112488746643,1988-01-26
0.26101019978523254,1988-01-27
0.2712057828903198,1988-01-28
0.2752843201160431,1988-01-29
0.2875188887119293,1988-02-01
0.2875188887119293,1988-02-02
0.2932612895965576,1988-02-03
0.29736271500587463,1988-02-04
0.2932612895965576,1988-02-05
0.2789057195186615,1988-02-08
0.2830072045326233,1988-02-09
0.2871089279651642,1988-02-10
0.2830072045326233,1988-02-11
0.2789057195186615,1988-02-12
0.2789057195186615,1988-02-16
0.2809564173221588,1988-02-17
0.2748044431209564,1988-02-18
0.2789057195186615,1988-02-19
0.2809564173221588,1988-02-22
0.2871089279651642,1988-02-23
0.29941388964653015,1988-02-24
0.3055657148361206,1988-02-25
0.3035150468349457,1988-02-26
0.3137689232826233,1988-02-29
0.31171807646751404,1988-03-01
0.3055657148361206,1988-03-02
0.2932612895965576,1988-03-03
0.28915947675704956,1988-03-04
