WMT,Date
0.03534405305981636,1972-08-25
0.0352102555334568,1972-08-28
0.034808844327926636,1972-08-29
0.034808844327926636,1972-08-30
0.034273091703653336,1972-08-31
0.03454069793224335,1972-09-01
0.034273091703653336,1972-09-05
0.03454069793224335,1972-09-06
0.03440689668059349,1972-09-07
0.03413926810026169,1972-09-08
0.03440689668059349,1972-09-11
0.03440689668059349,1972-09-12
0.03440689668059349,1972-09-13
0.03467449173331261,1972-09-14
0.03440689668059349,1972-09-15
0.03454069793224335,1972-09-18
0.034273091703653336,1972-09-19
0.03400549292564392,1972-09-20
0.0329345278441906,1972-09-21
0.03172922134399414,1972-09-22
0.030792050063610077,1972-09-25
0.030658245086669922,1972-09-26
0.029989244416356087,1972-09-27
0.030792050063610077,1972-09-28
0.031194007024168968,1972-09-29
0.03266638144850731,1972-10-02
0.03320210427045822,1972-10-03
0.03387167677283287,1972-10-04
0.0329345278441906,1972-10-05
0.03159540519118309,1972-10-06
0.03213116526603699,1972-10-09
0.03213116526603699,1972-10-10
0.032264962792396545,1972-10-11
0.03199734538793564,1972-10-12
0.03199734538793564,1972-10-13
0.031194007024168968,1972-10-16
0.03172922134399414,1972-10-17
0.03400549292564392,1972-10-18
0.03413926810026169,1972-10-19
0.03387167677283287,1972-10-20
0.03373733535408974,1972-10-23
0.03387167677283287,1972-10-24
0.03320210427045822,1972-10-25
0.03346971422433853,1972-10-26
0.03360353037714958,1972-10-27
0.03346971422433853,1972-10-30
0.03454069793224335,1972-10-31
0.03614740073680878,1972-11-01
0.03641502931714058,1972-11-02
0.036281224340200424,1972-11-03
0.036281224340200424,1972-11-06
0.036683179438114166,1972-11-08
0.036683179438114166,1972-11-09
0.036683179438114166,1972-11-10
0.03654884919524193,1972-11-13
0.03614740073680878,1972-11-14
0.03601360693573952,1972-11-15
0.03614740073680878,1972-11-16
0.03601360693573952,1972-11-17
0.03587981313467026,1972-11-20
0.036683179438114166,1972-11-21
0.036683179438114166,1972-11-22
0.03654884919524193,1972-11-24
0.037485986948013306,1972-11-27
0.03641502931714058,1972-11-28
0.034808844327926636,1972-11-29
0.03454069793224335,1972-11-30
0.035076454281806946,1972-12-01
0.03641502931714058,1972-12-04
0.036950789391994476,1972-12-05
0.036950789391994476,1972-12-06
0.036683179438114166,1972-12-07
0.03614740073680878,1972-12-08
0.03654884919524193,1972-12-11
0.03614740073680878,1972-12-12
0.03641502931714058,1972-12-13
0.03654884919524193,1972-12-14
0.036816973239183426,1972-12-15
0.036683179438114166,1972-12-18
0.036816973239183426,1972-12-19
0.036950789391994476,1972-12-20
0.036683179438114166,1972-12-21
0.036950789391994476,1972-12-22
0.03641502931714058,1972-12-26
0.036683179438114166,1972-12-27
0.036950789391994476,1972-12-29
0.037084609270095825,1973-01-02
0.036950789391994476,1973-01-03
0.036816973239183426,1973-01-04
0.036683179438114166,1973-01-05
0.03654884919524193,1973-01-08
0.03587981313467026,1973-01-09
0.03494266793131828,1973-01-10
0.0357460156083107,1973-01-11
0.03561165928840637,1973-01-12
0.0352102555334568,1973-01-15
0.03587981313467026,1973-01-16
0.03601360693573952,1973-01-17
0.03601360693573952,1973-01-18
0.03534405305981636,1973-01-19
0.03494266793131828,1973-01-22
0.03373733535408974,1973-01-23
0.034273091703653336,1973-01-24
0.03400549292564392,1973-01-26
0.03280017524957657,1973-01-29
0.032264962792396545,1973-01-30
0.03172922134399414,1973-01-31
0.0323987752199173,1973-02-01
0.0323987752199173,1973-02-02
0.0323987752199173,1973-02-05
0.032264962792396545,1973-02-06
0.03266638144850731,1973-02-07
0.03213116526603699,1973-02-08
0.03213116526603699,1973-02-09
0.03320210427045822,1973-02-12
0.03320210427045822,1973-02-13
0.03320210427045822,1973-02-14
0.03373733535408974,1973-02-15
0.03454069793224335,1973-02-16
0.035076454281806946,1973-02-20
0.03494266793131828,1973-02-21
0.03400549292564392,1973-02-22
0.03413926810026169,1973-02-23
0.03387167677283287,1973-02-26
0.03360353037714958,1973-02-27
0.03320210427045822,1973-02-28
0.0329345278441906,1973-03-01
0.03266638144850731,1973-03-02
0.0318630076944828,1973-03-05
0.030390655621886253,1973-03-06
0.029587266966700554,1973-03-07
0.03106018714606762,1973-03-08
0.030658245086669922,1973-03-09
0.030792050063610077,1973-03-12
0.029854878783226013,1973-03-13
0.03052443452179432,1973-03-14
0.029989244416356087,1973-03-15
0.029721060767769814,1973-03-16
0.02905208431184292,1973-03-19
0.028382493183016777,1973-03-20
0.027846740558743477,1973-03-21
0.023160941898822784,1973-03-22
0.02342909388244152,1973-03-23
0.023562883958220482,1973-03-26
0.024500049650669098,1973-03-27
0.02409810572862625,1973-03-28
0.024231893941760063,1973-03-29
0.024366257712244987,1973-03-30
0.024500049650669098,1973-04-02
0.024500049650669098,1973-04-03
0.024500049650669098,1973-04-04
0.023294731974601746,1973-04-05
0.023294731974601746,1973-04-06
0.023294731974601746,1973-04-09
0.02342909388244152,1973-04-10
0.023294731974601746,1973-04-11
0.023294731974601746,1973-04-12
0.023294731974601746,1973-04-13
0.02289331704378128,1973-04-16
0.02289331704378128,1973-04-17
0.02275952510535717,1973-04-18
0.02342909388244152,1973-04-19
0.02409810572862625,1973-04-23
0.02476765401661396,1973-04-24
0.02476765401661396,1973-04-25
0.024633849039673805,1973-04-26
0.02409810572862625,1973-04-27
0.0239642895758152,1973-04-30
0.023830490186810493,1973-05-01
0.023696692660450935,1973-05-02
0.023696692660450935,1973-05-03
0.02409810572862625,1973-05-04
0.023830490186810493,1973-05-07
0.023830490186810493,1973-05-08
