DIS,Date
0.05820875242352486,1962-01-02
0.05899002403020859,1962-01-03
0.05899002403020859,1962-01-04
0.05918547511100769,1962-01-05
0.05899002403020859,1962-01-08
0.06016220897436142,1962-01-09
0.06074802577495575,1962-01-10
0.06250603497028351,1962-01-11
0.0605531707406044,1962-01-12
0.0605531707406044,1962-01-15
0.05899002403020859,1962-01-16
0.05703713744878769,1962-01-17
0.05820875242352486,1962-01-18
0.05938093364238739,1962-01-19
0.06035769730806351,1962-01-22
0.06016220897436142,1962-01-23
0.05938093364238739,1962-01-24
0.058599695563316345,1962-01-25
0.05820875242352486,1962-01-26
0.05820875242352486,1962-01-29
0.058599695563316345,1962-01-30
0.058599695563316345,1962-01-31
0.05938093364238739,1962-02-01
0.05938093364238739,1962-02-02
0.05938093364238739,1962-02-05
0.05899002403020859,1962-02-06
0.05977191776037216,1962-02-07
0.06133444607257843,1962-02-08
0.06172478199005127,1962-02-09
0.06172478199005127,1962-02-12
0.06172478199005127,1962-02-13
0.060943521559238434,1962-02-14
0.06133444607257843,1962-02-15
0.06250603497028351,1962-02-16
0.06152995675802231,1962-02-19
0.06211571767926216,1962-02-20
0.06133444607257843,1962-02-21
0.060943521559238434,1962-02-23
0.05938093364238739,1962-02-26
0.05899002403020859,1962-02-27
0.05840420350432396,1962-02-28
0.05996677652001381,1962-03-01
0.05957641452550888,1962-03-02
0.05977191776037216,1962-03-05
0.05899002403020859,1962-03-06
0.058599695563316345,1962-03-07
0.05957641452550888,1962-03-08
0.05938093364238739,1962-03-09
0.0605531707406044,1962-03-12
0.0616888664662838,1962-03-13
0.06110091879963875,1962-03-14
0.061492860317230225,1962-03-15
0.061492860317230225,1962-03-16
0.061492860317230225,1962-03-19
0.060709573328495026,1962-03-20
0.059730302542448044,1962-03-21
0.05914236605167389,1962-03-22
0.05914236605167389,1962-03-23
0.05875103548169136,1962-03-26
0.05796777456998825,1962-03-27
0.05757578834891319,1962-03-28
0.05855511128902435,1962-03-29
0.05855511128902435,1962-03-30
0.05796777456998825,1962-04-02
0.05757578834891319,1962-04-03
0.05796777456998825,1962-04-04
0.05757578834891319,1962-04-05
0.058163732290267944,1962-04-06
0.05835909768939018,1962-04-09
0.058163732290267944,1962-04-10
0.05757578834891319,1962-04-11
0.05483396723866463,1962-04-12
0.05444261431694031,1962-04-13
0.05522593483328819,1962-04-16
0.05640116333961487,1962-04-17
0.05718449130654335,1962-04-18
0.05718449130654335,1962-04-19
0.05796777456998825,1962-04-23
0.05875103548169136,1962-04-24
0.05855511128902435,1962-04-25
0.05718449130654335,1962-04-26
0.056009210646152496,1962-04-27
0.053855326026678085,1962-04-30
0.05444261431694031,1962-05-01
0.05483396723866463,1962-05-02
0.05444261431694031,1962-05-03
0.05444261431694031,1962-05-04
0.053659360855817795,1962-05-07
0.052484117448329926,1962-05-08
0.05091752111911774,1962-05-09
0.05013421177864075,1962-05-10
0.04895901307463646,1962-05-11
0.051700834184885025,1962-05-14
0.0520927794277668,1962-05-15
0.05052555352449417,1962-05-16
0.04974227771162987,1962-05-17
0.05013421177864075,1962-05-18
0.05013421177864075,1962-05-21
0.05013421177864075,1962-05-22
0.04778435826301575,1962-05-23
0.04817569628357887,1962-05-24
0.04895901307463646,1962-05-25
0.04856765270233154,1962-05-28
0.045042574405670166,1962-05-29
0.05013421177864075,1962-05-31
0.05013421177864075,1962-06-01
0.04700108990073204,1962-06-04
0.04837167263031006,1962-06-05
0.049938272684812546,1962-06-06
0.04856765270233154,1962-06-07
0.04935093969106674,1962-06-08
0.04856765270233154,1962-06-11
0.046956319361925125,1962-06-12
0.0455806627869606,1962-06-13
0.04145495593547821,1962-06-14
0.04499143362045288,1962-06-15
0.0455806627869606,1962-06-18
0.0455806627869606,1962-06-19
0.04479484260082245,1962-06-20
0.04400903731584549,1962-06-21
0.04283062741160393,1962-06-22
0.04106235131621361,1962-06-25
0.04106235131621361,1962-06-26
0.04283062741160393,1962-06-27
0.04283062741160393,1962-06-28
0.04204415902495384,1962-06-29
0.04243739694356918,1962-07-02
0.04459822177886963,1962-07-03
0.04400903731584549,1962-07-05
0.04283062741160393,1962-07-06
0.04283062741160393,1962-07-09
0.04479484260082245,1962-07-10
0.0467597097158432,1962-07-11
0.04636651277542114,1962-07-12
0.04617051035165787,1962-07-13
0.0455806627869606,1962-07-16
0.04479484260082245,1962-07-17
0.04400903731584549,1962-07-18
0.04440226033329964,1962-07-19
0.045188095420598984,1962-07-20
