AME,Date
0.9529386162757874,1984-07-19
0.9431154131889343,1984-07-20
0.9185549020767212,1984-07-23
0.9185549020767212,1984-07-24
0.9185549020767212,1984-07-25
0.9283790588378906,1984-07-26
0.9283790588378906,1984-07-27
0.9234670996665955,1984-07-30
0.9431154131889343,1984-07-31
1.0020594596862793,1984-08-01
0.9922354221343994,1984-08-02
1.0364445447921753,1984-08-03
1.0364445447921753,1984-08-06
1.0855647325515747,1984-08-07
1.090477466583252,1984-08-08
1.1150370836257935,1984-08-09
1.090477466583252,1984-08-10
1.0708281993865967,1984-08-13
1.0315319299697876,1984-08-14
1.0315319299697876,1984-08-15
1.0364445447921753,1984-08-16
1.0315319299697876,1984-08-17
1.0315319299697876,1984-08-20
1.0020594596862793,1984-08-21
1.0118833780288696,1984-08-22
1.026619791984558,1984-08-23
1.0511797666549683,1984-08-24
1.0364445447921753,1984-08-27
1.041356086730957,1984-08-28
1.056092381477356,1984-08-29
1.041356086730957,1984-08-30
1.041356086730957,1984-08-31
1.026619791984558,1984-09-04
1.021707534790039,1984-09-05
1.026619791984558,1984-09-06
1.041356086730957,1984-09-07
1.0344268083572388,1984-09-10
1.0542243719100952,1984-09-11
1.0245288610458374,1984-09-12
1.0443264245986938,1984-09-13
1.049275279045105,1984-09-14
1.049275279045105,1984-09-17
1.0542243719100952,1984-09-18
1.0542243719100952,1984-09-19
1.0591739416122437,1984-09-20
1.0690723657608032,1984-09-21
1.0641230344772339,1984-09-24
1.0789715051651,1984-09-25
1.0641230344772339,1984-09-26
1.0690723657608032,1984-09-27
1.0591739416122437,1984-09-28
1.0542243719100952,1984-10-01
1.0542243719100952,1984-10-02
1.0294774770736694,1984-10-03
1.0146292448043823,1984-10-04
1.0195786952972412,1984-10-05
1.0096800327301025,1984-10-08
0.9948315024375916,1984-10-09
0.984933614730835,1984-10-10
0.9651356339454651,1984-10-11
0.9700852036476135,1984-10-12
0.9997808337211609,1984-10-15
0.9700852036476135,1984-10-16
0.9651356339454651,1984-10-17
0.9898825883865356,1984-10-18
0.9799834489822388,1984-10-19
0.9354385733604431,1984-10-22
0.940388023853302,1984-10-23
0.9552367925643921,1984-10-24
0.9651356339454651,1984-10-25
0.940388023853302,1984-10-26
0.915640652179718,1984-10-29
0.9453383684158325,1984-10-30
0.9205909371376038,1984-10-31
0.9255397319793701,1984-11-01
0.9354385733604431,1984-11-02
0.9453383684158325,1984-11-05
0.9700852036476135,1984-11-06
0.940388023853302,1984-11-07
0.9502877593040466,1984-11-08
0.9502877593040466,1984-11-09
0.9453383684158325,1984-11-12
0.9453383684158325,1984-11-13
0.9453383684158325,1984-11-14
0.9453383684158325,1984-11-15
0.9354385733604431,1984-11-16
0.9354385733604431,1984-11-19
0.9354385733604431,1984-11-20
0.9205909371376038,1984-11-21
0.9502877593040466,1984-11-23
0.9552367925643921,1984-11-26
0.960185170173645,1984-11-27
0.9552367925643921,1984-11-28
0.9552367925643921,1984-11-29
0.960185170173645,1984-11-30
0.9581904411315918,1984-12-03
0.978152334690094,1984-12-04
0.9531999230384827,1984-12-05
0.9432178735733032,1984-12-06
0.9482082724571228,1984-12-07
0.9482082724571228,1984-12-10
0.9681699872016907,1984-12-11
0.9432178735733032,1984-12-12
0.9482082724571228,1984-12-13
0.9581904411315918,1984-12-14
0.9432178735733032,1984-12-17
1.0080952644348145,1984-12-18
1.003104329109192,1984-12-19
0.9981140494346619,1984-12-20
0.9681699872016907,1984-12-21
0.9831429719924927,1984-12-24
0.9931244254112244,1984-12-26
0.9931244254112244,1984-12-27
0.9731616973876953,1984-12-28
0.978152334690094,1984-12-31
0.9581904411315918,1985-01-02
0.9681699872016907,1985-01-03
0.9681699872016907,1985-01-04
0.9731616973876953,1985-01-07
0.978152334690094,1985-01-08
0.9831429719924927,1985-01-09
1.0380386114120483,1985-01-10
1.0430289506912231,1985-01-11
1.0829540491104126,1985-01-14
1.062991976737976,1985-01-15
1.0879442691802979,1985-01-16
1.1079076528549194,1985-01-17
1.0879442691802979,1985-01-18
1.0829540491104126,1985-01-21
1.1029162406921387,1985-01-22
1.1079076528549194,1985-01-23
1.142841100692749,1985-01-24
1.1628029346466064,1985-01-25
1.152821660041809,1985-01-28
1.142841100692749,1985-01-29
1.147831916809082,1985-01-30
1.1378499269485474,1985-01-31
1.1178876161575317,1985-02-01
1.1228787899017334,1985-02-04
1.1228787899017334,1985-02-05
1.1178876161575317,1985-02-06
1.152821660041809,1985-02-07
1.1578123569488525,1985-02-08
1.1378499269485474,1985-02-11
1.1178876161575317,1985-02-12
1.1328598260879517,1985-02-13
1.1178876161575317,1985-02-14
1.1178876161575317,1985-02-15
1.1178876161575317,1985-02-19
1.1079076528549194,1985-02-20
1.1079076528549194,1985-02-21
1.1079076528549194,1985-02-22
1.1079076528549194,1985-02-25
1.1178876161575317,1985-02-26
1.1278692483901978,1985-02-27
1.1378499269485474,1985-02-28
1.1178876161575317,1985-03-01
1.1128973960876465,1985-03-04
