AEP,Date
0.9595124125480652,1962-01-02
0.9577645063400269,1962-01-03
0.9437829852104187,1962-01-04
0.9228091239929199,1962-01-05
0.9158188700675964,1962-01-08
0.9088278412818909,1962-01-09
0.9228091239929199,1962-01-10
0.9210624098777771,1962-01-11
0.9350438117980957,1962-01-12
0.9228091239929199,1962-01-15
0.9193143248558044,1962-01-16
0.9210624098777771,1962-01-17
0.9263056516647339,1962-01-18
0.9263056516647339,1962-01-19
0.9193143248558044,1962-01-22
0.9193143248558044,1962-01-23
0.9210624098777771,1962-01-24
0.9193143248558044,1962-01-25
0.9070801138877869,1962-01-26
0.9035844206809998,1962-01-29
0.9070801138877869,1962-01-30
0.9088278412818909,1962-01-31
0.9123238325119019,1962-02-01
0.9088278412818909,1962-02-02
0.9105754494667053,1962-02-05
0.9193143248558044,1962-02-06
0.9402872920036316,1962-02-07
0.961260199546814,1962-02-08
0.9647559523582458,1962-02-09
0.961260199546814,1962-02-12
0.961260199546814,1962-02-13
0.9647559523582458,1962-02-14
0.98572838306427,1962-02-15
0.9769899845123291,1962-02-16
0.9699998497962952,1962-02-19
0.9769899845123291,1962-02-20
0.9717470407485962,1962-02-21
0.9734950661659241,1962-02-23
0.9699998497962952,1962-02-26
0.9682513475418091,1962-02-27
0.9577645063400269,1962-02-28
0.9647559523582458,1962-03-01
0.9752423167228699,1962-03-02
0.9647559523582458,1962-03-05
0.9595124125480652,1962-03-06
0.9630086421966553,1962-03-07
0.9944669604301453,1962-03-08
0.999710738658905,1962-03-09
0.9927198886871338,1962-03-12
0.9979637861251831,1962-03-13
1.0014581680297852,1962-03-14
0.9944669604301453,1962-03-15
0.9979637861251831,1962-03-16
1.0067018270492554,1962-03-19
1.0067018270492554,1962-03-20
1.0067018270492554,1962-03-21
1.0067018270492554,1962-03-22
1.0067018270492554,1962-03-23
0.9944669604301453,1962-03-26
0.98572838306427,1962-03-27
0.9874761700630188,1962-03-28
0.98572838306427,1962-03-29
0.9979637861251831,1962-03-30
0.9979637861251831,1962-04-02
0.9927198886871338,1962-04-03
0.9909728765487671,1962-04-04
0.9979637861251831,1962-04-05
0.9962154626846313,1962-04-06
0.9874761700630188,1962-04-09
0.9927198886871338,1962-04-10
0.9874761700630188,1962-04-11
0.9909728765487671,1962-04-12
0.98572838306427,1962-04-13
0.9787378311157227,1962-04-16
0.9769899845123291,1962-04-17
0.9752423167228699,1962-04-18
0.98572838306427,1962-04-19
0.98572838306427,1962-04-23
0.9909728765487671,1962-04-24
0.9949040412902832,1962-04-25
0.9949040412902832,1962-04-26
0.9787378311157227,1962-04-27
0.936791718006134,1962-04-30
0.9402872920036316,1962-05-01
0.9228091239929199,1962-05-02
0.9088278412818909,1962-05-03
0.914071798324585,1962-05-04
0.9042620062828064,1962-05-07
0.9042620062828064,1962-05-08
0.9025135040283203,1962-05-09
0.9025135040283203,1962-05-10
0.9007647037506104,1962-05-11
0.9025135040283203,1962-05-14
0.92350172996521,1962-05-15
0.9287497997283936,1962-05-16
0.9304978251457214,1962-05-17
0.9304978251457214,1962-05-18
0.9339966773986816,1962-05-21
0.9217532873153687,1962-05-22
0.9095090627670288,1962-05-23
0.8955168724060059,1962-05-24
0.832550585269928,1962-05-25
0.755592405796051,1962-05-28
0.832550585269928,1962-05-29
0.871030330657959,1962-05-31
