MAR,Date
13.254654884338379,1998-03-23
13.760913848876953,1998-03-24
13.968016624450684,1998-03-25
13.898982048034668,1998-03-26
13.576827049255371,1998-03-27
13.231646537780762,1998-03-30
13.185624122619629,1998-03-31
12.840449333190918,1998-04-01
13.438743591308594,1998-04-02
13.64586067199707,1998-04-03
13.254654884338379,1998-04-06
13.001533508300781,1998-04-07
12.955511093139648,1998-04-08
12.702383041381836,1998-04-09
12.748403549194336,1998-04-13
13.32369613647461,1998-04-14
13.69188117980957,1998-04-15
12.971205711364746,1998-04-16
12.67169189453125,1998-04-17
12.326099395751953,1998-04-20
11.704033851623535,1998-04-21
11.911392211914062,1998-04-22
11.842275619506836,1998-04-23
11.980506896972656,1998-04-24
11.980506896972656,1998-04-27
12.280021667480469,1998-04-28
12.21090316772461,1998-04-29
11.796194076538086,1998-04-30
12.303061485290527,1998-05-01
12.62561321258545,1998-05-04
12.62561321258545,1998-05-05
12.164819717407227,1998-05-06
11.796194076538086,1998-05-07
11.888348579406738,1998-05-08
11.65795612335205,1998-05-11
11.243247985839844,1998-05-12
12.141783714294434,1998-05-13
12.072672843933105,1998-05-14
12.233942031860352,1998-05-15
12.349138259887695,1998-05-18
12.326099395751953,1998-05-19
13.04032039642334,1998-05-20
12.67169189453125,1998-05-21
12.510418891906738,1998-05-22
12.418258666992188,1998-05-26
12.694725036621094,1998-05-27
12.694725036621094,1998-05-28
12.809928894042969,1998-05-29
12.832969665527344,1998-06-01
12.602571487426758,1998-06-02
12.602571487426758,1998-06-03
12.879050254821777,1998-06-04
12.902083396911621,1998-06-05
12.37217903137207,1998-06-08
11.95746898651123,1998-06-09
11.819233894348145,1998-06-10
11.704033851623535,1998-06-11
11.796194076538086,1998-06-12
11.473642349243164,1998-06-15
11.842275619506836,1998-06-16
11.819233894348145,1998-06-17
11.6118745803833,1998-06-18
11.473642349243164,1998-06-19
11.10500717163086,1998-06-22
11.588834762573242,1998-06-23
11.722678184509277,1998-06-24
11.51499080657959,1998-06-25
11.561144828796387,1998-06-26
11.722678184509277,1998-06-29
11.953438758850098,1998-06-30
11.884207725524902,1998-07-01
11.67652702331543,1998-07-02
11.814983367919922,1998-07-06
11.745759010314941,1998-07-07
12.161127090454102,1998-07-08
12.091904640197754,1998-07-09
12.091904640197754,1998-07-10
12.022668838500977,1998-07-13
11.976516723632812,1998-07-14
11.67652702331543,1998-07-15
11.79190444946289,1998-07-16
11.768828392028809,1998-07-17
11.930366516113281,1998-07-20
11.722678184509277,1998-07-21
12.438040733337402,1998-07-22
11.999591827392578,1998-07-23
11.861140251159668,1998-07-24
12.553418159484863,1998-07-27
12.599571228027344,1998-07-28
12.276506423950195,1998-07-29
12.138051986694336,1998-07-30
11.999591827392578,1998-07-31
11.999591827392578,1998-08-03
12.045746803283691,1998-08-04
12.045746803283691,1998-08-05
11.768828392028809,1998-08-06
11.814983367919922,1998-08-07
12.184197425842285,1998-08-10
11.930366516113281,1998-08-11
12.138051986694336,1998-08-12
12.022668838500977,1998-08-13
12.32265853881836,1998-08-14
11.976516723632812,1998-08-17
12.391888618469238,1998-08-18
12.022668838500977,1998-08-19
12.299583435058594,1998-08-20
12.184197425842285,1998-08-21
12.41496467590332,1998-08-24
11.999591827392578,1998-08-25
11.745759010314941,1998-08-26
11.538068771362305,1998-08-27
11.561144828796387,1998-08-28
10.361186027526855,1998-08-31
9.968890190124512,1998-09-01
9.922740936279297,1998-09-02
9.599675178527832,1998-09-03
9.80735969543457,1998-09-04
10.107352256774902,1998-09-08
10.038122177124023,1998-09-09
9.945817947387695,1998-09-10
10.015046119689941,1998-09-11
10.015046119689941,1998-09-14
9.922740936279297,1998-09-15
9.507372856140137,1998-09-16
9.461215019226074,1998-09-17
9.599675178527832,1998-09-18
9.553521156311035,1998-09-21
9.553521156311035,1998-09-22
9.941956520080566,1998-09-23
9.641376495361328,1998-09-24
9.433294296264648,1998-09-25
9.502660751342773,1998-09-28
9.040239334106445,1998-09-29
8.832152366638184,1998-09-30
8.09228515625,1998-10-01
8.254130363464355,1998-10-02
8.231014251708984,1998-10-05
7.352421283721924,1998-10-06
7.722354412078857,1998-10-07
7.606747150421143,1998-10-08
7.468023300170898,1998-10-09
8.022920608520508,1998-10-12
8.462217330932617,1998-10-13
8.878395080566406,1998-10-14
8.947760581970215,1998-10-15
9.479534149169922,1998-10-16
9.71074104309082,1998-10-19
9.68762493133545,1998-10-20
9.410175323486328,1998-10-21
9.410175323486328,1998-10-22
9.178963661193848,1998-10-23
9.155843734741211,1998-10-26
9.479534149169922,1998-10-27
9.502660751342773,1998-10-28
9.641376495361328,1998-10-29
9.941956520080566,1998-10-30
10.381248474121094,1998-11-02
10.635577201843262,1998-11-03
10.381248474121094,1998-11-04
10.704939842224121,1998-11-05
10.82054328918457,1998-11-06
10.589336395263672,1998-11-09
10.543094635009766,1998-11-10
10.381248474121094,1998-11-11
10.103798866271973,1998-11-12
10.31188678741455,1998-11-13
10.635577201843262,1998-11-16
10.612454414367676,1998-11-17
10.589336395263672,1998-11-18
10.56621265411377,1998-11-19
10.88990306854248,1998-11-20
11.167351722717285,1998-11-23
10.77430248260498,1998-11-24
10.88990306854248,1998-11-25
10.959268569946289,1998-11-27
10.866786003112793,1998-11-30
10.704939842224121,1998-12-01
10.751177787780762,1998-12-02
10.681818962097168,1998-12-03
10.88990306854248,1998-12-04
10.84366512298584,1998-12-07
10.88990306854248,1998-12-08
10.88990306854248,1998-12-09
10.658696174621582,1998-12-10
10.797419548034668,1998-12-11
10.543094635009766,1998-12-14
10.358131408691406,1998-12-15
10.381248474121094,1998-12-16
10.404370307922363,1998-12-17
10.288764953613281,1998-12-18
9.988192558288574,1998-12-21
10.589336395263672,1998-12-22
10.84366512298584,1998-12-23
10.746390342712402,1998-12-24
10.700066566467285,1998-12-28
11.024308204650879,1998-12-29
11.11695671081543,1998-12-30
10.746390342712402,1998-12-31
10.93167495727539,1999-01-04
11.46435260772705,1999-01-05
11.881247520446777,1999-01-06
12.0665283203125,1999-01-07
12.599213600158691,1999-01-08
12.599213600158691,1999-01-11
12.390771865844727,1999-01-12
12.274971008300781,1999-01-13
11.69596004486084,1999-01-14
12.136009216308594,1999-01-15
11.834925651550293,1999-01-19
11.99704647064209,1999-01-20
11.834925651550293,1999-01-21
11.858086585998535,1999-01-22
11.950726509094238,1999-01-25
12.020206451416016,1999-01-26
12.112846374511719,1999-01-27
12.274971008300781,1999-01-28
13.016101837158203,1999-01-29
12.738179206848145,1999-02-01
12.506573677062988,1999-02-02
13.2245454788208,1999-02-03
13.4793062210083,1999-02-04
13.548789978027344,1999-02-05
13.710906982421875,1999-02-08
13.525623321533203,1999-02-09
13.525623321533203,1999-02-10
13.7340726852417,1999-02-11
13.270861625671387,1999-02-12
13.641427993774414,1999-02-16
13.641427993774414,1999-02-17
14.498358726501465,1999-02-18
14.706803321838379,1999-02-19
14.6373291015625,1999-02-22
14.174116134643555,1999-02-23
13.710906982421875,1999-02-24
13.456149101257324,1999-02-25
13.340338706970215,1999-02-26
13.17822265625,1999-03-01
13.06242561340332,1999-03-02
13.155065536499023,1999-03-03
13.108742713928223,1999-03-04
13.548789978027344,1999-03-05
13.456149101257324,1999-03-08
13.363507270812988,1999-03-09
13.4793062210083,1999-03-10
14.081480026245117,1999-03-11
14.289915084838867,1999-03-12
14.174116134643555,1999-03-15
14.336244583129883,1999-03-16
14.382563591003418,1999-03-17
13.687751770019531,1999-03-18
13.849872589111328,1999-03-19
13.849872589111328,1999-03-22
13.085579872131348,1999-03-23
13.20138168334961,1999-03-24
13.039259910583496,1999-03-25
12.969779968261719,1999-03-26
12.923457145690918,1999-03-29
12.738179206848145,1999-03-30
12.460254669189453,1999-03-31
12.803536415100098,1999-04-01
12.710759162902832,1999-04-05
12.525199890136719,1999-04-06
12.803536415100098,1999-04-07
13.058680534362793,1999-04-08
13.406601905822754,1999-04-09
13.17465591430664,1999-04-12
12.919507026672363,1999-04-13
12.989092826843262,1999-04-14
13.777716636657715,1999-04-15
14.659126281738281,1999-04-16
15.238997459411621,1999-04-19
14.473564147949219,1999-04-20
14.102445602416992,1999-04-21
14.519949913024902,1999-04-22
15.192602157592773,1999-04-23
