SIRI,Date
4.015481948852539,1994-09-13
3.7984299659729004,1994-09-14
3.9476537704467773,1994-09-15
4.1240081787109375,1994-09-16
4.232535362243652,1994-09-19
3.7984299659729004,1994-09-20
3.62207293510437,1994-09-21
3.7984299659729004,1994-09-22
3.581376314163208,1994-09-23
3.6899020671844482,1994-09-26
3.4728493690490723,1994-09-27
3.581376314163208,1994-09-28
3.581376314163208,1994-09-29
3.581376314163208,1994-09-30
3.3643229007720947,1994-10-03
3.1472694873809814,1994-10-04
3.2015328407287598,1994-10-05
3.3643229007720947,1994-10-06
3.1472694873809814,1994-10-07
3.1472694873809814,1994-10-10
3.1472694873809814,1994-10-11
3.25579571723938,1994-10-12
3.1472694873809814,1994-10-13
3.1472694873809814,1994-10-14
3.1472694873809814,1994-10-17
3.3643229007720947,1994-10-18
3.1472694873809814,1994-10-19
3.1472694873809814,1994-10-20
3.3643229007720947,1994-10-21
3.581376314163208,1994-10-24
3.4728493690490723,1994-10-25
3.581376314163208,1994-10-26
3.581376314163208,1994-10-27
3.581376314163208,1994-10-28
3.25579571723938,1994-10-31
3.3643229007720947,1994-11-01
3.25579571723938,1994-11-02
3.25579571723938,1994-11-03
3.25579571723938,1994-11-04
3.25579571723938,1994-11-07
3.25579571723938,1994-11-08
3.1472694873809814,1994-11-09
3.1472694873809814,1994-11-10
3.1472694873809814,1994-11-11
3.1472694873809814,1994-11-14
3.038742780685425,1994-11-15
3.038742780685425,1994-11-16
3.1472694873809814,1994-11-17
3.038742780685425,1994-11-18
3.038742780685425,1994-11-21
2.3875839710235596,1994-11-22
2.3875839710235596,1994-11-23
2.1705310344696045,1994-11-25
2.0620040893554688,1994-11-28
2.1705310344696045,1994-11-29
2.3875839710235596,1994-11-30
2.1705310344696045,1994-12-01
2.3875839710235596,1994-12-02
1.9534780979156494,1994-12-05
1.9534780979156494,1994-12-06
1.9534780979156494,1994-12-07
1.7364246845245361,1994-12-08
1.62789785861969,1994-12-09
1.9534780979156494,1994-12-12
1.62789785861969,1994-12-13
1.4651082754135132,1994-12-14
1.5193713903427124,1994-12-15
1.4651082754135132,1994-12-16
1.5193713903427124,1994-12-19
1.62789785861969,1994-12-20
1.62789785861969,1994-12-21
1.4651082754135132,1994-12-22
1.7364246845245361,1994-12-23
1.62789785861969,1994-12-27
1.62789785861969,1994-12-28
1.62789785861969,1994-12-29
1.7635562419891357,1994-12-30
1.8449510335922241,1995-01-03
1.62789785861969,1995-01-04
1.7364246845245361,1995-01-05
3.4728493690490723,1995-01-06
4.232535362243652,1995-01-09
3.7984299659729004,1995-01-10
3.6899020671844482,1995-01-11
3.635638952255249,1995-01-12
3.635638952255249,1995-01-13
3.3643229007720947,1995-01-16
3.1472694873809814,1995-01-17
2.7131638526916504,1995-01-18
2.9302165508270264,1995-01-19
3.25579571723938,1995-01-20
3.25579571723938,1995-01-23
2.8216896057128906,1995-01-24
2.9844799041748047,1995-01-25
2.9302165508270264,1995-01-26
3.0930063724517822,1995-01-27
2.9844799041748047,1995-01-30
3.1472694873809814,1995-01-31
3.1472694873809814,1995-02-01
3.1472694873809814,1995-02-02
3.1472694873809814,1995-02-03
3.5271124839782715,1995-02-06
3.6899020671844482,1995-02-07
3.5271124839782715,1995-02-08
3.906956195831299,1995-02-09
