BAX,Date
1.4518852233886719,1981-10-27
1.4518852233886719,1981-10-28
1.440270185470581,1981-10-29
1.4605964422225952,1981-10-30
1.5157674551010132,1981-11-02
1.5244791507720947,1981-11-03
1.5070568323135376,1981-11-04
1.4867305755615234,1981-11-05
1.4576926231384277,1981-11-06
1.4809222221374512,1981-11-09
1.4925366640090942,1981-11-10
1.4983460903167725,1981-11-11
1.4925366640090942,1981-11-12
1.4751147031784058,1981-11-13
1.4751147031784058,1981-11-16
1.5215742588043213,1981-11-17
1.533190369606018,1981-11-18
1.5448055267333984,1981-11-19
1.538999319076538,1981-11-20
1.4867305755615234,1981-11-23
1.4693074226379395,1981-11-24
1.5099598169326782,1981-11-25
1.538999319076538,1981-11-27
1.533190369606018,1981-11-30
1.533190369606018,1981-12-01
1.5273829698562622,1981-12-02
1.533190369606018,1981-12-03
1.5448055267333984,1981-12-04
1.5157674551010132,1981-12-07
1.4983460903167725,1981-12-08
1.533190369606018,1981-12-09
1.5215742588043213,1981-12-10
1.5157674551010132,1981-12-11
1.4751147031784058,1981-12-14
1.4751147031784058,1981-12-15
1.4751147031784058,1981-12-16
1.4867305755615234,1981-12-17
1.5273829698562622,1981-12-18
1.4867305755615234,1981-12-21
1.504152774810791,1981-12-22
1.5157674551010132,1981-12-23
1.4983460903167725,1981-12-24
1.5099598169326782,1981-12-28
1.5215742588043213,1981-12-29
1.5273829698562622,1981-12-30
1.556420087814331,1981-12-31
1.5912660360336304,1982-01-04
1.533190369606018,1982-01-05
1.4983460903167725,1982-01-06
1.5506131649017334,1982-01-07
1.5448055267333984,1982-01-08
1.4809222221374512,1982-01-11
1.5215742588043213,1982-01-12
1.4925366640090942,1982-01-13
1.5273829698562622,1982-01-14
1.5506131649017334,1982-01-15
1.5854581594467163,1982-01-18
1.5448055267333984,1982-01-19
1.5506131649017334,1982-01-20
1.5506131649017334,1982-01-21
1.5622289180755615,1982-01-22
1.5622289180755615,1982-01-25
1.556420087814331,1982-01-26
1.5680354833602905,1982-01-27
1.626111626625061,1982-01-28
1.6725716590881348,1982-01-29
1.626111626625061,1982-02-01
1.6086883544921875,1982-02-02
1.5448055267333984,1982-02-03
1.5796514749526978,1982-02-04
1.6435331106185913,1982-02-05
1.6028820276260376,1982-02-08
1.556420087814331,1982-02-09
1.5970736742019653,1982-02-10
1.5912660360336304,1982-02-11
1.6203032732009888,1982-02-12
1.6377257108688354,1982-02-16
1.6725716590881348,1982-02-17
1.6841866970062256,1982-02-18
1.6493419408798218,1982-02-19
1.6144967079162598,1982-02-22
1.6028820276260376,1982-02-23
1.6144967079162598,1982-02-24
1.626111626625061,1982-02-25
1.626111626625061,1982-02-26
1.6144967079162598,1982-03-01
1.6086883544921875,1982-03-02
1.6144967079162598,1982-03-03
1.5970736742019653,1982-03-04
1.556420087814331,1982-03-05
1.5680354833602905,1982-03-08
1.538999319076538,1982-03-09
1.5152206420898438,1982-03-10
1.4860814809799194,1982-03-11
1.4569426774978638,1982-03-12
1.5093929767608643,1982-03-15
1.5093929767608643,1982-03-16
1.5152206420898438,1982-03-17
1.5385318994522095,1982-03-18
1.5560144186019897,1982-03-19
1.5968084335327148,1982-03-22
1.5968084335327148,1982-03-23
1.567671298980713,1982-03-24
1.5618419647216797,1982-03-25
1.5443596839904785,1982-03-26
1.5385318994522095,1982-03-29
1.5152206420898438,1982-03-30
1.4919095039367676,1982-03-31
1.5443596839904785,1982-04-01
1.5734983682632446,1982-04-02
1.5851542949676514,1982-04-05
1.5968084335327148,1982-04-06
1.620120882987976,1982-04-07
1.614293098449707,1982-04-08
1.5851542949676514,1982-04-12
1.614293098449707,1982-04-13
1.5851542949676514,1982-04-14
1.6026374101638794,1982-04-15
1.5909805297851562,1982-04-16
1.6026374101638794,1982-04-19
1.6026374101638794,1982-04-20
1.5443596839904785,1982-04-21
1.5560144186019897,1982-04-22
1.5734983682632446,1982-04-23
1.6084654331207275,1982-04-26
1.620120882987976,1982-04-27
1.6317756175994873,1982-04-28
1.637603998184204,1982-04-29
1.6725713014602661,1982-04-30
1.6725713014602661,1982-05-03
1.6900533437728882,1982-05-04
1.6667428016662598,1982-05-05
1.6958812475204468,1982-05-06
1.6900533437728882,1982-05-07
1.6667428016662598,1982-05-10
1.6958812475204468,1982-05-11
1.6900533437728882,1982-05-12
1.6900533437728882,1982-05-13
1.67839777469635,1982-05-14
1.67839777469635,1982-05-17
1.6609153747558594,1982-05-18
1.637603998184204,1982-05-19
1.6609153747558594,1982-05-20
1.655086636543274,1982-05-21
1.6492594480514526,1982-05-24
1.655086636543274,1982-05-25
1.6084654331207275,1982-05-26
1.620120882987976,1982-05-27
1.5851542949676514,1982-05-28
1.5793266296386719,1982-06-01
1.6084654331207275,1982-06-02
1.5968084335327148,1982-06-03
1.5851542949676514,1982-06-04
1.5846863985061646,1982-06-07
1.5671424865722656,1982-06-08
1.532057285308838,1982-06-09
1.5788384675979614,1982-06-10
1.6197715997695923,1982-06-11
1.6080764532089233,1982-06-14
1.6080764532089233,1982-06-15
1.6022275686264038,1982-06-16
1.5846863985061646,1982-06-17
1.5846863985061646,1982-06-18
1.5788384675979614,1982-06-21
1.5963798761367798,1982-06-22
1.6431617736816406,1982-06-23
1.6256191730499268,1982-06-24
1.6373136043548584,1982-06-25
1.6723995208740234,1982-06-28
1.6840938329696655,1982-06-29
1.701636791229248,1982-06-30
1.6665520668029785,1982-07-01
1.6256191730499268,1982-07-02
1.649009108543396,1982-07-06
1.631466269493103,1982-07-07
1.6431617736816406,1982-07-08
1.7191790342330933,1982-07-09
1.783502459526062,1982-07-12
1.7951979637145996,1982-07-13
1.783502459526062,1982-07-14
1.789350152015686,1982-07-15
1.806892991065979,1982-07-16
1.7776542901992798,1982-07-19
1.783502459526062,1982-07-20
1.789350152015686,1982-07-21
1.7718080282211304,1982-07-22
1.6957889795303345,1982-07-23
1.6782474517822266,1982-07-26
1.701636791229248,1982-07-27
1.6957889795303345,1982-07-28
1.6723995208740234,1982-07-29
1.6431617736816406,1982-07-30
1.6723995208740234,1982-08-02
1.707484483718872,1982-08-03
1.6840938329696655,1982-08-04
1.6782474517822266,1982-08-05
1.6431617736816406,1982-08-06
1.6256191730499268,1982-08-09
1.631466269493103,1982-08-10
1.6256191730499268,1982-08-11
