AOS,Date
0.44457048177719116,1983-09-30
0.44457048177719116,1983-10-03
0.4388708770275116,1983-10-04
0.3875742554664612,1983-10-05
0.396124005317688,1983-10-06
0.3904244601726532,1983-10-07
0.4217723309993744,1983-10-10
0.4103728234767914,1983-10-11
0.3875742554664612,1983-10-12
0.3904244601726532,1983-10-13
0.3875742554664612,1983-10-14
0.3875742554664612,1983-10-17
0.38187506794929504,1983-10-18
0.3875742554664612,1983-10-19
0.38187506794929504,1983-10-20
0.37902480363845825,1983-10-21
0.3448272943496704,1983-10-24
0.3419773578643799,1983-10-25
0.31347939372062683,1983-10-26
0.31347939372062683,1983-10-27
0.34767717123031616,1983-10-28
0.34767717123031616,1983-10-31
0.34767717123031616,1983-11-01
0.35052716732025146,1983-11-02
0.3448272943496704,1983-11-03
0.3334282338619232,1983-11-04
0.3277285099029541,1983-11-07
0.33057814836502075,1983-11-08
0.33057814836502075,1983-11-09
0.34767717123031616,1983-11-10
0.35907620191574097,1983-11-11
0.38472461700439453,1983-11-14
0.39897358417510986,1983-11-15
0.41322270035743713,1983-11-16
0.4189222455024719,1983-11-17
0.4189222455024719,1983-11-18
0.4303216338157654,1983-11-21
0.42747217416763306,1983-11-22
0.4189222455024719,1983-11-23
0.40467318892478943,1983-11-25
0.396124005317688,1983-11-28
0.3904244601726532,1983-11-29
0.3875742554664612,1983-11-30
0.38187506794929504,1983-12-01
0.36477574706077576,1983-12-02
0.37617525458335876,1983-12-05
0.37617525458335876,1983-12-06
0.37617525458335876,1983-12-07
0.37617525458335876,1983-12-08
0.37617525458335876,1983-12-09
0.40182363986968994,1983-12-12
0.40752357244491577,1983-12-13
0.3875742554664612,1983-12-14
0.3904244601726532,1983-12-15
0.38187506794929504,1983-12-16
0.38187506794929504,1983-12-19
0.396124005317688,1983-12-20
0.3875742554664612,1983-12-21
0.38187506794929504,1983-12-22
0.3904244601726532,1983-12-23
0.39327383041381836,1983-12-27
0.39327383041381836,1983-12-28
0.3875742554664612,1983-12-29
0.39897358417510986,1983-12-30
0.396124005317688,1984-01-03
0.3904244601726532,1984-01-04
0.3875742554664612,1984-01-05
0.38187506794929504,1984-01-06
0.3676258325576782,1984-01-09
0.38472461700439453,1984-01-10
0.39327383041381836,1984-01-11
0.39327383041381836,1984-01-12
0.3875742554664612,1984-01-13
0.3904244601726532,1984-01-16
0.3904244601726532,1984-01-17
0.4103728234767914,1984-01-18
0.41322270035743713,1984-01-19
0.40752357244491577,1984-01-20
0.4103728234767914,1984-01-23
0.40752357244491577,1984-01-24
0.40467318892478943,1984-01-25
0.40752357244491577,1984-01-26
0.39897358417510986,1984-01-27
0.396124005317688,1984-01-30
0.38472461700439453,1984-01-31
0.38187506794929504,1984-02-01
0.38472461700439453,1984-02-02
0.3904244601726532,1984-02-03
0.38187506794929504,1984-02-06
0.36477574706077576,1984-02-07
0.36477574706077576,1984-02-08
0.35907620191574097,1984-02-09
0.36192595958709717,1984-02-10
0.35907620191574097,1984-02-13
0.35907620191574097,1984-02-14
0.35907620191574097,1984-02-15
0.35622668266296387,1984-02-16
0.35337674617767334,1984-02-17
0.35052716732025146,1984-02-21
0.34767717123031616,1984-02-22
0.33627766370773315,1984-02-23
0.3419773578643799,1984-02-24
0.33627766370773315,1984-02-27
0.33057814836502075,1984-02-28
0.31632912158966064,1984-02-29
0.30493003129959106,1984-03-01
0.31347939372062683,1984-03-02
0.32487863302230835,1984-03-05
0.32487863302230835,1984-03-06
0.32202863693237305,1984-03-07
0.3277285099029541,1984-03-08
0.32487863302230835,1984-03-09
0.31917905807495117,1984-03-12
