HIG,Date
13.651507377624512,1995-12-15
13.411413192749023,1995-12-18
13.137002944946289,1995-12-19
13.480006217956543,1995-12-20
13.30850601196289,1995-12-21
13.37710952758789,1995-12-22
13.342804908752441,1995-12-26
13.205602645874023,1995-12-27
13.205602645874023,1995-12-28
13.274205207824707,1995-12-29
13.30850601196289,1996-01-02
13.274205207824707,1996-01-03
13.411413192749023,1996-01-04
13.37710952758789,1996-01-05
13.685806274414062,1996-01-08
13.621499061584473,1996-01-09
13.23990535736084,1996-01-10
13.37710952758789,1996-01-11
13.617212295532227,1996-01-12
13.857314109802246,1996-01-15
13.925909996032715,1996-01-16
13.754412651062012,1996-01-17
13.788714408874512,1996-01-18
13.720105171203613,1996-01-19
13.720105171203613,1996-01-22
13.960213661193848,1996-01-23
13.857314109802246,1996-01-24
13.651507377624512,1996-01-25
13.823002815246582,1996-01-26
13.720105171203613,1996-01-29
13.617212295532227,1996-01-30
13.754412651062012,1996-01-31
13.823002815246582,1996-02-01
13.720105171203613,1996-02-02
13.720105171203613,1996-02-05
13.788714408874512,1996-02-06
13.823002815246582,1996-02-07
14.063114166259766,1996-02-08
13.925909996032715,1996-02-09
14.131711959838867,1996-02-12
14.234615325927734,1996-02-13
14.268917083740234,1996-02-14
14.200313568115234,1996-02-15
13.960213661193848,1996-02-16
13.960213661193848,1996-02-20
14.09741497039795,1996-02-21
14.371808052062988,1996-02-22
14.474714279174805,1996-02-23
14.543313980102539,1996-02-26
14.440425872802734,1996-02-27
14.30907917022705,1996-02-28
14.239949226379395,1996-02-29
14.481891632080078,1996-03-01
14.585586547851562,1996-03-04
14.516457557678223,1996-03-05
14.516457557678223,1996-03-06
14.412764549255371,1996-03-07
13.894317626953125,1996-03-08
13.68693733215332,1996-03-11
13.410433769226074,1996-03-12
13.410433769226074,1996-03-13
13.410433769226074,1996-03-14
13.030257225036621,1996-03-15
13.444992065429688,1996-03-18
13.825197219848633,1996-03-19
13.894317626953125,1996-03-20
13.928886413574219,1996-03-21
13.825197219848633,1996-03-22
13.859759330749512,1996-03-25
13.825197219848633,1996-03-26
13.790641784667969,1996-03-27
13.444992065429688,1996-03-28
13.548689842224121,1996-03-29
13.68693733215332,1996-04-01
13.617817878723145,1996-04-02
13.583256721496582,1996-04-03
13.514128684997559,1996-04-04
13.306750297546387,1996-04-08
13.030257225036621,1996-04-09
12.788311004638672,1996-04-10
12.580925941467285,1996-04-11
12.857428550720215,1996-04-12
12.926559448242188,1996-04-15
12.615490913391113,1996-04-16
12.926559448242188,1996-04-17
13.306750297546387,1996-04-18
13.272181510925293,1996-04-19
13.341304779052734,1996-04-22
13.133933067321777,1996-04-23
13.09937572479248,1996-04-24
12.9611177444458,1996-04-25
12.857428550720215,1996-04-26
13.030257225036621,1996-04-29
13.375876426696777,1996-04-30
13.410433769226074,1996-05-01
13.272181510925293,1996-05-02
13.133933067321777,1996-05-03
13.064805030822754,1996-05-06
12.857428550720215,1996-05-07
12.891993522644043,1996-05-08
12.926559448242188,1996-05-09
13.09937572479248,1996-05-10
13.548689842224121,1996-05-13
13.410433769226074,1996-05-14
13.652381896972656,1996-05-15
13.617817878723145,1996-05-16
13.9634428024292,1996-05-17
13.928886413574219,1996-05-20
14.170825958251953,1996-05-21
14.27451229095459,1996-05-22
14.27451229095459,1996-05-23
14.343635559082031,1996-05-24
14.30907917022705,1996-05-28
14.350875854492188,1996-05-29
14.420536041259766,1996-05-30
14.420536041259766,1996-05-31
14.420536041259766,1996-06-03
14.38570499420166,1996-06-04
14.734023094177246,1996-06-05
14.7688627243042,1996-06-06
14.664365768432617,1996-06-07
14.80368709564209,1996-06-10
14.664365768432617,1996-06-11
14.7688627243042,1996-06-12
14.7688627243042,1996-06-13
14.80368709564209,1996-06-14
14.80368709564209,1996-06-17
14.873359680175781,1996-06-18
14.80368709564209,1996-06-19
14.838525772094727,1996-06-20
14.873359680175781,1996-06-21
15.08234691619873,1996-06-24
14.943016052246094,1996-06-25
14.838525772094727,1996-06-26
14.7688627243042,1996-06-27
14.838525772094727,1996-06-28
