UBER,Date
41.56999969482422,2019-05-10
37.099998474121094,2019-05-13
39.959999084472656,2019-05-14
41.290000915527344,2019-05-15
43.0,2019-05-16
41.90999984741211,2019-05-17
41.59000015258789,2019-05-20
41.5,2019-05-21
41.25,2019-05-22
40.470001220703125,2019-05-23
41.5099983215332,2019-05-24
40.95000076293945,2019-05-28
39.939998626708984,2019-05-29
39.79999923706055,2019-05-30
40.40999984741211,2019-05-31
41.25,2019-06-03
42.75,2019-06-04
45.0,2019-06-05
44.91999816894531,2019-06-06
44.15999984741211,2019-06-07
42.61000061035156,2019-06-10
42.45000076293945,2019-06-11
42.16999816894531,2019-06-12
44.310001373291016,2019-06-13
43.22999954223633,2019-06-14
43.779998779296875,2019-06-17
43.86000061035156,2019-06-18
44.86000061035156,2019-06-19
43.86000061035156,2019-06-20
44.0,2019-06-21
43.09000015258789,2019-06-24
43.09000015258789,2019-06-25
42.5,2019-06-26
45.130001068115234,2019-06-27
46.380001068115234,2019-06-28
44.27000045776367,2019-07-01
44.0,2019-07-02
44.22999954223633,2019-07-03
43.529998779296875,2019-07-05
42.95000076293945,2019-07-08
44.20000076293945,2019-07-09
43.70000076293945,2019-07-10
43.9900016784668,2019-07-11
43.9900016784668,2019-07-12
44.529998779296875,2019-07-15
44.130001068115234,2019-07-16
43.619998931884766,2019-07-17
43.709999084472656,2019-07-18
43.18000030517578,2019-07-19
43.689998626708984,2019-07-22
43.36000061035156,2019-07-23
43.7599983215332,2019-07-24
43.400001525878906,2019-07-25
44.52000045776367,2019-07-26
43.880001068115234,2019-07-29
42.59000015258789,2019-07-30
42.13999938964844,2019-07-31
41.310001373291016,2019-08-01
40.400001525878906,2019-08-02
39.04999923706055,2019-08-05
39.150001525878906,2019-08-06
39.70000076293945,2019-08-07
42.970001220703125,2019-08-08
40.04999923706055,2019-08-09
37.0,2019-08-12
36.45000076293945,2019-08-13
33.959999084472656,2019-08-14
33.220001220703125,2019-08-15
35.22999954223633,2019-08-16
34.61000061035156,2019-08-19
35.290000915527344,2019-08-20
34.90999984741211,2019-08-21
34.0,2019-08-22
33.43000030517578,2019-08-23
33.310001373291016,2019-08-26
33.11000061035156,2019-08-27
32.59000015258789,2019-08-28
32.7599983215332,2019-08-29
32.56999969482422,2019-08-30
30.700000762939453,2019-09-03
31.989999771118164,2019-09-04
32.5099983215332,2019-09-05
31.860000610351562,2019-09-06
32.2400016784668,2019-09-09
33.5099983215332,2019-09-10
34.0,2019-09-11
34.06999969482422,2019-09-12
33.25,2019-09-13
34.43000030517578,2019-09-16
34.290000915527344,2019-09-17
34.2599983215332,2019-09-18
33.81999969482422,2019-09-19
32.599998474121094,2019-09-20
33.0,2019-09-23
31.299999237060547,2019-09-24
31.68000030517578,2019-09-25
31.56999969482422,2019-09-26
30.290000915527344,2019-09-27
30.469999313354492,2019-09-30
29.149999618530273,2019-10-01
29.0,2019-10-02
29.719999313354492,2019-10-03
29.670000076293945,2019-10-04
30.3700008392334,2019-10-07
29.280000686645508,2019-10-08
29.06999969482422,2019-10-09
28.8700008392334,2019-10-10
30.1299991607666,2019-10-11
31.1200008392334,2019-10-14
32.0,2019-10-15
31.8700008392334,2019-10-16
32.619998931884766,2019-10-17
32.060001373291016,2019-10-18
31.40999984741211,2019-10-21
32.529998779296875,2019-10-22
33.04999923706055,2019-10-23
33.279998779296875,2019-10-24
32.709999084472656,2019-10-25
33.220001220703125,2019-10-28
32.41999816894531,2019-10-29
33.75,2019-10-30
31.5,2019-10-31
31.3700008392334,2019-11-01
31.079999923706055,2019-11-04
28.020000457763672,2019-11-05
26.940000534057617,2019-11-06
27.3799991607666,2019-11-07
27.010000228881836,2019-11-08
27.139999389648438,2019-11-11
26.700000762939453,2019-11-12
26.709999084472656,2019-11-13
25.989999771118164,2019-11-14
26.790000915527344,2019-11-15
26.75,2019-11-18
27.049999237060547,2019-11-19
28.030000686645508,2019-11-20
29.459999084472656,2019-11-21
29.559999465942383,2019-11-22
29.110000610351562,2019-11-25
29.530000686645508,2019-11-26
29.489999771118164,2019-11-27
29.600000381469727,2019-11-29
28.979999542236328,2019-12-02
29.020000457763672,2019-12-03
29.059999465942383,2019-12-04
28.649999618530273,2019-12-05
27.860000610351562,2019-12-06
27.68000030517578,2019-12-09
27.889999389648438,2019-12-10
28.420000076293945,2019-12-11
28.690000534057617,2019-12-12
28.489999771118164,2019-12-13
30.049999237060547,2019-12-16
29.75,2019-12-17
30.1299991607666,2019-12-18
29.989999771118164,2019-12-19
30.450000762939453,2019-12-20
30.329999923706055,2019-12-23
30.440000534057617,2019-12-24
30.670000076293945,2019-12-26
30.170000076293945,2019-12-27
29.739999771118164,2019-12-30
29.739999771118164,2019-12-31
30.989999771118164,2020-01-02
31.3700008392334,2020-01-03
31.579999923706055,2020-01-06
32.810001373291016,2020-01-07
33.93000030517578,2020-01-08
33.970001220703125,2020-01-09
34.0099983215332,2020-01-10
34.13999938964844,2020-01-13
34.84000015258789,2020-01-14
35.0099983215332,2020-01-15
34.68000030517578,2020-01-16
35.130001068115234,2020-01-17
37.599998474121094,2020-01-21
37.040000915527344,2020-01-22
37.400001525878906,2020-01-23
36.79999923706055,2020-01-24
36.29999923706055,2020-01-27
37.0099983215332,2020-01-28
36.9900016784668,2020-01-29
36.68000030517578,2020-01-30
36.290000915527344,2020-01-31
37.59000015258789,2020-02-03
38.529998779296875,2020-02-04
36.810001373291016,2020-02-05
37.09000015258789,2020-02-06
40.630001068115234,2020-02-07
40.0099983215332,2020-02-10
41.27000045776367,2020-02-11
41.25,2020-02-12
40.09000015258789,2020-02-13
39.65999984741211,2020-02-14
40.18000030517578,2020-02-18
41.04999923706055,2020-02-19
40.91999816894531,2020-02-20
40.720001220703125,2020-02-21
38.310001373291016,2020-02-24
35.88999938964844,2020-02-25
34.45000076293945,2020-02-26
32.45000076293945,2020-02-27
33.869998931884766,2020-02-28
32.849998474121094,2020-03-02
33.040000915527344,2020-03-03
34.529998779296875,2020-03-04
32.209999084472656,2020-03-05
31.68000030517578,2020-03-06
28.170000076293945,2020-03-09
28.969999313354492,2020-03-10
26.239999771118164,2020-03-11
22.610000610351562,2020-03-12
22.600000381469727,2020-03-13
20.290000915527344,2020-03-16
18.90999984741211,2020-03-17
14.819999694824219,2020-03-18
20.489999771118164,2020-03-19
21.329999923706055,2020-03-20
22.399999618530273,2020-03-23
26.389999389648438,2020-03-24
26.190000534057617,2020-03-25
28.1200008392334,2020-03-26
27.280000686645508,2020-03-27
27.829999923706055,2020-03-30
27.920000076293945,2020-03-31
25.420000076293945,2020-04-01
23.68000030517578,2020-04-02
22.81999969482422,2020-04-03
25.989999771118164,2020-04-06
25.739999771118164,2020-04-07
26.940000534057617,2020-04-08
27.110000610351562,2020-04-09
27.989999771118164,2020-04-13
27.75,2020-04-14
27.40999984741211,2020-04-15
27.030000686645508,2020-04-16
28.0,2020-04-17
28.190000534057617,2020-04-20
27.190000534057617,2020-04-21
28.239999771118164,2020-04-22
28.329999923706055,2020-04-23
29.489999771118164,2020-04-24
30.079999923706055,2020-04-27
30.1200008392334,2020-04-28
31.3700008392334,2020-04-29
30.270000457763672,2020-04-30
28.389999389648438,2020-05-01
27.420000076293945,2020-05-04
28.06999969482422,2020-05-05
27.81999969482422,2020-05-06
30.93000030517578,2020-05-07
32.790000915527344,2020-05-08
31.639999389648438,2020-05-11
32.400001525878906,2020-05-12
33.02000045776367,2020-05-13
32.790000915527344,2020-05-14
32.470001220703125,2020-05-15
33.619998931884766,2020-05-18
33.400001525878906,2020-05-19
34.47999954223633,2020-05-20
34.2599983215332,2020-05-21
34.83000183105469,2020-05-22
34.560001373291016,2020-05-26
34.880001068115234,2020-05-27
34.150001525878906,2020-05-28
36.31999969482422,2020-05-29
35.81999969482422,2020-06-01
35.810001373291016,2020-06-02
36.75,2020-06-03
36.43000030517578,2020-06-04
37.209999084472656,2020-06-05
37.08000183105469,2020-06-08
36.59000015258789,2020-06-09
34.83000183105469,2020-06-10
31.100000381469727,2020-06-11
32.2400016784668,2020-06-12
32.66999816894531,2020-06-15
33.4900016784668,2020-06-16
33.290000915527344,2020-06-17
33.400001525878906,2020-06-18
32.29999923706055,2020-06-19
32.68000030517578,2020-06-22
33.04999923706055,2020-06-23
30.459999084472656,2020-06-24
30.579999923706055,2020-06-25
29.610000610351562,2020-06-26
29.6299991607666,2020-06-29
31.079999923706055,2020-06-30
30.43000030517578,2020-07-01
30.68000030517578,2020-07-02
32.52000045776367,2020-07-06
32.81999969482422,2020-07-07
33.93000030517578,2020-07-08
33.150001525878906,2020-07-09
33.13999938964844,2020-07-10
31.719999313354492,2020-07-13
30.93000030517578,2020-07-14
32.810001373291016,2020-07-15
32.349998474121094,2020-07-16
32.54999923706055,2020-07-17
33.65999984741211,2020-07-20
32.54999923706055,2020-07-21
32.65999984741211,2020-07-22
32.16999816894531,2020-07-23
31.18000030517578,2020-07-24
30.989999771118164,2020-07-27
30.809999465942383,2020-07-28
31.020000457763672,2020-07-29
30.239999771118164,2020-07-30
30.260000228881836,2020-07-31
31.190000534057617,2020-08-03
32.68000030517578,2020-08-04
33.20000076293945,2020-08-05
34.709999084472656,2020-08-06
32.900001525878906,2020-08-07
32.27000045776367,2020-08-10
31.209999084472656,2020-08-11
30.84000015258789,2020-08-12
30.459999084472656,2020-08-13
29.989999771118164,2020-08-14
29.479999542236328,2020-08-17
30.079999923706055,2020-08-18
29.420000076293945,2020-08-19
31.40999984741211,2020-08-20
30.829999923706055,2020-08-21
31.040000915527344,2020-08-24
31.190000534057617,2020-08-25
32.29999923706055,2020-08-26
32.79999923706055,2020-08-27
33.79999923706055,2020-08-28
33.630001068115234,2020-08-31
34.29999923706055,2020-09-01
34.369998931884766,2020-09-02
33.40999984741211,2020-09-03
33.2400016784668,2020-09-04
34.31999969482422,2020-09-08
35.0099983215332,2020-09-09
35.97999954223633,2020-09-10
36.97999954223633,2020-09-11
37.95000076293945,2020-09-14
37.470001220703125,2020-09-15
37.65999984741211,2020-09-16
37.060001373291016,2020-09-17
37.119998931884766,2020-09-18
36.4900016784668,2020-09-21
34.400001525878906,2020-09-22
33.54999923706055,2020-09-23
33.349998474121094,2020-09-24
34.459999084472656,2020-09-25
35.560001373291016,2020-09-28
35.43000030517578,2020-09-29
36.47999954223633,2020-09-30
37.13999938964844,2020-10-01
37.720001220703125,2020-10-02
37.13999938964844,2020-10-05
36.2599983215332,2020-10-06
36.779998779296875,2020-10-07
37.34000015258789,2020-10-08
37.27000045776367,2020-10-09
36.2599983215332,2020-10-12
35.560001373291016,2020-10-13
35.11000061035156,2020-10-14
34.2599983215332,2020-10-15
33.720001220703125,2020-10-16
34.220001220703125,2020-10-19
36.310001373291016,2020-10-20
35.20000076293945,2020-10-21
36.70000076293945,2020-10-22
36.75,2020-10-23
35.4900016784668,2020-10-26
34.15999984741211,2020-10-27
33.650001525878906,2020-10-28
34.060001373291016,2020-10-29
33.40999984741211,2020-10-30
34.810001373291016,2020-11-02
35.77000045776367,2020-11-03
40.9900016784668,2020-11-04
41.959999084472656,2020-11-05
44.869998931884766,2020-11-06
48.18000030517578,2020-11-09
47.0,2020-11-10
46.22999954223633,2020-11-11
46.400001525878906,2020-11-12
47.61000061035156,2020-11-13
49.209999084472656,2020-11-16
48.88999938964844,2020-11-17
49.11000061035156,2020-11-18
49.2599983215332,2020-11-19
48.43000030517578,2020-11-20
50.040000915527344,2020-11-23
51.2599983215332,2020-11-24
50.79999923706055,2020-11-25
50.720001220703125,2020-11-27
49.65999984741211,2020-11-30
49.630001068115234,2020-12-01
53.09000015258789,2020-12-02
52.52000045776367,2020-12-03
54.86000061035156,2020-12-04
53.79999923706055,2020-12-07
53.0099983215332,2020-12-08
53.790000915527344,2020-12-09
54.349998474121094,2020-12-10
52.630001068115234,2020-12-11
51.459999084472656,2020-12-14
51.0,2020-12-15
50.4900016784668,2020-12-16
50.630001068115234,2020-12-17
50.619998931884766,2020-12-18
51.79999923706055,2020-12-21
53.779998779296875,2020-12-22
53.709999084472656,2020-12-23
52.880001068115234,2020-12-24
51.970001220703125,2020-12-28
52.27000045776367,2020-12-29
53.150001525878906,2020-12-30
51.0,2020-12-31
51.13999938964844,2021-01-04
54.0099983215332,2021-01-05
52.47999954223633,2021-01-06
56.130001068115234,2021-01-07
53.279998779296875,2021-01-08
54.59000015258789,2021-01-11
58.540000915527344,2021-01-12
59.400001525878906,2021-01-13
56.90999984741211,2021-01-14
55.52000045776367,2021-01-15
56.29999923706055,2021-01-19
56.380001068115234,2021-01-20
55.790000915527344,2021-01-21
54.310001373291016,2021-01-22
54.290000915527344,2021-01-25
51.91999816894531,2021-01-26
48.11000061035156,2021-01-27
51.58000183105469,2021-01-28
50.93000030517578,2021-01-29
52.7599983215332,2021-02-01
56.459999084472656,2021-02-02
57.119998931884766,2021-02-03
57.849998474121094,2021-02-04
58.58000183105469,2021-02-05
59.290000915527344,2021-02-08
59.61000061035156,2021-02-09
63.18000030517578,2021-02-10
60.709999084472656,2021-02-11
60.630001068115234,2021-02-12
60.52000045776367,2021-02-16
60.810001373291016,2021-02-17
59.0,2021-02-18
58.38999938964844,2021-02-19
55.310001373291016,2021-02-22
56.0,2021-02-23
53.90999984741211,2021-02-24
51.45000076293945,2021-02-25
51.75,2021-02-26
54.400001525878906,2021-03-01
54.650001525878906,2021-03-02
56.11000061035156,2021-03-03
53.06999969482422,2021-03-04
55.540000915527344,2021-03-05
53.20000076293945,2021-03-08
55.25,2021-03-09
57.68000030517578,2021-03-10
58.95000076293945,2021-03-11
60.349998474121094,2021-03-12
60.189998626708984,2021-03-15
58.849998474121094,2021-03-16
56.36000061035156,2021-03-17
55.689998626708984,2021-03-18
57.08000183105469,2021-03-19
55.689998626708984,2021-03-22
53.4900016784668,2021-03-23
52.56999969482422,2021-03-24
53.88999938964844,2021-03-25
54.709999084472656,2021-03-26
53.349998474121094,2021-03-29
53.459999084472656,2021-03-30
54.5099983215332,2021-03-31
57.599998474121094,2021-04-01
57.400001525878906,2021-04-05
58.04999923706055,2021-04-06
56.88999938964844,2021-04-07
57.83000183105469,2021-04-08
57.68000030517578,2021-04-09
59.439998626708984,2021-04-12
60.63999938964844,2021-04-13
59.22999954223633,2021-04-14
60.7400016784668,2021-04-15
60.349998474121094,2021-04-16
57.849998474121094,2021-04-19
55.47999954223633,2021-04-20
55.77000045776367,2021-04-21
56.279998779296875,2021-04-22
57.93000030517578,2021-04-23
57.61000061035156,2021-04-26
57.15999984741211,2021-04-27
58.439998626708984,2021-04-28
54.93000030517578,2021-04-29
54.77000045776367,2021-04-30
54.849998474121094,2021-05-03
52.9900016784668,2021-05-04
51.18000030517578,2021-05-05
46.650001525878906,2021-05-06
47.029998779296875,2021-05-07
45.790000915527344,2021-05-10
46.209999084472656,2021-05-11
43.810001373291016,2021-05-12
44.47999954223633,2021-05-13
47.41999816894531,2021-05-14
47.5099983215332,2021-05-17
49.16999816894531,2021-05-18
49.470001220703125,2021-05-19
49.33000183105469,2021-05-20
48.81999969482422,2021-05-21
50.029998779296875,2021-05-24
50.459999084472656,2021-05-25
51.119998931884766,2021-05-26
50.709999084472656,2021-05-27
50.83000183105469,2021-05-28
50.97999954223633,2021-06-01
50.790000915527344,2021-06-02
48.70000076293945,2021-06-03
50.18000030517578,2021-06-04
50.7599983215332,2021-06-07
49.880001068115234,2021-06-08
49.13999938964844,2021-06-09
49.54999923706055,2021-06-10
50.0099983215332,2021-06-11
50.77000045776367,2021-06-14
49.29999923706055,2021-06-15
48.88999938964844,2021-06-16
49.70000076293945,2021-06-17
49.70000076293945,2021-06-18
48.119998931884766,2021-06-21
49.04999923706055,2021-06-22
50.5099983215332,2021-06-23
50.81999969482422,2021-06-24
51.72999954223633,2021-06-25
51.11000061035156,2021-06-28
50.7599983215332,2021-06-29
50.119998931884766,2021-06-30
50.59000015258789,2021-07-01
51.709999084472656,2021-07-02
50.79999923706055,2021-07-06
48.68000030517578,2021-07-07
47.54999923706055,2021-07-08
49.06999969482422,2021-07-09
48.40999984741211,2021-07-12
48.08000183105469,2021-07-13
47.150001525878906,2021-07-14
46.41999816894531,2021-07-15
46.189998626708984,2021-07-16
45.560001373291016,2021-07-19
46.31999969482422,2021-07-20
47.52000045776367,2021-07-21
47.56999969482422,2021-07-22
47.459999084472656,2021-07-23
46.810001373291016,2021-07-26
45.81999969482422,2021-07-27
46.13999938964844,2021-07-28
44.689998626708984,2021-07-29
43.459999084472656,2021-07-30
43.4900016784668,2021-08-02
42.790000915527344,2021-08-03
41.810001373291016,2021-08-04
43.06999969482422,2021-08-05
44.279998779296875,2021-08-06
43.25,2021-08-09
43.5,2021-08-10
43.08000183105469,2021-08-11
42.72999954223633,2021-08-12
42.220001220703125,2021-08-13
41.5,2021-08-16
41.0,2021-08-17
40.880001068115234,2021-08-18
39.86000061035156,2021-08-19
39.95000076293945,2021-08-20
41.0,2021-08-23
40.16999816894531,2021-08-24
41.54999923706055,2021-08-25
40.619998931884766,2021-08-26
40.689998626708984,2021-08-27
39.59000015258789,2021-08-30
39.13999938964844,2021-08-31
40.619998931884766,2021-09-01
41.400001525878906,2021-09-02
40.31999969482422,2021-09-03
40.95000076293945,2021-09-07
40.06999969482422,2021-09-08
40.349998474121094,2021-09-09
39.88999938964844,2021-09-10
40.06999969482422,2021-09-13
39.0099983215332,2021-09-14
38.47999954223633,2021-09-15
39.52000045776367,2021-09-16
39.75,2021-09-17
39.790000915527344,2021-09-20
44.36000061035156,2021-09-21
44.869998931884766,2021-09-22
45.47999954223633,2021-09-23
46.630001068115234,2021-09-24
47.25,2021-09-27
45.97999954223633,2021-09-28
44.52000045776367,2021-09-29
44.79999923706055,2021-09-30
47.04999923706055,2021-10-01
45.720001220703125,2021-10-04
45.61000061035156,2021-10-05
47.0099983215332,2021-10-06
47.90999984741211,2021-10-07
47.77000045776367,2021-10-08
46.290000915527344,2021-10-11
46.720001220703125,2021-10-12
46.40999984741211,2021-10-13
47.279998779296875,2021-10-14
48.36000061035156,2021-10-15
47.06999969482422,2021-10-18
47.04999923706055,2021-10-19
46.0,2021-10-20
46.470001220703125,2021-10-21
45.5099983215332,2021-10-22
45.720001220703125,2021-10-25
46.02000045776367,2021-10-26
44.72999954223633,2021-10-27
44.619998931884766,2021-10-28
43.81999969482422,2021-10-29
44.36000061035156,2021-11-01
42.88999938964844,2021-11-02
