TXT,Date
1.6367475986480713,1973-02-21
1.6443957090377808,1973-02-22
1.6367475986480713,1973-02-23
1.6214498281478882,1973-02-26
1.6214498281478882,1973-02-27
1.5985064506530762,1973-02-28
1.5985064506530762,1973-03-01
1.5985064506530762,1973-03-02
1.6138018369674683,1973-03-05
1.6138018369674683,1973-03-06
1.6290994882583618,1973-03-07
1.606152892112732,1973-03-08
1.5985064506530762,1973-03-09
1.5747311115264893,1973-03-12
1.5824486017227173,1973-03-13
1.5361346006393433,1973-03-14
1.4820988178253174,1973-03-15
1.4820988178253174,1973-03-16
1.4820988178253174,1973-03-19
1.4975370168685913,1973-03-20
1.474380612373352,1973-03-21
1.4357843399047852,1973-03-22
1.3740298748016357,1973-03-23
1.3508715629577637,1973-03-26
1.4280637502670288,1973-03-27
1.4820988178253174,1973-03-28
1.528415560722351,1973-03-29
1.4975370168685913,1973-03-30
1.5129762887954712,1973-04-02
1.5129762887954712,1973-04-03
1.4975370168685913,1973-04-04
1.4820988178253174,1973-04-05
1.4512217044830322,1973-04-06
1.4126249551773071,1973-04-09
1.3971872329711914,1973-04-10
1.3894672393798828,1973-04-11
1.3971872329711914,1973-04-12
1.3894672393798828,1973-04-13
1.3971872329711914,1973-04-16
1.420345425605774,1973-04-17
1.4589413404464722,1973-04-18
1.4666593074798584,1973-04-19
1.4666593074798584,1973-04-23
1.4589413404464722,1973-04-24
1.3508715629577637,1973-04-25
1.3199948072433472,1973-04-26
1.2659597396850586,1973-04-27
1.2582402229309082,1973-04-30
1.2813985347747803,1973-05-01
1.3277133703231812,1973-05-02
1.3663100004196167,1973-05-03
1.3894672393798828,1973-05-04
1.381748914718628,1973-05-07
1.3894672393798828,1973-05-08
1.3971872329711914,1973-05-09
1.4435036182403564,1973-05-10
1.4435036182403564,1973-05-11
1.4126249551773071,1973-05-14
1.4049065113067627,1973-05-15
1.3894672393798828,1973-05-16
1.3508715629577637,1973-05-17
1.3277133703231812,1973-05-18
1.2273629903793335,1973-05-21
1.2736790180206299,1973-05-22
1.296836256980896,1973-05-23
1.3199948072433472,1973-05-24
1.3585907220840454,1973-05-25
1.3354328870773315,1973-05-29
1.3122754096984863,1973-05-30
1.2736790180206299,1973-05-31
1.242801547050476,1973-06-01
1.1810472011566162,1973-06-04
1.2119250297546387,1973-06-05
1.1887664794921875,1973-06-06
1.1810472011566162,1973-06-07
1.1964861154556274,1973-06-08
1.173328161239624,1973-06-11
1.204205870628357,1973-06-12
1.204205870628357,1973-06-13
1.1887664794921875,1973-06-14
1.173328161239624,1973-06-15
1.142451524734497,1973-06-18
1.142451524734497,1973-06-19
1.173328161239624,1973-06-20
1.1656091213226318,1973-06-21
1.1656091213226318,1973-06-22
1.142451524734497,1973-06-25
1.1347318887710571,1973-06-26
1.1270132064819336,1973-06-27
1.1192936897277832,1973-06-28
1.0806975364685059,1973-06-29
1.0498204231262207,1973-07-02
1.0498204231262207,1973-07-03
1.0498204231262207,1973-07-05
1.0498204231262207,1973-07-06
1.0961358547210693,1973-07-09
1.111574649810791,1973-07-10
1.2813985347747803,1973-07-11
1.204205870628357,1973-07-12
1.219644546508789,1973-07-13
1.2505208253860474,1973-07-16
1.2659597396850586,1973-07-17
1.2659597396850586,1973-07-18
1.2736790180206299,1973-07-19
1.2891170978546143,1973-07-20
1.296836256980896,1973-07-23
1.3122754096984863,1973-07-24
1.3354328870773315,1973-07-25
1.3585907220840454,1973-07-26
1.3431521654129028,1973-07-27
1.3663100004196167,1973-07-30
1.3585907220840454,1973-07-31
1.3045563697814941,1973-08-01
1.3354328870773315,1973-08-02
1.3508715629577637,1973-08-03
1.3354328870773315,1973-08-06
1.242801547050476,1973-08-07
1.1887664794921875,1973-08-08
1.1887664794921875,1973-08-09
1.2273629903793335,1973-08-10
1.173328161239624,1973-08-13
1.1270132064819336,1973-08-14
1.1501703262329102,1973-08-15
1.173328161239624,1973-08-16
1.1810472011566162,1973-08-17
1.1656091213226318,1973-08-20
1.173328161239624,1973-08-21
1.173328161239624,1973-08-22
1.1810472011566162,1973-08-23
1.2273629903793335,1973-08-24
1.219644546508789,1973-08-27
1.219644546508789,1973-08-28
1.2736790180206299,1973-08-29
1.3277133703231812,1973-08-30
1.3431521654129028,1973-08-31
1.3431521654129028,1973-09-04
1.3431521654129028,1973-09-05
1.3971872329711914,1973-09-06
1.420345425605774,1973-09-07
1.3663100004196167,1973-09-10
1.3508715629577637,1973-09-11
1.3199948072433472,1973-09-12
1.3431521654129028,1973-09-13
1.3508715629577637,1973-09-14
1.3971872329711914,1973-09-17
1.381748914718628,1973-09-18
1.3971872329711914,1973-09-19
1.4589413404464722,1973-09-20
1.5129762887954712,1973-09-21
1.6056065559387207,1973-09-24
1.5978878736495972,1973-09-25
1.590168833732605,1973-09-26
1.5978878736495972,1973-09-27
1.590168833732605,1973-09-28
1.5670108795166016,1973-10-01
1.5592930316925049,1973-10-02
1.5670108795166016,1973-10-03
1.5670108795166016,1973-10-04
1.6056065559387207,1973-10-05
1.6287647485733032,1973-10-08
1.6673623323440552,1973-10-09
1.6442036628723145,1973-10-10
1.6673623323440552,1973-10-11
1.6673623323440552,1973-10-12
1.6673623323440552,1973-10-15
1.6673623323440552,1973-10-16
1.6364835500717163,1973-10-17
1.590168833732605,1973-10-18
1.5438545942306519,1973-10-19
1.5206958055496216,1973-10-22
1.528415560722351,1973-10-23
1.5515724420547485,1973-10-24
1.5438545942306519,1973-10-25
1.590168833732605,1973-10-26
1.5824486017227173,1973-10-29
1.5515724420547485,1973-10-30
1.528415560722351,1973-10-31
1.5361346006393433,1973-11-01
1.5206958055496216,1973-11-02
1.4820988178253174,1973-11-05
1.474380612373352,1973-11-06
1.489818811416626,1973-11-07
1.5129762887954712,1973-11-08
1.4820988178253174,1973-11-09
1.3354328870773315,1973-11-12
1.2582402229309082,1973-11-13
1.2891170978546143,1973-11-14
1.296836256980896,1973-11-15
1.296836256980896,1973-11-16
1.296836256980896,1973-11-19
1.2659597396850586,1973-11-20
1.2813985347747803,1973-11-21
1.2659597396850586,1973-11-23
1.2505208253860474,1973-11-26
1.219644546508789,1973-11-27
1.242801547050476,1973-11-28
1.2505208253860474,1973-11-29
1.2659597396850586,1973-11-30
1.242801547050476,1973-12-03
1.2659597396850586,1973-12-04
1.242801547050476,1973-12-05
1.2736790180206299,1973-12-06
1.3740298748016357,1973-12-07
1.381748914718628,1973-12-10
1.3971872329711914,1973-12-11
1.3277133703231812,1973-12-12
1.3122754096984863,1973-12-13
1.3277133703231812,1973-12-14
1.3045563697814941,1973-12-17
