EMN,Date
8.81984806060791,1993-12-14
8.62492561340332,1993-12-15
8.62492561340332,1993-12-16
8.430015563964844,1993-12-17
8.698025703430176,1993-12-20
8.81984806060791,1993-12-21
8.81984806060791,1993-12-22
8.990392684936523,1993-12-23
9.209671020507812,1993-12-27
9.160944938659668,1993-12-28
9.282767295837402,1993-12-29
9.331491470336914,1993-12-30
9.25839900970459,1993-12-31
9.136575698852539,1994-01-03
8.795480728149414,1994-01-04
8.649299621582031,1994-01-05
8.478743553161621,1994-01-06
8.13764476776123,1994-01-07
8.356921195983887,1994-01-10
8.332558631896973,1994-01-11
8.186373710632324,1994-01-12
8.13764476776123,1994-01-13
8.162006378173828,1994-01-14
8.162006378173828,1994-01-17
8.11328125,1994-01-18
8.235097885131836,1994-01-19
8.186373710632324,1994-01-20
8.186373710632324,1994-01-21
8.11328125,1994-01-24
8.11328125,1994-01-25
8.11328125,1994-01-26
8.11328125,1994-01-27
8.381288528442383,1994-01-28
8.527471542358398,1994-01-31
8.235097885131836,1994-02-01
8.186373710632324,1994-02-02
8.332558631896973,1994-02-03
8.308195114135742,1994-02-04
8.478743553161621,1994-02-07
8.356921195983887,1994-02-08
8.405649185180664,1994-02-09
8.332558631896973,1994-02-10
8.332558631896973,1994-02-11
8.381288528442383,1994-02-14
8.405649185180664,1994-02-15
8.454378128051758,1994-02-16
8.454378128051758,1994-02-17
8.405649185180664,1994-02-18
8.283828735351562,1994-02-22
8.356921195983887,1994-02-23
8.259465217590332,1994-02-24
8.162006378173828,1994-02-25
8.13764476776123,1994-02-28
8.13764476776123,1994-03-01
8.015826225280762,1994-03-02
7.8940019607543945,1994-03-03
7.845276355743408,1994-03-04
7.8209099769592285,1994-03-07
7.8209099769592285,1994-03-08
7.899659633636475,1994-03-09
7.825832843780518,1994-03-10
7.998100280761719,1994-03-11
8.02270793914795,1994-03-14
8.071928977966309,1994-03-15
7.9734883308410645,1994-03-16
8.02270793914795,1994-03-17
7.899659633636475,1994-03-18
7.899659633636475,1994-03-21
7.924272537231445,1994-03-22
8.047317504882812,1994-03-23
8.071928977966309,1994-03-24
8.071928977966309,1994-03-25
8.145753860473633,1994-03-28
8.145753860473633,1994-03-29
8.02270793914795,1994-03-30
7.924272537231445,1994-03-31
7.825832843780518,1994-04-04
7.948879718780518,1994-04-05
8.219587326049805,1994-04-06
8.244196891784668,1994-04-07
8.441070556640625,1994-04-08
8.391853332519531,1994-04-11
8.194973945617676,1994-04-12
8.391853332519531,1994-04-13
8.342632293701172,1994-04-14
8.391853332519531,1994-04-15
8.342632293701172,1994-04-18
8.342632293701172,1994-04-19
8.121146202087402,1994-04-20
8.268806457519531,1994-04-21
8.293411254882812,1994-04-22
8.490290641784668,1994-04-25
8.810214042663574,1994-04-26
8.73638916015625,1994-04-28
8.760995864868164,1994-04-29
8.834824562072754,1994-05-02
8.859430313110352,1994-05-03
8.884042739868164,1994-05-04
8.834824562072754,1994-05-05
8.687164306640625,1994-05-06
8.662555694580078,1994-05-09
8.859430313110352,1994-05-10
8.884042739868164,1994-05-11
8.884042739868164,1994-05-12
9.031696319580078,1994-05-13
9.056307792663574,1994-05-16
9.056307792663574,1994-05-17
9.007088661193848,1994-05-18
9.056307792663574,1994-05-19
8.859430313110352,1994-05-20
8.95787239074707,1994-05-23
9.203964233398438,1994-05-24
9.376233100891113,1994-05-25
9.49928092956543,1994-05-26
9.59771728515625,1994-05-27
9.474679946899414,1994-05-31
9.32701301574707,1994-06-01
9.40084457397461,1994-06-02
9.40084457397461,1994-06-03
9.474679946899414,1994-06-06
9.351622581481934,1994-06-07
9.277791976928711,1994-06-08
9.307574272155762,1994-06-09
9.282758712768555,1994-06-10
9.406859397888184,1994-06-13
9.307574272155762,1994-06-14
9.282758712768555,1994-06-15
9.357218742370605,1994-06-16
9.282758712768555,1994-06-17
9.158656120300293,1994-06-20
9.109013557434082,1994-06-21
9.282758712768555,1994-06-22
9.406859397888184,1994-06-23
9.307574272155762,1994-06-24
9.332396507263184,1994-06-27
9.307574272155762,1994-06-28
9.456501960754395,1994-06-29
9.481322288513184,1994-06-30
9.332396507263184,1994-07-01
9.332396507263184,1994-07-05
9.382041931152344,1994-07-06
9.481322288513184,1994-07-07
9.50614070892334,1994-07-08
9.431679725646973,1994-07-11
9.257941246032715,1994-07-12
9.382041931152344,1994-07-13
9.58060073852539,1994-07-14
9.779162406921387,1994-07-15
9.853623390197754,1994-07-18
10.151461601257324,1994-07-19
10.151461601257324,1994-07-20
10.151461601257324,1994-07-21
10.151461601257324,1994-07-22
10.201107025146484,1994-07-25
10.250747680664062,1994-07-26
10.176288604736328,1994-07-27
10.300385475158691,1994-07-28
10.250747680664062,1994-07-29
10.225929260253906,1994-08-01
10.225929260253906,1994-08-02
10.250747680664062,1994-08-03
10.374848365783691,1994-08-04
10.374848365783691,1994-08-05
10.350025177001953,1994-08-08
10.424487113952637,1994-08-09
10.523770332336426,1994-08-10
10.399667739868164,1994-08-11
10.325212478637695,1994-08-12
10.350025177001953,1994-08-15
10.374848365783691,1994-08-16
10.325212478637695,1994-08-17
10.002547264099121,1994-08-18
9.95290470123291,1994-08-19
9.928082466125488,1994-08-22
10.1266450881958,1994-08-23
10.325212478637695,1994-08-24
10.350025177001953,1994-08-25
10.374848365783691,1994-08-26
10.47413158416748,1994-08-29
10.47413158416748,1994-08-30
10.47413158416748,1994-08-31
10.449313163757324,1994-09-01
10.399667739868164,1994-09-02
10.449313163757324,1994-09-06
10.498952865600586,1994-09-07
10.672693252563477,1994-09-08
10.523770332336426,1994-09-09
10.378719329833984,1994-09-12
10.528773307800293,1994-09-13
10.628812789916992,1994-09-14
10.803872108459473,1994-09-15
10.803872108459473,1994-09-16
10.778867721557617,1994-09-19
10.578791618347168,1994-09-20
10.453743934631348,1994-09-21
10.503759384155273,1994-09-22
10.603797912597656,1994-09-23
10.703831672668457,1994-09-26
10.928916931152344,1994-09-27
11.204011917114258,1994-09-28
11.053962707519531,1994-09-29
10.878893852233887,1994-09-30
10.728843688964844,1994-10-03
10.403733253479004,1994-10-04
10.053597450256348,1994-10-05
10.153632164001465,1994-10-06
10.32869815826416,1994-10-07
10.353702545166016,1994-10-10
10.503759384155273,1994-10-11
10.378719329833984,1994-10-12
10.628812789916992,1994-10-13
10.603797912597656,1994-10-14
10.803872108459473,1994-10-17
10.853885650634766,1994-10-18
10.778867721557617,1994-10-19
10.728843688964844,1994-10-20
10.728843688964844,1994-10-21
10.828873634338379,1994-10-24
10.503759384155273,1994-10-25
10.803872108459473,1994-10-26
10.603797912597656,1994-10-27
10.753853797912598,1994-10-28
10.803872108459473,1994-10-31
10.603797912597656,1994-11-01
10.428731918334961,1994-11-02
10.07861042022705,1994-11-03
10.028594017028809,1994-11-04
9.978574752807617,1994-11-07
10.003582000732422,1994-11-08
10.203655242919922,1994-11-09
10.028594017028809,1994-11-10
10.103616714477539,1994-11-11
10.32869815826416,1994-11-14
10.578791618347168,1994-11-15
10.578791618347168,1994-11-16
10.428731918334961,1994-11-17
10.12862777709961,1994-11-18
9.803508758544922,1994-11-21
9.378357887268066,1994-11-22
9.203292846679688,1994-11-23
9.1782865524292,1994-11-25
9.153277397155762,1994-11-28
9.303328514099121,1994-11-29
9.428374290466309,1994-11-30
9.603439331054688,1994-12-01
9.778498649597168,1994-12-02
9.853528022766113,1994-12-05
9.978574752807617,1994-12-06
9.803508758544922,1994-12-07
9.703473091125488,1994-12-08
9.428374290466309,1994-12-09
9.408199310302734,1994-12-12
9.534313201904297,1994-12-13
9.887436866760254,1994-12-14
10.089221954345703,1994-12-15
10.316225051879883,1994-12-16
10.164894104003906,1994-12-19
10.240553855895996,1994-12-20
10.467564582824707,1994-12-21
10.341453552246094,1994-12-22
10.442339897155762,1994-12-23
10.36667537689209,1994-12-27
10.341453552246094,1994-12-28
10.341453552246094,1994-12-29
10.190112113952637,1994-12-30
10.164894104003906,1995-01-03
10.240553855895996,1995-01-04
10.215336799621582,1995-01-05
10.5180082321167,1995-01-06
10.543234825134277,1995-01-09
10.669352531433105,1995-01-10
10.593680381774902,1995-01-11
10.49279499053955,1995-01-12
10.467564582824707,1995-01-13
10.64413070678711,1995-01-16
10.795469284057617,1995-01-17
10.820693016052246,1995-01-18
10.745018005371094,1995-01-19
10.593680381774902,1995-01-20
10.543234825134277,1995-01-23
10.5180082321167,1995-01-24
10.568460464477539,1995-01-25
10.391897201538086,1995-01-26
10.316225051879883,1995-01-27
9.887436866760254,1995-01-30
10.038771629333496,1995-01-31
10.164894104003906,1995-02-01
10.190112113952637,1995-02-02
