PSX,Date
23.022377014160156,2012-04-12
25.053770065307617,2012-04-13
24.749065399169922,2012-04-16
24.37664794921875,2012-04-17
24.37664794921875,2012-04-18
24.37664794921875,2012-04-19
24.593324661254883,2012-04-20
24.159957885742188,2012-04-23
23.530231475830078,2012-04-24
23.530231475830078,2012-04-25
23.66565704345703,2012-04-26
23.09686851501465,2012-04-27
23.056232452392578,2012-04-30
22.1827335357666,2012-05-01
21.66812515258789,2012-05-02
21.25507354736328,2012-05-03
20.422212600708008,2012-05-04
19.87373161315918,2012-05-07
20.381580352783203,2012-05-08
21.999916076660156,2012-05-09
21.993148803710938,2012-05-10
21.553014755249023,2012-05-11
21.207674026489258,2012-05-14
21.444669723510742,2012-05-15
21.73583984375,2012-05-16
21.167049407958984,2012-05-17
21.248302459716797,2012-05-18
21.796777725219727,2012-05-21
21.417587280273438,2012-05-22
21.26861572265625,2012-05-23
21.079015731811523,2012-05-24
21.194135665893555,2012-05-25
20.99776268005371,2012-05-29
20.611801147460938,2012-05-30
20.334182739257812,2012-05-31
20.25969886779785,2012-06-01
19.99561309814453,2012-06-04
20.246156692504883,2012-06-05
21.34987449645996,2012-06-06
21.553014755249023,2012-06-07
21.749378204345703,2012-06-08
22.07440185546875,2012-06-11
22.677053451538086,2012-06-12
22.189516067504883,2012-06-13
22.704132080078125,2012-06-14
23.63180160522461,2012-06-15
22.92758560180664,2012-06-18
22.92758560180664,2012-06-19
23.46929168701172,2012-06-20
22.670278549194336,2012-06-21
23.130725860595703,2012-06-22
22.257225036621094,2012-06-25
22.06085777282715,2012-06-26
21.593639373779297,2012-06-27
21.87803077697754,2012-06-28
22.507768630981445,2012-06-29
23.022377014160156,2012-07-02
23.184894561767578,2012-07-03
22.886960983276367,2012-07-05
22.595788955688477,2012-07-06
22.514537811279297,2012-07-09
22.128570556640625,2012-07-10
22.670278549194336,2012-07-11
22.352025985717773,2012-07-12
23.658876419067383,2012-07-13
24.444351196289062,2012-07-16
24.843852996826172,2012-07-17
25.121475219726562,2012-07-18
24.2364444732666,2012-07-19
24.045818328857422,2012-07-20
23.841581344604492,2012-07-23
23.984548568725586,2012-07-24
24.100282669067383,2012-07-25
24.481525421142578,2012-07-26
24.86277961730957,2012-07-27
25.63208770751953,2012-07-30
25.59804344177246,2012-07-31
26.054176330566406,2012-08-01
26.074609756469727,2012-08-02
27.00728988647461,2012-08-03
27.27960968017578,2012-08-06
27.07537841796875,2012-08-07
27.33407974243164,2012-08-08
27.449813842773438,2012-08-09
27.231958389282227,2012-08-10
27.33407974243164,2012-08-13
27.18430519104004,2012-08-14
27.477046966552734,2012-08-15
28.035306930541992,2012-08-16
29.117769241333008,2012-08-17
29.322010040283203,2012-08-20
28.287193298339844,2012-08-21
28.239540100097656,2012-08-22
28.137420654296875,2012-08-23
28.157848358154297,2012-08-24
27.960412979125977,2012-08-27
28.566314697265625,2012-08-28
28.579931259155273,2012-08-29
28.920337677001953,2012-08-30
28.59355354309082,2012-08-31
28.8726863861084,2012-09-04
28.41655158996582,2012-09-05
29.560291290283203,2012-09-06
30.13215446472168,2012-09-07
30.32278823852539,2012-09-10
31.03762435913086,2012-09-11
31.50737762451172,2012-09-12
31.752473831176758,2012-09-13
31.81373405456543,2012-09-14
31.412065505981445,2012-09-17
30.989961624145508,2012-09-18
31.024009704589844,2012-09-19
31.166973114013672,2012-09-20
31.875009536743164,2012-09-21
31.820531845092773,2012-09-24
31.30312728881836,2012-09-25
30.996768951416016,2012-09-26
31.67757225036621,2012-09-27
31.568645477294922,2012-09-28
31.69801139831543,2012-10-01
31.602684020996094,2012-10-02
30.744882583618164,2012-10-03
30.901458740234375,2012-10-04
31.330360412597656,2012-10-05
