OXY,Date
1.7143678665161133,1981-12-31
1.7143678665161133,1982-01-04
1.6875815391540527,1982-01-05
1.696510910987854,1982-01-06
1.696510910987854,1982-01-07
1.678652286529541,1982-01-08
1.6429356336593628,1982-01-11
1.6518651247024536,1982-01-12
1.634007215499878,1982-01-13
1.5982909202575684,1982-01-14
1.6250805854797363,1982-01-15
1.634007215499878,1982-01-18
1.6518651247024536,1982-01-19
1.6518651247024536,1982-01-20
1.634007215499878,1982-01-21
1.5982909202575684,1982-01-22
1.5715043544769287,1982-01-25
1.562574863433838,1982-01-26
1.562574863433838,1982-01-27
1.6518651247024536,1982-01-28
1.6072202920913696,1982-01-29
1.562574863433838,1982-02-01
1.562574863433838,1982-02-02
1.5715043544769287,1982-02-03
1.5715043544769287,1982-02-04
1.5715043544769287,1982-02-05
1.5536471605300903,1982-02-08
1.5357873439788818,1982-02-09
1.562574863433838,1982-02-10
1.5715043544769287,1982-02-11
1.5447174310684204,1982-02-12
1.5447174310684204,1982-02-16
1.5357873439788818,1982-02-17
1.5447174310684204,1982-02-18
1.5447174310684204,1982-02-19
1.5179307460784912,1982-02-22
1.526857852935791,1982-02-23
1.5715043544769287,1982-02-24
1.562574863433838,1982-02-25
1.5536471605300903,1982-02-26
1.5536471605300903,1982-03-01
1.562574863433838,1982-03-02
1.5179307460784912,1982-03-03
1.4811320304870605,1982-03-04
1.4443341493606567,1982-03-05
1.3799360990524292,1982-03-08
1.425934076309204,1982-03-09
1.45353364944458,1982-03-10
1.45353364944458,1982-03-11
1.3891359567642212,1982-03-12
1.3983348608016968,1982-03-15
1.4167340993881226,1982-03-16
1.4075347185134888,1982-03-17
1.4627325534820557,1982-03-18
1.4903312921524048,1982-03-19
1.517930507659912,1982-03-22
1.517930507659912,1982-03-23
1.508731722831726,1982-03-24
1.4995315074920654,1982-03-25
1.4995315074920654,1982-03-26
1.508731722831726,1982-03-29
1.508731722831726,1982-03-30
1.4903312921524048,1982-03-31
1.4903312921524048,1982-04-01
1.508731722831726,1982-04-02
1.508731722831726,1982-04-05
1.4995315074920654,1982-04-06
1.4995315074920654,1982-04-07
1.4995315074920654,1982-04-08
1.4995315074920654,1982-04-12
1.4903312921524048,1982-04-13
1.4903312921524048,1982-04-14
1.508731722831726,1982-04-15
1.508731722831726,1982-04-16
1.4903312921524048,1982-04-19
1.45353364944458,1982-04-20
1.4719327688217163,1982-04-21
1.4995315074920654,1982-04-22
1.4903312921524048,1982-04-23
1.4443341493606567,1982-04-26
1.4351344108581543,1982-04-27
1.425934076309204,1982-04-28
1.4075347185134888,1982-04-29
1.425934076309204,1982-04-30
1.4351344108581543,1982-05-03
1.4351344108581543,1982-05-04
1.4351344108581543,1982-05-05
1.45353364944458,1982-05-06
1.4811320304870605,1982-05-07
1.4811320304870605,1982-05-10
1.517930507659912,1982-05-11
1.508731722831726,1982-05-12
1.4995315074920654,1982-05-13
1.508731722831726,1982-05-14
1.4903312921524048,1982-05-17
1.4811320304870605,1982-05-18
1.4719327688217163,1982-05-19
1.4811320304870605,1982-05-20
1.4995315074920654,1982-05-21
1.4903312921524048,1982-05-24
1.4995315074920654,1982-05-25
1.4995315074920654,1982-05-26
1.4811320304870605,1982-05-27
1.4811320304870605,1982-05-28
1.4903312921524048,1982-06-01
1.4995315074920654,1982-06-02
1.508731722831726,1982-06-03
1.4802637100219727,1982-06-04
1.4802637100219727,1982-06-07
1.4707757234573364,1982-06-08
1.4707757234573364,1982-06-09
1.4802637100219727,1982-06-10
1.461285948753357,1982-06-11
1.4517980813980103,1982-06-14
1.461285948753357,1982-06-15
1.4517980813980103,1982-06-16
1.4233306646347046,1982-06-17
1.4233306646347046,1982-06-18
1.4328197240829468,1982-06-21
1.4423086643218994,1982-06-22
1.4423086643218994,1982-06-23
1.4328197240829468,1982-06-24
1.4328197240829468,1982-06-25
1.4328197240829468,1982-06-28
1.4328197240829468,1982-06-29
1.4233306646347046,1982-06-30
1.4043529033660889,1982-07-01
1.3663984537124634,1982-07-02
1.3758867979049683,1982-07-06
1.3569093942642212,1982-07-07
1.33793044090271,1982-07-08
1.3663984537124634,1982-07-09
1.3569093942642212,1982-07-12
1.328442096710205,1982-07-13
1.3569093942642212,1982-07-14
1.3663984537124634,1982-07-15
1.3569093942642212,1982-07-16
1.3474197387695312,1982-07-19
1.3663984537124634,1982-07-20
1.3663984537124634,1982-07-21
1.3663984537124634,1982-07-22
1.3474197387695312,1982-07-23
1.3474197387695312,1982-07-26
1.3663984537124634,1982-07-27
1.3474197387695312,1982-07-28
1.33793044090271,1982-07-29
1.3094642162322998,1982-07-30
1.3569093942642212,1982-08-02
1.328442096710205,1982-08-03
1.328442096710205,1982-08-04
1.328442096710205,1982-08-05
1.2999755144119263,1982-08-06
1.2904870510101318,1982-08-09
1.3094642162322998,1982-08-10
1.3189536333084106,1982-08-11
1.3094642162322998,1982-08-12
1.328442096710205,1982-08-13
1.328442096710205,1982-08-16
1.3758867979049683,1982-08-17
1.4043529033660889,1982-08-18
1.4328197240829468,1982-08-19
1.4707757234573364,1982-08-20
1.5371973514556885,1982-08-23
1.5182193517684937,1982-08-24
1.5561749935150146,1982-08-25
1.622597336769104,1982-08-26
1.6036193370819092,1982-08-27
1.6036193370819092,1982-08-30
1.5941307544708252,1982-08-31
1.5182193517684937,1982-09-01
1.5466861724853516,1982-09-02
1.5564767122268677,1982-09-03
1.4977412223815918,1982-09-07
1.4977412223815918,1982-09-08
1.5075287818908691,1982-09-09
1.527107834815979,1982-09-10
1.5466865301132202,1982-09-13
1.5368973016738892,1982-09-14
1.5466865301132202,1982-09-15
1.5466865301132202,1982-09-16
1.5466865301132202,1982-09-17
1.5564767122268677,1982-09-20
1.5466865301132202,1982-09-21
1.5173187255859375,1982-09-22
1.5075287818908691,1982-09-23
1.5173187255859375,1982-09-24
1.5075287818908691,1982-09-27
1.4977412223815918,1982-09-28
1.4977412223815918,1982-09-29
1.4683724641799927,1982-09-30
1.4781620502471924,1982-10-01
1.4683724641799927,1982-10-04
1.4585837125778198,1982-10-05
