DDOG,Date
37.54999923706055,2019-09-19
36.150001525878906,2019-09-20
36.11000061035156,2019-09-23
34.5,2019-09-24
35.25,2019-09-25
32.439998626708984,2019-09-26
32.27000045776367,2019-09-27
33.90999984741211,2019-09-30
32.38999938964844,2019-10-01
31.100000381469727,2019-10-02
32.88999938964844,2019-10-03
34.720001220703125,2019-10-04
36.810001373291016,2019-10-07
35.45000076293945,2019-10-08
36.75,2019-10-09
35.599998474121094,2019-10-10
35.66999816894531,2019-10-11
33.09000015258789,2019-10-14
34.79999923706055,2019-10-15
32.20000076293945,2019-10-16
33.959999084472656,2019-10-17
31.56999969482422,2019-10-18
30.010000228881836,2019-10-21
28.040000915527344,2019-10-22
28.760000228881836,2019-10-23
32.5,2019-10-24
34.29999923706055,2019-10-25
33.279998779296875,2019-10-28
33.650001525878906,2019-10-29
34.810001373291016,2019-10-30
33.59000015258789,2019-10-31
34.02000045776367,2019-11-01
34.439998626708984,2019-11-04
34.90999984741211,2019-11-05
33.060001373291016,2019-11-06
31.290000915527344,2019-11-07
32.810001373291016,2019-11-08
33.54999923706055,2019-11-11
34.400001525878906,2019-11-12
40.189998626708984,2019-11-13
41.369998931884766,2019-11-14
40.630001068115234,2019-11-15
40.31999969482422,2019-11-18
39.150001525878906,2019-11-19
38.400001525878906,2019-11-20
40.029998779296875,2019-11-21
41.040000915527344,2019-11-22
42.810001373291016,2019-11-25
40.54999923706055,2019-11-26
41.86000061035156,2019-11-27
40.77000045776367,2019-11-29
39.599998474121094,2019-12-02
37.77000045776367,2019-12-03
36.91999816894531,2019-12-04
35.86000061035156,2019-12-05
35.90999984741211,2019-12-06
35.15999984741211,2019-12-09
34.810001373291016,2019-12-10
35.54999923706055,2019-12-11
35.72999954223633,2019-12-12
38.790000915527344,2019-12-13
38.790000915527344,2019-12-16
37.18000030517578,2019-12-17
38.209999084472656,2019-12-18
38.099998474121094,2019-12-19
38.5099983215332,2019-12-20
37.79999923706055,2019-12-23
37.09000015258789,2019-12-24
37.959999084472656,2019-12-26
36.11000061035156,2019-12-27
37.130001068115234,2019-12-30
37.779998779296875,2019-12-31
36.70000076293945,2020-01-02
37.41999816894531,2020-01-03
39.900001525878906,2020-01-06
40.060001373291016,2020-01-07
39.95000076293945,2020-01-08
40.209999084472656,2020-01-09
40.15999984741211,2020-01-10
40.939998626708984,2020-01-13
39.27000045776367,2020-01-14
40.22999954223633,2020-01-15
40.61000061035156,2020-01-16
41.189998626708984,2020-01-17
41.130001068115234,2020-01-21
42.220001220703125,2020-01-22
42.810001373291016,2020-01-23
42.04999923706055,2020-01-24
41.255001068115234,2020-01-27
42.15999984741211,2020-01-28
43.91999816894531,2020-01-29
47.040000915527344,2020-01-30
46.209999084472656,2020-01-31
45.2599983215332,2020-02-03
47.599998474121094,2020-02-04
45.72999954223633,2020-02-05
46.04999923706055,2020-02-06
47.18000030517578,2020-02-07
47.95000076293945,2020-02-10
47.810001373291016,2020-02-11
50.0099983215332,2020-02-12
48.5,2020-02-13
47.029998779296875,2020-02-14
47.08000183105469,2020-02-18
47.29999923706055,2020-02-19
45.9900016784668,2020-02-20
45.68000030517578,2020-02-21
44.959999084472656,2020-02-24
44.310001373291016,2020-02-25
43.90999984741211,2020-02-26
45.88999938964844,2020-02-27
45.150001525878906,2020-02-28
44.790000915527344,2020-03-02
43.400001525878906,2020-03-03
44.525001525878906,2020-03-04
47.29999923706055,2020-03-05
43.619998931884766,2020-03-06
38.81999969482422,2020-03-09
38.0,2020-03-10
35.560001373291016,2020-03-11
33.099998474121094,2020-03-12
35.2599983215332,2020-03-13
28.959999084472656,2020-03-16
34.119998931884766,2020-03-17
32.08000183105469,2020-03-18
33.099998474121094,2020-03-19
33.380001068115234,2020-03-20
32.900001525878906,2020-03-23
34.4900016784668,2020-03-24
33.689998626708984,2020-03-25
34.29999923706055,2020-03-26
34.54999923706055,2020-03-27
34.75,2020-03-30
35.97999954223633,2020-03-31
34.880001068115234,2020-04-01
34.599998474121094,2020-04-02
34.689998626708984,2020-04-03
36.279998779296875,2020-04-06
35.900001525878906,2020-04-07
37.150001525878906,2020-04-08
36.95000076293945,2020-04-09
37.869998931884766,2020-04-13
38.90999984741211,2020-04-14
38.7400016784668,2020-04-15
39.63999938964844,2020-04-16
40.400001525878906,2020-04-17
40.9900016784668,2020-04-20
40.0,2020-04-21
40.290000915527344,2020-04-22
40.150001525878906,2020-04-23
41.810001373291016,2020-04-24
43.22999954223633,2020-04-27
43.599998474121094,2020-04-28
44.650001525878906,2020-04-29
45.119998931884766,2020-04-30
44.97999954223633,2020-05-01
45.83000183105469,2020-05-04
46.599998474121094,2020-05-05
46.560001373291016,2020-05-06
49.61000061035156,2020-05-07
51.72999954223633,2020-05-08
55.689998626708984,2020-05-11
68.86000061035156,2020-05-12
69.98999786376953,2020-05-13
65.19000244140625,2020-05-14
67.16000366210938,2020-05-15
67.41000366210938,2020-05-18
70.05999755859375,2020-05-19
70.69999694824219,2020-05-20
69.88999938964844,2020-05-21
73.04000091552734,2020-05-22
71.0,2020-05-26
66.81999969482422,2020-05-27
67.12999725341797,2020-05-28
71.2699966430664,2020-05-29
69.48999786376953,2020-06-01
70.80999755859375,2020-06-02
72.88999938964844,2020-06-03
71.76000213623047,2020-06-04
70.66000366210938,2020-06-05
76.54000091552734,2020-06-08
73.73999786376953,2020-06-09
78.26000213623047,2020-06-10
76.05000305175781,2020-06-11
78.05000305175781,2020-06-12
81.5199966430664,2020-06-15
81.98999786376953,2020-06-16
83.04000091552734,2020-06-17
86.6500015258789,2020-06-18
86.79000091552734,2020-06-19
89.01000213623047,2020-06-22
89.69000244140625,2020-06-23
88.5,2020-06-24
89.5999984741211,2020-06-25
84.5,2020-06-26
83.72000122070312,2020-06-29
86.94999694824219,2020-06-30
89.37999725341797,2020-07-01
89.58999633789062,2020-07-02
88.95999908447266,2020-07-06
90.08999633789062,2020-07-07
96.12999725341797,2020-07-08
96.0999984741211,2020-07-09
96.41000366210938,2020-07-10
86.66000366210938,2020-07-13
88.88999938964844,2020-07-14
88.4800033569336,2020-07-15
85.31500244140625,2020-07-16
87.30000305175781,2020-07-17
92.13999938964844,2020-07-20
90.72000122070312,2020-07-21
89.5,2020-07-22
85.22000122070312,2020-07-23
84.83999633789062,2020-07-24
87.83000183105469,2020-07-27
88.27999877929688,2020-07-28
90.12999725341797,2020-07-29
92.76000213623047,2020-07-30
93.86000061035156,2020-07-31
95.66999816894531,2020-08-03
94.22000122070312,2020-08-04
94.31999969482422,2020-08-05
90.01000213623047,2020-08-06
75.27999877929688,2020-08-07
76.36499786376953,2020-08-10
75.68000030517578,2020-08-11
76.61000061035156,2020-08-12
82.41999816894531,2020-08-13
81.23999786376953,2020-08-14
83.44999694824219,2020-08-17
83.45999908447266,2020-08-18
82.47000122070312,2020-08-19
85.77999877929688,2020-08-20
86.12000274658203,2020-08-21
84.33999633789062,2020-08-24
83.7699966430664,2020-08-25
86.27999877929688,2020-08-26
83.54000091552734,2020-08-27
82.9800033569336,2020-08-28
83.55000305175781,2020-08-31
85.7699966430664,2020-09-01
84.19000244140625,2020-09-02
80.0999984741211,2020-09-03
79.56999969482422,2020-09-04
79.9800033569336,2020-09-08
81.9800033569336,2020-09-09
80.66999816894531,2020-09-10
80.36000061035156,2020-09-11
84.38999938964844,2020-09-14
88.54000091552734,2020-09-15
89.37999725341797,2020-09-16
87.25,2020-09-17
85.69000244140625,2020-09-18
88.13999938964844,2020-09-21
93.41000366210938,2020-09-22
91.0999984741211,2020-09-23
88.37000274658203,2020-09-24
90.6500015258789,2020-09-25
92.25,2020-09-28
90.91999816894531,2020-09-29
102.16000366210938,2020-09-30
103.51000213623047,2020-10-01
103.48999786376953,2020-10-02
106.88999938964844,2020-10-05
103.91999816894531,2020-10-06
104.43000030517578,2020-10-07
102.66000366210938,2020-10-08
111.79000091552734,2020-10-09
112.19999694824219,2020-10-12
116.87000274658203,2020-10-13
113.55000305175781,2020-10-14
113.29000091552734,2020-10-15
112.36000061035156,2020-10-16
111.66000366210938,2020-10-19
108.58999633789062,2020-10-20
102.16999816894531,2020-10-21
98.94000244140625,2020-10-22
102.08000183105469,2020-10-23
99.76000213623047,2020-10-26
101.33000183105469,2020-10-27
97.02999877929688,2020-10-28
96.41000366210938,2020-10-29
90.75,2020-10-30
88.33000183105469,2020-11-02
90.13999938964844,2020-11-03
97.62000274658203,2020-11-04
101.94999694824219,2020-11-05
100.3499984741211,2020-11-06
94.88999938964844,2020-11-09
92.5999984741211,2020-11-10
86.83000183105469,2020-11-11
90.01000213623047,2020-11-12
85.81999969482422,2020-11-13
86.36000061035156,2020-11-16
88.08999633789062,2020-11-17
87.30000305175781,2020-11-18
88.88999938964844,2020-11-19
89.08999633789062,2020-11-20
91.04000091552734,2020-11-23
89.18000030517578,2020-11-24
93.51000213623047,2020-11-25
96.41999816894531,2020-11-27
98.91999816894531,2020-11-30
95.66999816894531,2020-12-01
93.5,2020-12-02
97.36000061035156,2020-12-03
101.56999969482422,2020-12-04
99.16000366210938,2020-12-07
