ETSY,Date
30.0,2015-04-16
27.579999923706055,2015-04-17
24.899999618530273,2015-04-20
25.75,2015-04-21
25.1200008392334,2015-04-22
25.6200008392334,2015-04-23
25.579999923706055,2015-04-24
25.899999618530273,2015-04-27
24.489999771118164,2015-04-28
22.420000076293945,2015-04-29
22.239999771118164,2015-04-30
21.75,2015-05-01
23.239999771118164,2015-05-04
24.149999618530273,2015-05-05
23.399999618530273,2015-05-06
23.690000534057617,2015-05-07
22.709999084472656,2015-05-08
20.850000381469727,2015-05-11
20.56999969482422,2015-05-12
19.829999923706055,2015-05-13
20.600000381469727,2015-05-14
20.049999237060547,2015-05-15
20.559999465942383,2015-05-18
21.0,2015-05-19
17.200000762939453,2015-05-20
17.510000228881836,2015-05-21
17.170000076293945,2015-05-22
17.09000015258789,2015-05-26
17.059999465942383,2015-05-27
17.040000915527344,2015-05-28
16.760000228881836,2015-05-29
16.049999237060547,2015-06-01
15.859999656677246,2015-06-02
15.319999694824219,2015-06-03
15.069999694824219,2015-06-04
15.029999732971191,2015-06-05
14.859999656677246,2015-06-08
15.989999771118164,2015-06-09
16.780000686645508,2015-06-10
16.860000610351562,2015-06-11
16.639999389648438,2015-06-12
16.31999969482422,2015-06-15
16.290000915527344,2015-06-16
15.770000457763672,2015-06-17
15.329999923706055,2015-06-18
14.3100004196167,2015-06-19
14.420000076293945,2015-06-22
14.34000015258789,2015-06-23
14.390000343322754,2015-06-24
14.899999618530273,2015-06-25
14.25,2015-06-26
14.229999542236328,2015-06-29
14.050000190734863,2015-06-30
14.010000228881836,2015-07-01
13.270000457763672,2015-07-02
13.399999618530273,2015-07-06
13.319999694824219,2015-07-07
14.550000190734863,2015-07-08
16.200000762939453,2015-07-09
16.530000686645508,2015-07-10
16.030000686645508,2015-07-13
16.510000228881836,2015-07-14
16.81999969482422,2015-07-15
16.829999923706055,2015-07-16
21.979999542236328,2015-07-17
19.559999465942383,2015-07-20
18.979999542236328,2015-07-21
18.450000762939453,2015-07-22
