NWSA,Date
14.080896377563477,2013-06-19
13.635299682617188,2013-06-20
13.920480728149414,2013-06-21
13.840272903442383,2013-06-24
14.009599685668945,2013-06-25
13.724418640136719,2013-06-26
13.813539505004883,2013-06-27
13.590739250183105,2013-06-28
13.18078899383545,2013-07-01
13.367939949035645,2013-07-02
13.252084732055664,2013-07-03
13.956130027770996,2013-07-05
14.223487854003906,2013-07-08
14.000688552856445,2013-07-09
13.715506553649902,2013-07-10
13.483795166015625,2013-07-11
13.305556297302246,2013-07-12
13.073843955993652,2013-07-15
13.617474555969238,2013-07-16
14.161105155944824,2013-07-17
13.786803245544434,2013-07-18
14.232399940490723,2013-07-19
14.018512725830078,2013-07-22
13.94721794128418,2013-07-23
14.000688552856445,2013-07-24
13.875923156738281,2013-07-25
14.161105155944824,2013-07-26
13.82244873046875,2013-07-29
14.21457576751709,2013-07-30
14.196751594543457,2013-07-31
14.4462890625,2013-08-01
14.562141418457031,2013-08-02
14.259136199951172,2013-08-05
14.419550895690918,2013-08-06
14.21457576751709,2013-08-07
14.374992370605469,2013-08-08
14.241311073303223,2013-08-09
14.187840461730957,2013-08-12
14.107632637023926,2013-08-13
14.170016288757324,2013-08-14
14.34825611114502,2013-08-15
14.241311073303223,2013-08-16
13.991775512695312,2013-08-19
13.991775512695312,2013-08-20
14.045248985290527,2013-08-21
14.000688552856445,2013-08-22
14.036337852478027,2013-08-23
14.134367942810059,2013-08-26
14.018512725830078,2013-08-27
14.045248985290527,2013-08-28
14.054161071777344,2013-08-29
13.991775512695312,2013-08-30
14.06307315826416,2013-09-03
14.28587532043457,2013-09-04
14.473024368286133,2013-09-05
14.42846393585205,2013-09-06
14.562141418457031,2013-09-09
14.749293327331543,2013-09-10
15.1948881149292,2013-09-11
15.248364448547363,2013-09-12
15.052301406860352,2013-09-13
15.114686012268066,2013-09-16
15.150331497192383,2013-09-17
15.1948881149292,2013-09-18
15.034479141235352,2013-09-19
14.829500198364258,2013-09-20
14.731471061706543,2013-09-23
15.185978889465332,2013-09-24
14.972091674804688,2013-09-25
14.51758098602295,2013-09-26
14.410640716552734,2013-09-27
14.312606811523438,2013-09-30
14.17892837524414,2013-10-01
14.383901596069336,2013-10-02
14.143280029296875,2013-10-03
14.116544723510742,2013-10-04
14.17892837524414,2013-10-07
14.080896377563477,2013-10-08
14.152192115783691,2013-10-09
14.455199241638184,2013-10-10
14.624526977539062,2013-10-11
14.758206367492676,2013-10-14
14.776030540466309,2013-10-15
14.954273223876953,2013-10-16
14.972091674804688,2013-10-17
15.016654014587402,2013-10-18
15.016654014587402,2013-10-21
