T,Date
0.288368821144104,1983-11-21
0.28602927923202515,1983-11-22
0.2848595380783081,1983-11-23
0.2854444086551666,1983-11-25
0.282519668340683,1983-11-28
0.2778402864933014,1983-11-29
0.2760852873325348,1983-11-30
0.27901017665863037,1983-12-01
0.2778402864933014,1983-12-02
0.2766706347465515,1983-12-05
0.27550065517425537,1983-12-06
0.2743307948112488,1983-12-07
0.2743307948112488,1983-12-08
0.27257585525512695,1983-12-09
0.2731609642505646,1983-12-12
0.27550065517425537,1983-12-13
0.2760852873325348,1983-12-14
0.2743307948112488,1983-12-15
0.2743307948112488,1983-12-16
0.2743307948112488,1983-12-19
0.27550065517425537,1983-12-20
0.2760852873325348,1983-12-21
0.2743307948112488,1983-12-22
0.2749153971672058,1983-12-23
0.2743307948112488,1983-12-27
0.27725547552108765,1983-12-28
0.2766706347465515,1983-12-29
0.27550065517425537,1983-12-30
0.2854444086551666,1984-01-03
0.299482524394989,1984-01-04
0.29831257462501526,1984-01-05
0.2912934422492981,1984-01-06
0.2901236116886139,1984-01-09
0.2901236116886139,1984-01-10
0.29187846183776855,1984-01-11
0.29246342182159424,1984-01-12
0.29714277386665344,1984-01-13
0.3029920756816864,1984-01-16
0.30416199564933777,1984-01-17
0.3082563579082489,1984-01-18
0.3047468960285187,1984-01-19
0.3047468960285187,1984-01-20
0.30416199564933777,1984-01-23
0.3029920756816864,1984-01-24
0.29831257462501526,1984-01-25
0.29246342182159424,1984-01-26
0.29187846183776855,1984-01-27
0.2965580224990845,1984-01-30
0.29421818256378174,1984-01-31
0.29246342182159424,1984-02-01
0.29070866107940674,1984-02-02
0.2912934422492981,1984-02-03
0.288368821144104,1984-02-06
0.2871989905834198,1984-02-07
0.28602927923202515,1984-02-08
0.28076496720314026,1984-02-09
0.2795949876308441,1984-02-10
0.2854444086551666,1984-02-13
0.2871989905834198,1984-02-14
0.28602927923202515,1984-02-15
0.2848595380783081,1984-02-16
0.2831045389175415,1984-02-17
0.2831045389175415,1984-02-21
0.2842743992805481,1984-02-22
0.280179888010025,1984-02-23
0.27842527627944946,1984-02-24
0.2795949876308441,1984-02-27
0.27725547552108765,1984-02-28
0.28134989738464355,1984-02-29
0.28661397099494934,1984-03-01
0.2842743992805481,1984-03-02
0.2819347679615021,1984-03-05
0.28076496720314026,1984-03-06
0.27725547552108765,1984-03-07
0.28076496720314026,1984-03-08
0.27901017665863037,1984-03-09
0.27725547552108765,1984-03-12
0.27842527627944946,1984-03-13
0.27901017665863037,1984-03-14
0.27842527627944946,1984-03-15
0.2749153971672058,1984-03-16
0.2749153971672058,1984-03-19
0.2731609642505646,1984-03-20
0.2743307948112488,1984-03-21
0.2719908654689789,1984-03-22
0.2743307948112488,1984-03-23
0.27664339542388916,1984-03-26
0.27664339542388916,1984-03-27
0.27724745869636536,1984-03-28
0.27785152196884155,1984-03-29
0.27664339542388916,1984-03-30
0.2730192244052887,1984-04-02
0.27060315012931824,1984-04-03
0.27060315012931824,1984-04-04
0.268791139125824,1984-04-05
0.268791139125824,1984-04-06
0.268187016248703,1984-04-09
0.268187016248703,1984-04-10
0.268187016248703,1984-04-11
0.27181118726730347,1984-04-12
0.27060315012931824,1984-04-13
0.27060315012931824,1984-04-16
0.27181118726730347,1984-04-17
0.27181118726730347,1984-04-18
0.2730192244052887,1984-04-19
0.2748313546180725,1984-04-23
0.2814757823944092,1984-04-24
0.28449586033821106,1984-04-25
0.28630784153938293,1984-04-26
0.28509947657585144,1984-04-27
0.2875159680843353,1984-04-30
0.290536105632782,1984-05-01
0.2832877039909363,1984-05-02
0.28570374846458435,1984-05-03
0.28509947657585144,1984-05-04
0.28449586033821106,1984-05-07
0.2838916480541229,1984-05-08
0.28449586033821106,1984-05-09
0.28268373012542725,1984-05-10
0.27905958890914917,1984-05-11
0.2736233174800873,1984-05-14
0.2730192244052887,1984-05-15
0.2724151611328125,1984-05-16
0.27060315012931824,1984-05-17
0.26999908685684204,1984-05-18
0.269395112991333,1984-05-21
0.268791139125824,1984-05-22
0.2724151611328125,1984-05-23
0.27060315012931824,1984-05-24
0.268791139125824,1984-05-25
0.26697900891304016,1984-05-29
0.26637497544288635,1984-05-30
0.2675830125808716,1984-05-31
0.2748313546180725,1984-06-01
0.2748313546180725,1984-06-04
0.2742273509502411,1984-06-05
0.2754351496696472,1984-06-06
0.2754351496696472,1984-06-07
0.278455525636673,1984-06-08
0.278455525636673,1984-06-11
0.27905958890914917,1984-06-12
0.278455525636673,1984-06-13
0.2748313546180725,1984-06-14
0.27603936195373535,1984-06-15
0.27724745869636536,1984-06-18
0.2796635627746582,1984-06-19
0.2814757823944092,1984-06-20
0.28449586033821106,1984-06-21
0.2820797264575958,1984-06-22
0.2838442921638489,1984-06-25
0.2838442921638489,1984-06-26
0.27947765588760376,1984-06-27
0.28010135889053345,1984-06-28
0.2788536548614502,1984-06-29
0.2788536548614502,1984-07-02
0.2807250916957855,1984-07-03
0.28010135889053345,1984-07-05
0.27947765588760376,1984-07-06
0.281972736120224,1984-07-09
0.2825965881347656,1984-07-10
0.28633973002433777,1984-07-11
0.29008257389068604,1984-07-12
0.293201744556427,1984-07-13
0.293201744556427,1984-07-16
0.29569730162620544,1984-07-17
0.2975686490535736,1984-07-18
0.2963210642337799,1984-07-19
0.29694506525993347,1984-07-20
0.29694506525993347,1984-07-23
0.29944026470184326,1984-07-24
0.30318310856819153,1984-07-25
0.3019355833530426,1984-07-26
0.2988162636756897,1984-07-27
0.2988162636756897,1984-07-30
0.30318310856819153,1984-07-31
