MELI,Date
27.616430282592773,2007-08-10
30.668777465820312,2007-08-13
29.099000930786133,2007-08-14
27.674575805664062,2007-08-15
27.228837966918945,2007-08-16
31.831573486328125,2007-08-17
29.525358200073242,2007-08-20
28.120317459106445,2007-08-21
28.653261184692383,2007-08-22
29.069936752319336,2007-08-23
29.069936752319336,2007-08-24
28.488529205322266,2007-08-27
28.004030227661133,2007-08-28
28.42070770263672,2007-08-29
27.858686447143555,2007-08-30
27.24821662902832,2007-08-31
27.131940841674805,2007-09-04
27.626127243041992,2007-09-05
29.00210189819336,2007-09-06
28.585430145263672,2007-09-07
28.39162826538086,2007-09-10
28.17845344543457,2007-09-11
28.265663146972656,2007-09-12
28.100933074951172,2007-09-13
27.616430282592773,2007-09-14
26.889686584472656,2007-09-17
27.131940841674805,2007-09-18
32.24824142456055,2007-09-19
35.91106033325195,2007-09-20
39.26377868652344,2007-09-21
39.78704833984375,2007-09-24
37.01572799682617,2007-09-25
36.89942932128906,2007-09-26
35.775394439697266,2007-09-27
35.1358528137207,2007-09-28
35.5718994140625,2007-10-01
38.17851638793945,2007-10-02
40.81419372558594,2007-10-03
39.990535736083984,2007-10-04
39.83549118041992,2007-10-05
39.748294830322266,2007-10-08
43.97311019897461,2007-10-09
43.5467529296875,2007-10-10
39.93238830566406,2007-10-11
39.205650329589844,2007-10-12
37.24826431274414,2007-10-15
35.78508377075195,2007-10-16
37.383934020996094,2007-10-17
38.60487365722656,2007-10-18
36.143611907958984,2007-10-19
37.44207763671875,2007-10-22
41.502174377441406,2007-10-23
38.15913391113281,2007-10-24
38.78897476196289,2007-10-25
41.73472213745117,2007-10-26
43.207603454589844,2007-10-29
44.43824005126953,2007-10-30
43.29481506347656,2007-10-31
40.077754974365234,2007-11-01
42.965362548828125,2007-11-02
42.180477142333984,2007-11-05
44.07001495361328,2007-11-06
38.17851638793945,2007-11-07
36.35679244995117,2007-11-08
35.6203498840332,2007-11-09
34.08933639526367,2007-11-12
39.78704833984375,2007-11-13
41.851009368896484,2007-11-14
45.000247955322266,2007-11-15
45.06808090209961,2007-11-16
43.30450439453125,2007-11-19
42.267677307128906,2007-11-20
39.92271041870117,2007-11-21
41.0467529296875,2007-11-23
39.89364242553711,2007-11-26
39.845184326171875,2007-11-27
42.25800323486328,2007-11-28
41.666900634765625,2007-11-29
41.09518814086914,2007-11-30
43.32389450073242,2007-12-03
42.0157470703125,2007-12-04
42.86845779418945,2007-12-05
42.66496276855469,2007-12-06
42.413028717041016,2007-12-07
48.420814514160156,2007-12-10
46.0177001953125,2007-12-11
49.225101470947266,2007-12-12
51.967342376708984,2007-12-13
59.64181137084961,2007-12-14
58.46931838989258,2007-12-17
57.829776763916016,2007-12-18
58.04296875,2007-12-19
58.59528732299805,2007-12-20
58.198001861572266,2007-12-21
58.527469635009766,2007-12-24
70.59147644042969,2007-12-26
72.96552276611328,2007-12-27
76.36671447753906,2007-12-28
71.58955383300781,2007-12-31
67.92671966552734,2008-01-02
67.28721618652344,2008-01-03
62.10306930541992,2008-01-04
59.467384338378906,2008-01-07
59.20575714111328,2008-01-08
58.79877471923828,2008-01-09
62.07398986816406,2008-01-10
60.65925216674805,2008-01-11
62.703834533691406,2008-01-14
58.1204719543457,2008-01-15
52.54875183105469,2008-01-16
44.00218200683594,2008-01-17
45.591346740722656,2008-01-18
46.23087692260742,2008-01-22
48.469268798828125,2008-01-23
54.884037017822266,2008-01-24
52.3840217590332,2008-01-25
41.279296875,2008-01-28
40.40720748901367,2008-01-29
34.99051284790039,2008-01-30
35.88199234008789,2008-01-31
36.31804275512695,2008-02-01
35.35873031616211,2008-02-04
35.1358528137207,2008-02-05
32.89748001098633,2008-02-06
30.74629783630371,2008-02-07
30.73660659790039,2008-02-08
35.02928161621094,2008-02-11
33.53700637817383,2008-02-12
35.61067581176758,2008-02-13
34.29283905029297,2008-02-14
34.680442810058594,2008-02-15
33.55638885498047,2008-02-19
33.5079460144043,2008-02-20
32.12227249145508,2008-02-21
32.364524841308594,2008-02-22
32.781192779541016,2008-02-25
32.345149993896484,2008-02-26
35.494384765625,2008-02-27
36.22114562988281,2008-02-28
35.02928161621094,2008-02-29
36.42462158203125,2008-03-03
34.75794982910156,2008-03-04
35.97888946533203,2008-03-05
38.023468017578125,2008-03-06
35.4168586730957,2008-03-07
32.89748001098633,2008-03-10
35.35873031616211,2008-03-11
37.62618637084961,2008-03-12
37.40330123901367,2008-03-13
37.054473876953125,2008-03-14
34.06028366088867,2008-03-17
36.075782775878906,2008-03-18
35.223060607910156,2008-03-19
35.223060607910156,2008-03-20
37.30641174316406,2008-03-24
39.195960998535156,2008-03-25
40.26184844970703,2008-03-26
37.68433380126953,2008-03-27
35.89167022705078,2008-03-28
38.527347564697266,2008-03-31
39.55449295043945,2008-04-01
37.99440383911133,2008-04-02
38.411067962646484,2008-04-03
41.88009262084961,2008-04-04
42.345191955566406,2008-04-07
43.95374298095703,2008-04-08
43.75023651123047,2008-04-09
45.678558349609375,2008-04-10
45.048709869384766,2008-04-11
43.30450439453125,2008-04-14
44.418853759765625,2008-04-15
47.46151351928711,2008-04-16
48.469268798828125,2008-04-17
48.6921272277832,2008-04-18
50.23284149169922,2008-04-21
48.953758239746094,2008-04-22
49.80648422241211,2008-04-23
50.20376968383789,2008-04-24
50.29098129272461,2008-04-25
50.38788604736328,2008-04-28
48.32391357421875,2008-04-29
49.01191329956055,2008-04-30
48.6921272277832,2008-05-01
48.4401969909668,2008-05-02
54.26388168334961,2008-05-05
53.05261993408203,2008-05-06
54.31232452392578,2008-05-07
53.29487991333008,2008-05-08
52.34525680541992,2008-05-09
50.63982009887695,2008-05-12
54.12821960449219,2008-05-13
52.21928405761719,2008-05-14
52.80069351196289,2008-05-15
53.004173278808594,2008-05-16
51.73478698730469,2008-05-19
51.89952087402344,2008-05-20
48.85686111450195,2008-05-21
43.246376037597656,2008-05-22
43.885902404785156,2008-05-23
42.10295486450195,2008-05-27
43.507999420166016,2008-05-28
43.39170837402344,2008-05-29
45.49443817138672,2008-05-30
44.8936767578125,2008-06-02
44.06033706665039,2008-06-03
44.845218658447266,2008-06-04
46.39562225341797,2008-06-05
43.12040710449219,2008-06-06
39.15719985961914,2008-06-09
37.54866027832031,2008-06-10
36.68625259399414,2008-06-11
35.95950698852539,2008-06-12
37.09321975708008,2008-06-13
38.711456298828125,2008-06-16
39.86457061767578,2008-06-17
38.4498291015625,2008-06-18
39.38007354736328,2008-06-19
37.54866027832031,2008-06-20
36.28896713256836,2008-06-23
36.68625259399414,2008-06-24
37.59712219238281,2008-06-25
34.12810516357422,2008-06-26
34.787017822265625,2008-06-27
33.42072296142578,2008-06-30
33.93429946899414,2008-07-01
31.928476333618164,2008-07-02
28.604814529418945,2008-07-03
26.618364334106445,2008-07-07
25.959449768066406,2008-07-08
30.261798858642578,2008-07-09
30.00016975402832,2008-07-10
29.215286254882812,2008-07-11
29.59319305419922,2008-07-14
30.76567840576172,2008-07-15
33.091278076171875,2008-07-16
32.26762390136719,2008-07-17
32.67460632324219,2008-07-18
33.372283935546875,2008-07-21
33.23661422729492,2008-07-22
32.89748001098633,2008-07-23
31.889713287353516,2008-07-24
31.976926803588867,2008-07-25
30.126140594482422,2008-07-28
32.354835510253906,2008-07-29
32.219181060791016,2008-07-30
34.73856735229492,2008-07-31
34.728878021240234,2008-08-01
31.628093719482422,2008-08-04
32.14165496826172,2008-08-05
34.19593048095703,2008-08-06
34.50600814819336,2008-08-07
35.659114837646484,2008-08-08
35.833534240722656,2008-08-11
34.932373046875,2008-08-12
33.546695709228516,2008-08-13
33.53700637817383,2008-08-14
33.52732467651367,2008-08-15
31.298627853393555,2008-08-18
30.86257553100586,2008-08-19
30.03892707824707,2008-08-20
29.195903778076172,2008-08-21
29.069936752319336,2008-08-22
